,Date(AD),Index
0,2016-11-03,"1,659.98"
1,2016-10-19,"1,700.41"
2,2016-10-06,"1,735.03"
3,2016-10-20,"1,703.98"
4,2016-10-03,"1,695.75"
5,2016-10-04,"1,713.11"
6,2016-10-23,"1,685.99"
7,2016-10-24,"1,667.73"
8,2016-10-25,"1,648.27"
9,2016-10-27,"1,656.49"
10,2016-10-02,"1,677.95"
11,2016-10-16,"1,719.55"
12,2016-10-17,"1,705.16"
13,2016-10-26,"1,648.07"
14,2016-09-01,"1,724.71"
15,2016-09-04,"1,749.32"
16,2016-09-05,"1,776.08"
17,2016-09-06,"1,773.66"
18,2016-09-07,"1,752.98"
19,2016-09-08,"1,747.19"
20,2016-09-11,"1,735.79"
21,2016-09-12,"1,736.83"
22,2016-09-18,"1,712.88"
23,2016-09-18,"1,712.88"
24,2016-09-20,"1,689.28"
25,2016-09-21,"1,680.89"
26,2016-09-21,"1,680.89"
27,2016-09-22,"1,661.26"
28,2016-09-25,"1,632.77"
29,2016-09-28,"1,659.86"
30,2016-09-29,"1,672.73"
31,2016-11-07,"1,641.97"
32,2016-06-06,"1,399.60"
33,2016-06-07,"1,416.57"
34,2016-06-08,"1,419.39"
35,2016-11-08,"1,614.91"
36,2016-06-12,"1,465.82"
37,2016-06-13,"1,480.71"
38,2016-06-19,"1,454.73"
39,2016-06-20,"1,450.73"
40,2016-06-22,"1,474.52"
41,2016-06-26,"1,531.02"
42,2016-06-27,"1,592.09"
43,2016-06-28,"1,589.32"
44,2016-06-29,"1,580.76"
45,2016-06-30,"1,567.03"
46,2016-07-03,"1,553.17"
47,2016-07-04,"1,549.21"
48,2016-07-05,"1,548.99"
49,2016-07-06,"1,554.04"
50,2016-07-11,"1,557.67"
51,2016-07-12,"1,551.66"
52,2016-07-13,"1,547.64"
53,2016-07-14,"1,573.71"
54,2016-07-17,"1,623.68"
55,2016-11-09,"1,590.21"
56,2016-07-18,"1,664.47"
57,2016-07-19,"1,699.95"
58,2016-07-20,"1,688.44"
59,2016-07-21,"1,694.24"
60,2016-07-21,"1,694.24"
61,2016-07-26,"1,763.57"
62,2016-07-27,"1,779.08"
63,2016-07-28,"1,776.33"
64,2016-07-31,"1,755.40"
65,2016-08-14,"1,637.30"
66,2016-08-01,"1,738.96"
67,2016-08-02,"1,720.66"
68,2016-08-03,"1,707.18"
69,2016-08-07,"1,659.99"
70,2016-08-08,"1,567.61"
71,2016-08-08,"1,567.61"
72,2016-11-10,"1,592.43"
73,2016-08-09,"1,663.64"
74,2016-08-10,"1,678.57"
75,2016-08-11,"1,674.02"
76,2016-08-16,"1,617.68"
77,2016-08-17,"1,633.93"
78,2016-08-22,"1,590.66"
79,2016-08-23,"1,592.19"
80,2016-08-24,"1,631.95"
81,2016-08-28,"1,655.73"
82,2016-08-28,"1,655.73"
83,2016-08-29,"1,679.35"
84,2016-08-30,"1,703.65"
85,2016-08-31,"1,713.03"
86,2016-11-13,"1,595.13"
87,2016-11-14,"1,604.07"
88,2016-11-15,"1,597.18"
89,2016-11-16,"1,591.57"
90,2016-11-17,"1,550.61"
91,2016-11-20,"1,491.73"
92,2016-11-21,"1,499.37"
93,2016-11-22,"1,477.02"
94,2016-11-23,"1,439.55"
95,2016-11-24,"1,442.09"
96,2016-11-27,"1,389.55"
97,2016-11-28,"1,440.34"
98,2016-11-29,"1,482.70"
99,2016-11-30,"1,541.44"
100,2016-12-01,"1,530.73"
101,2016-12-04,"1,504.67"
102,2016-12-05,"1,479.57"
103,2016-12-06,"1,485.58"
104,2016-12-07,"1,484.74"
105,2016-12-08,"1,475.42"
106,2016-12-11,"1,457.13"
107,2015-01-01,800.75
108,2015-01-04,814.22
109,2015-01-05,816.57
110,2015-01-06,810.97
111,2015-01-07,814.45
112,2015-01-08,819.83
113,2015-01-11,814.16
114,2015-01-12,810.98
115,2015-01-13,815.98
116,2015-01-14,816.74
117,2015-01-18,822.38
118,2015-01-19,859.27
119,2015-01-20,845.07
120,2015-01-22,840.77
121,2015-01-25,854.05
122,2015-01-26,856.57
123,2015-01-27,865.69
124,2015-01-28,880.97
125,2015-01-29,879.71
126,2015-02-01,885.86
127,2015-02-02,882.66
128,2015-02-03,876.72
129,2015-02-04,875.70
130,2015-02-05,869.69
131,2015-02-08,871.92
132,2015-02-09,866.74
133,2015-02-10,864.79
134,2015-02-11,866.14
135,2015-02-12,867.29
136,2015-02-15,867.14
137,2015-02-16,862.19
138,2015-02-18,858.66
139,2015-02-22,846.45
140,2015-02-23,847.86
141,2015-02-24,845.25
142,2015-02-25,845.04
143,2015-02-26,848.36
144,2015-03-01,846.34
145,2015-03-02,856.34
146,2015-03-03,852.92
147,2015-03-04,856.68
148,2015-03-09,861.70
149,2015-03-10,857.16
150,2015-03-11,857.52
151,2015-03-12,852.61
152,2015-03-15,844.72
153,2015-03-16,833.53
154,2015-03-17,838.63
155,2015-03-18,837.65
156,2015-03-19,842.87
157,2015-03-22,837.55
158,2015-03-23,829.19
159,2015-03-24,828.15
160,2015-03-25,823.31
161,2015-03-26,822.01
162,2015-03-29,819.40
163,2015-03-30,818.30
164,2015-03-31,824.27
165,2015-04-01,818.91
166,2015-04-02,823.54
167,2015-04-05,816.98
168,2015-04-06,819.48
169,2015-04-07,819.08
170,2015-04-08,826.44
171,2015-04-09,832.27
172,2015-04-12,838.20
173,2015-04-13,832.14
174,2015-04-15,827.60
175,2015-04-16,836.59
176,2015-04-19,833.87
177,2015-04-20,834.00
178,2015-04-21,836.16
179,2015-04-22,831.17
180,2015-04-23,827.90
181,2015-05-24,808.88
182,2015-05-25,771.05
183,2015-05-26,735.83
184,2015-05-27,707.42
185,2015-05-28,713.86
186,2015-05-31,753.55
187,2015-06-01,774.52
188,2015-06-02,783.69
189,2015-06-03,811.17
190,2015-06-04,809.68
191,2015-06-07,818.12
192,2015-06-08,833.97
193,2015-06-09,859.66
194,2015-06-10,848.95
195,2015-06-11,827.29
196,2015-06-14,817.54
197,2015-06-15,822.82
198,2015-06-16,818.50
199,2015-06-17,814.82
200,2015-06-18,812.48
201,2015-06-21,806.85
202,2015-06-22,811.14
203,2015-06-23,812.68
204,2015-06-24,814.68
205,2015-06-25,816.40
206,2015-06-28,820.31
207,2015-06-29,823.52
208,2015-06-30,827.17
209,2015-07-01,822.28
210,2015-07-02,815.52
211,2015-07-05,814.97
212,2015-07-06,815.16
213,2015-07-07,819.37
214,2015-07-08,819.95
215,2015-07-09,820.96
216,2015-07-12,820.59
217,2015-07-13,819.84
218,2015-07-14,820.47
219,2015-07-15,822.43
220,2015-07-16,831.35
221,2015-07-22,835.74
222,2015-07-23,893.02
223,2015-07-26,953.69
224,2015-07-27,960.18
225,2015-07-28,936.58
226,2015-07-29,931.18
227,2015-07-30,937.39
228,2015-08-02,950.85
229,2015-08-03,945.41
230,2015-08-04,942.16
231,2015-08-05,944.44
232,2015-08-06,948.91
233,2015-08-09,984.38
234,2015-08-10,"1,011.64"
235,2015-08-11,"1,007.33"
236,2015-08-12,"1,005.57"
237,2015-08-13,"1,021.34"
238,2015-08-16,"1,054.13"
239,2015-08-17,"1,118.80"
240,2015-08-18,"1,125.95"
241,2015-08-19,"1,159.29"
242,2015-08-20,"1,167.73"
243,2015-08-23,"1,148.00"
244,2015-08-24,"1,133.63"
245,2015-08-25,"1,128.05"
246,2015-08-26,"1,122.53"
247,2015-08-27,"1,122.13"
248,2015-08-31,"1,129.37"
249,2015-09-01,"1,115.56"
250,2015-09-02,"1,095.39"
251,2015-09-03,"1,089.92"
252,2015-09-06,"1,085.94"
253,2015-09-07,"1,096.52"
254,2015-09-08,"1,101.28"
255,2015-09-09,"1,102.09"
256,2015-09-10,"1,099.38"
257,2015-09-13,"1,115.69"
258,2015-09-14,"1,129.58"
259,2015-09-15,"1,146.30"
260,2015-09-16,"1,140.77"
261,2015-09-17,"1,131.63"
262,2015-09-22,"1,083.61"
263,2015-09-23,"1,119.54"
264,2015-09-24,"1,115.35"
265,2015-09-28,"1,096.42"
266,2015-09-29,"1,108.91"
267,2015-09-30,"1,124.04"
268,2015-10-01,"1,122.09"
269,2015-10-04,"1,127.51"
270,2015-10-05,"1,109.73"
271,2015-10-06,"1,093.31"
272,2015-10-07,"1,085.38"
273,2015-10-08,"1,100.43"
274,2015-10-11,"1,080.50"
275,2015-10-14,"1,070.87"
276,2015-10-15,"1,068.39"
277,2015-10-18,"1,048.94"
278,2015-10-19,"1,057.26"
279,2015-10-25,"1,049.45"
280,2015-10-27,"1,013.53"
281,2015-10-28,"1,010.50"
282,2015-10-29,"1,016.35"
283,2015-11-01,"1,012.27"
