,Date(AD),Index
0,2016-11-03,"1,857.18"
1,2016-10-19,"1,828.25"
2,2016-10-06,"1,849.86"
3,2016-10-20,"1,834.38"
4,2016-10-03,"1,814.28"
5,2016-10-04,"1,822.01"
6,2016-10-23,"1,843.11"
7,2016-10-24,"1,836.72"
8,2016-10-25,"1,819.29"
9,2016-10-27,"1,831.07"
10,2016-10-02,"1,803.34"
11,2016-10-16,"1,840.18"
12,2016-10-17,"1,836.44"
13,2016-10-26,"1,812.90"
14,2016-09-01,"1,882.21"
15,2016-09-04,"1,890.27"
16,2016-09-05,"1,901.69"
17,2016-09-06,"1,898.14"
18,2016-09-07,"1,892.70"
19,2016-09-08,"1,894.35"
20,2016-09-11,"1,895.26"
21,2016-09-12,"1,902.93"
22,2016-09-18,"1,897.97"
23,2016-09-18,"1,897.97"
24,2016-09-20,"1,878.17"
25,2016-09-21,"1,878.80"
26,2016-09-21,"1,878.80"
27,2016-09-22,"1,869.35"
28,2016-09-25,"1,813.58"
29,2016-09-28,"1,823.09"
30,2016-09-29,"1,804.11"
31,2016-11-07,"1,857.10"
32,2016-06-06,"1,496.76"
33,2016-06-07,"1,507.63"
34,2016-06-08,"1,518.46"
35,2016-11-08,"1,838.70"
36,2016-06-12,"1,552.76"
37,2016-06-13,"1,594.06"
38,2016-06-19,"1,637.51"
39,2016-06-20,"1,630.46"
40,2016-06-22,"1,644.94"
41,2016-06-26,"1,666.89"
42,2016-06-27,"1,688.16"
43,2016-06-28,"1,693.85"
44,2016-06-29,"1,709.86"
45,2016-06-30,"1,747.25"
46,2016-07-03,"1,814.14"
47,2016-07-04,"1,817.10"
48,2016-07-05,"1,800.46"
49,2016-07-06,"1,794.71"
50,2016-07-11,"1,782.35"
51,2016-07-12,"1,755.10"
52,2016-07-13,"1,743.77"
53,2016-07-14,"1,772.75"
54,2016-07-17,"1,740.77"
55,2016-11-09,"1,802.80"
56,2016-07-18,"1,737.94"
57,2016-07-19,"1,753.71"
58,2016-07-20,"1,747.43"
59,2016-07-21,"1,769.30"
60,2016-07-21,"1,769.30"
61,2016-07-26,"1,925.05"
62,2016-07-27,"1,958.23"
63,2016-07-28,"1,953.55"
64,2016-07-31,"1,953.16"
65,2016-08-14,"1,803.76"
66,2016-08-01,"1,920.73"
67,2016-08-02,"1,896.75"
68,2016-08-03,"1,885.74"
69,2016-08-07,"1,837.49"
70,2016-08-08,"1,767.88"
71,2016-08-08,"1,767.88"
72,2016-11-10,"1,792.92"
73,2016-08-09,"1,811.98"
74,2016-08-10,"1,844.07"
75,2016-08-11,"1,847.26"
76,2016-08-16,"1,782.35"
77,2016-08-17,"1,808.59"
78,2016-08-22,"1,754.14"
79,2016-08-23,"1,757.73"
80,2016-08-24,"1,795.90"
81,2016-08-28,"1,806.58"
