,Date(AD),Index
0,2016-11-03,818.18
1,2016-10-19,824.75
2,2016-10-06,838.06
3,2016-10-20,820.50
4,2016-10-03,830.57
5,2016-10-04,828.38
6,2016-10-23,816.42
7,2016-10-24,821.24
8,2016-10-25,818.85
9,2016-10-27,817.45
10,2016-10-02,820.61
11,2016-10-16,832.79
12,2016-10-17,830.10
13,2016-10-26,820.02
14,2016-09-01,849.01
15,2016-09-04,847.46
16,2016-09-05,853.64
17,2016-09-06,856.26
18,2016-09-07,855.89
19,2016-09-08,847.99
20,2016-09-11,846.29
21,2016-09-12,845.53
22,2016-09-18,844.33
23,2016-09-18,844.33
24,2016-09-20,833.70
25,2016-09-21,832.50
26,2016-09-21,832.50
27,2016-09-22,831.39
28,2016-09-25,817.00
29,2016-09-28,823.49
30,2016-09-29,820.52
31,2016-11-07,819.20
32,2016-06-06,721.92
33,2016-06-07,726.84
34,2016-06-08,730.44
35,2016-11-08,814.67
36,2016-06-12,737.22
37,2016-06-13,736.64
38,2016-06-19,744.24
39,2016-06-20,747.19
40,2016-06-22,754.62
41,2016-06-26,751.94
42,2016-06-27,764.61
43,2016-06-28,765.01
44,2016-06-29,769.74
45,2016-06-30,776.35
46,2016-07-03,806.08
47,2016-07-04,845.04
48,2016-07-05,838.19
49,2016-07-06,851.42
50,2016-07-11,852.16
51,2016-07-12,837.83
52,2016-07-13,829.81
53,2016-07-14,837.82
54,2016-07-17,843.74
55,2016-11-09,804.67
56,2016-07-18,843.46
57,2016-07-19,852.27
58,2016-07-20,850.45
59,2016-07-21,856.28
60,2016-07-21,856.28
61,2016-07-26,899.59
62,2016-07-27,904.80
63,2016-07-28,910.79
64,2016-07-31,898.87
65,2016-08-14,841.63
66,2016-08-01,897.43
67,2016-08-02,893.51
68,2016-08-03,882.96
69,2016-08-07,865.91
70,2016-08-08,835.53
71,2016-08-08,835.53
72,2016-11-10,798.91
73,2016-08-09,848.22
74,2016-08-10,860.39
75,2016-08-11,858.91
76,2016-08-16,849.89
77,2016-08-17,849.88
78,2016-08-22,815.62
79,2016-08-23,806.99
80,2016-08-24,817.44
81,2016-08-28,832.78
82,2016-08-28,832.78
83,2016-08-29,839.83
84,2016-08-30,843.61
85,2016-08-31,844.46
86,2016-11-13,802.28
87,2016-11-14,809.90
88,2016-11-15,808.78
89,2016-11-16,810.09
90,2016-11-17,797.50
91,2016-11-20,766.73
92,2016-11-21,778.90
93,2016-11-22,765.12
94,2016-11-23,751.25
95,2016-11-24,752.53
96,2016-11-27,725.83
97,2016-11-28,739.29
98,2016-11-29,747.84
99,2016-11-30,771.05
100,2016-12-01,766.02
101,2016-12-04,753.27
102,2016-12-05,744.97
103,2016-12-06,750.39
104,2016-12-07,740.56
105,2016-12-08,741.26
106,2015-01-01,473.17
107,2015-01-04,476.89
108,2015-01-05,476.19
109,2015-01-06,476.12
110,2015-01-07,478.12
111,2015-01-08,480.83
112,2015-01-11,479.12
113,2015-01-12,483.36
114,2015-01-13,497.59
115,2015-01-14,505.82
116,2015-01-18,508.54
117,2015-01-19,516.91
118,2015-01-20,513.04
119,2015-01-22,512.37
120,2015-01-25,514.03
121,2015-01-26,517.99
122,2015-01-27,518.82
123,2015-01-28,525.94
124,2015-01-29,526.81
125,2015-02-01,528.81
126,2015-02-02,528.99
127,2015-02-03,530.20
128,2015-02-04,528.38
129,2015-02-05,524.39
130,2015-02-08,526.02
131,2015-02-09,526.11
132,2015-02-10,525.46
133,2015-02-11,526.70
134,2015-02-12,529.96
135,2015-02-15,536.32
136,2015-02-16,545.48
137,2015-02-18,544.40
138,2015-02-22,538.13
139,2015-02-23,535.84
140,2015-02-24,532.78
141,2015-02-25,532.67
142,2015-02-26,534.21
143,2015-03-01,534.50
144,2015-03-02,535.92
145,2015-03-03,534.46
146,2015-03-04,540.10
147,2015-03-09,543.94
148,2015-03-10,542.71
149,2015-03-11,542.56
150,2015-03-12,541.73
151,2015-03-15,542.04
152,2015-03-16,540.73
153,2015-03-17,540.27
154,2015-03-18,539.08
155,2015-03-19,539.19
156,2015-03-22,538.55
157,2015-03-23,538.11
158,2015-03-24,538.21
159,2015-03-25,536.56
160,2015-03-26,535.44
161,2015-03-29,533.79
162,2015-03-30,533.16
