,Date(AD),Index
0,2016-11-03,131.83
1,2016-10-19,133.68
2,2016-10-06,136.09
3,2016-10-20,134.11
4,2016-10-03,132.85
5,2016-10-04,134.31
6,2016-10-23,133.33
7,2016-10-24,132.26
8,2016-10-25,130.92
9,2016-10-27,131.57
10,2016-10-02,131.44
11,2016-10-16,135.04
12,2016-10-17,134.23
13,2016-10-26,131.01
14,2016-09-01,134.40
15,2016-09-04,135.76
16,2016-09-05,137.17
17,2016-09-06,136.91
18,2016-09-07,136.14
19,2016-09-08,136.15
20,2016-09-11,135.68
21,2016-09-12,135.87
22,2016-09-18,134.63
23,2016-09-18,134.63
24,2016-09-20,133.18
25,2016-09-21,132.66
26,2016-09-21,132.66
27,2016-09-22,131.65
28,2016-09-25,128.85
29,2016-09-28,130.23
30,2016-09-29,130.66
31,2016-11-07,130.85
32,2016-06-06,110.19
33,2016-06-07,111.48
34,2016-06-08,112.55
35,2016-11-08,129.00
36,2016-06-12,115.92
37,2016-06-13,116.83
38,2016-06-19,117.52
39,2016-06-20,117.12
40,2016-06-22,119.56
41,2016-06-26,122.31
42,2016-06-27,124.98
43,2016-06-28,125.53
44,2016-06-29,125.66
45,2016-06-30,125.46
46,2016-07-03,125.21
47,2016-07-04,125.02
48,2016-07-05,124.79
49,2016-07-06,125.00
50,2016-07-11,124.39
51,2016-07-12,123.62
52,2016-07-13,123.36
53,2016-07-14,125.41
54,2016-07-17,127.73
55,2016-11-09,126.83
56,2016-07-18,130.96
57,2016-07-19,132.50
58,2016-07-20,131.70
59,2016-07-21,132.62
60,2016-07-21,132.62
61,2016-07-26,138.75
62,2016-07-27,139.95
63,2016-07-28,139.69
64,2016-07-31,138.40
65,2016-08-14,128.76
66,2016-08-01,137.06
67,2016-08-02,135.51
68,2016-08-03,134.69
69,2016-08-07,130.94
70,2016-08-08,124.03
71,2016-08-08,124.03
72,2016-11-10,126.84
73,2016-08-09,130.88
74,2016-08-10,132.23
75,2016-08-11,131.84
76,2016-08-16,127.63
77,2016-08-17,128.88
78,2016-08-22,125.01
79,2016-08-23,124.92
80,2016-08-24,128.36
81,2016-08-28,129.82
82,2016-08-28,129.82
83,2016-08-29,131.41
84,2016-08-30,133.21
85,2016-08-31,133.79
86,2016-11-13,126.98
87,2016-11-14,127.53
88,2016-11-15,127.12
89,2016-11-16,126.79
90,2016-11-17,123.55
91,2016-11-20,119.04
92,2016-11-21,119.36
93,2016-11-22,117.52
94,2016-11-23,114.30
95,2016-11-24,113.75
96,2016-11-27,108.93
97,2016-11-28,112.30
98,2016-11-29,115.83
99,2016-11-30,120.09
100,2016-12-01,119.51
101,2016-12-04,117.18
102,2016-12-05,115.10
103,2016-12-06,115.77
104,2016-12-07,115.80
105,2016-12-08,115.08
106,2015-01-01,63.00
107,2015-01-04,64.00
108,2015-01-05,64.00
109,2015-01-06,64.00
110,2015-01-07,65.00
111,2015-01-08,65.00
112,2015-01-11,65.00
113,2015-01-12,65.00
114,2015-01-13,65.00
115,2015-01-14,65.00
116,2015-01-18,66.00
117,2015-01-19,68.00
118,2015-01-20,67.00
119,2015-01-22,67.00
120,2015-01-25,68.00
121,2015-01-26,68.00
122,2015-01-27,68.00
123,2015-01-28,69.00
124,2015-01-29,69.00
125,2015-02-01,69.00
126,2015-02-02,69.00
127,2015-02-03,69.00
128,2015-02-04,69.00
129,2015-02-05,69.00
130,2015-02-08,69.00
131,2015-02-09,69.00
132,2015-02-10,69.00
133,2015-02-11,69.00
134,2015-02-12,69.00
135,2015-02-15,69.00
136,2015-02-16,69.00
137,2015-02-18,69.00
138,2015-02-22,68.00
139,2015-02-23,68.00
140,2015-02-24,68.00
141,2015-02-25,68.00
142,2015-02-26,68.00
143,2015-03-01,68.00
144,2015-03-02,69.00
145,2015-03-03,68.00
146,2015-03-04,69.00
147,2015-03-09,69.00
148,2015-03-10,69.00
149,2015-03-11,69.00
150,2015-03-12,69.00
151,2015-03-15,68.00
152,2015-03-16,67.00
153,2015-03-17,68.00
154,2015-03-18,68.00
155,2015-03-19,68.00
156,2015-03-22,68.00
157,2015-03-23,67.00
158,2015-03-24,67.00
159,2015-03-25,67.00
160,2015-03-26,66.00
161,2015-03-29,66.00
162,2015-03-30,66.00
163,2015-03-31,67.00
164,2015-04-01,66.00
165,2015-04-02,66.00
166,2015-04-05,66.00
167,2015-04-06,66.00
168,2015-04-07,66.00
169,2015-04-08,66.00
170,2015-04-09,67.00
171,2015-04-12,67.00
172,2015-04-13,67.00
173,2015-04-15,67.00
174,2015-04-16,67.00
175,2015-04-19,67.00
176,2015-04-20,67.00
177,2015-04-21,67.00
178,2015-04-22,66.00
179,2015-04-23,66.00
180,2015-05-24,65.00
181,2015-05-25,62.00
182,2015-05-26,60.00
183,2015-05-27,59.00
184,2015-05-28,59.00
185,2015-05-31,62.00
186,2015-06-01,63.00
187,2015-06-02,64.00
188,2015-06-03,66.00
189,2015-06-04,66.00
190,2015-06-07,66.00
191,2015-06-08,67.00
192,2015-06-09,69.00
193,2015-06-10,69.00
194,2015-06-11,67.00
195,2015-06-14,66.00
196,2015-06-15,67.00
197,2015-06-16,67.00
198,2015-06-17,66.00
199,2015-06-18,66.00
200,2015-06-21,66.00
201,2015-06-22,66.00
202,2015-06-23,66.00
203,2015-06-24,66.00
204,2015-06-25,66.00
205,2015-06-28,67.00
