,Date(AD),Index
0,2021-02-28,"2,061.97"
1,2021-03-01,"2,117.78"
2,2021-03-02,"2,134.64"
3,2021-03-03,"2,169.81"
4,2021-03-04,"2,234.68"
5,2021-03-07,"2,284.83"
6,2021-03-09,"2,352.94"
7,2021-03-10,"2,404.66"
8,2021-03-14,"2,465.77"
9,2021-03-15,"2,556.71"
10,2021-03-16,"2,642.71"
11,2021-03-17,"2,755.40"
12,2021-03-18,"2,868.28"
13,2021-03-21,"3,022.05"
14,2021-03-22,"3,127.48"
15,2021-03-23,"3,282.99"
16,2021-03-24,"3,461.55"
17,2021-03-25,"3,615.62"
18,2021-03-29,"3,476.43"
19,2021-03-30,"3,589.33"
20,2021-03-31,"3,652.53"
21,2021-04-01,"3,575.31"
22,2021-04-04,"3,545.44"
23,2021-04-05,"3,660.24"
24,2021-04-06,"3,866.03"
25,2021-04-07,"4,098.68"
26,2021-04-08,"4,128.46"
27,2021-04-12,"4,053.28"
28,2021-04-13,"3,988.04"
29,2021-04-15,"3,998.53"
30,2021-04-18,"3,905.75"
31,2021-04-19,"3,664.91"
32,2021-04-20,"3,666.56"
33,2021-04-21,"3,646.44"
34,2021-04-22,"3,593.52"
35,2021-04-25,"3,368.92"
36,2021-04-26,"3,297.49"
37,2021-04-27,"3,336.84"
38,2021-04-28,"3,317.52"
39,2021-04-29,"3,289.76"
40,2021-05-02,"3,400.93"
41,2021-05-03,"3,387.55"
42,2021-05-04,"3,351.78"
43,2021-05-05,"3,314.00"
44,2021-05-06,"3,261.95"
45,2021-05-09,"3,225.90"
46,2021-05-10,"3,232.11"
47,2021-05-11,"3,259.13"
48,2021-05-12,"3,252.16"
49,2021-05-13,"3,232.81"
50,2021-05-16,"3,269.20"
51,2021-05-17,"3,256.41"
52,2021-05-18,"3,456.59"
53,2021-05-19,"3,470.71"
54,2021-05-20,"3,451.12"
55,2021-05-23,"3,448.18"
56,2021-05-24,"3,431.18"
57,2021-05-25,"3,397.11"
58,2021-05-27,"3,382.28"
59,2021-05-30,"3,517.73"
60,2021-05-31,"3,516.91"
61,2021-06-01,"3,425.75"
62,2021-06-02,"3,525.47"
63,2021-06-03,"3,642.59"
64,2021-06-06,"3,623.61"
65,2021-06-07,"3,581.11"
66,2021-06-08,"3,564.66"
67,2021-06-09,"3,562.65"
68,2021-06-10,"3,549.37"
69,2021-06-13,"3,720.20"
70,2021-06-14,"3,878.21"
71,2021-06-15,"3,936.46"
72,2021-06-16,"3,734.32"
73,2021-06-17,"3,770.92"
74,2021-06-20,"3,679.94"
75,2021-06-21,"3,514.11"
76,2021-06-22,"3,624.07"
77,2021-06-23,"3,554.29"
78,2021-06-24,"3,593.38"
79,2021-06-27,"3,550.07"
80,2021-06-28,"3,570.33"
81,2021-06-29,"3,568.31"
