,Date(AD),Index
0,2016-11-03,"2,340.41"
1,2016-10-19,"2,352.40"
2,2016-10-06,"2,367.47"
3,2016-10-20,"2,375.88"
4,2016-10-03,"2,343.25"
5,2016-10-04,"2,365.73"
6,2016-10-23,"2,347.12"
7,2016-10-24,"2,331.84"
8,2016-10-25,"2,331.33"
9,2016-10-27,"2,346.54"
10,2016-10-02,"2,337.47"
11,2016-10-16,"2,348.80"
12,2016-10-17,"2,366.56"
13,2016-10-26,"2,330.82"
14,2016-09-01,"2,371.35"
15,2016-09-04,"2,368.66"
16,2016-09-05,"2,376.64"
17,2016-09-06,"2,393.08"
18,2016-09-07,"2,387.09"
19,2016-09-08,"2,435.38"
20,2016-09-11,"2,465.82"
21,2016-09-12,"2,430.66"
22,2016-09-18,"2,435.26"
23,2016-09-18,"2,435.26"
24,2016-09-20,"2,407.00"
25,2016-09-21,"2,386.83"
26,2016-09-21,"2,386.83"
27,2016-09-22,"2,392.86"
28,2016-09-25,"2,335.71"
29,2016-09-28,"2,353.32"
30,2016-09-29,"2,350.88"
31,2016-11-07,"2,318.51"
32,2016-06-06,"2,453.68"
33,2016-06-07,"2,439.40"
34,2016-06-08,"2,448.63"
35,2016-11-08,"2,271.20"
36,2016-06-12,"2,444.94"
37,2016-06-13,"2,448.83"
38,2016-06-19,"2,528.83"
39,2016-06-20,"2,545.86"
40,2016-06-22,"2,674.49"
41,2016-06-26,"2,705.95"
42,2016-06-27,"2,721.75"
43,2016-06-28,"2,754.74"
44,2016-06-29,"2,769.85"
45,2016-06-30,"2,745.66"
46,2016-07-03,"2,738.08"
47,2016-07-04,"2,717.27"
48,2016-07-05,"2,722.37"
49,2016-07-06,"2,718.05"
50,2016-07-11,"2,667.71"
51,2016-07-12,"2,632.94"
52,2016-07-13,"2,626.43"
53,2016-07-14,"2,690.18"
54,2016-07-17,"2,664.78"
55,2016-11-09,"2,233.70"
56,2016-07-18,"2,679.44"
57,2016-07-19,"2,669.51"
58,2016-07-20,"2,657.45"
59,2016-07-21,"2,647.55"
60,2016-07-21,"2,647.55"
61,2016-07-26,"2,665.40"
