,Date(AD),Index
0,2021-02-28,95.87
1,2021-03-01,97.66
2,2021-03-02,95.74
3,2021-03-03,93.48
4,2021-03-04,98.39
5,2021-03-07,96.64
6,2021-03-09,95.31
7,2021-03-10,95.33
8,2021-03-14,92.78
9,2021-03-15,93.30
10,2021-03-16,93.51
11,2021-03-17,94.77
12,2021-03-18,96.72
13,2021-03-21,97.97
14,2021-03-22,96.57
15,2021-03-23,97.60
16,2021-03-24,102.53
17,2021-03-25,103.72
18,2021-03-29,103.66
19,2021-03-30,104.03
20,2021-03-31,105.82
21,2021-04-01,104.73
22,2021-04-04,102.27
23,2021-04-05,101.41
24,2021-04-06,104.12
25,2021-04-07,102.40
26,2021-04-08,101.97
27,2021-04-12,101.64
28,2021-04-13,101.18
29,2021-04-15,102.77
30,2021-04-18,102.32
31,2021-04-19,101.74
32,2021-04-20,100.69
33,2021-04-21,99.26
34,2021-04-22,99.43
35,2021-04-25,96.07
36,2021-04-26,93.32
37,2021-04-27,97.66
38,2021-04-28,97.57
39,2021-04-29,97.45
40,2021-05-02,98.20
41,2021-05-03,98.66
42,2021-05-04,98.88
43,2021-05-05,98.37
44,2021-05-06,98.52
45,2021-05-09,97.66
46,2021-05-10,98.66
47,2021-05-11,100.15
48,2021-05-12,100.91
49,2021-05-13,100.51
50,2021-05-16,102.55
51,2021-05-17,102.80
52,2021-05-18,105.66
53,2021-05-19,103.80
54,2021-05-20,103.06
55,2021-05-23,103.14
56,2021-05-24,104.56
57,2021-05-25,103.38
58,2021-05-27,102.71
59,2021-05-30,102.43
60,2021-05-31,101.46
61,2021-06-01,100.79
62,2021-06-02,101.52
63,2021-06-03,101.59
64,2021-06-06,105.62
65,2021-06-07,105.53
66,2021-06-08,104.63
67,2021-06-09,103.61
68,2021-06-10,104.72
69,2021-06-13,107.21
70,2021-06-14,110.79
71,2021-06-15,113.21
72,2021-06-16,110.33
73,2021-06-17,110.12
74,2021-06-20,107.92
75,2021-06-21,107.40
76,2021-06-22,111.93
77,2021-06-23,111.54
78,2021-06-24,109.18
79,2021-06-27,109.69
80,2021-06-28,112.10
81,2021-06-29,108.26
