,Date(AD),Index
0,2018-07-17,"6,125.34"
1,2018-07-18,"6,057.69"
2,2018-07-19,"6,014.14"
3,2018-07-22,"5,943.86"
4,2018-07-23,"5,998.72"
5,2018-07-24,"6,019.33"
6,2018-07-25,"5,991.26"
7,2018-07-26,"5,942.18"
8,2018-07-29,"5,994.85"
9,2018-07-30,"5,974.34"
10,2018-07-31,"5,946.73"
11,2018-08-01,"5,975.57"
12,2018-08-02,"5,949.51"
13,2018-08-05,"5,953.15"
14,2018-08-06,"5,936.42"
15,2018-08-07,"5,896.59"
16,2018-08-08,"5,874.23"
17,2018-08-09,"5,771.40"
18,2018-08-12,"5,578.03"
19,2018-08-13,"5,688.88"
20,2018-08-14,"5,701.89"
21,2018-08-15,"5,831.71"
22,2018-08-16,"5,801.84"
23,2018-08-19,"5,736.98"
24,2018-08-20,"5,661.78"
25,2018-08-21,"5,661.27"
26,2018-08-22,"5,604.67"
27,2018-08-23,"5,566.03"
28,2018-08-26,"5,564.15"
29,2018-08-28,"5,533.12"
30,2018-08-29,"5,494.94"
31,2018-08-30,"5,521.15"
32,2018-09-02,"5,520.07"
33,2018-09-03,"5,592.55"
34,2018-09-04,"5,592.01"
35,2018-09-05,"5,687.20"
36,2018-09-06,"5,648.38"
37,2018-09-09,"5,580.96"
38,2018-09-10,"5,560.78"
39,2018-09-11,"5,579.41"
40,2018-09-12,"5,583.39"
41,2018-09-13,"5,572.21"
42,2018-09-16,"5,620.71"
43,2018-09-17,"5,740.44"
44,2018-09-18,"5,760.05"
45,2018-09-20,"5,680.24"
46,2018-09-23,"5,656.77"
47,2018-09-25,"5,694.13"
48,2018-09-26,"5,724.61"
49,2018-09-27,"5,695.54"
50,2018-09-30,"5,676.53"
51,2018-10-01,"5,597.97"
52,2018-10-02,"5,612.59"
53,2018-10-03,"5,575.14"
54,2018-10-04,"5,575.69"
55,2018-10-07,"5,521.40"
56,2018-10-08,"5,516.69"
57,2018-10-09,"5,498.06"
58,2018-10-10,"5,496.88"
59,2018-10-11,"5,504.65"
60,2018-10-14,"5,562.14"
61,2018-10-15,"5,564.78"
62,2018-10-21,"5,599.48"
63,2018-10-22,"5,580.72"
64,2018-10-23,"5,549.09"
65,2018-10-24,"5,575.46"
66,2018-10-25,"5,563.07"
67,2018-10-28,"5,521.47"
68,2018-10-29,"5,509.50"
69,2018-10-30,"5,533.17"
70,2018-10-31,"5,532.93"
71,2018-11-01,"5,546.25"
72,2018-11-04,"5,458.73"
73,2018-11-05,"5,508.35"
74,2018-11-06,"5,468.33"
75,2018-11-11,"5,439.22"
76,2018-11-12,"5,348.69"
77,2018-11-13,"5,432.82"
78,2018-11-14,"5,432.82"
79,2018-11-15,"5,421.83"
