,Date(AD),Index
0,2016-11-03,"2,308.83"
1,2016-10-19,"2,315.92"
2,2016-10-06,"2,322.74"
3,2016-10-20,"2,308.83"
4,2016-10-03,"2,348.61"
5,2016-10-04,"2,348.61"
6,2016-10-23,"2,308.83"
7,2016-10-24,"2,308.83"
8,2016-10-25,"2,308.83"
9,2016-10-27,"2,308.83"
10,2016-10-02,"2,341.59"
11,2016-10-16,"2,322.74"
12,2016-10-17,"2,322.74"
13,2016-10-26,"2,308.83"
14,2016-09-01,"2,591.71"
15,2016-09-04,"2,547.09"
16,2016-09-05,"2,513.40"
17,2016-09-06,"2,497.58"
18,2016-09-07,"2,489.88"
19,2016-09-08,"2,489.88"
20,2016-09-11,"2,489.88"
21,2016-09-12,"2,489.88"
22,2016-09-18,"2,497.45"
23,2016-09-18,"2,497.45"
24,2016-09-20,"2,497.45"
25,2016-09-21,"2,447.58"
26,2016-09-21,"2,447.58"
27,2016-09-22,"2,380.22"
28,2016-09-25,"2,340.23"
29,2016-09-28,"2,323.45"
30,2016-09-29,"2,341.59"
31,2016-11-07,"2,276.81"
32,2016-06-06,"2,313.39"
33,2016-06-07,"2,313.39"
34,2016-06-08,"2,339.33"
35,2016-11-08,"2,245.78"
36,2016-06-12,"2,339.33"
37,2016-06-13,"2,313.34"
38,2016-06-19,"2,396.10"
39,2016-06-20,"2,359.78"
40,2016-06-22,"2,395.58"
41,2016-06-26,"2,394.11"
42,2016-06-27,"2,398.48"
43,2016-06-28,"2,412.87"
44,2016-06-29,"2,417.31"
45,2016-06-30,"2,407.34"
46,2016-07-03,"2,407.34"
47,2016-07-04,"2,407.34"
48,2016-07-05,"2,430.46"
49,2016-07-06,"2,451.90"
50,2016-07-11,"2,485.97"
51,2016-07-12,"2,516.87"
52,2016-07-13,"2,550.83"
53,2016-07-14,"2,581.52"
54,2016-07-17,"2,621.96"
55,2016-11-09,"2,245.78"
56,2016-07-18,"2,666.42"
57,2016-07-19,"2,706.66"
58,2016-07-20,"2,759.65"
59,2016-07-21,"2,828.73"
60,2016-07-21,"2,828.73"
61,2016-07-26,"2,767.56"
62,2016-07-27,"2,754.42"
63,2016-07-28,"2,694.13"
64,2016-07-31,"2,657.24"
65,2016-08-14,"2,535.12"
66,2016-08-01,"2,614.66"
67,2016-08-02,"2,648.69"
