,Date(AD),Index
0,2017-11-01,"1,832.52"
1,2017-11-02,"1,818.26"
2,2017-11-05,"1,787.67"
3,2017-11-06,"1,776.45"
4,2017-11-07,"1,758.78"
5,2017-11-08,"1,737.20"
6,2017-11-09,"1,738.50"
7,2017-11-12,"1,739.78"
8,2017-11-13,"1,750.77"
9,2017-11-14,"1,809.62"
10,2017-11-15,"1,791.48"
11,2017-11-16,"1,777.70"
12,2017-11-19,"1,752.83"
13,2017-11-20,"1,742.07"
14,2017-11-21,"1,745.36"
15,2017-11-22,"1,751.96"
16,2017-11-23,"1,776.35"
17,2017-11-26,"1,804.87"
18,2017-11-27,"1,802.08"
19,2017-11-28,"1,815.95"
20,2017-11-29,"1,857.57"
21,2017-11-30,"1,863.64"
22,2017-12-04,"1,843.58"
23,2017-12-05,"1,850.19"
24,2017-12-06,"1,874.77"
25,2017-12-10,"1,854.43"
26,2017-12-11,"1,848.96"
27,2017-12-12,"1,828.33"
28,2017-12-13,"1,842.89"
29,2017-12-14,"1,845.48"
30,2017-12-17,"1,833.02"
31,2017-12-18,"1,830.98"
32,2017-12-19,"1,810.75"
33,2017-12-20,"1,803.13"
34,2017-12-21,"1,782.08"
35,2017-12-24,"1,778.73"
36,2017-12-26,"1,746.06"
37,2017-12-27,"1,722.34"
38,2017-12-28,"1,719.25"
39,2017-12-31,"1,681.73"
40,2018-01-01,"1,751.20"
41,2018-01-02,"1,742.94"
42,2018-01-03,"1,716.26"
43,2018-01-04,"1,724.54"
44,2018-01-07,"1,745.14"
45,2018-01-08,"1,747.99"
46,2018-01-09,"1,765.94"
47,2018-01-10,"1,741.97"
48,2018-01-14,"1,715.67"
49,2018-01-16,"1,697.97"
50,2018-01-17,"1,701.98"
51,2018-01-21,"1,689.81"
52,2018-01-22,"1,676.52"
53,2018-01-23,"1,667.31"
54,2018-01-24,"1,664.69"
55,2018-01-25,"1,687.12"
56,2018-01-28,"1,681.67"
57,2018-01-29,"1,678.09"
58,2018-01-31,"1,686.13"
59,2018-02-01,"1,698.54"
60,2018-02-04,"1,695.11"
61,2018-02-05,"1,677.73"
62,2018-02-06,"1,670.18"
63,2018-02-07,"1,654.27"
64,2018-02-08,"1,661.72"
65,2018-02-11,"1,648.98"
66,2018-02-12,"1,642.28"
67,2018-02-14,"1,662.83"
68,2018-02-15,"1,725.74"
69,2018-02-18,"1,695.42"
70,2018-02-20,"1,657.91"
71,2018-02-21,"1,654.01"
72,2018-02-22,"1,649.53"
73,2018-02-25,"1,636.63"
74,2018-02-26,"1,606.47"
75,2018-02-27,"1,607.45"
76,2018-02-28,"1,584.92"
77,2018-03-04,"1,525.91"
78,2018-03-05,"1,482.15"
79,2018-03-06,"1,501.16"
80,2018-03-07,"1,526.80"
81,2018-03-11,"1,481.28"
82,2018-03-12,"1,461.98"
83,2018-03-13,"1,457.69"
84,2018-03-14,"1,466.26"
85,2018-03-15,"1,468.75"
86,2018-03-18,"1,457.83"
87,2018-03-19,"1,447.48"
88,2018-03-20,"1,427.12"
89,2018-03-21,"1,378.60"
90,2018-03-22,"1,359.35"
91,2018-03-26,"1,283.83"
92,2018-03-27,"1,349.33"
93,2018-03-28,"1,320.24"
94,2018-03-29,"1,340.23"
95,2018-04-01,"1,313.99"
96,2018-04-02,"1,308.73"
97,2018-04-03,"1,310.87"
98,2018-04-04,"1,373.93"
99,2018-04-05,"1,409.38"
100,2018-04-08,"1,495.04"
101,2018-04-09,"1,488.87"
102,2018-04-10,"1,462.41"
103,2018-04-11,"1,467.13"
104,2018-04-12,"1,477.84"
105,2018-04-15,"1,489.58"
106,2018-04-16,"1,561.69"
107,2018-04-17,"1,681.80"
108,2018-04-18,"1,687.19"
109,2018-04-19,"1,701.45"
110,2018-04-22,"1,801.68"
111,2018-04-23,"1,770.90"
112,2018-04-24,"1,760.39"
113,2018-04-25,"1,742.07"
114,2018-04-26,"1,698.81"
115,2018-04-29,"1,694.74"
116,2018-05-02,"1,741.10"
117,2018-05-03,"1,757.65"
118,2018-05-06,"1,750.11"
119,2018-05-07,"1,728.21"
120,2018-05-08,"1,763.97"
121,2018-05-09,"1,757.34"
122,2018-05-10,"1,742.93"
123,2018-05-14,"1,720.34"
124,2018-05-15,"1,714.72"
125,2018-05-16,"1,737.56"
126,2018-05-17,"1,733.54"
