,Date(AD),Index
0,2019-05-12,9.92
1,2019-05-13,10.02
2,2019-05-14,10.12
3,2019-05-15,10.08
4,2019-05-16,10.09
5,2019-05-19,10.12
6,2019-05-20,9.93
7,2019-05-21,9.98
8,2019-05-22,9.78
9,2019-05-23,9.80
10,2019-05-26,9.78
11,2019-05-27,9.69
12,2019-05-28,9.86
13,2019-05-29,9.90
14,2019-05-30,9.97
15,2019-06-02,9.97
16,2019-06-03,9.83
17,2019-06-04,9.80
18,2019-06-06,9.81
19,2019-06-10,9.88
20,2019-06-11,9.88
21,2019-06-12,9.73
22,2019-06-13,9.73
23,2019-06-16,9.69
24,2019-06-17,9.70
25,2019-06-18,9.62
26,2019-06-19,9.59
27,2019-06-20,9.61
28,2019-06-23,9.64
29,2019-06-24,9.61
30,2019-06-25,9.60
31,2019-06-26,9.62
32,2019-06-27,9.61
33,2019-06-30,9.58
34,2019-07-01,9.51
35,2019-07-02,9.59
36,2019-07-03,9.65
37,2019-07-04,9.62
38,2019-07-07,9.63
39,2019-07-08,9.68
40,2019-07-09,9.67
41,2019-07-10,9.56
42,2019-07-11,9.49
43,2019-07-14,9.52
44,2019-07-15,9.65
45,2019-07-16,10.13
46,2019-07-17,10.13
47,2019-07-18,10.12
48,2019-07-21,10.09
49,2019-07-22,9.90
50,2019-07-23,9.91
51,2019-07-24,10.00
52,2019-07-25,9.89
53,2019-07-28,10.05
54,2019-07-29,10.05
55,2019-07-30,10.03
56,2019-07-31,10.11
57,2019-08-01,10.08
58,2019-08-04,9.98
59,2019-08-05,10.09
60,2019-08-06,10.00
61,2019-08-07,9.96
62,2019-08-08,9.94
63,2019-08-11,9.96
64,2019-08-12,10.00
65,2019-08-13,10.00
66,2019-08-14,9.96
67,2019-08-15,9.96
68,2019-08-18,9.90
69,2019-08-19,9.91
70,2019-08-20,9.95
71,2019-08-21,9.92
72,2019-08-22,9.90
73,2019-08-25,9.88
74,2019-08-26,9.82
75,2019-08-27,9.82
76,2019-08-28,9.79
77,2019-08-29,9.78
78,2019-09-01,9.70
79,2019-09-02,9.63
80,2019-09-03,9.63
81,2019-09-04,9.72
82,2019-09-05,9.73
83,2019-09-08,9.68
84,2019-09-09,9.56
85,2019-09-10,9.60
86,2019-09-11,9.62
87,2019-09-12,9.55
88,2019-09-15,9.46
89,2019-09-16,9.39
90,2019-09-17,9.39
91,2019-09-18,9.38
92,2019-09-19,9.42
93,2019-09-22,9.39
94,2019-09-23,9.33
95,2019-09-24,9.37
96,2019-09-25,9.27
97,2019-09-26,9.36
98,2019-09-29,9.34
99,2019-09-30,9.34
100,2019-10-01,9.33
101,2019-10-02,9.38
102,2019-10-03,9.39
103,2019-10-10,9.39
104,2019-10-14,9.40
105,2019-10-15,9.40
106,2019-10-16,9.41
107,2019-10-17,9.51
108,2019-10-20,9.20
109,2019-10-21,9.23
110,2019-10-22,9.21
111,2019-10-23,9.31
112,2019-10-24,9.34
113,2019-10-31,9.10
114,2019-11-03,9.11
115,2019-11-04,9.17
116,2019-11-05,9.34
117,2019-11-06,9.36
118,2019-11-10,9.29
119,2019-11-07,9.40
120,2019-11-11,9.30
121,2019-11-12,9.27
122,2019-11-13,9.16
123,2019-11-14,9.31
124,2019-11-17,9.24
125,2019-11-18,9.20
126,2019-11-19,9.22
127,2019-11-20,9.17
128,2019-11-21,9.18
129,2019-11-24,9.08
130,2019-11-25,9.03
131,2019-11-27,9.25
132,2019-11-28,9.11
133,2019-11-26,9.00
134,2019-12-01,9.03
135,2019-12-02,8.95
136,2019-12-03,9.03
137,2019-12-04,9.12
138,2019-12-05,9.23
139,2019-12-08,9.22
140,2019-12-09,9.22
141,2019-12-10,9.23
142,2019-12-11,9.25
143,2019-12-12,9.33
144,2019-12-15,9.28
145,2019-12-16,9.25
146,2019-12-17,9.27
147,2019-12-18,9.26
148,2019-12-19,9.31
149,2019-12-22,9.36
150,2019-12-22,9.36
151,2019-12-23,9.28
152,2019-12-24,9.28
153,2019-12-25,9.29
154,2019-12-26,9.26
155,2019-12-29,9.09
156,2019-12-30,9.22
157,2019-12-31,9.20
158,2020-01-01,9.30
159,2020-01-02,9.28
160,2020-01-05,9.30
161,2020-01-06,9.45
162,2020-01-07,9.46
163,2020-01-08,9.55
164,2020-01-09,9.48
165,2020-01-12,9.72
166,2020-01-13,9.75
167,2020-01-14,9.68
168,2020-01-15,9.74
169,2020-01-16,10.05
170,2020-01-19,10.60
171,2020-01-20,10.42
172,2020-01-21,10.27
173,2020-01-22,10.21
174,2020-01-23,10.19
175,2020-01-26,10.13
176,2020-01-27,10.16
177,2020-01-28,10.26
178,2020-01-29,10.12
179,2020-01-30,10.15
180,2020-02-02,10.23
181,2020-02-03,10.29
182,2020-02-04,10.15
183,2020-02-05,10.01
184,2020-02-06,9.99
185,2020-02-09,9.93
186,2020-02-10,9.93
187,2020-02-11,10.09
188,2020-02-12,10.12
189,2020-02-13,10.07
190,2020-02-16,10.01
191,2020-02-17,10.11
192,2020-02-18,10.30
193,2020-02-19,10.30
194,2020-02-20,10.26
195,2020-02-23,10.54
196,2020-02-24,10.50
197,2020-02-25,10.59
198,2020-02-26,10.93
199,2020-02-27,10.76
200,2020-03-01,10.56
201,2020-03-02,10.38
202,2020-03-03,10.64
203,2020-03-04,10.52
204,2020-03-05,10.39
205,2020-03-10,10.35
206,2020-03-11,10.28
207,2020-03-12,10.09
208,2020-03-15,9.78
209,2020-03-16,9.67
210,2020-03-17,9.71
211,2020-03-18,9.68
212,2020-03-19,9.69
213,2020-05-12,9.68
214,2020-06-29,9.63
215,2020-06-30,9.59
216,2020-07-01,9.60
217,2020-07-02,9.61
218,2020-07-05,9.44
219,2020-07-06,9.37
220,2020-07-07,9.54
221,2020-07-08,9.64
222,2020-07-09,9.92
223,2020-07-12,9.91
224,2020-07-13,10.11
225,2020-07-14,10.24
226,2020-07-15,10.45
227,2020-07-16,10.48
228,2020-07-19,10.47
229,2020-07-20,10.49
230,2020-07-21,10.55
231,2020-07-22,10.62
232,2020-07-23,10.59
233,2020-07-26,10.57
234,2020-07-27,10.56
235,2020-07-28,10.70
236,2020-07-29,10.54
237,2020-07-30,10.61
238,2020-08-02,10.54
239,2020-08-03,10.48
240,2020-08-06,10.40
241,2020-08-09,10.61
242,2020-08-10,10.58
243,2020-08-11,10.60
244,2020-08-12,10.70
245,2020-08-13,10.68
246,2020-08-16,10.62
247,2020-08-17,10.63
248,2020-08-18,10.59
249,2020-08-19,10.59
250,2020-08-20,10.58
251,2020-08-23,10.55
252,2020-08-24,10.58
253,2020-08-25,10.57
254,2020-08-26,10.73
255,2020-08-27,10.66
256,2020-08-30,10.63
257,2020-08-31,10.70
258,2020-09-02,10.78
259,2020-09-03,10.84
260,2020-09-06,10.84
261,2020-09-07,10.79
262,2020-09-08,10.80
263,2020-09-09,10.83
264,2020-09-10,10.81
265,2020-09-13,10.73
266,2020-09-14,10.77
267,2020-09-15,10.81
268,2020-09-16,10.86
269,2020-09-17,10.97
270,2020-09-20,10.87
271,2020-09-21,10.76
272,2020-09-22,10.68
273,2020-09-23,10.70
274,2020-09-24,10.69
275,2020-09-27,10.72
276,2020-09-28,10.67
277,2020-09-29,10.69
278,2020-09-30,10.82
279,2020-10-01,10.81
280,2020-10-04,10.46
281,2020-10-05,10.55
282,2020-10-06,10.53
283,2020-10-07,10.58
284,2020-10-08,10.60
285,2020-10-11,10.50
286,2020-10-12,10.47
287,2020-10-13,10.52
288,2020-10-14,10.45
289,2020-10-15,10.46
290,2020-10-18,10.42
291,2020-10-19,10.46
292,2020-10-20,10.57
293,2020-10-21,10.67
294,2020-10-22,10.61
295,2020-10-28,10.73
296,2020-10-29,10.63
297,2020-11-01,10.63
298,2020-11-02,10.64
299,2020-11-03,10.91
300,2020-11-04,10.91
301,2020-11-05,10.89
302,2020-11-08,11.05
303,2020-11-09,11.00
304,2020-11-10,10.98
305,2020-11-11,11.53
306,2020-11-12,11.55
307,2020-11-18,11.70
308,2020-11-19,11.78
309,2020-11-22,11.51
310,2020-11-23,11.34
311,2020-11-24,11.44
312,2020-11-25,11.60
313,2020-11-26,11.67
314,2020-11-29,11.72
315,2020-11-30,11.60
316,2020-12-01,11.42
317,2020-12-02,11.46
318,2020-12-03,11.41
319,2020-12-06,11.21
320,2020-12-07,11.29
321,2020-12-08,11.38
322,2020-12-09,11.22
323,2020-12-10,11.23
324,2020-12-13,11.35
325,2020-12-14,11.50
326,2020-12-15,11.43
327,2020-12-16,11.43
328,2020-12-17,11.37
329,2020-12-20,11.25
330,2020-12-21,11.23
331,2020-12-22,11.31
332,2020-12-23,11.38
333,2020-12-24,11.36
334,2020-12-27,11.31
335,2020-12-28,11.34
336,2020-12-29,11.33
337,2020-12-30,11.51
338,2020-12-31,11.51
339,2021-01-03,11.54
340,2021-01-04,11.54
341,2021-01-05,11.51
342,2021-01-06,11.60
343,2021-01-07,11.61
344,2021-01-10,11.69
345,2021-01-11,11.73
346,2021-01-12,11.83
347,2021-01-13,11.90
348,2021-01-17,11.98
349,2021-01-18,12.24
350,2021-01-19,12.21
351,2021-01-20,12.23
352,2021-01-21,12.17
353,2021-01-24,12.22
354,2021-01-25,12.27
355,2021-01-26,12.24
356,2021-01-27,12.28
357,2021-01-28,12.06
358,2021-01-31,12.01
359,2021-02-01,12.00
360,2021-02-02,12.03
361,2021-02-03,12.08
362,2021-02-04,12.07
363,2021-02-07,12.03
364,2021-02-08,12.15
365,2021-02-09,12.13
366,2021-02-10,12.09
367,2021-02-11,12.12
368,2021-02-14,12.25
369,2021-02-15,12.43
370,2021-02-16,12.54
371,2021-02-17,12.61
372,2021-02-18,12.75
373,2021-02-21,13.57
374,2021-02-22,13.54
375,2021-02-23,13.38
376,2021-02-24,13.52
377,2021-02-25,13.49
378,2021-02-28,13.25
379,2021-03-01,13.28
380,2021-03-02,13.07
381,2021-03-03,12.94
382,2021-03-04,12.97
383,2021-03-07,12.95
384,2021-03-09,12.96
385,2021-03-10,12.93
386,2021-03-14,12.73
387,2021-03-15,12.74
388,2021-03-16,12.73
389,2021-03-17,12.83
390,2021-03-18,12.89
391,2021-03-21,13.05
392,2021-03-22,13.00
393,2021-03-23,13.02
394,2021-03-24,13.27
395,2021-03-25,13.17
396,2021-03-29,13.11
397,2021-03-30,13.29
398,2021-03-31,13.40
399,2021-04-01,13.37
400,2021-04-04,13.26
401,2021-04-05,13.31
402,2021-04-06,13.33
403,2021-04-07,13.37
404,2021-04-08,13.39
405,2021-04-12,13.41
406,2021-04-13,13.47
407,2021-04-15,13.52
408,2021-04-18,13.58
409,2021-04-19,13.50
410,2021-04-20,13.46
411,2021-04-21,13.47
412,2021-04-22,13.41
413,2021-04-25,13.32
414,2021-04-26,13.21
415,2021-04-27,13.39
416,2021-04-28,13.38
417,2021-04-29,13.40
418,2021-05-02,13.44
419,2021-05-03,13.44
420,2021-05-04,13.45
421,2021-05-05,13.44
422,2021-05-06,13.36
423,2021-05-09,13.34
424,2021-05-10,13.39
425,2021-05-11,13.42
426,2021-05-12,13.48
427,2021-05-13,13.57
428,2021-05-16,13.61
429,2021-05-17,13.70
430,2021-05-18,13.75
431,2021-05-19,13.83
432,2021-05-20,13.83
433,2021-05-23,13.93
434,2021-05-24,14.02
435,2021-05-25,14.04
436,2021-05-27,14.13
437,2021-05-30,14.67
438,2021-05-31,14.71
439,2021-06-01,14.70
440,2021-06-02,14.71
441,2021-06-03,14.91
442,2021-06-06,15.15
443,2021-06-07,15.25
444,2021-06-08,15.59
445,2021-06-09,15.60
446,2021-06-10,15.72
447,2021-06-13,15.62
448,2021-06-14,15.61
449,2021-06-15,15.66
450,2021-06-16,15.63
451,2021-06-17,15.60
452,2021-06-20,15.40
453,2021-06-21,15.19
454,2021-06-22,15.40
455,2021-06-23,15.26
456,2021-06-24,15.30
457,2021-06-27,15.38
458,2021-06-28,15.40
459,2021-06-29,15.33
