,Date(AD),Index
0,2016-11-03,"1,762.21"
1,2016-10-19,"1,787.89"
2,2016-10-06,"1,819.88"
3,2016-10-20,"1,794.47"
4,2016-10-03,"1,780.40"
5,2016-10-04,"1,798.50"
6,2016-10-23,"1,782.39"
7,2016-10-24,"1,768.89"
8,2016-10-25,"1,751.00"
9,2016-10-27,"1,759.71"
10,2016-10-02,"1,763.78"
11,2016-10-16,"1,803.74"
12,2016-10-17,"1,793.36"
13,2016-10-26,"1,753.46"
14,2016-09-01,"1,805.18"
15,2016-09-04,"1,819.83"
16,2016-09-05,"1,838.90"
17,2016-09-06,"1,834.80"
18,2016-09-07,"1,824.83"
19,2016-09-08,"1,823.05"
20,2016-09-11,"1,816.81"
21,2016-09-12,"1,818.69"
22,2016-09-18,"1,804.48"
23,2016-09-18,"1,804.48"
24,2016-09-20,"1,786.50"
25,2016-09-21,"1,779.13"
26,2016-09-21,"1,779.13"
27,2016-09-22,"1,766.91"
28,2016-09-25,"1,730.64"
29,2016-09-28,"1,749.10"
30,2016-09-29,"1,753.38"
31,2016-11-07,"1,749.12"
32,2016-06-06,"1,516.80"
33,2016-06-07,"1,531.49"
34,2016-06-08,"1,546.80"
35,2016-11-08,"1,724.49"
36,2016-06-12,"1,597.96"
37,2016-06-13,"1,609.59"
38,2016-06-19,"1,622.27"
39,2016-06-20,"1,615.10"
40,2016-06-22,"1,647.51"
41,2016-06-26,"1,685.17"
42,2016-06-27,"1,721.77"
43,2016-06-28,"1,724.19"
44,2016-06-29,"1,724.59"
45,2016-06-30,"1,723.23"
46,2016-07-03,"1,719.20"
47,2016-07-04,"1,716.83"
48,2016-07-05,"1,713.03"
49,2016-07-06,"1,715.72"
50,2016-07-11,"1,702.27"
51,2016-07-12,"1,693.07"
52,2016-07-13,"1,690.43"
53,2016-07-14,"1,718.15"
54,2016-07-17,"1,745.74"
55,2016-11-09,"1,696.86"
56,2016-07-18,"1,786.57"
57,2016-07-19,"1,800.47"
58,2016-07-20,"1,786.84"
59,2016-07-21,"1,798.83"
60,2016-07-21,"1,798.83"
61,2016-07-26,"1,866.50"
62,2016-07-27,"1,881.45"
63,2016-07-28,"1,877.93"
64,2016-07-31,"1,862.76"
65,2016-08-14,"1,733.93"
66,2016-08-01,"1,845.41"
67,2016-08-02,"1,826.47"
68,2016-08-03,"1,813.72"
69,2016-08-07,"1,764.72"
70,2016-08-08,"1,675.91"
71,2016-08-08,"1,675.91"
72,2016-11-10,"1,697.17"
73,2016-08-09,"1,760.42"
74,2016-08-10,"1,779.57"
75,2016-08-11,"1,774.87"
76,2016-08-16,"1,717.45"
77,2016-08-17,"1,735.06"
78,2016-08-22,"1,683.12"
79,2016-08-23,"1,681.86"
80,2016-08-24,"1,730.62"
81,2016-08-28,"1,748.23"
82,2016-08-28,"1,748.23"
83,2016-08-29,"1,766.54"
