,Date(AD),Index
0,2018-07-17,"6,111.78"
1,2018-07-18,"6,050.17"
2,2018-07-19,"5,969.35"
3,2018-07-22,"5,858.75"
4,2018-07-23,"5,992.26"
5,2018-07-24,"6,012.15"
6,2018-07-25,"5,931.93"
7,2018-07-26,"5,904.76"
8,2018-07-29,"5,914.68"
9,2018-07-30,"5,899.96"
10,2018-07-31,"5,875.01"
11,2018-08-01,"5,907.42"
12,2018-08-02,"5,850.05"
13,2018-08-05,"5,819.13"
14,2018-08-06,"5,819.04"
15,2018-08-07,"5,830.09"
16,2018-08-08,"5,825.88"
17,2018-08-09,"5,755.81"
18,2018-08-12,"5,650.07"
19,2018-08-13,"5,725.62"
20,2018-08-14,"5,775.63"
21,2018-08-15,"5,981.27"
22,2018-08-16,"5,960.50"
23,2018-08-19,"5,857.24"
24,2018-08-20,"5,797.50"
25,2018-08-21,"5,801.97"
26,2018-08-22,"5,794.18"
27,2018-08-23,"5,766.63"
28,2018-08-26,"5,724.15"
29,2018-08-28,"5,730.09"
30,2018-08-29,"5,701.69"
31,2018-08-30,"5,764.15"
32,2018-09-02,"5,793.58"
33,2018-09-03,"5,890.24"
34,2018-09-04,"5,892.54"
35,2018-09-05,"6,055.21"
36,2018-09-06,"5,971.14"
37,2018-09-09,"5,885.20"
38,2018-09-10,"5,826.61"
39,2018-09-11,"5,761.33"
40,2018-09-12,"5,874.85"
41,2018-09-13,"5,833.44"
42,2018-09-16,"5,853.62"
43,2018-09-17,"6,057.08"
44,2018-09-18,"6,131.03"
45,2018-09-20,"6,023.55"
46,2018-09-23,"5,960.92"
47,2018-09-25,"6,024.30"
48,2018-09-26,"6,001.30"
49,2018-09-27,"5,934.28"
50,2018-09-30,"5,876.00"
51,2018-10-01,"5,804.27"
52,2018-10-02,"5,816.42"
53,2018-10-03,"5,765.04"
54,2018-10-04,"5,750.74"
55,2018-10-07,"5,648.49"
56,2018-10-08,"5,678.99"
57,2018-10-09,"5,641.35"
58,2018-10-10,"5,636.26"
59,2018-10-11,"5,685.69"
60,2018-10-14,"5,773.30"
61,2018-10-14,"5,773.30"
62,2018-10-14,"5,773.30"
63,2018-10-15,"5,784.85"
64,2018-10-21,"5,782.97"
65,2018-10-22,"5,754.22"
66,2018-10-23,"5,682.75"
67,2018-10-24,"5,746.43"
68,2018-10-25,"5,706.19"
69,2018-10-28,"5,626.46"
70,2018-10-29,"5,550.79"
71,2018-10-30,"5,573.78"
72,2018-10-31,"5,603.81"
73,2018-11-01,"5,611.66"
74,2018-11-04,"5,546.27"
75,2018-11-05,"5,633.72"
76,2018-11-06,"5,618.05"
77,2018-11-11,"5,574.99"
78,2018-11-12,"5,487.31"
79,2018-11-13,"5,567.10"
80,2018-11-14,"5,567.10"
81,2018-11-15,"5,574.51"
82,2018-11-18,"5,550.30"
83,2018-11-19,"5,550.89"
84,2018-11-20,"5,488.86"
85,2018-11-21,"5,481.54"
86,2018-11-22,"5,482.15"
87,2018-11-25,"5,386.87"
88,2018-11-26,"5,298.76"
89,2018-11-27,"5,271.51"
90,2018-11-28,"5,249.08"
91,2018-11-29,"5,131.25"
92,2018-12-02,"4,991.85"
93,2018-12-03,"5,083.94"
94,2018-12-04,"5,099.06"
95,2018-12-05,"4,913.07"
96,2018-12-06,"4,948.66"
97,2018-12-09,"4,988.55"
98,2018-12-10,"5,060.60"
99,2018-12-11,"5,031.71"
100,2018-12-12,"5,021.02"
101,2018-12-13,"5,086.80"
102,2018-12-16,"5,254.00"
103,2018-12-17,"5,470.72"
104,2018-12-18,"5,278.40"
105,2018-12-19,"5,296.09"
106,2018-12-20,"5,326.58"
107,2018-12-23,"5,644.60"
108,2018-12-24,"5,624.13"
109,2018-12-25,"5,599.77"
110,2018-12-26,"5,844.82"
111,2018-12-27,"5,796.15"
112,2018-12-30,"5,825.96"
113,2018-12-31,"5,708.31"
114,2019-01-01,"5,675.45"
115,2019-01-02,"5,668.55"
116,2019-01-03,"5,683.57"
117,2019-01-06,"5,604.49"
118,2019-01-07,"5,687.37"
119,2019-01-08,"5,649.24"
120,2019-01-09,"5,655.54"
121,2019-01-10,"5,677.71"
122,2019-01-13,"5,606.44"
123,2019-01-15,"5,858.61"
124,2019-01-16,"5,746.43"
125,2019-01-17,"5,684.07"
126,2019-01-14,"5,625.69"
127,2019-01-20,"5,646.40"
128,2019-01-21,"5,602.15"
129,2019-01-22,"5,607.82"
130,2019-01-23,"5,665.89"
131,2019-01-24,"5,683.16"
132,2019-01-27,"5,580.80"
133,2019-01-28,"5,661.81"
134,2019-01-29,"5,601.57"
135,2019-01-30,"5,593.13"
136,2019-01-31,"5,582.02"
137,2019-02-03,"5,545.71"
138,2019-02-04,"5,525.46"
139,2019-02-05,"5,537.89"
140,2019-02-06,"5,510.35"
141,2019-02-07,"5,487.87"
142,2019-02-10,"5,377.79"
143,2019-02-11,"5,388.00"
144,2019-02-12,"5,402.45"
145,2019-02-13,"5,375.73"
146,2019-02-14,"5,305.56"
147,2019-02-17,"5,296.51"
148,2019-02-18,"5,283.63"
149,2019-02-19,"5,430.95"
150,2019-02-20,"5,332.10"
151,2019-02-21,"5,342.14"
152,2019-02-24,"5,272.94"
153,2019-02-25,"5,345.11"
154,2019-02-26,"5,300.09"
155,2019-02-27,"5,317.12"
156,2019-03-03,"5,289.40"
157,2019-03-05,"5,292.42"
158,2019-03-06,"5,359.98"
159,2019-03-07,"5,465.21"
160,2019-03-10,"5,463.51"
161,2019-03-11,"5,540.55"
162,2019-03-12,"5,570.47"
163,2019-03-13,"5,481.42"
164,2019-03-14,"5,503.49"
165,2019-03-17,"5,507.49"
