,Date(AD),Index
0,2016-11-03,754.27
1,2016-10-19,773.07
2,2016-10-06,780.88
3,2016-10-20,774.51
4,2016-10-03,775.09
5,2016-10-04,769.60
6,2016-10-23,765.26
7,2016-10-24,761.21
8,2016-10-25,761.21
9,2016-10-27,764.10
10,2016-10-02,776.83
11,2016-10-16,769.02
12,2016-10-17,769.89
13,2016-10-26,762.37
14,2016-09-01,787.53
15,2016-09-04,784.64
16,2016-09-05,794.76
17,2016-09-06,792.44
18,2016-09-07,793.02
19,2016-09-08,785.21
20,2016-09-11,788.40
21,2016-09-12,788.40
22,2016-09-18,782.90
23,2016-09-18,782.90
24,2016-09-20,772.49
25,2016-09-21,772.78
26,2016-09-21,772.78
27,2016-09-22,777.41
28,2016-09-25,766.71
29,2016-09-28,772.78
30,2016-09-29,770.47
31,2016-11-07,752.83
32,2016-06-06,775.38
33,2016-06-07,781.26
34,2016-06-08,781.26
35,2016-11-08,751.67
36,2016-06-12,787.13
37,2016-06-13,784.78
38,2016-06-19,793.00
39,2016-06-20,793.00
40,2016-06-22,790.65
41,2016-06-26,791.83
42,2016-06-27,793.00
43,2016-06-28,797.70
44,2016-06-29,800.05
45,2016-06-30,803.58
46,2016-07-03,808.27
47,2016-07-04,805.93
48,2016-07-05,811.80
49,2016-07-06,812.97
50,2016-07-11,774.21
51,2016-07-12,794.18
52,2016-07-13,816.16
53,2016-07-14,848.26
54,2016-07-17,873.12
55,2016-11-09,740.39
56,2016-07-18,861.85
57,2016-07-19,844.78
58,2016-07-20,829.17
59,2016-07-21,834.95
60,2016-07-21,834.95
61,2016-07-26,844.78
62,2016-07-27,837.56
63,2016-07-28,833.22
64,2016-07-31,834.37
65,2016-08-14,795.05
66,2016-08-01,827.72
67,2016-08-02,826.86
68,2016-08-03,823.10
69,2016-08-07,828.59
70,2016-08-08,796.49
71,2016-08-08,796.49
72,2016-11-10,748.78
73,2016-08-09,811.53
74,2016-08-10,816.73
75,2016-08-11,815.58
76,2016-08-16,792.44
77,2016-08-17,798.81
78,2016-08-22,773.36
79,2016-08-23,770.18
80,2016-08-24,779.43
81,2016-08-28,781.46
82,2016-08-28,781.46
83,2016-08-29,782.90
84,2016-08-30,786.66
85,2016-08-31,791.00
86,2016-11-13,749.36
87,2016-11-14,747.91
88,2016-11-15,756.87
89,2016-11-16,758.03
90,2016-11-17,747.33
91,2016-11-20,742.99
92,2016-11-21,763.24
93,2016-11-22,753.40
94,2016-11-23,739.52
95,2016-11-24,753.40
96,2016-11-27,734.32
97,2016-11-28,742.99
98,2016-11-29,744.73
99,2016-11-30,751.09
100,2016-12-01,753.12
101,2016-12-04,740.97
102,2016-12-05,739.24
103,2016-12-06,739.81
104,2016-12-07,742.13
105,2016-12-08,735.19
106,2015-01-01,709.61
107,2015-01-04,708.43
108,2015-01-05,707.26
109,2015-01-06,708.43
110,2015-01-07,716.65
111,2015-01-08,719.00
112,2015-01-11,710.78
113,2015-01-12,722.53
114,2015-01-13,728.40
115,2015-01-14,734.27
116,2015-01-18,746.02
117,2015-01-19,760.11
118,2015-01-20,747.19
119,2015-01-22,746.02
120,2015-01-25,751.89
121,2015-01-26,731.92
122,2015-01-27,737.80
123,2015-01-28,740.15
124,2015-01-29,740.15
125,2015-02-01,748.37
126,2015-02-02,753.07
127,2015-02-03,760.11
128,2015-02-04,751.89
129,2015-02-05,761.29
130,2015-02-08,761.29
131,2015-02-09,736.62
132,2015-02-10,746.02
133,2015-02-11,736.62
134,2015-02-12,741.32
135,2015-02-15,746.02
136,2015-02-16,746.02
137,2015-02-18,746.02
138,2015-02-22,742.50
139,2015-02-23,743.67
140,2015-02-24,740.15
141,2015-02-25,737.80
142,2015-02-26,760.11
143,2015-03-01,746.02
144,2015-03-02,744.84
145,2015-03-03,746.02
146,2015-03-04,747.19
147,2015-03-09,748.37
148,2015-03-10,751.89
