,Date(AD),Index
0,2016-11-03,114.17
1,2016-10-19,115.54
2,2016-10-06,117.77
3,2016-10-20,116.34
4,2016-10-03,114.95
5,2016-10-04,116.14
6,2016-10-23,115.63
7,2016-10-24,114.62
8,2016-10-25,113.34
9,2016-10-27,113.97
10,2016-10-02,113.70
11,2016-10-16,116.80
12,2016-10-17,115.97
13,2016-10-26,113.43
14,2016-09-01,116.19
15,2016-09-04,117.54
16,2016-09-05,118.82
17,2016-09-06,118.60
18,2016-09-07,117.85
19,2016-09-08,117.81
20,2016-09-11,117.34
21,2016-09-12,117.51
22,2016-09-18,116.37
23,2016-09-18,116.37
24,2016-09-20,115.09
25,2016-09-21,114.59
26,2016-09-21,114.59
27,2016-09-22,113.68
28,2016-09-25,111.29
29,2016-09-28,112.52
30,2016-09-29,112.93
31,2016-11-07,113.28
32,2016-06-06,93.74
33,2016-06-07,94.90
34,2016-06-08,95.81
35,2016-11-08,111.56
36,2016-06-12,98.79
37,2016-06-13,99.54
38,2016-06-19,99.84
39,2016-06-20,99.49
40,2016-06-22,101.54
41,2016-06-26,104.09
42,2016-06-27,106.56
43,2016-06-28,107.07
44,2016-06-29,107.02
45,2016-06-30,106.85
46,2016-07-03,106.53
47,2016-07-04,106.36
48,2016-07-05,106.08
49,2016-07-06,106.28
50,2016-07-11,105.76
51,2016-07-12,105.11
52,2016-07-13,104.79
53,2016-07-14,106.43
54,2016-07-17,108.50
55,2016-11-09,109.68
56,2016-07-18,111.46
57,2016-07-19,112.88
58,2016-07-20,112.29
59,2016-07-21,112.98
60,2016-07-21,112.98
61,2016-07-26,118.38
62,2016-07-27,119.33
63,2016-07-28,119.00
64,2016-07-31,117.80
65,2016-08-14,109.91
66,2016-08-01,116.70
67,2016-08-02,115.39
68,2016-08-03,114.76
69,2016-08-07,111.52
70,2016-08-08,105.55
71,2016-08-08,105.55
72,2016-11-10,109.71
73,2016-08-09,111.56
74,2016-08-10,112.83
75,2016-08-11,112.48
76,2016-08-16,108.99
77,2016-08-17,110.01
78,2016-08-22,106.76
79,2016-08-23,106.69
80,2016-08-24,110.62
81,2016-08-28,111.91
82,2016-08-28,111.91
83,2016-08-29,113.31
84,2016-08-30,114.96
85,2016-08-31,115.59
86,2016-11-13,109.80
87,2016-11-14,110.32
88,2016-11-15,110.00
89,2016-11-16,109.76
90,2016-11-17,106.85
91,2016-11-20,102.73
92,2016-11-21,103.05
93,2016-11-22,101.43
94,2016-11-23,98.61
95,2016-11-24,98.13
96,2016-11-27,93.87
97,2016-11-28,96.95
98,2016-11-29,100.16
99,2016-11-30,104.97
100,2016-12-01,104.40
101,2016-12-04,102.27
102,2016-12-05,100.40
103,2016-12-06,101.06
104,2016-12-07,101.09
105,2016-12-08,100.52
106,2015-01-01,53.00
107,2015-01-04,54.00
108,2015-01-05,54.00
109,2015-01-06,54.00
110,2015-01-07,54.00
111,2015-01-08,54.00
112,2015-01-11,54.00
113,2015-01-12,54.00
114,2015-01-13,54.00
115,2015-01-14,54.00
116,2015-01-18,55.00
