,Date(AD),Index
0,2016-11-03,381.67
1,2016-10-19,387.81
2,2016-10-06,395.13
3,2016-10-20,389.24
4,2016-10-03,386.39
5,2016-10-04,390.19
6,2016-10-23,386.38
7,2016-10-24,383.27
8,2016-10-25,379.04
9,2016-10-27,381.15
10,2016-10-02,382.73
11,2016-10-16,391.40
12,2016-10-17,388.82
13,2016-10-26,379.75
14,2016-09-01,391.48
15,2016-09-04,395.18
16,2016-09-05,399.58
17,2016-09-06,398.70
18,2016-09-07,396.19
19,2016-09-08,395.57
20,2016-09-11,394.15
21,2016-09-12,394.55
22,2016-09-18,391.36
23,2016-09-18,391.36
24,2016-09-20,387.37
25,2016-09-21,385.63
26,2016-09-21,385.63
27,2016-09-22,382.83
28,2016-09-25,375.04
29,2016-09-28,379.26
30,2016-09-29,380.26
31,2016-11-07,378.69
32,2016-06-06,327.86
33,2016-06-07,331.20
34,2016-06-08,334.48
35,2016-11-08,372.91
36,2016-06-12,345.95
37,2016-06-13,348.42
38,2016-06-19,349.99
39,2016-06-20,348.42
40,2016-06-22,355.10
41,2016-06-26,363.99
42,2016-06-27,372.59
43,2016-06-28,373.05
44,2016-06-29,372.60
45,2016-06-30,372.26
46,2016-07-03,371.06
47,2016-07-04,370.53
48,2016-07-05,369.36
49,2016-07-06,370.01
50,2016-07-11,366.97
51,2016-07-12,364.98
52,2016-07-13,363.73
53,2016-07-14,369.07
54,2016-07-17,374.85
55,2016-11-09,366.96
56,2016-07-18,384.52
57,2016-07-19,388.10
58,2016-07-20,385.48
59,2016-07-21,387.65
60,2016-07-21,387.65
61,2016-07-26,402.14
62,2016-07-27,405.23
63,2016-07-28,404.54
64,2016-07-31,401.05
65,2016-08-14,374.34
66,2016-08-01,397.43
67,2016-08-02,393.36
68,2016-08-03,390.75
69,2016-08-07,380.19
70,2016-08-08,360.74
71,2016-08-08,360.74
72,2016-11-10,367.02
73,2016-08-09,379.44
74,2016-08-10,383.83
75,2016-08-11,382.78
76,2016-08-16,370.94
77,2016-08-17,374.61
78,2016-08-22,363.76
79,2016-08-23,363.56
80,2016-08-24,374.25
81,2016-08-28,378.12
82,2016-08-28,378.12
83,2016-08-29,382.21
84,2016-08-30,387.08
85,2016-08-31,389.56
86,2016-11-13,367.73
87,2016-11-14,369.12
88,2016-11-15,368.28
89,2016-11-16,367.72
90,2016-11-17,358.59
91,2016-11-20,345.35
92,2016-11-21,346.97
93,2016-11-22,341.69
94,2016-11-23,332.35
95,2016-11-24,331.17
96,2016-11-27,316.85
97,2016-11-28,326.14
98,2016-11-29,335.98
99,2016-11-30,348.32
100,2016-12-01,346.44
101,2016-12-04,339.80
102,2016-12-05,333.96
103,2016-12-06,336.34
104,2016-12-07,336.23
105,2016-12-08,334.43
106,2015-01-01,194.00
107,2015-01-04,196.00
108,2015-01-05,197.00
109,2015-01-06,196.00
110,2015-01-07,198.00
111,2015-01-08,199.00
112,2015-01-11,198.00
113,2015-01-12,198.00
114,2015-01-13,200.00
115,2015-01-14,200.00
116,2015-01-18,201.00
117,2015-01-19,208.00
118,2015-01-20,205.00
119,2015-01-22,205.00
120,2015-01-25,207.00
121,2015-01-26,207.00
122,2015-01-27,208.00
123,2015-01-28,211.00
124,2015-01-29,211.00
125,2015-02-01,212.00
126,2015-02-02,212.00
127,2015-02-03,211.00
128,2015-02-04,211.00
129,2015-02-05,210.00
130,2015-02-08,210.00
131,2015-02-09,209.00
132,2015-02-10,209.00
133,2015-02-11,209.00
134,2015-02-12,210.00
135,2015-02-15,210.00
136,2015-02-16,210.00
137,2015-02-18,209.00
138,2015-02-22,206.00
139,2015-02-23,207.00
140,2015-02-24,206.00
141,2015-02-25,206.00
142,2015-02-26,207.00
143,2015-03-01,207.00
144,2015-03-02,209.00
145,2015-03-03,208.00
146,2015-03-04,209.00
147,2015-03-09,210.00
148,2015-03-10,209.00
149,2015-03-11,209.00
150,2015-03-12,208.00
151,2015-03-15,207.00
152,2015-03-16,204.00
153,2015-03-17,205.00
154,2015-03-18,205.00
155,2015-03-19,206.00
156,2015-03-22,205.00
157,2015-03-23,204.00
158,2015-03-24,203.00
159,2015-03-25,202.00
160,2015-03-26,200.00
161,2015-03-29,200.00
162,2015-03-30,200.00
163,2015-03-31,201.00
164,2015-04-01,200.00
165,2015-04-02,200.00
166,2015-04-05,199.00
167,2015-04-06,200.00
168,2015-04-07,199.00
169,2015-04-08,201.00
170,2015-04-09,202.00
171,2015-04-12,203.00
172,2015-04-13,202.00
173,2015-04-15,202.00
174,2015-04-16,203.00
175,2015-04-19,202.00
176,2015-04-20,202.00
177,2015-04-21,202.00
178,2015-04-22,202.00
179,2015-04-23,201.00
180,2015-05-24,196.00
181,2015-05-25,189.00
182,2015-05-26,184.00
183,2015-05-27,179.00
184,2015-05-28,180.00
185,2015-05-31,187.00
186,2015-06-01,191.00
187,2015-06-02,193.00
188,2015-06-03,198.00
189,2015-06-04,198.00
190,2015-06-07,199.00
191,2015-06-08,202.00
192,2015-06-09,207.00
193,2015-06-10,205.00
194,2015-06-11,201.00
195,2015-06-14,199.00
196,2015-06-15,200.00
197,2015-06-16,199.00
198,2015-06-17,198.00
199,2015-06-18,198.00
200,2015-06-21,196.00
201,2015-06-22,197.00
202,2015-06-23,198.00
203,2015-06-24,198.00
204,2015-06-25,199.00
205,2015-06-28,200.00
206,2015-06-29,202.00
207,2015-06-30,202.00
208,2015-07-01,201.00
209,2015-07-02,200.00
210,2015-07-05,200.00
211,2015-07-06,199.00
212,2015-07-07,200.00
213,2015-07-08,201.00
214,2015-07-09,201.00
215,2015-07-12,201.00
216,2015-07-13,201.00
217,2015-07-14,201.00
218,2015-07-15,202.00
219,2015-07-16,205.00
220,2015-07-22,205.00
221,2015-07-23,214.00
222,2015-07-26,225.00
223,2015-07-27,225.00
224,2015-07-28,221.00
225,2015-07-29,219.00
226,2015-07-30,221.00
227,2015-08-02,223.00
228,2015-08-03,222.00
229,2015-08-04,221.00
230,2015-08-05,222.00
231,2015-08-06,223.00
232,2015-08-09,229.00
233,2015-08-10,233.00
234,2015-08-11,232.00
235,2015-08-12,232.00
236,2015-08-13,235.00
237,2015-08-16,241.00
238,2015-08-17,252.00
239,2015-08-18,253.00
240,2015-08-19,260.00
241,2015-08-20,262.00
242,2015-08-23,258.00
243,2015-08-24,257.00
244,2015-08-25,257.00
245,2015-08-26,255.00
246,2015-08-27,256.00
247,2015-08-31,258.00
248,2015-09-01,256.00
249,2015-09-02,253.00
250,2015-09-03,252.00
251,2015-09-06,251.00
252,2015-09-07,252.00
253,2015-09-08,253.00
254,2015-09-09,253.00
255,2015-09-10,252.00
256,2015-09-13,256.00
257,2015-09-14,258.00
258,2015-09-15,260.67
259,2015-09-16,259.98
260,2015-09-17,258.50
261,2015-09-22,249.54
262,2015-09-23,255.84
263,2015-09-24,254.46
264,2015-09-28,250.89
265,2015-09-29,253.02
266,2015-09-30,255.95
267,2015-10-01,255.62
268,2015-10-04,256.58
269,2015-10-05,253.80
270,2015-10-06,250.90
271,2015-10-07,249.02
272,2015-10-08,251.64
273,2015-10-11,247.53
274,2015-10-14,245.75
275,2015-10-15,245.57
276,2015-10-18,241.97
277,2015-10-19,243.71
278,2015-10-25,242.23
279,2015-10-27,235.54
280,2015-10-28,233.89
281,2015-10-29,235.83
282,2015-11-01,235.22
283,2015-11-02,235.89
284,2015-11-03,234.74
285,2015-11-04,235.98
286,2015-11-05,235.78
287,2015-11-08,234.99
288,2015-11-09,239.44
289,2015-11-10,239.60
290,2015-11-15,237.34
291,2015-11-16,236.16
292,2015-11-18,237.41
293,2015-11-19,236.26
294,2015-11-22,231.29
295,2015-11-23,232.50
296,2015-11-24,230.24
297,2015-11-25,227.91
298,2015-11-26,225.37
299,2015-11-29,220.74
300,2015-11-30,223.27
301,2015-12-01,230.27
302,2015-12-02,229.46
303,2015-12-03,231.74
304,2015-12-06,238.30
305,2015-12-07,239.33
306,2015-12-08,239.04
307,2015-12-09,242.47
308,2015-12-10,241.43
309,2015-12-13,241.00
310,2015-12-14,240.55
311,2015-12-15,239.72
312,2015-12-16,238.51
313,2015-12-17,237.94
314,2015-12-20,240.38
315,2015-12-21,243.17
316,2015-12-22,244.39
317,2015-12-23,243.29
318,2015-12-24,243.96
319,2015-12-27,243.43
320,2015-12-28,242.79
321,2015-12-29,244.82
322,2015-12-31,246.54
323,2016-01-03,247.85
324,2016-01-04,246.44
325,2016-01-05,245.62
326,2016-01-06,246.60
327,2016-01-07,250.02
328,2016-01-10,250.78
329,2016-01-11,251.13
330,2016-01-12,252.19
331,2016-01-13,254.11
332,2016-01-14,255.83
333,2016-01-18,261.10
334,2016-01-19,260.93
335,2016-01-20,261.18
336,2016-01-21,260.75
337,2016-01-24,262.24
338,2016-01-25,262.94
339,2016-01-26,262.05
340,2016-01-27,261.70
341,2016-01-28,261.58
342,2016-01-31,262.63
343,2016-02-01,266.86
344,2016-02-02,267.40
345,2016-02-03,267.59
346,2016-02-04,269.52
347,2016-02-07,272.26
348,2016-02-08,272.35
349,2016-02-11,272.45
350,2016-02-14,271.71
351,2016-02-15,271.56
352,2016-02-16,271.19
353,2016-02-17,273.17
354,2016-02-18,274.85
355,2016-02-21,276.22
356,2016-02-22,279.37
357,2016-02-23,278.09
358,2016-02-24,276.82
359,2016-02-25,277.51
360,2016-02-28,277.64
361,2016-02-29,277.55
362,2016-03-01,278.69
363,2016-03-02,279.79
364,2016-03-03,280.74
365,2016-03-06,281.65
366,2016-03-10,283.60
367,2016-03-13,283.86
368,2016-03-14,282.28
369,2016-03-15,282.37
370,2016-03-16,282.99
371,2016-03-17,285.23
372,2016-03-20,289.04
373,2016-03-21,288.57
374,2016-03-23,289.56
375,2016-03-24,292.48
376,2016-03-27,297.30
377,2016-03-28,296.74
378,2016-03-29,295.65
379,2016-03-30,293.89
380,2016-03-31,292.22
381,2016-04-03,291.46
382,2016-04-04,294.03
383,2016-04-05,297.00
384,2016-04-06,297.38
385,2016-04-10,298.64
386,2016-04-11,298.94
387,2016-04-12,299.92
388,2016-04-14,303.72
389,2016-04-17,304.51
390,2016-04-18,309.00
391,2016-04-19,309.53
392,2016-04-20,311.91
