,Date(AD),Index
0,2016-11-03,202.79
1,2016-10-19,202.79
2,2016-10-06,202.79
3,2016-10-20,202.79
4,2016-10-03,202.79
5,2016-10-04,202.79
6,2016-10-23,202.79
7,2016-10-24,202.79
8,2016-10-25,202.79
9,2016-10-27,202.79
10,2016-10-02,202.79
11,2016-10-16,202.79
12,2016-10-17,202.79
13,2016-10-26,202.79
14,2016-09-01,202.79
15,2016-09-04,202.79
16,2016-09-05,202.79
17,2016-09-06,202.79
18,2016-09-07,202.79
19,2016-09-08,202.79
20,2016-09-11,202.79
21,2016-09-12,202.79
22,2016-09-18,202.79
23,2016-09-18,202.79
24,2016-09-20,202.79
25,2016-09-21,202.79
26,2016-09-21,202.79
27,2016-09-22,202.79
28,2016-09-25,202.79
29,2016-09-28,202.79
30,2016-09-29,202.79
31,2016-11-07,202.79
32,2016-06-06,201.38
33,2016-06-07,201.38
34,2016-06-08,201.38
35,2016-11-08,202.79
36,2016-06-12,201.38
37,2016-06-13,201.38
38,2016-06-19,201.38
39,2016-06-20,201.38
40,2016-06-22,201.38
41,2016-06-26,201.38
42,2016-06-27,201.38
43,2016-06-28,202.79
44,2016-06-29,202.79
45,2016-06-30,202.79
46,2016-07-03,202.79
47,2016-07-04,202.79
48,2016-07-05,202.79
49,2016-07-06,202.79
50,2016-07-11,202.79
51,2016-07-12,202.79
52,2016-07-13,202.79
53,2016-07-14,202.79
54,2016-07-17,202.79
55,2016-11-09,202.79
56,2016-07-18,202.79
57,2016-07-19,202.79
58,2016-07-20,202.79
59,2016-07-21,202.79
60,2016-07-21,202.79
61,2016-07-26,202.79
62,2016-07-27,202.79
63,2016-07-28,202.79
64,2016-07-31,202.79
65,2016-08-14,202.79
66,2016-08-01,202.79
67,2016-08-02,202.79
68,2016-08-03,202.79
69,2016-08-07,202.79
70,2016-08-08,202.79
71,2016-08-08,202.79
72,2016-11-10,202.79
73,2016-08-09,202.79
74,2016-08-10,202.79
75,2016-08-11,202.79
76,2016-08-16,202.79
77,2016-08-17,202.79
78,2016-08-22,202.79
79,2016-08-23,202.79
80,2016-08-24,202.79
81,2016-08-28,202.79
82,2016-08-28,202.79
83,2016-08-29,202.79
84,2016-08-30,202.79
85,2016-08-31,202.79
86,2016-11-13,202.79
87,2016-11-14,202.79
88,2016-11-15,202.79
89,2016-11-16,202.79
90,2016-11-17,202.79
91,2016-11-20,202.79
92,2016-11-21,203.91
93,2016-11-22,203.91
94,2016-11-23,203.91
95,2016-11-24,203.91
96,2016-11-27,203.91
97,2016-11-28,203.91
98,2016-11-29,203.91
99,2016-11-30,203.91
100,2016-12-01,203.91
101,2016-12-04,203.91
102,2016-12-05,203.91
103,2016-12-06,203.91
104,2016-12-07,203.91
105,2016-12-08,203.91
106,2015-01-01,184.32
107,2015-01-05,185.08
108,2015-01-13,183.05
109,2015-02-16,190.23
110,2015-02-18,191.08
111,2015-03-02,195.70
112,2015-03-04,196.93
113,2015-03-30,197.00
114,2015-04-02,193.63
115,2015-04-05,196.93
116,2015-04-06,200.30
117,2015-04-07,200.81
118,2015-04-08,204.27
119,2015-04-09,200.39
120,2015-04-12,207.23
121,2015-04-23,206.74
122,2015-05-25,207.96
123,2015-06-02,216.91
124,2015-06-04,229.83
125,2015-06-07,226.45
126,2015-06-10,222.48
127,2015-06-11,220.54
128,2015-06-16,218.85
129,2015-06-17,220.54
130,2015-06-30,216.74
131,2015-07-05,213.11
132,2015-07-08,213.11
133,2015-07-12,209.48
134,2015-07-15,205.93
135,2015-07-16,202.39
136,2015-07-22,202.88
137,2015-07-30,206.34
138,2015-08-02,212.00
139,2015-08-17,206.51
140,2015-09-03,206.99
141,2015-09-29,207.97
142,2015-12-15,207.97
143,2015-12-27,207.97
144,2016-01-03,211.52
145,2016-01-05,211.43
146,2016-01-06,209.91
147,2016-01-07,198.85
148,2016-01-14,201.38
149,2016-03-03,828.24
150,2016-12-11,203.91
151,2016-12-12,203.91
152,2016-12-14,203.91
153,2016-12-15,203.91
154,2016-12-18,203.91
155,2016-12-19,203.91
156,2016-12-20,203.91
157,2016-12-21,205.03
158,2016-12-22,205.03
159,2016-12-26,205.03
160,2016-12-27,205.03
161,2016-12-28,205.03
162,2016-12-29,205.03
163,2017-01-01,205.03
164,2017-01-02,205.03
165,2017-01-03,205.03
166,2017-01-04,205.03
167,2017-01-05,205.03
168,2017-01-08,205.03
169,2017-01-09,205.03
170,2017-01-10,205.03
171,2017-01-11,205.03
172,2017-01-12,205.03
173,2017-01-15,205.03
174,2017-01-16,205.03
175,2017-01-17,205.03
176,2017-01-18,205.03
177,2017-01-19,206.16
178,2017-01-22,206.16
179,2017-01-23,206.16
180,2017-01-24,206.16
181,2017-01-25,206.16
182,2017-01-26,206.16
183,2017-01-30,206.16
184,2017-01-31,206.16
185,2017-02-01,206.16
186,2017-02-02,206.16
187,2017-02-05,206.16
188,2017-02-06,206.16
189,2017-02-07,206.16
190,2017-02-08,206.16
191,2017-02-09,206.16
192,2017-02-12,206.16
193,2017-02-13,206.16
194,2017-02-14,206.16
195,2017-02-15,206.16
196,2017-02-16,206.16
197,2017-02-19,206.16
198,2017-02-20,206.16
199,2017-02-21,206.16
200,2017-02-22,206.16
201,2017-02-23,206.16
202,2017-02-26,206.16
203,2017-02-28,206.16
204,2017-03-01,206.16
205,2017-03-02,206.16
206,2017-03-05,206.16
207,2017-03-06,206.16
208,2017-03-07,206.16
209,2017-03-09,206.16
210,2017-03-13,206.16
211,2017-03-14,206.16
212,2017-03-15,206.16
213,2017-03-16,206.16
214,2017-03-19,206.16
215,2017-03-20,206.16
216,2017-03-21,206.16
217,2017-03-22,206.16
218,2017-03-23,206.16
219,2017-03-26,206.16
220,2017-03-28,206.16
221,2017-03-29,207.84
222,2017-03-30,207.84
223,2017-04-02,207.84
224,2017-04-03,209.25
225,2017-04-04,209.25
226,2017-04-06,209.25
227,2017-04-09,209.25
228,2017-04-10,209.25
229,2017-04-11,209.25
230,2017-04-12,209.25
231,2017-04-13,209.25
232,2017-04-16,209.25
233,2017-04-18,209.25
234,2017-04-19,209.25
235,2017-04-20,209.25
236,2017-04-23,209.25
237,2017-04-24,209.25
238,2017-04-25,211.35
239,2017-04-26,211.35
240,2017-04-27,211.35
241,2017-04-30,211.35
242,2017-05-02,211.35
243,2017-05-03,211.35
244,2017-05-04,211.35
245,2017-05-07,211.35
246,2017-05-08,211.35
247,2017-05-09,211.35
248,2017-05-11,212.76
249,2017-05-15,212.76
250,2017-05-16,212.76
251,2017-05-17,212.76
252,2017-05-18,212.76
253,2017-05-21,212.76
254,2017-05-22,212.76
255,2017-05-23,212.76
256,2017-05-24,212.76
257,2017-05-28,212.76
258,2017-05-30,212.76
259,2017-05-31,212.76
260,2017-06-01,212.76
261,2017-06-04,212.76
262,2017-06-05,212.76
263,2017-06-06,212.76
264,2017-06-07,212.76
265,2017-06-08,212.76
266,2017-06-11,212.76
267,2017-06-12,212.76
268,2017-06-13,212.76
269,2017-06-14,212.76
270,2017-06-15,212.76
271,2017-06-18,212.76
272,2017-06-19,212.76
273,2017-06-20,212.76
274,2017-06-21,212.76
275,2017-06-22,212.76
276,2017-06-25,212.76
277,2017-06-27,212.76
278,2017-06-28,212.76
279,2017-07-02,212.76
280,2017-07-03,212.76
281,2017-07-04,212.76
282,2017-07-05,212.76
283,2017-07-06,212.76
284,2017-07-09,212.76
285,2017-07-10,212.76
286,2017-07-11,212.76
287,2017-07-12,212.76
288,2017-07-13,212.76
289,2017-07-16,212.76
290,2017-07-17,212.76
291,2017-07-18,212.76
292,2017-07-19,212.76
293,2017-07-20,212.76
294,2017-07-23,212.76
295,2017-07-24,212.76
296,2017-07-25,214.11
297,2017-07-26,214.11
298,2017-07-27,214.11
299,2017-07-30,214.11
300,2017-07-31,214.11
301,2017-08-01,214.11
302,2017-08-02,214.11
303,2017-08-03,214.11
304,2017-08-06,214.11
305,2017-08-07,214.11
306,2017-08-09,214.11
307,2017-08-10,214.11
308,2017-08-13,214.11
309,2017-08-15,214.11
310,2017-08-16,214.11
311,2017-08-17,214.11
312,2017-08-20,214.11
313,2017-08-21,214.11
314,2017-08-22,214.11
315,2017-08-23,214.11
316,2017-08-24,214.11
317,2017-08-27,214.11
318,2017-08-28,214.11
319,2017-08-30,214.11
320,2017-08-31,214.11
321,2017-09-04,214.11
322,2017-09-06,214.11
323,2017-09-07,214.11
324,2017-09-10,214.11
325,2017-09-11,214.11
326,2017-09-12,214.11
327,2017-09-13,214.11
328,2017-09-14,231.25
329,2017-09-17,250.08
330,2017-09-18,270.78
331,2017-09-20,293.58
332,2017-09-24,278.29
333,2017-09-25,254.73
334,2017-09-26,233.95
335,2017-10-03,237.75
336,2017-10-04,233.87
337,2017-10-08,224.33
338,2017-10-09,221.29
339,2017-10-10,217.91
340,2017-10-11,220.02
341,2017-10-12,220.27
342,2017-10-15,223.73
343,2017-10-16,219.51
344,2017-10-17,222.13
345,2017-10-18,228.46
346,2017-10-22,228.30
347,2017-10-23,220.02
348,2017-10-24,216.73
349,2017-10-25,228.46
350,2017-10-29,225.93
351,2017-10-30,220.02
352,2017-10-31,220.02
353,2017-11-01,220.02
354,2017-11-02,226.61
355,2017-11-05,229.31
356,2017-11-06,227.03
357,2017-11-07,227.62
358,2017-11-08,223.99
359,2017-11-09,222.13
360,2017-11-12,219.00
361,2017-11-13,219.00
362,2017-11-14,219.85
363,2017-11-15,216.55
364,2017-11-16,214.95
365,2017-11-19,214.95
366,2017-11-20,203.38
367,2017-11-21,219.00
368,2017-11-22,219.00
369,2017-11-23,215.63
370,2017-11-26,209.29
371,2017-11-27,206.16
372,2017-11-28,206.16
373,2017-11-29,209.04
374,2017-11-30,209.04
375,2017-12-04,207.60
376,2017-12-05,207.69
377,2017-12-06,205.24
378,2017-12-10,205.24
379,2017-12-11,202.96
380,2017-12-12,199.66
381,2017-12-13,202.11
382,2017-12-14,205.24
383,2017-12-17,195.86
384,2017-12-18,201.86
385,2017-12-19,200.93
386,2017-12-20,200.93
387,2017-12-21,198.99
388,2017-12-24,196.28
389,2017-12-26,191.55
390,2017-12-27,191.55
391,2017-12-28,196.37
392,2017-12-31,191.98
393,2018-01-01,194.85
394,2018-01-02,194.93
395,2018-01-03,193.58
396,2018-01-04,190.71
397,2018-01-07,190.71
398,2018-01-08,191.98
399,2018-01-09,193.24
400,2018-01-10,192.40
401,2018-01-14,192.40
402,2018-01-16,189.53
403,2018-01-17,189.53
404,2018-01-21,191.55
405,2018-01-22,201.77
406,2018-01-23,201.27
407,2018-01-24,205.49
408,2018-01-25,213.77
409,2018-01-28,203.38
410,2018-01-29,209.71
411,2018-01-31,213.93
412,2018-02-01,215.62
413,2018-02-04,214.78
414,2018-02-05,214.69
415,2018-02-06,208.87
416,2018-02-07,212.07
417,2018-02-08,211.99
418,2018-02-11,211.99
419,2018-02-12,216.71
420,2018-02-14,216.97
421,2018-02-15,222.96
422,2018-02-18,222.96
423,2018-02-20,219.92
424,2018-02-21,219.92
425,2018-02-22,219.92
426,2018-02-25,219.92
427,2018-02-26,217.81
428,2018-02-27,217.81
429,2018-02-28,211.39
430,2018-03-04,195.59
431,2018-03-05,202.44
432,2018-03-06,205.39
433,2018-03-07,208.43
434,2018-03-11,208.43
435,2018-03-12,208.43
436,2018-03-13,208.43
437,2018-03-14,208.43
438,2018-03-15,208.43
439,2018-03-18,208.43
440,2018-03-19,209.79
441,2018-03-20,209.79
442,2018-03-21,209.79
443,2018-03-22,209.79
444,2018-03-26,209.79
445,2018-03-27,206.66
446,2018-03-28,202.10
447,2018-03-29,199.06
448,2018-04-01,199.06
449,2018-04-02,199.06
450,2018-04-03,201.76
451,2018-04-04,201.76
452,2018-04-05,201.76
453,2018-04-08,209.36
454,2018-04-09,209.36
455,2018-04-10,209.36
456,2018-04-11,209.36
457,2018-04-12,209.36
458,2018-04-15,209.36
459,2018-04-16,209.36
460,2018-04-17,203.79
461,2018-04-18,208.18
462,2018-04-19,205.98
463,2018-04-22,205.98
464,2018-04-23,199.99
465,2018-04-24,202.86
466,2018-04-25,202.69
467,2018-04-26,202.69
468,2018-04-29,203.45
469,2018-05-02,203.45
470,2018-05-03,203.45
471,2018-05-06,203.45
472,2018-05-07,203.45
473,2018-05-08,203.45
474,2018-05-09,203.45
475,2018-05-10,197.62
476,2018-05-14,195.00
477,2018-05-15,200.49
478,2018-05-16,206.32
479,2018-05-17,201.34
480,2018-05-20,201.34
481,2018-05-21,201.34
482,2018-05-22,201.34
483,2018-05-23,201.34
484,2018-05-24,204.30
485,2018-05-27,205.14
486,2018-05-28,207.67
487,2018-05-29,207.67
488,2018-05-30,202.94
489,2018-05-31,205.90
490,2018-06-03,205.90
491,2018-06-04,203.03
492,2018-06-06,203.03
493,2018-06-07,203.03
494,2018-06-10,203.03
495,2018-06-11,200.07
496,2018-06-12,200.07
497,2018-06-13,200.41
498,2018-06-14,200.41
499,2018-06-17,200.41
500,2018-06-18,200.41
501,2018-06-19,200.41
502,2018-06-20,200.41
503,2018-06-21,197.54
504,2018-06-24,197.54
505,2018-06-25,197.54
506,2018-06-26,197.54
507,2018-06-27,197.54
508,2018-06-28,197.54
509,2018-07-01,197.54
510,2018-07-02,197.54
511,2018-07-03,197.54
512,2018-07-04,197.54
513,2018-07-05,197.54
514,2018-07-08,194.75
515,2018-07-09,195.00
516,2018-07-10,195.00
517,2018-07-11,195.00
518,2018-07-12,194.16
519,2018-07-15,194.33
520,2018-07-16,196.27
521,2018-07-17,199.06
522,2018-07-18,196.27
523,2018-07-19,196.27
524,2018-07-22,196.27
525,2018-07-23,196.27
526,2018-07-24,196.69
527,2018-07-25,196.69
528,2018-07-26,196.69
529,2018-07-29,196.69
530,2018-07-30,196.69
531,2018-07-31,196.69
532,2018-08-01,196.69
533,2018-08-02,196.69
534,2018-08-05,196.69
535,2018-08-06,198.80
536,2018-08-07,198.80
537,2018-08-08,198.80
538,2018-08-09,200.91
539,2018-08-12,203.02
540,2018-08-13,203.02
541,2018-08-14,208.09
542,2018-08-15,208.09
543,2018-08-16,204.38
544,2018-08-19,204.38
545,2018-08-20,204.38
546,2018-08-21,207.33
547,2018-08-22,207.33
548,2018-08-23,207.33
549,2018-08-26,207.33
550,2018-08-28,207.33
551,2018-08-29,207.33
552,2018-08-30,207.33
