,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,458.00,491.00,458.00,484.00,0.41,"97,084.00","47,377,353.00"
2,2,2021-06-30,476.00,484.00,472.00,482.00,-0.62,"49,724.00","23,777,054.00"
3,3,2021-06-29,500.00,503.00,482.00,485.00,-2.41,"73,114.00","35,682,815.00"
4,4,2021-06-28,517.00,517.00,491.00,497.00,0.81,"183,885.00","91,725,158.00"
5,5,2021-06-27,476.00,500.00,476.00,493.00,2.28,"165,483.00","81,133,251.00"
6,6,2021-06-24,491.00,491.00,465.00,482.00,2.34,"168,916.00","80,883,197.00"
7,7,2021-06-23,482.00,482.00,470.00,471.00,-2.28,"72,529.00","34,455,335.00"
8,8,2021-06-22,450.00,483.00,450.00,482.00,2.55,"112,308.00","53,646,265.00"
9,9,2021-06-21,495.00,495.00,466.00,470.00,-1.26,"158,267.00","74,615,121.00"
10,10,2021-06-20,466.00,500.00,466.00,476.00,-2.86,"185,371.00","89,383,277.00"
11,11,2021-06-17,498.00,501.00,489.00,490.00,-0.41,"132,336.00","65,169,011.00"
12,12,2021-06-16,487.00,510.00,482.00,492.00,1.03,"249,556.00","124,171,992.00"
13,13,2021-06-15,480.00,497.00,480.00,487.00,1.88,"346,796.00","169,789,599.00"
14,14,2021-06-14,461.00,485.00,460.00,478.00,3.69,"238,183.00","113,281,820.00"
15,15,2021-06-13,457.00,463.00,454.00,461.00,0.88,"135,433.00","61,912,993.00"
16,16,2021-06-10,460.00,465.00,456.00,457.00,-1.08,"69,384.00","31,770,966.00"
17,17,2021-06-09,463.00,469.00,459.00,462.00,-0.22,"94,004.00","43,410,105.00"
18,18,2021-06-08,460.00,468.00,458.00,463.00,1.09,"181,070.00","83,703,941.00"
19,19,2021-06-07,444.00,480.00,444.00,458.00,-1.72,"178,135.00","82,570,344.00"
20,20,2021-06-06,455.00,481.00,455.00,466.00,3.56,"309,217.00","144,679,524.00"
21,21,2021-06-03,445.00,455.00,440.00,450.00,2.27,"169,456.00","76,065,412.00"
22,22,2021-06-02,437.00,443.00,435.00,440.00,0.69,"67,701.00","29,752,161.00"
23,23,2021-06-01,440.00,442.00,434.00,437.00,-1.13,"72,507.00","31,705,933.00"
24,24,2021-05-31,452.00,455.00,441.00,442.00,-1.34,"63,529.00","28,309,424.00"
25,25,2021-05-30,444.00,454.00,440.00,448.00,0.90,"156,823.00","69,986,932.00"
26,26,2021-05-27,440.00,446.00,435.00,444.00,-0.45,"86,267.00","38,009,238.00"
27,27,2021-05-25,453.00,453.00,443.00,446.00,-1.33,"45,800.00","20,473,614.00"
28,28,2021-05-24,446.00,455.00,446.00,452.00,1.57,"201,509.00","91,049,976.00"
29,29,2021-05-23,435.00,445.00,428.00,445.00,1.83,"95,466.00","41,881,247.00"
30,30,2021-05-20,455.00,455.00,428.00,437.00,0.46,"60,345.00","26,326,379.00"
31,31,2021-05-19,434.00,441.00,432.00,435.00,0.46,"87,374.00","38,126,741.00"
32,32,2021-05-18,431.00,433.00,428.00,433.00,1.17,"73,076.00","31,427,368.00"
33,33,2021-05-17,435.00,435.00,427.00,428.00,0.71,"50,942.00","21,856,013.00"
34,34,2021-05-16,422.00,425.00,421.00,425.00,1.43,"64,623.00","27,353,243.00"
35,35,2021-05-13,420.00,421.00,418.00,419.00,0.00,"43,764.00","18,345,744.00"
36,36,2021-05-12,421.00,422.00,418.00,419.00,-0.48,"34,976.00","14,670,662.00"
37,37,2021-05-11,430.00,430.00,418.00,421.00,0.24,"47,979.00","20,168,425.00"
38,38,2021-05-10,422.00,422.00,416.00,420.00,0.24,"34,550.00","14,473,616.00"
39,39,2021-05-09,417.00,421.00,412.00,419.00,0.48,"44,803.00","18,737,377.00"
40,40,2021-05-06,425.00,425.00,415.00,417.00,0.00,"43,509.00","18,132,116.00"
41,41,2021-05-05,398.00,423.00,398.00,417.00,0.00,"48,809.00","20,411,944.00"
42,42,2021-05-04,423.00,423.00,415.00,417.00,-0.24,"46,355.00","19,362,258.00"
43,43,2021-05-03,428.00,430.00,417.00,418.00,-1.42,"63,178.00","26,621,244.00"
44,44,2021-05-02,422.00,427.00,420.00,424.00,1.19,"58,954.00","24,997,452.00"
45,45,2021-04-29,415.00,421.00,414.00,419.00,0.96,"48,621.00","20,263,792.00"
46,46,2021-04-28,420.00,421.00,411.00,415.00,-0.24,"41,259.00","17,174,622.00"
47,47,2021-04-27,415.00,418.00,407.00,416.00,0.97,"91,231.00","37,853,670.00"
48,48,2021-04-26,418.00,424.00,402.00,412.00,-1.67,"82,121.00","33,801,765.00"
49,49,2021-04-25,431.00,431.00,418.00,419.00,-2.10,"53,306.00","22,440,118.00"
