,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,371.00,376.00,370.00,371.00,0.00,"51,008.00","18,983,383.00"
2,2,2021-06-30,370.00,371.00,363.00,371.00,-0.80,"75,397.00","27,696,403.00"
3,3,2021-06-29,385.00,385.00,373.00,374.00,-1.58,"79,742.00","29,972,864.00"
4,4,2021-06-28,382.00,389.00,379.00,380.00,0.26,"99,267.00","38,061,857.00"
5,5,2021-06-27,370.00,387.00,367.00,379.00,2.43,"132,742.00","50,122,559.00"
6,6,2021-06-24,375.00,378.00,363.00,370.00,-0.54,"81,205.00","30,116,098.00"
7,7,2021-06-23,383.00,387.00,371.00,372.00,-2.36,"91,823.00","34,472,212.00"
8,8,2021-06-22,368.00,381.00,364.00,381.00,3.53,"153,135.00","57,263,747.00"
9,9,2021-06-21,377.00,384.00,367.00,368.00,-2.39,"180,976.00","67,238,889.00"
10,10,2021-06-20,390.00,396.00,374.00,377.00,-2.08,"236,674.00","90,812,640.00"
11,11,2021-06-17,390.00,390.00,382.00,385.00,-0.52,"145,550.00","56,029,027.00"
12,12,2021-06-16,395.00,399.00,386.00,387.00,-0.77,"243,331.00","95,508,611.00"
13,13,2021-06-15,400.00,405.00,389.00,390.00,-1.52,"296,435.00","117,315,436.00"
14,14,2021-06-14,385.00,402.00,380.00,396.00,5.04,"325,389.00","127,678,925.00"
15,15,2021-06-13,377.00,385.00,373.00,377.00,-0.26,"240,816.00","90,586,615.00"
16,16,2021-06-10,386.00,386.00,375.00,378.00,-1.56,"219,543.00","82,901,855.00"
17,17,2021-06-09,390.00,395.00,381.00,384.00,-1.29,"187,434.00","72,569,630.00"
18,18,2021-06-08,382.00,393.00,376.00,389.00,1.83,"285,142.00","110,299,630.00"
19,19,2021-06-07,395.00,395.00,374.00,382.00,-1.29,"375,007.00","142,580,559.00"
20,20,2021-06-06,368.00,397.00,368.00,387.00,7.20,"568,701.00","217,573,761.00"
21,21,2021-06-03,344.00,363.00,344.00,361.00,4.94,"446,509.00","158,997,865.00"
22,22,2021-06-02,341.00,346.00,340.00,344.00,1.18,"110,192.00","37,811,746.00"
23,23,2021-06-01,341.00,347.00,338.00,340.00,-1.16,"117,575.00","40,175,082.00"
24,24,2021-05-31,350.00,355.00,343.00,344.00,-1.43,"250,760.00","87,512,022.00"
25,25,2021-05-30,348.00,356.00,340.00,349.00,2.05,"254,658.00","88,483,141.00"
26,26,2021-05-27,335.00,349.00,328.00,342.00,0.29,"197,418.00","66,960,389.00"
27,27,2021-05-25,348.00,349.00,340.00,341.00,-2.01,"221,004.00","75,887,713.00"
28,28,2021-05-24,360.00,360.00,342.00,348.00,-1.42,"409,929.00","143,452,140.00"
29,29,2021-05-23,351.00,354.00,337.00,353.00,0.57,"413,005.00","144,152,288.00"
30,30,2021-05-20,340.00,351.00,335.00,351.00,6.36,"980,144.00","340,124,945.00"
31,31,2021-05-19,327.00,335.00,325.00,330.00,1.54,"496,518.00","164,050,765.00"
32,32,2021-05-18,325.00,327.00,321.00,325.00,0.31,"153,382.00","49,791,495.00"
33,33,2021-05-17,322.00,325.00,318.00,324.00,1.25,"213,833.00","69,049,842.00"
34,34,2021-05-16,315.00,324.00,315.00,320.00,2.56,"228,423.00","73,061,511.00"
35,35,2021-05-13,315.00,315.00,310.00,312.00,0.00,"51,218.00","15,949,838.00"
36,36,2021-05-12,312.00,314.00,309.00,312.00,-0.32,"44,521.00","13,888,554.00"
37,37,2021-05-11,317.00,317.00,312.00,313.00,-0.32,"53,287.00","16,739,796.00"
38,38,2021-05-10,314.00,316.00,310.00,314.00,0.00,"97,687.00","30,629,780.00"
39,39,2021-05-09,320.00,326.00,304.00,314.00,2.95,"638,625.00","203,089,741.00"
40,40,2021-05-06,302.00,307.00,299.00,305.00,1.33,"106,144.00","32,144,496.00"
41,41,2021-05-05,300.00,305.00,300.00,301.00,-0.66,"46,955.00","14,193,465.00"
42,42,2021-05-04,306.00,306.00,301.00,303.00,-0.66,"42,098.00","12,729,169.00"
43,43,2021-05-03,309.00,310.00,302.00,305.00,0.00,"37,238.00","11,359,514.00"
44,44,2021-05-02,301.00,305.00,300.00,305.00,0.66,"145,278.00","43,870,547.00"
45,45,2021-04-29,315.00,315.00,301.00,303.00,0.66,"53,030.00","16,047,697.00"
46,46,2021-04-28,306.00,306.00,299.00,301.00,-1.63,"55,264.00","16,620,347.00"
47,47,2021-04-27,295.00,306.00,295.00,306.00,3.38,"59,901.00","18,110,527.00"
48,48,2021-04-26,304.00,304.00,294.00,296.00,-2.63,"107,513.00","32,116,926.00"
49,49,2021-04-25,309.00,312.00,301.00,304.00,-1.62,"92,456.00","28,093,803.00"
50,50,2021-04-22,309.00,311.00,305.00,309.00,0.00,"95,086.00","29,402,248.00"
51,51,2021-04-21,317.00,317.00,307.00,309.00,-0.96,"130,341.00","40,432,072.00"
52,52,2021-04-20,313.00,316.00,310.00,312.00,-0.32,"91,847.00","28,779,881.00"
53,53,2021-04-19,318.00,320.00,311.00,313.00,-1.57,"118,535.00","37,287,663.00"
54,54,2021-04-18,322.00,324.00,314.00,318.00,-0.93,"211,278.00","67,281,590.00"
55,55,2021-04-15,320.00,328.00,319.00,321.00,0.94,"213,474.00","69,182,062.00"
56,56,2021-04-13,311.00,319.00,310.00,318.00,2.58,"143,204.00","45,103,896.00"
57,57,2021-04-12,313.00,316.00,308.00,310.00,-0.96,"98,939.00","30,774,826.00"
58,58,2021-04-08,310.00,315.00,309.00,313.00,0.97,"206,441.00","64,660,042.00"
59,59,2021-04-07,310.00,315.00,306.00,310.00,0.00,"153,079.00","47,716,766.00"
60,60,2021-04-06,307.00,312.00,304.00,310.00,0.98,"171,085.00","52,617,772.00"
61,61,2021-04-05,315.00,317.00,306.00,307.00,-1.60,"149,804.00","46,533,144.00"
62,62,2021-04-04,310.00,317.00,310.00,312.00,0.97,"161,724.00","50,684,839.00"
63,63,2021-04-01,306.00,320.00,300.00,309.00,1.64,"374,271.00","116,443,970.00"
64,64,2021-03-31,303.00,306.00,300.00,304.00,1.67,"145,167.00","43,880,414.00"
65,65,2021-03-30,313.00,313.00,298.00,299.00,0.00,"72,214.00","21,636,345.00"
66,66,2021-03-29,316.00,316.00,297.00,299.00,-0.66,"73,392.00","21,986,857.00"
67,67,2021-03-25,316.00,316.00,297.00,301.00,0.00,"131,961.00","39,590,651.00"
68,68,2021-03-24,302.00,304.00,297.00,301.00,0.67,"128,470.00","38,618,968.00"
69,69,2021-03-23,300.00,300.00,296.00,299.00,0.67,"63,266.00","18,853,391.00"
70,70,2021-03-22,303.00,303.00,296.00,297.00,-1.66,"129,885.00","38,713,866.00"
71,71,2021-03-21,303.00,303.00,297.00,302.00,1.34,"225,077.00","67,354,574.00"
72,72,2021-03-18,294.00,304.00,294.00,298.00,3.11,"99,177.00","29,624,154.00"
73,73,2021-03-17,296.00,300.00,289.00,289.00,-1.70,"119,417.00","35,155,441.00"
74,74,2021-03-16,300.00,300.00,293.00,294.00,-0.34,"37,308.00","11,003,025.00"
75,75,2021-03-15,297.00,302.00,293.00,295.00,-0.67,"51,470.00","15,230,682.00"
76,76,2021-03-14,306.00,306.00,296.00,297.00,-2.94,"88,169.00","26,357,588.00"
77,77,2021-03-10,308.00,308.00,302.00,306.00,0.00,"54,907.00","16,699,028.00"
78,78,2021-03-09,307.00,308.00,300.00,306.00,-1.92,"60,456.00","18,465,896.00"
79,79,2021-03-07,324.00,326.00,310.00,312.00,-4.29,"96,416.00","30,125,754.00"
80,80,2021-03-04,310.00,330.00,299.00,326.00,7.59,"273,837.00","85,276,034.00"
81,81,2021-03-03,317.00,317.00,296.00,303.00,0.33,"130,234.00","38,893,063.00"
82,82,2021-03-02,310.00,315.00,300.00,302.00,-2.27,"129,739.00","39,465,844.00"
83,83,2021-03-01,300.00,314.00,296.00,309.00,3.69,"229,017.00","70,375,043.00"
84,84,2021-02-28,305.00,307.00,296.00,298.00,-2.61,"215,579.00","64,569,117.00"
85,85,2021-02-25,314.00,314.00,305.00,306.00,-2.55,"174,742.00","53,734,035.00"
86,86,2021-02-24,316.00,323.00,308.00,314.00,0.64,"164,982.00","51,880,494.00"
87,87,2021-02-23,314.00,314.00,304.00,312.00,-0.64,"153,889.00","47,374,560.00"
88,88,2021-02-22,340.00,340.00,313.00,314.00,-3.09,"192,202.00","60,827,733.00"
89,89,2021-02-21,342.00,342.00,322.00,324.00,-0.61,"217,143.00","70,625,709.00"
90,90,2021-02-18,325.00,332.00,320.00,326.00,1.88,"330,995.00","107,626,360.00"
91,91,2021-02-17,323.00,327.00,314.00,320.00,0.95,"180,283.00","57,374,358.00"
92,92,2021-02-16,315.00,324.00,313.00,317.00,2.26,"338,143.00","107,315,103.00"
93,93,2021-02-15,316.00,322.00,308.00,310.00,0.00,"226,766.00","70,515,652.00"
94,94,2021-02-14,318.00,318.00,306.00,310.00,-2.52,"97,873.00","30,353,210.00"
95,95,2021-02-11,316.00,331.00,312.00,318.00,1.60,"298,115.00","94,686,926.00"
96,96,2021-02-10,312.00,313.00,302.00,313.00,0.97,"178,663.00","55,438,640.00"
97,97,2021-02-09,318.00,327.00,305.00,310.00,-1.59,"213,078.00","67,007,614.00"
98,98,2021-02-08,297.00,319.00,293.00,315.00,6.42,"360,569.00","111,151,355.00"
99,99,2021-02-07,297.00,298.00,292.00,296.00,1.02,"117,134.00","34,510,405.00"
100,100,2021-02-04,293.00,297.00,291.00,293.00,-0.68,"62,678.00","18,439,189.00"
101,101,2021-02-03,300.00,302.00,294.00,295.00,-1.01,"97,816.00","29,056,610.00"
102,102,2021-02-02,292.00,298.00,288.00,298.00,2.05,"121,560.00","35,547,830.00"
103,103,2021-02-01,294.00,299.00,286.00,292.00,1.04,"97,056.00","28,197,947.00"
104,104,2021-01-31,296.00,298.00,285.00,289.00,-3.99,"132,973.00","38,701,337.00"
105,105,2021-01-28,305.00,311.00,300.00,301.00,-3.22,"189,062.00","57,307,126.00"
106,106,2021-01-27,300.00,319.00,300.00,311.00,-1.27,"85,274.00","26,602,716.00"
107,107,2021-01-26,317.00,323.00,313.00,315.00,-1.56,"124,536.00","39,308,719.00"
108,108,2021-01-25,335.00,335.00,315.00,320.00,0.00,"186,641.00","59,309,331.00"
109,109,2021-01-24,321.00,326.00,316.00,320.00,-0.31,"193,124.00","61,729,430.00"
110,110,2021-01-21,344.00,344.00,320.00,321.00,-2.13,"148,130.00","47,827,666.00"
111,111,2021-01-20,320.00,333.00,318.00,328.00,3.47,"301,528.00","98,377,470.00"
112,112,2021-01-19,313.00,331.00,301.00,317.00,3.26,"348,390.00","108,531,866.00"
113,113,2021-01-18,317.00,317.00,300.00,307.00,1.66,"171,423.00","52,189,905.00"
114,114,2021-01-17,306.00,308.00,300.00,302.00,-1.63,"96,314.00","29,030,774.00"
115,115,2021-01-13,305.00,310.00,305.00,307.00,0.66,"167,081.00","51,379,683.00"
116,116,2021-01-12,289.00,310.00,285.00,305.00,5.90,"238,995.00","70,855,328.00"
117,117,2021-01-11,290.00,299.00,286.00,288.00,-0.69,"151,601.00","43,951,264.00"
118,118,2021-01-10,275.00,291.00,275.00,290.00,5.07,"234,078.00","67,348,039.00"
119,119,2021-01-07,277.00,277.00,270.00,276.00,1.47,"124,222.00","34,055,710.00"
120,120,2021-01-06,271.00,273.00,266.00,272.00,1.12,"124,685.00","33,822,535.00"
121,121,2021-01-05,260.00,273.00,260.00,269.00,1.51,"96,271.00","25,798,529.00"
122,122,2021-01-04,270.00,276.00,265.00,265.00,-1.85,"153,625.00","41,485,402.00"
123,123,2021-01-03,254.00,270.00,254.00,270.00,6.30,"188,960.00","49,909,248.00"
124,124,2020-12-31,250.00,256.00,250.00,254.00,2.01,"96,547.00","24,576,779.00"
125,125,2020-12-30,250.00,254.00,249.00,249.00,-0.40,"52,966.00","13,237,998.00"
126,126,2020-12-29,250.00,253.00,248.00,250.00,0.00,"50,840.00","12,704,549.00"
127,127,2020-12-28,253.00,253.00,248.00,250.00,0.00,"64,025.00","16,056,339.00"
