,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,281.00,291.00,281.00,285.00,0.35,"212,930.00","60,874,385.00"
2,2,2021-06-30,286.00,286.00,278.00,284.00,-0.70,"151,509.00","42,550,015.00"
3,3,2021-06-29,294.00,298.00,285.00,286.00,-2.72,"140,935.00","40,595,124.00"
4,4,2021-06-28,300.00,305.00,291.00,294.00,-0.68,"313,602.00","93,588,427.00"
5,5,2021-06-27,280.00,304.00,278.00,296.00,6.09,"706,852.00","208,169,047.00"
6,6,2021-06-24,280.00,284.00,275.00,279.00,-0.71,"155,148.00","43,169,799.00"
7,7,2021-06-23,286.00,289.00,280.00,281.00,-1.75,"118,276.00","33,502,316.00"
8,8,2021-06-22,278.00,289.00,273.00,286.00,3.25,"257,560.00","72,685,793.00"
9,9,2021-06-21,299.00,299.00,277.00,277.00,-2.81,"315,477.00","88,430,963.00"
10,10,2021-06-20,293.00,295.00,283.00,285.00,-2.06,"374,910.00","108,388,907.00"
11,11,2021-06-17,305.00,305.00,287.00,291.00,-1.36,"200,897.00","58,614,601.00"
12,12,2021-06-16,298.00,305.00,291.00,295.00,-1.01,"291,286.00","86,355,870.00"
13,13,2021-06-15,310.00,310.00,297.00,298.00,-1.65,"523,773.00","157,343,982.00"
14,14,2021-06-14,290.00,309.00,290.00,303.00,3.41,"632,447.00","190,698,268.00"
15,15,2021-06-13,290.00,298.00,288.00,293.00,1.38,"348,525.00","101,059,709.00"
16,16,2021-06-10,294.00,295.00,286.00,289.00,-0.34,"229,938.00","66,503,747.00"
17,17,2021-06-09,305.00,305.00,289.00,290.00,-2.36,"369,535.00","108,626,418.00"
18,18,2021-06-08,294.00,304.00,290.00,297.00,1.37,"476,943.00","141,587,151.00"
19,19,2021-06-07,305.00,308.00,290.00,293.00,-2.66,"671,236.00","198,331,678.00"
20,20,2021-06-06,290.00,310.00,290.00,301.00,5.61,"1,026,479.00","308,292,308.00"
21,21,2021-06-03,280.00,290.00,271.00,285.00,5.56,"958,722.00","268,996,913.00"
22,22,2021-06-02,270.00,275.00,265.00,270.00,0.75,"262,188.00","70,477,846.00"
23,23,2021-06-01,275.00,275.00,266.00,268.00,-0.74,"162,907.00","43,808,409.00"
24,24,2021-05-31,277.00,281.00,269.00,270.00,-1.82,"695,556.00","191,621,395.00"
25,25,2021-05-30,270.00,280.00,266.00,275.00,2.61,"482,181.00","131,592,054.00"
26,26,2021-05-27,262.00,276.00,260.00,268.00,0.37,"289,383.00","76,977,521.00"
27,27,2021-05-25,272.00,275.00,264.00,267.00,-2.20,"388,301.00","104,250,203.00"
28,28,2021-05-24,275.00,284.00,269.00,273.00,0.37,"871,981.00","241,456,113.00"
29,29,2021-05-23,265.00,272.00,255.00,272.00,1.87,"678,308.00","181,050,034.00"
30,30,2021-05-20,252.00,269.00,252.00,267.00,5.95,"865,230.00","226,971,095.00"
31,31,2021-05-19,246.00,260.00,246.00,252.00,2.86,"721,843.00","183,324,673.00"
32,32,2021-05-18,246.00,246.00,240.00,245.00,1.24,"288,064.00","69,881,271.00"
33,33,2021-05-17,242.00,245.00,241.00,242.00,0.41,"259,568.00","62,970,558.00"
34,34,2021-05-16,241.00,243.00,238.00,241.00,0.84,"221,311.00","53,037,734.00"
35,35,2021-05-13,245.00,245.00,238.00,239.00,-0.83,"150,661.00","36,155,531.00"
36,36,2021-05-12,228.00,243.00,228.00,241.00,0.84,"333,669.00","80,455,175.00"
37,37,2021-05-11,236.00,241.00,235.00,239.00,1.27,"260,794.00","62,355,588.00"
38,38,2021-05-10,234.00,239.00,233.00,236.00,0.43,"88,362.00","20,829,415.00"
39,39,2021-05-09,235.00,241.00,233.00,235.00,-0.84,"160,902.00","38,321,085.00"
40,40,2021-05-06,242.00,242.00,234.00,237.00,-0.42,"134,025.00","31,767,911.00"
41,41,2021-05-05,247.00,247.00,232.00,238.00,0.85,"263,430.00","63,089,860.00"
42,42,2021-05-04,241.00,241.00,227.00,236.00,2.61,"175,033.00","40,878,626.00"
43,43,2021-05-03,225.00,234.00,225.00,230.00,0.00,"147,599.00","34,011,050.00"
44,44,2021-05-02,230.00,232.00,229.00,230.00,0.44,"84,248.00","19,395,788.00"
45,45,2021-04-29,218.00,234.00,218.00,229.00,0.00,"65,551.00","15,078,591.00"
46,46,2021-04-28,244.00,244.00,227.00,229.00,-1.72,"134,703.00","30,977,393.00"
47,47,2021-04-27,225.00,236.00,222.00,233.00,3.56,"106,759.00","24,556,568.00"
48,48,2021-04-26,231.00,231.00,225.00,225.00,-2.60,"176,576.00","40,184,617.00"
49,49,2021-04-25,250.00,250.00,230.00,231.00,-3.35,"181,770.00","42,250,664.00"
50,50,2021-04-22,248.00,248.00,233.00,239.00,0.84,"162,196.00","38,447,379.00"
51,51,2021-04-21,228.00,244.00,228.00,237.00,-1.25,"177,161.00","42,224,095.00"
52,52,2021-04-20,248.00,248.00,234.00,240.00,1.27,"347,996.00","84,145,772.00"
53,53,2021-04-19,228.00,243.00,228.00,237.00,-0.84,"169,140.00","40,270,488.00"
54,54,2021-04-18,245.00,250.00,238.00,239.00,-1.65,"343,822.00","83,012,059.00"
55,55,2021-04-15,227.00,247.00,227.00,243.00,2.10,"388,785.00","93,967,320.00"
56,56,2021-04-13,235.00,239.00,234.00,238.00,1.28,"215,626.00","50,976,026.00"
57,57,2021-04-12,236.00,239.00,232.00,235.00,-0.42,"140,398.00","33,033,958.00"
58,58,2021-04-08,226.00,241.00,226.00,236.00,-0.42,"99,773.00","23,533,291.00"
59,59,2021-04-07,233.00,244.00,231.00,237.00,2.16,"392,091.00","92,966,271.00"
60,60,2021-04-06,221.00,233.00,221.00,232.00,0.00,"185,991.00","42,637,295.00"
61,61,2021-04-05,230.00,234.00,229.00,232.00,0.43,"121,845.00","28,138,785.00"
62,62,2021-04-04,235.00,236.00,229.00,231.00,-0.43,"240,295.00","55,723,754.00"
63,63,2021-04-01,241.00,241.00,228.00,232.00,0.87,"258,959.00","60,116,313.00"
64,64,2021-03-31,227.00,231.00,227.00,230.00,1.32,"127,994.00","29,354,670.00"
65,65,2021-03-30,226.00,229.00,225.00,227.00,0.44,"70,657.00","16,050,700.00"
66,66,2021-03-29,231.00,231.00,225.00,226.00,-2.16,"76,423.00","17,383,920.00"
67,67,2021-03-25,235.00,235.00,227.00,231.00,0.00,"183,444.00","42,112,250.00"
68,68,2021-03-24,241.00,241.00,228.00,231.00,0.43,"112,631.00","25,974,461.00"
69,69,2021-03-23,241.00,241.00,225.00,230.00,0.00,"63,484.00","14,546,521.00"
70,70,2021-03-22,245.00,245.00,229.00,230.00,-1.71,"105,055.00","24,375,260.00"
71,71,2021-03-21,235.00,237.00,225.00,234.00,4.46,"247,285.00","57,730,374.00"
72,72,2021-03-18,233.00,233.00,221.00,224.00,0.90,"127,896.00","28,671,652.00"
73,73,2021-03-17,231.00,231.00,216.00,222.00,0.91,"80,366.00","17,608,761.00"
74,74,2021-03-16,217.00,221.00,217.00,220.00,0.46,"75,897.00","16,602,676.00"
75,75,2021-03-15,221.00,224.00,217.00,219.00,-1.35,"183,435.00","40,294,832.00"
76,76,2021-03-14,229.00,229.00,220.00,222.00,-1.33,"96,415.00","21,410,632.00"
77,77,2021-03-10,227.00,227.00,224.00,225.00,-0.88,"67,596.00","15,202,093.00"
78,78,2021-03-09,226.00,230.00,225.00,227.00,-0.87,"99,358.00","22,520,816.00"
79,79,2021-03-07,235.00,236.00,227.00,229.00,-1.72,"112,211.00","25,761,700.00"
80,80,2021-03-04,226.00,234.00,225.00,233.00,3.10,"205,936.00","47,281,643.00"
81,81,2021-03-03,217.00,229.00,217.00,226.00,-0.88,"218,840.00","48,834,989.00"
82,82,2021-03-02,246.00,246.00,226.00,228.00,-2.98,"226,726.00","51,996,679.00"
83,83,2021-03-01,225.00,240.00,225.00,235.00,2.17,"189,273.00","44,129,565.00"
84,84,2021-02-28,245.00,245.00,228.00,230.00,-4.56,"260,006.00","60,506,381.00"
85,85,2021-02-25,256.00,256.00,238.00,241.00,-1.23,"206,704.00","49,701,481.00"
86,86,2021-02-24,250.00,256.00,240.00,244.00,0.83,"229,783.00","56,837,725.00"
87,87,2021-02-23,249.00,250.00,234.00,242.00,-2.81,"355,653.00","84,907,703.00"
88,88,2021-02-22,276.00,276.00,245.00,249.00,-5.32,"640,726.00","161,280,302.00"
89,89,2021-02-21,257.00,269.00,244.00,263.00,7.35,"831,641.00","214,459,728.00"
90,90,2021-02-18,229.00,245.00,223.00,245.00,9.87,"1,187,423.00","283,806,451.00"
91,91,2021-02-17,223.00,225.00,221.00,223.00,0.00,"173,664.00","38,733,175.00"
92,92,2021-02-16,225.00,226.00,221.00,223.00,0.45,"324,336.00","72,501,386.00"
93,93,2021-02-15,224.00,225.00,219.00,222.00,0.91,"138,452.00","30,563,811.00"
94,94,2021-02-14,236.00,236.00,217.00,220.00,-2.22,"144,425.00","31,725,423.00"
95,95,2021-02-11,225.00,230.00,222.00,225.00,0.90,"280,883.00","63,147,484.00"
96,96,2021-02-10,220.00,223.00,219.00,223.00,1.83,"228,671.00","50,620,196.00"
97,97,2021-02-09,222.00,227.00,217.00,219.00,0.00,"300,729.00","66,972,905.00"
98,98,2021-02-08,220.00,221.00,216.00,219.00,-0.45,"236,801.00","51,884,519.00"
99,99,2021-02-07,215.00,220.00,214.00,220.00,2.33,"285,014.00","61,836,194.00"
100,100,2021-02-04,235.00,235.00,228.00,232.00,-0.43,"684,911.00","158,387,327.00"
101,101,2021-02-03,237.00,238.00,231.00,233.00,-0.85,"314,720.00","73,269,304.00"
102,102,2021-02-02,238.00,239.00,228.00,235.00,0.43,"285,670.00","67,138,225.00"
103,103,2021-02-01,231.00,237.00,220.00,234.00,6.36,"640,953.00","145,493,364.00"
104,104,2021-01-31,233.00,233.00,213.00,220.00,-0.90,"499,528.00","108,777,577.00"
105,105,2021-01-28,227.00,229.00,220.00,222.00,-2.20,"330,635.00","73,658,890.00"
106,106,2021-01-27,227.00,230.00,225.00,227.00,0.00,"220,959.00","50,126,457.00"
107,107,2021-01-26,233.00,233.00,226.00,227.00,-1.30,"196,382.00","45,058,756.00"
108,108,2021-01-25,245.00,245.00,229.00,230.00,-2.95,"319,330.00","74,258,781.00"
109,109,2021-01-24,226.00,238.00,225.00,237.00,6.28,"455,687.00","106,140,341.00"
110,110,2021-01-21,222.00,226.00,221.00,223.00,0.45,"451,493.00","100,783,547.00"
111,111,2021-01-20,217.00,224.00,217.00,222.00,2.30,"359,756.00","79,566,496.00"
112,112,2021-01-19,218.00,218.00,214.00,217.00,1.40,"178,723.00","38,603,284.00"
113,113,2021-01-18,217.00,218.00,214.00,214.00,-1.38,"212,653.00","45,830,403.00"
114,114,2021-01-17,222.00,222.00,210.00,217.00,-1.36,"980,170.00","209,907,696.00"
115,115,2021-01-13,230.00,230.00,220.00,220.00,-1.79,"281,622.00","62,461,445.00"
116,116,2021-01-12,223.00,230.00,216.00,224.00,5.16,"635,166.00","140,130,841.00"
117,117,2021-01-11,210.00,217.00,203.00,213.00,6.50,"869,453.00","182,929,032.00"
118,118,2021-01-10,199.00,200.00,190.00,200.00,5.26,"401,436.00","79,110,946.00"
119,119,2021-01-07,190.00,192.00,188.00,190.00,0.00,"136,005.00","25,849,827.00"
120,120,2021-01-06,195.00,195.00,186.00,190.00,0.53,"136,754.00","25,813,325.00"
121,121,2021-01-05,189.00,192.00,186.00,189.00,0.53,"121,994.00","23,107,408.00"
122,122,2021-01-04,195.00,195.00,186.00,188.00,-2.08,"206,849.00","39,039,826.00"
123,123,2021-01-03,190.00,193.00,185.00,192.00,3.78,"291,091.00","54,797,054.00"
124,124,2020-12-31,187.00,190.00,181.00,185.00,3.35,"314,421.00","57,924,196.00"
125,125,2020-12-30,176.00,181.00,175.00,179.00,2.29,"179,829.00","32,212,458.00"
126,126,2020-12-29,182.00,182.00,174.00,175.00,-1.69,"82,224.00","14,477,280.00"
127,127,2020-12-28,177.00,181.00,175.00,178.00,0.56,"66,161.00","11,802,822.00"
128,128,2020-12-27,181.00,185.00,176.00,177.00,-1.67,"107,480.00","19,133,462.00"
129,129,2020-12-24,177.00,182.00,175.00,180.00,0.00,"151,276.00","27,048,963.00"
130,130,2020-12-23,187.00,190.00,178.00,180.00,0.56,"126,135.00","22,874,419.00"
131,131,2020-12-22,174.00,183.00,174.00,179.00,4.68,"154,890.00","27,768,195.00"
132,132,2020-12-21,170.00,175.00,165.00,171.00,-0.58,"104,323.00","17,699,833.00"
133,133,2020-12-20,181.00,181.00,170.00,172.00,-3.37,"104,728.00","18,221,203.00"
134,134,2020-12-17,176.00,183.00,176.00,178.00,0.00,"99,789.00","17,881,654.00"
135,135,2020-12-16,184.00,184.00,178.00,178.00,-2.20,"70,354.00","12,632,766.00"
136,136,2020-12-15,190.00,190.00,179.00,182.00,-0.55,"76,208.00","13,781,399.00"
137,137,2020-12-14,185.00,186.00,179.00,183.00,-1.08,"161,927.00","29,606,605.00"
138,138,2020-12-13,175.00,189.00,174.00,185.00,4.52,"134,903.00","24,353,999.00"
139,139,2020-12-10,178.00,179.00,173.00,177.00,0.00,"70,664.00","12,403,848.00"
140,140,2020-12-09,180.00,180.00,175.00,177.00,-1.67,"98,580.00","17,411,301.00"
141,141,2020-12-08,189.00,189.00,177.00,180.00,0.00,"94,336.00","16,886,739.00"
142,142,2020-12-07,178.00,188.00,177.00,180.00,-0.55,"153,476.00","27,615,575.00"
143,143,2020-12-06,186.00,186.00,180.00,181.00,-2.69,"140,034.00","25,343,940.00"
144,144,2020-12-03,187.00,192.00,183.00,186.00,-0.53,"128,147.00","23,861,392.00"
145,145,2020-12-02,192.00,192.00,182.00,187.00,0.54,"177,476.00","33,132,688.00"
146,146,2020-12-01,191.00,197.00,181.00,186.00,-1.59,"207,305.00","39,010,974.00"
147,147,2020-11-30,203.00,203.00,188.00,189.00,-2.58,"466,798.00","90,657,603.00"
148,148,2020-11-29,178.00,194.00,178.00,194.00,9.60,"884,618.00","168,083,292.00"
149,149,2020-11-26,179.00,184.00,174.00,177.00,0.00,"317,658.00","56,789,076.00"
150,150,2020-11-25,173.00,184.00,171.00,177.00,3.51,"402,308.00","70,184,608.00"
151,151,2020-11-24,171.00,173.00,170.00,171.00,0.00,"190,538.00","32,605,588.00"
152,152,2020-11-23,170.00,173.00,169.00,171.00,0.00,"96,359.00","16,425,605.00"
153,153,2020-11-22,171.00,176.00,170.00,171.00,0.00,"158,627.00","27,178,528.00"
154,154,2020-11-19,170.00,174.00,169.00,171.00,0.00,"114,321.00","19,492,195.00"
155,155,2020-11-18,172.00,173.00,168.00,171.00,-2.29,"132,453.00","22,656,432.00"
156,156,2020-11-12,174.00,177.00,173.00,175.00,0.00,"89,817.00","15,681,570.00"
157,157,2020-11-11,175.00,178.00,172.00,175.00,0.57,"162,234.00","28,355,709.00"
158,158,2020-11-10,174.00,174.00,171.00,174.00,1.16,"60,655.00","10,484,943.00"
159,159,2020-11-09,173.00,173.00,170.00,172.00,0.00,"72,251.00","12,405,301.00"
