,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,287.00,302.00,284.00,295.00,3.15,"394,555.00","115,726,368.00"
2,2,2021-06-30,290.00,290.00,283.00,286.00,-1.38,"185,613.00","53,018,469.00"
3,3,2021-06-29,301.00,303.00,288.00,290.00,-3.01,"271,634.00","79,496,594.00"
4,4,2021-06-28,312.00,324.00,297.00,299.00,0.34,"931,690.00","286,134,999.00"
5,5,2021-06-27,271.00,298.00,271.00,298.00,9.96,"1,293,222.00","378,375,502.00"
6,6,2021-06-24,273.00,274.00,267.00,271.00,-0.73,"135,509.00","36,630,407.00"
7,7,2021-06-23,295.00,295.00,273.00,273.00,-2.85,"134,195.00","37,184,435.00"
8,8,2021-06-22,272.00,282.00,266.00,281.00,4.46,"222,354.00","61,368,580.00"
9,9,2021-06-21,294.00,294.00,269.00,269.00,-3.93,"248,496.00","67,804,425.00"
10,10,2021-06-20,293.00,293.00,277.00,280.00,-2.78,"167,393.00","47,133,722.00"
11,11,2021-06-17,290.00,292.00,286.00,288.00,-0.69,"162,807.00","46,851,378.00"
12,12,2021-06-16,298.00,299.00,288.00,290.00,-2.03,"266,593.00","78,105,931.00"
13,13,2021-06-15,300.00,304.00,295.00,296.00,0.00,"508,233.00","151,565,852.00"
14,14,2021-06-14,291.00,300.00,285.00,296.00,4.23,"534,327.00","157,303,197.00"
15,15,2021-06-13,285.00,288.00,280.00,284.00,0.35,"353,442.00","99,662,505.00"
16,16,2021-06-10,300.00,300.00,279.00,283.00,-1.05,"264,981.00","74,741,195.00"
17,17,2021-06-09,307.00,307.00,285.00,286.00,-2.39,"299,974.00","86,787,610.00"
18,18,2021-06-08,300.00,300.00,283.00,293.00,1.74,"378,797.00","110,329,804.00"
19,19,2021-06-07,299.00,300.00,281.00,288.00,-2.04,"597,790.00","171,614,046.00"
20,20,2021-06-06,285.00,299.00,281.00,294.00,6.14,"1,199,522.00","349,651,628.00"
21,21,2021-06-03,267.00,282.00,267.00,277.00,3.75,"760,410.00","209,721,814.00"
22,22,2021-06-02,273.00,273.00,260.00,267.00,2.69,"222,133.00","58,736,605.00"
23,23,2021-06-01,265.00,270.00,259.00,260.00,-2.62,"313,952.00","82,397,928.00"
24,24,2021-05-31,278.00,278.00,265.00,267.00,-2.20,"407,826.00","110,316,187.00"
25,25,2021-05-30,270.00,279.00,265.00,273.00,1.49,"406,111.00","110,030,745.00"
26,26,2021-05-27,263.00,278.00,259.00,269.00,0.75,"244,294.00","64,986,763.00"
27,27,2021-05-25,274.00,275.00,264.00,267.00,-2.55,"315,342.00","84,600,040.00"
28,28,2021-05-24,285.00,285.00,269.00,274.00,-0.36,"546,096.00","150,807,307.00"
29,29,2021-05-23,268.00,275.00,255.00,275.00,2.61,"355,986.00","95,897,148.00"
30,30,2021-05-20,260.00,273.00,260.00,268.00,3.08,"636,983.00","171,075,185.00"
31,31,2021-05-19,258.00,270.00,255.00,260.00,2.77,"731,720.00","192,728,144.00"
32,32,2021-05-18,254.00,260.00,251.00,253.00,0.40,"148,702.00","37,608,378.00"
33,33,2021-05-17,255.00,256.00,250.00,252.00,0.80,"214,564.00","54,116,507.00"
34,34,2021-05-16,246.00,251.00,244.00,250.00,2.04,"202,492.00","49,987,693.00"
35,35,2021-05-13,247.00,247.00,244.00,245.00,-0.41,"107,489.00","26,362,809.00"
36,36,2021-05-12,244.00,249.00,239.00,246.00,1.23,"264,905.00","64,897,372.00"
37,37,2021-05-11,248.00,248.00,235.00,243.00,2.53,"214,587.00","51,350,212.00"
38,38,2021-05-10,230.00,238.00,230.00,237.00,0.85,"138,482.00","32,569,238.00"
39,39,2021-05-09,246.00,246.00,231.00,235.00,0.00,"213,088.00","50,121,548.00"
40,40,2021-05-06,231.00,240.00,230.00,235.00,0.86,"124,891.00","29,110,404.00"
41,41,2021-05-05,230.00,234.00,228.00,233.00,0.87,"122,046.00","28,314,878.00"
42,42,2021-05-04,242.00,242.00,228.00,231.00,0.00,"90,056.00","20,695,068.00"
43,43,2021-05-03,232.00,236.00,230.00,231.00,-1.28,"200,242.00","46,388,244.00"
44,44,2021-05-02,233.00,236.00,231.00,234.00,0.43,"126,694.00","29,566,903.00"
45,45,2021-04-29,230.00,234.00,227.00,233.00,0.87,"97,949.00","22,642,624.00"
