,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,381.00,381.00,373.00,375.00,0.00,"70,222.00","26,395,816.00"
2,2,2021-06-30,393.00,393.00,366.00,375.00,0.00,"112,099.00","41,487,902.00"
3,3,2021-06-29,382.00,385.00,373.00,375.00,-2.09,"94,313.00","35,508,893.00"
4,4,2021-06-28,390.00,392.00,381.00,383.00,0.00,"173,361.00","66,916,428.00"
5,5,2021-06-27,374.00,392.00,363.00,383.00,3.51,"247,017.00","93,626,039.00"
6,6,2021-06-24,370.00,378.00,365.00,370.00,-0.54,"162,716.00","60,402,251.00"
7,7,2021-06-23,390.00,390.00,368.00,372.00,-2.87,"204,253.00","76,441,843.00"
8,8,2021-06-22,360.00,384.00,360.00,383.00,2.68,"229,883.00","86,610,383.00"
9,9,2021-06-21,402.00,402.00,372.00,373.00,-2.61,"253,927.00","95,460,893.00"
10,10,2021-06-20,395.00,398.00,377.00,383.00,-3.04,"355,191.00","136,273,763.00"
11,11,2021-06-17,400.00,400.00,392.00,395.00,-1.25,"187,322.00","74,018,837.00"
12,12,2021-06-16,405.00,410.00,393.00,400.00,0.25,"219,079.00","87,590,998.00"
13,13,2021-06-15,410.00,414.00,399.00,399.00,-1.48,"359,953.00","146,000,425.00"
14,14,2021-06-14,399.00,417.00,393.00,405.00,3.32,"409,054.00","165,149,766.00"
15,15,2021-06-13,386.00,392.00,383.00,392.00,1.55,"248,175.00","95,885,909.00"
16,16,2021-06-10,390.00,393.00,381.00,386.00,-0.52,"213,236.00","82,300,933.00"
17,17,2021-06-09,396.00,400.00,387.00,388.00,-1.27,"205,706.00","80,861,156.00"
18,18,2021-06-08,384.00,400.00,380.00,393.00,2.34,"433,277.00","170,144,365.00"
19,19,2021-06-07,400.00,400.00,381.00,384.00,-2.54,"448,769.00","173,198,871.00"
20,20,2021-06-06,380.00,400.00,380.00,394.00,5.91,"741,066.00","289,354,617.00"
21,21,2021-06-03,350.00,379.00,348.00,372.00,7.83,"623,647.00","226,581,631.00"
22,22,2021-06-02,342.00,346.00,336.00,345.00,1.47,"199,892.00","68,340,544.00"
23,23,2021-06-01,350.00,350.00,337.00,340.00,-0.58,"184,840.00","63,077,471.00"
24,24,2021-05-31,350.00,355.00,341.00,342.00,-1.16,"335,168.00","116,998,930.00"
25,25,2021-05-30,340.00,350.00,334.00,346.00,3.90,"382,736.00","131,080,445.00"
26,26,2021-05-27,330.00,338.00,325.00,333.00,0.00,"198,039.00","65,864,211.00"
27,27,2021-05-25,340.00,342.00,331.00,333.00,-1.19,"179,616.00","60,088,317.00"
28,28,2021-05-24,345.00,350.00,335.00,337.00,-0.88,"307,661.00","105,134,823.00"
29,29,2021-05-23,328.00,341.00,319.00,340.00,3.66,"291,651.00","97,308,214.00"
30,30,2021-05-20,325.00,331.00,322.00,328.00,1.86,"191,786.00","63,005,113.00"
31,31,2021-05-19,324.00,328.00,321.00,322.00,0.31,"179,071.00","58,120,828.00"
32,32,2021-05-18,321.00,322.00,317.00,321.00,0.63,"118,792.00","38,024,226.00"
33,33,2021-05-17,320.00,323.00,316.00,319.00,0.00,"131,073.00","41,819,417.00"
34,34,2021-05-16,315.00,320.00,314.00,319.00,2.24,"96,853.00","30,715,987.00"
35,35,2021-05-13,313.00,313.00,310.00,312.00,0.00,"65,574.00","20,407,436.00"
36,36,2021-05-12,312.00,314.00,310.00,312.00,-0.32,"47,960.00","14,955,474.00"
