,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,727.00,735.00,726.00,730.00,0.41,"19,289.00","14,057,965.00"
2,2,2021-06-30,725.00,730.00,720.00,727.00,-0.55,"42,693.00","30,920,481.00"
3,3,2021-06-29,736.00,740.00,727.00,731.00,-1.22,"38,681.00","28,312,109.00"
4,4,2021-06-28,743.00,754.00,736.00,740.00,-0.13,"33,456.00","24,904,540.00"
5,5,2021-06-27,730.00,744.00,722.00,741.00,1.93,"51,589.00","37,896,996.00"
6,6,2021-06-24,730.00,740.00,723.00,727.00,-0.41,"51,112.00","37,180,087.00"
7,7,2021-06-23,700.00,750.00,700.00,730.00,-0.82,"51,024.00","37,494,495.00"
8,8,2021-06-22,735.00,746.00,726.00,736.00,0.82,"42,220.00","31,127,573.00"
9,9,2021-06-21,731.00,748.00,726.00,730.00,-1.35,"48,350.00","35,400,672.00"
10,10,2021-06-20,750.00,754.00,736.00,740.00,-1.99,"107,650.00","80,016,241.00"
11,11,2021-06-17,770.00,771.00,750.00,755.00,-0.79,"79,509.00","60,140,760.00"
12,12,2021-06-16,774.00,784.00,753.00,761.00,-0.91,"108,958.00","83,880,611.00"
13,13,2021-06-15,775.00,811.00,766.00,768.00,0.00,"170,572.00","132,712,290.00"
14,14,2021-06-14,740.00,775.00,740.00,768.00,3.78,"330,226.00","252,492,965.00"
15,15,2021-06-13,732.00,760.00,722.00,740.00,1.37,"169,191.00","124,110,970.00"
16,16,2021-06-10,736.00,739.00,728.00,730.00,-0.82,"74,893.00","54,750,810.00"
17,17,2021-06-09,741.00,745.00,736.00,736.00,-0.54,"72,340.00","53,568,950.00"
18,18,2021-06-08,735.00,748.00,733.00,740.00,0.14,"69,274.00","51,268,755.00"
19,19,2021-06-07,765.00,779.00,735.00,739.00,-1.47,"88,626.00","65,968,075.00"
20,20,2021-06-06,739.00,763.00,739.00,750.00,2.32,"131,631.00","99,095,515.00"
21,21,2021-06-03,730.00,746.00,730.00,733.00,0.55,"75,821.00","55,938,086.00"
22,22,2021-06-02,728.00,732.00,723.00,729.00,0.14,"24,800.00","18,048,866.00"
23,23,2021-06-01,730.00,736.00,725.00,728.00,-0.27,"39,947.00","29,095,798.00"
24,24,2021-05-31,737.00,744.00,730.00,730.00,-0.95,"59,791.00","43,929,057.00"
25,25,2021-05-30,749.00,750.00,736.00,737.00,-0.27,"76,624.00","56,895,716.00"
26,26,2021-05-27,740.00,745.00,733.00,739.00,-0.54,"46,010.00","33,974,473.00"
27,27,2021-05-25,754.00,754.00,740.00,743.00,-1.46,"45,636.00","34,021,128.00"
28,28,2021-05-24,759.00,770.00,748.00,754.00,-0.53,"81,516.00","61,905,548.00"
29,29,2021-05-23,740.00,765.00,728.00,758.00,2.43,"99,053.00","74,228,587.00"
30,30,2021-05-20,745.00,745.00,735.00,740.00,0.27,"42,582.00","31,475,134.00"
31,31,2021-05-19,741.00,749.00,735.00,738.00,0.14,"99,076.00","73,395,922.00"
32,32,2021-05-18,755.00,755.00,733.00,737.00,0.00,"42,382.00","31,162,254.00"
33,33,2021-05-17,740.00,749.00,734.00,737.00,0.00,"46,533.00","34,370,932.00"
34,34,2021-05-16,735.00,737.00,723.00,737.00,2.08,"119,258.00","86,762,213.00"
35,35,2021-05-13,727.00,729.00,721.00,722.00,-0.55,"28,012.00","20,255,436.00"
36,36,2021-05-12,726.00,730.00,721.00,726.00,0.00,"19,404.00","14,045,996.00"
37,37,2021-05-11,691.00,736.00,691.00,726.00,0.00,"50,086.00","36,374,283.00"
38,38,2021-05-10,730.00,730.00,720.00,726.00,0.14,"19,470.00","14,086,756.00"
39,39,2021-05-09,761.00,761.00,720.00,725.00,0.00,"33,218.00","24,095,940.00"
40,40,2021-05-06,765.00,765.00,724.00,725.00,-0.55,"43,839.00","31,868,343.00"
41,41,2021-05-05,766.00,766.00,725.00,729.00,-0.14,"20,355.00","14,852,564.00"
42,42,2021-05-04,722.00,742.00,722.00,730.00,-0.41,"28,630.00","20,955,692.00"
43,43,2021-05-03,743.00,745.00,729.00,733.00,-1.35,"63,606.00","46,723,739.00"
44,44,2021-05-02,725.00,743.00,720.00,743.00,1.92,"48,838.00","35,843,386.00"
45,45,2021-04-29,727.00,733.00,719.00,729.00,-0.41,"53,554.00","39,000,536.00"
46,46,2021-04-28,740.00,740.00,720.00,732.00,-1.35,"27,044.00","19,798,436.00"
47,47,2021-04-27,712.00,742.00,710.00,742.00,2.34,"78,321.00","56,626,820.00"
48,48,2021-04-26,750.00,750.00,720.00,725.00,-3.20,"73,419.00","54,024,646.00"
49,49,2021-04-25,770.00,770.00,739.00,749.00,-3.23,"77,434.00","58,014,044.00"
50,50,2021-04-22,770.00,785.00,755.00,774.00,0.52,"34,174.00","26,364,320.00"
51,51,2021-04-21,784.00,784.00,767.00,770.00,-1.91,"50,076.00","38,606,777.00"
52,52,2021-04-20,789.00,799.00,778.00,785.00,-0.51,"52,731.00","41,356,339.00"
53,53,2021-04-19,811.00,814.00,788.00,789.00,-2.71,"97,109.00","77,565,650.00"
54,54,2021-04-18,815.00,834.00,800.00,811.00,-0.37,"1,086,498.00","876,299,268.00"
55,55,2021-04-15,841.00,841.00,802.00,814.00,1.62,"143,622.00","118,496,287.00"
56,56,2021-04-13,806.00,806.00,770.00,801.00,4.30,"119,986.00","94,850,767.00"
57,57,2021-04-12,740.00,780.00,740.00,768.00,2.81,"69,123.00","52,913,798.00"
58,58,2021-04-08,740.00,760.00,740.00,747.00,-0.40,"25,140.00","18,812,237.00"
59,59,2021-04-07,750.00,758.00,741.00,750.00,0.81,"39,841.00","29,813,159.00"
60,60,2021-04-06,751.00,751.00,740.00,744.00,-0.40,"30,265.00","22,491,040.00"
61,61,2021-04-05,760.00,765.00,746.00,747.00,-0.13,"41,431.00","31,244,108.00"
62,62,2021-04-04,752.00,755.00,741.00,748.00,-0.53,"31,251.00","23,312,095.00"
63,63,2021-04-01,760.00,769.00,752.00,752.00,-0.40,"29,185.00","22,199,061.00"
64,64,2021-03-31,736.00,765.00,735.00,755.00,2.58,"42,469.00","32,047,902.00"
65,65,2021-03-30,732.00,739.00,731.00,736.00,-0.14,"21,094.00","15,521,532.00"
66,66,2021-03-29,736.00,739.00,727.00,737.00,0.27,"25,119.00","18,392,453.00"
67,67,2021-03-25,750.00,750.00,735.00,735.00,-1.08,"22,482.00","16,634,692.00"
68,68,2021-03-24,732.00,744.00,725.00,743.00,1.36,"29,102.00","21,437,632.00"
69,69,2021-03-23,730.00,740.00,730.00,733.00,-0.41,"26,414.00","19,353,218.00"
70,70,2021-03-22,752.00,753.00,735.00,736.00,-1.21,"34,545.00","25,564,574.00"
71,71,2021-03-21,748.00,750.00,736.00,745.00,1.50,"21,883.00","16,230,252.00"
72,72,2021-03-18,736.00,747.00,733.00,734.00,-0.14,"69,097.00","51,036,021.00"
73,73,2021-03-17,735.00,738.00,723.00,735.00,1.38,"15,356.00","11,247,914.00"
74,74,2021-03-16,723.00,744.00,721.00,725.00,0.28,"31,280.00","22,773,710.00"
75,75,2021-03-15,733.00,748.00,723.00,723.00,-2.30,"81,855.00","59,813,422.00"
76,76,2021-03-14,763.00,763.00,735.00,740.00,-1.60,"56,246.00","41,598,362.00"
77,77,2021-03-10,760.00,778.00,751.00,752.00,-0.53,"32,179.00","24,344,208.00"
78,78,2021-03-09,770.00,770.00,753.00,756.00,-1.43,"36,921.00","28,075,719.00"
79,79,2021-03-07,772.00,783.00,755.00,767.00,-1.29,"46,468.00","35,593,082.00"
80,80,2021-03-04,780.00,781.00,755.00,777.00,3.19,"51,827.00","39,969,457.00"
81,81,2021-03-03,770.00,770.00,740.00,753.00,-1.57,"67,281.00","50,556,357.00"
82,82,2021-03-02,800.00,804.00,760.00,765.00,-3.04,"64,371.00","49,683,369.00"
83,83,2021-03-01,781.00,799.00,768.00,789.00,1.02,"71,567.00","56,121,331.00"
84,84,2021-02-28,805.00,805.00,776.00,781.00,-2.98,"96,593.00","75,947,976.00"
85,85,2021-02-25,832.00,832.00,801.00,805.00,-3.25,"105,579.00","85,732,477.00"
86,86,2021-02-24,809.00,864.00,804.00,832.00,1.96,"205,223.00","171,553,233.00"
87,87,2021-02-23,805.00,821.00,791.00,816.00,0.37,"68,861.00","55,096,919.00"
88,88,2021-02-22,838.00,838.00,808.00,813.00,-2.52,"140,427.00","115,181,706.00"
89,89,2021-02-21,850.00,850.00,827.00,834.00,-0.48,"119,367.00","99,949,400.00"
90,90,2021-02-18,854.00,854.00,810.00,838.00,2.95,"267,682.00","222,959,920.00"
91,91,2021-02-17,830.00,830.00,789.00,814.00,2.91,"185,645.00","149,859,972.00"
92,92,2021-02-16,805.00,808.00,781.00,791.00,-0.75,"104,697.00","83,440,419.00"
93,93,2021-02-15,790.00,800.00,779.00,797.00,2.84,"93,653.00","74,044,059.00"
94,94,2021-02-14,789.00,790.00,775.00,775.00,-1.27,"51,502.00","40,239,123.00"
95,95,2021-02-11,780.00,798.00,778.00,785.00,0.77,"72,238.00","56,989,317.00"
96,96,2021-02-10,790.00,797.00,770.00,779.00,-0.38,"37,489.00","29,232,671.00"
97,97,2021-02-09,807.00,820.00,775.00,782.00,-1.26,"44,848.00","35,110,094.00"
