,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,440.00,444.00,436.00,436.00,0.00,"85,041.00","37,206,137.00"
2,2,2021-06-30,459.00,459.00,433.00,436.00,-0.46,"110,066.00","47,863,865.00"
3,3,2021-06-29,460.00,460.00,436.00,438.00,-1.13,"128,533.00","56,427,275.00"
4,4,2021-06-28,460.00,460.00,441.00,443.00,0.91,"131,115.00","58,092,406.00"
5,5,2021-06-27,436.00,444.00,433.00,439.00,0.92,"226,747.00","99,798,770.00"
6,6,2021-06-24,440.00,442.00,433.00,435.00,-0.68,"147,509.00","64,274,284.00"
7,7,2021-06-23,444.00,450.00,437.00,438.00,-1.35,"147,691.00","65,055,340.00"
8,8,2021-06-22,434.00,445.00,432.00,444.00,2.07,"233,469.00","102,913,345.00"
9,9,2021-06-21,445.00,448.00,435.00,435.00,-1.81,"259,109.00","113,597,621.00"
10,10,2021-06-20,471.00,471.00,439.00,443.00,-1.34,"426,346.00","189,332,699.00"
11,11,2021-06-17,453.00,458.00,447.00,449.00,-0.88,"284,677.00","128,116,133.00"
12,12,2021-06-16,455.00,463.00,450.00,453.00,-0.66,"243,809.00","111,234,657.00"
13,13,2021-06-15,460.00,465.00,455.00,456.00,0.00,"474,077.00","217,752,643.00"
14,14,2021-06-14,445.00,463.00,445.00,456.00,2.01,"536,563.00","244,785,620.00"
15,15,2021-06-13,452.00,452.00,444.00,447.00,-0.22,"322,265.00","144,032,758.00"
16,16,2021-06-10,454.00,460.00,447.00,448.00,-1.32,"291,373.00","131,021,051.00"
17,17,2021-06-09,460.00,463.00,450.00,454.00,-0.87,"242,778.00","110,484,227.00"
18,18,2021-06-08,460.00,460.00,451.00,458.00,0.44,"365,267.00","166,770,813.00"
19,19,2021-06-07,472.00,474.00,452.00,456.00,-1.94,"426,535.00","195,632,646.00"
20,20,2021-06-06,455.00,478.00,455.00,465.00,3.33,"775,363.00","360,983,649.00"
21,21,2021-06-03,439.00,457.00,439.00,450.00,2.74,"447,801.00","200,712,643.00"
22,22,2021-06-02,440.00,443.00,435.00,438.00,0.00,"145,074.00","63,652,284.00"
23,23,2021-06-01,443.00,443.00,436.00,438.00,-0.90,"157,634.00","69,128,956.00"
24,24,2021-05-31,450.00,452.00,440.00,442.00,-1.12,"200,539.00","89,223,503.00"
25,25,2021-05-30,447.00,451.00,441.00,447.00,0.90,"278,405.00","124,272,271.00"
26,26,2021-05-27,445.00,449.00,436.00,443.00,-1.12,"263,669.00","116,809,125.00"
27,27,2021-05-25,465.00,465.00,444.00,448.00,-1.32,"202,744.00","91,132,381.00"
28,28,2021-05-24,450.00,460.00,449.00,454.00,1.79,"446,696.00","203,185,357.00"
29,29,2021-05-23,439.00,446.00,429.00,446.00,1.36,"254,827.00","112,469,683.00"
30,30,2021-05-20,445.00,445.00,439.00,440.00,0.46,"173,200.00","76,364,673.00"
31,31,2021-05-19,436.00,448.00,436.00,438.00,0.46,"204,916.00","90,549,939.00"
32,32,2021-05-18,440.00,440.00,433.00,436.00,0.00,"202,555.00","88,099,465.00"
33,33,2021-05-17,445.00,445.00,434.00,436.00,0.23,"177,433.00","77,517,874.00"
34,34,2021-05-16,430.00,436.00,428.00,435.00,1.64,"183,194.00","79,205,464.00"
35,35,2021-05-13,448.00,448.00,426.00,428.00,0.23,"133,521.00","57,065,897.00"
36,36,2021-05-12,434.00,434.00,425.00,427.00,-0.47,"73,277.00","31,277,844.00"
37,37,2021-05-11,428.00,431.00,426.00,429.00,0.23,"85,214.00","36,464,251.00"
38,38,2021-05-10,424.00,428.00,421.00,428.00,0.94,"81,948.00","34,879,517.00"
39,39,2021-05-09,425.00,430.00,421.00,424.00,-0.24,"140,603.00","59,792,490.00"
40,40,2021-05-06,430.00,434.00,421.00,425.00,-0.23,"174,044.00","73,825,240.00"
41,41,2021-05-05,426.00,433.00,424.00,426.00,-0.23,"110,023.00","46,880,111.00"
42,42,2021-05-04,429.00,435.00,425.00,427.00,-0.47,"134,177.00","57,181,570.00"
43,43,2021-05-03,434.00,440.00,427.00,429.00,-0.69,"192,066.00","82,800,310.00"
44,44,2021-05-02,430.00,432.00,425.00,432.00,1.17,"274,897.00","117,878,434.00"
45,45,2021-04-29,434.00,434.00,424.00,427.00,0.23,"141,913.00","60,463,259.00"
46,46,2021-04-28,449.00,449.00,423.00,426.00,-0.47,"252,825.00","108,205,264.00"
47,47,2021-04-27,402.00,429.00,402.00,428.00,3.13,"192,551.00","81,383,768.00"
48,48,2021-04-26,428.00,429.00,415.00,415.00,-3.04,"294,548.00","123,488,490.00"
49,49,2021-04-25,439.00,440.00,424.00,428.00,-2.51,"265,083.00","113,492,684.00"
50,50,2021-04-22,440.00,440.00,431.00,439.00,0.23,"229,924.00","100,298,429.00"
51,51,2021-04-21,442.00,445.00,435.00,438.00,-1.13,"194,399.00","85,237,781.00"
52,52,2021-04-20,465.00,465.00,438.00,443.00,-0.45,"157,937.00","70,009,221.00"
53,53,2021-04-19,450.00,456.00,441.00,445.00,-1.11,"342,531.00","152,720,465.00"
54,54,2021-04-18,483.00,483.00,449.00,450.00,-2.17,"406,321.00","185,772,967.00"
55,55,2021-04-15,450.00,465.00,450.00,460.00,2.22,"438,732.00","201,836,014.00"
56,56,2021-04-13,430.00,450.00,430.00,450.00,1.58,"306,161.00","136,758,801.00"
57,57,2021-04-12,443.00,450.00,442.00,443.00,0.00,"199,814.00","88,836,316.00"
58,58,2021-04-08,422.00,449.00,422.00,443.00,0.00,"169,485.00","75,280,074.00"
59,59,2021-04-07,465.00,465.00,440.00,443.00,0.00,"158,297.00","70,438,654.00"
60,60,2021-04-06,444.00,446.00,439.00,443.00,0.00,"181,930.00","80,365,568.00"
61,61,2021-04-05,455.00,455.00,441.00,443.00,-1.12,"236,415.00","105,534,877.00"
62,62,2021-04-04,444.00,450.00,440.00,448.00,2.52,"331,931.00","148,241,384.00"
63,63,2021-04-01,440.00,444.00,434.00,437.00,-0.23,"173,432.00","75,952,685.00"
64,64,2021-03-31,428.00,439.00,425.00,438.00,3.06,"254,475.00","110,675,667.00"
65,65,2021-03-30,430.00,430.00,422.00,425.00,0.24,"162,645.00","68,967,002.00"
66,66,2021-03-29,431.00,431.00,423.00,424.00,-0.93,"135,978.00","57,832,509.00"
67,67,2021-03-25,432.00,435.00,427.00,428.00,-0.47,"184,604.00","79,321,405.00"
68,68,2021-03-24,430.00,436.00,429.00,430.00,0.23,"206,453.00","88,990,493.00"
69,69,2021-03-23,453.00,453.00,427.00,429.00,-0.69,"154,692.00","66,351,570.00"
70,70,2021-03-22,459.00,459.00,430.00,432.00,-1.37,"163,519.00","70,899,356.00"
71,71,2021-03-21,455.00,455.00,428.00,438.00,0.92,"193,175.00","84,174,337.00"
72,72,2021-03-18,450.00,450.00,425.00,434.00,1.17,"166,997.00","72,623,943.00"
73,73,2021-03-17,428.00,430.00,420.00,429.00,1.90,"173,780.00","73,865,146.00"
74,74,2021-03-16,441.00,441.00,418.00,421.00,0.24,"185,465.00","78,250,977.00"
75,75,2021-03-15,431.00,431.00,415.00,420.00,-1.87,"236,501.00","100,067,541.00"
76,76,2021-03-14,462.00,462.00,426.00,428.00,-2.95,"373,544.00","161,104,486.00"
77,77,2021-03-10,447.00,452.00,432.00,441.00,-1.34,"149,324.00","66,073,434.00"
78,78,2021-03-09,485.00,485.00,442.00,447.00,-3.25,"243,133.00","108,923,424.00"
79,79,2021-03-07,453.00,462.00,434.00,462.00,3.82,"386,533.00","171,353,870.00"
80,80,2021-03-04,430.00,466.00,430.00,445.00,3.73,"393,831.00","174,499,283.00"
81,81,2021-03-03,440.00,440.00,421.00,429.00,-2.05,"429,910.00","183,146,795.00"
82,82,2021-03-02,454.00,456.00,434.00,438.00,-2.23,"362,094.00","159,071,122.00"
83,83,2021-03-01,438.00,451.00,427.00,448.00,2.28,"521,116.00","230,476,988.00"
84,84,2021-02-28,464.00,473.00,435.00,438.00,-5.60,"765,812.00","340,075,245.00"
85,85,2021-02-25,485.00,485.00,460.00,464.00,-2.93,"371,637.00","173,090,921.00"
86,86,2021-02-24,485.00,487.00,472.00,478.00,0.84,"426,557.00","204,002,985.00"
87,87,2021-02-23,487.00,487.00,460.00,474.00,-1.86,"633,534.00","296,292,058.00"
88,88,2021-02-22,480.00,483.00,465.00,483.00,1.68,"626,623.00","295,917,320.00"
89,89,2021-02-21,490.00,499.00,470.00,475.00,-2.26,"653,611.00","312,254,212.00"
90,90,2021-02-18,512.00,522.00,485.00,486.00,-2.80,"546,302.00","269,651,697.00"
91,91,2021-02-17,500.00,506.00,485.00,500.00,0.40,"734,565.00","360,999,751.00"
92,92,2021-02-16,499.00,506.00,484.00,498.00,4.62,"858,438.00","425,071,916.00"
93,93,2021-02-15,448.00,477.00,448.00,476.00,7.94,"1,010,702.00","469,024,483.00"
94,94,2021-02-14,455.00,460.00,434.00,441.00,-2.43,"436,688.00","192,977,356.00"
95,95,2021-02-11,455.00,464.00,449.00,452.00,0.89,"610,999.00","278,227,721.00"
96,96,2021-02-10,425.00,456.00,415.00,448.00,5.91,"1,174,538.00","521,725,188.00"
97,97,2021-02-09,420.00,432.00,416.00,423.00,2.17,"700,501.00","294,568,722.00"
98,98,2021-02-08,405.00,420.00,400.00,414.00,3.50,"716,803.00","294,232,772.00"
99,99,2021-02-07,408.00,410.00,396.00,400.00,0.00,"736,035.00","294,607,343.00"
100,100,2021-02-04,400.00,405.00,393.00,400.00,0.00,"514,761.00","205,622,752.00"
101,101,2021-02-03,391.00,416.00,389.00,400.00,4.99,"1,506,061.00","608,011,040.00"
102,102,2021-02-02,350.00,382.00,350.00,381.00,9.48,"1,460,393.00","536,348,909.00"
103,103,2021-02-01,330.00,351.00,330.00,348.00,4.19,"448,830.00","153,275,118.00"
104,104,2021-01-31,341.00,344.00,333.00,334.00,-2.05,"213,318.00","71,798,850.00"
105,105,2021-01-28,350.00,350.00,336.00,341.00,2.10,"578,619.00","196,499,331.00"
106,106,2021-01-27,339.00,339.00,333.00,334.00,-0.60,"161,821.00","54,127,411.00"
107,107,2021-01-26,353.00,353.00,334.00,336.00,-0.30,"192,160.00","64,711,336.00"
108,108,2021-01-25,351.00,351.00,333.00,337.00,0.60,"259,608.00","87,333,966.00"
109,109,2021-01-24,335.00,340.00,332.00,335.00,0.90,"214,742.00","71,938,898.00"
110,110,2021-01-21,335.00,335.00,330.00,332.00,-0.30,"210,724.00","69,953,682.00"
111,111,2021-01-20,350.00,350.00,328.00,333.00,-0.30,"149,578.00","49,850,770.00"
112,112,2021-01-19,350.00,350.00,333.00,334.00,-0.60,"215,792.00","72,331,020.00"
113,113,2021-01-18,338.00,339.00,335.00,336.00,0.00,"220,997.00","74,346,847.00"
114,114,2021-01-17,345.00,345.00,334.00,336.00,-0.88,"249,522.00","84,002,176.00"
115,115,2021-01-13,345.00,345.00,338.00,339.00,-0.29,"191,805.00","65,295,700.00"
116,116,2021-01-12,345.00,345.00,334.00,340.00,0.59,"165,810.00","56,230,439.00"
117,117,2021-01-11,335.00,345.00,333.00,338.00,3.05,"432,542.00","146,826,018.00"
118,118,2021-01-10,321.00,329.00,317.00,328.00,4.13,"434,030.00","141,110,287.00"
119,119,2021-01-07,315.00,318.00,313.00,315.00,0.00,"186,361.00","58,700,594.00"
120,120,2021-01-06,315.00,317.00,312.00,315.00,0.32,"128,949.00","40,556,252.00"
121,121,2021-01-05,320.00,322.00,312.00,314.00,-1.26,"113,673.00","35,733,751.00"
122,122,2021-01-04,325.00,330.00,315.00,318.00,-0.63,"185,178.00","59,460,791.00"
123,123,2021-01-03,312.00,320.00,309.00,320.00,3.56,"266,110.00","83,468,436.00"
124,124,2020-12-31,308.00,312.00,302.00,309.00,0.98,"284,887.00","87,723,080.00"
125,125,2020-12-30,310.00,310.00,300.00,306.00,-0.33,"290,146.00","88,235,285.00"
126,126,2020-12-29,359.00,359.00,347.00,350.00,-0.85,"669,605.00","235,087,705.00"
127,127,2020-12-28,354.00,360.00,347.00,353.00,0.28,"362,278.00","127,433,862.00"
128,128,2020-12-27,360.00,360.00,351.00,352.00,-1.95,"435,022.00","154,655,019.00"
129,129,2020-12-24,350.00,359.00,347.00,359.00,3.16,"376,008.00","131,907,615.00"
