,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,365.00,371.00,364.00,365.00,0.00,"123,394.00","45,181,798.00"
2,2,2021-06-30,360.00,366.00,359.00,365.00,0.00,"221,360.00","80,038,257.00"
3,3,2021-06-29,376.00,376.00,363.00,365.00,-1.88,"146,089.00","53,547,379.00"
4,4,2021-06-28,376.00,384.00,370.00,372.00,0.27,"181,568.00","68,069,550.00"
5,5,2021-06-27,370.00,383.00,361.00,371.00,2.20,"277,049.00","103,288,310.00"
6,6,2021-06-24,365.00,368.00,361.00,363.00,-0.82,"197,918.00","72,150,106.00"
7,7,2021-06-23,395.00,395.00,365.00,366.00,-2.92,"207,020.00","76,688,165.00"
8,8,2021-06-22,360.00,378.00,360.00,377.00,3.29,"397,505.00","147,273,679.00"
9,9,2021-06-21,376.00,380.00,362.00,365.00,-2.41,"384,907.00","141,134,048.00"
10,10,2021-06-20,405.00,405.00,368.00,374.00,-3.11,"351,888.00","132,466,211.00"
11,11,2021-06-17,392.00,393.00,383.00,386.00,-1.28,"363,911.00","140,620,511.00"
12,12,2021-06-16,395.00,400.00,384.00,391.00,-1.01,"591,856.00","232,722,387.00"
13,13,2021-06-15,400.00,404.00,392.00,395.00,0.25,"624,053.00","248,395,144.00"
14,14,2021-06-14,383.00,402.00,382.00,394.00,3.68,"762,378.00","299,011,512.00"
15,15,2021-06-13,387.00,387.00,374.00,380.00,1.06,"485,796.00","183,113,474.00"
16,16,2021-06-10,381.00,382.00,374.00,376.00,-0.79,"316,560.00","119,255,752.00"
17,17,2021-06-09,380.00,390.00,375.00,379.00,0.00,"506,932.00","194,605,650.00"
18,18,2021-06-08,370.00,381.00,363.00,379.00,3.84,"764,581.00","286,244,110.00"
19,19,2021-06-07,385.00,385.00,359.00,365.00,-2.67,"938,914.00","344,183,973.00"
20,20,2021-06-06,360.00,384.00,360.00,375.00,6.53,"1,252,475.00","465,740,509.00"
21,21,2021-06-03,341.00,359.00,340.00,352.00,3.83,"813,270.00","284,661,375.00"
22,22,2021-06-02,354.00,354.00,335.00,339.00,0.30,"149,580.00","50,637,048.00"
23,23,2021-06-01,340.00,342.00,336.00,338.00,-0.59,"175,329.00","59,309,327.00"
24,24,2021-05-31,343.00,350.00,340.00,340.00,-0.87,"363,965.00","125,755,866.00"
25,25,2021-05-30,340.00,350.00,333.00,343.00,1.78,"364,839.00","124,953,153.00"
26,26,2021-05-27,337.00,343.00,325.00,337.00,0.00,"260,162.00","87,149,171.00"
27,27,2021-05-25,345.00,348.00,335.00,337.00,-2.03,"279,444.00","94,936,252.00"
28,28,2021-05-24,342.00,354.00,340.00,344.00,0.88,"633,641.00","219,806,581.00"
