,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,399.00,399.00,390.00,392.00,-0.25,"46,465.00","18,304,761.00"
2,2,2021-06-30,390.00,394.00,383.00,393.00,-0.25,"80,806.00","31,400,792.00"
3,3,2021-06-29,404.00,405.00,392.00,394.00,-1.99,"60,661.00","24,030,444.00"
4,4,2021-06-28,403.00,408.00,398.00,402.00,0.25,"101,837.00","41,120,734.00"
5,5,2021-06-27,399.00,409.00,385.00,401.00,2.04,"134,723.00","53,935,750.00"
6,6,2021-06-24,398.00,398.00,390.00,393.00,-1.26,"92,466.00","36,444,600.00"
7,7,2021-06-23,430.00,430.00,395.00,398.00,-2.93,"115,804.00","46,410,025.00"
8,8,2021-06-22,375.00,411.00,375.00,410.00,4.86,"173,167.00","69,645,392.00"
9,9,2021-06-21,423.00,423.00,390.00,391.00,-2.98,"229,977.00","90,952,225.00"
10,10,2021-06-20,412.00,417.00,397.00,403.00,-2.89,"283,752.00","114,781,686.00"
11,11,2021-06-17,424.00,424.00,409.00,415.00,-1.19,"159,452.00","66,132,835.00"
12,12,2021-06-16,425.00,432.00,412.00,420.00,-0.47,"280,566.00","119,146,912.00"
13,13,2021-06-15,432.00,447.00,421.00,422.00,-2.31,"324,492.00","140,365,744.00"
14,14,2021-06-14,412.00,445.00,410.00,432.00,6.14,"481,155.00","207,487,454.00"
15,15,2021-06-13,425.00,425.00,397.00,407.00,0.49,"347,004.00","139,498,303.00"
16,16,2021-06-10,430.00,430.00,399.00,405.00,-1.22,"287,494.00","116,105,201.00"
17,17,2021-06-09,410.00,429.00,405.00,410.00,1.49,"403,348.00","167,257,534.00"
18,18,2021-06-08,377.00,404.00,377.00,404.00,7.16,"512,888.00","201,465,899.00"
19,19,2021-06-07,398.00,398.00,372.00,377.00,-3.58,"477,703.00","181,617,996.00"
20,20,2021-06-06,370.00,398.00,370.00,391.00,8.01,"596,499.00","232,087,717.00"
21,21,2021-06-03,336.00,364.00,336.00,362.00,7.74,"723,840.00","256,038,681.00"
22,22,2021-06-02,336.00,338.00,331.00,336.00,0.90,"106,845.00","35,791,713.00"
23,23,2021-06-01,330.00,340.00,329.00,333.00,-0.89,"151,466.00","50,656,686.00"
24,24,2021-05-31,358.00,358.00,334.00,336.00,-1.47,"216,828.00","73,885,265.00"
25,25,2021-05-30,336.00,344.00,328.00,341.00,2.40,"214,828.00","72,637,405.00"
26,26,2021-05-27,328.00,337.00,319.00,333.00,0.60,"154,898.00","50,753,017.00"
27,27,2021-05-25,354.00,354.00,330.00,331.00,-2.07,"145,890.00","48,550,642.00"
28,28,2021-05-24,343.00,350.00,333.00,338.00,-0.29,"231,898.00","78,429,668.00"
29,29,2021-05-23,329.00,342.00,319.00,339.00,3.04,"314,870.00","104,930,729.00"
30,30,2021-05-20,304.00,333.00,304.00,329.00,3.13,"317,288.00","104,112,927.00"
31,31,2021-05-19,322.00,327.00,317.00,319.00,-0.31,"243,302.00","78,643,269.00"
32,32,2021-05-18,317.00,320.00,313.00,320.00,1.59,"133,499.00","42,277,151.00"
33,33,2021-05-17,315.00,320.00,315.00,315.00,0.00,"94,886.00","30,111,901.00"
34,34,2021-05-16,315.00,319.00,312.00,315.00,0.96,"90,435.00","28,453,373.00"
35,35,2021-05-13,324.00,324.00,309.00,312.00,0.32,"62,545.00","19,441,259.00"
36,36,2021-05-12,310.00,313.00,307.00,311.00,0.32,"72,344.00","22,469,387.00"
37,37,2021-05-11,310.00,313.00,306.00,310.00,0.00,"78,008.00","24,191,913.00"
38,38,2021-05-10,327.00,327.00,306.00,310.00,-0.64,"91,344.00","28,281,183.00"
39,39,2021-05-09,330.00,335.00,310.00,312.00,-3.41,"218,204.00","69,364,923.00"
