,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,380.00,386.00,379.00,380.00,-0.26,"88,156.00","33,708,954.00"
2,2,2021-06-30,375.00,381.00,373.00,381.00,0.00,"128,160.00","48,245,983.00"
3,3,2021-06-29,394.00,394.00,379.00,381.00,-2.06,"129,364.00","49,382,099.00"
4,4,2021-06-28,397.00,397.00,388.00,389.00,-0.26,"136,529.00","53,479,560.00"
5,5,2021-06-27,380.00,396.00,371.00,390.00,2.63,"250,934.00","96,997,491.00"
6,6,2021-06-24,380.00,388.00,373.00,380.00,0.00,"111,123.00","42,092,004.00"
7,7,2021-06-23,391.00,392.00,378.00,380.00,-2.81,"122,241.00","46,858,339.00"
8,8,2021-06-22,375.00,394.00,375.00,391.00,2.89,"198,748.00","76,627,326.00"
9,9,2021-06-21,410.00,410.00,377.00,380.00,-2.81,"299,383.00","114,469,036.00"
10,10,2021-06-20,401.00,403.00,387.00,391.00,-3.22,"302,686.00","119,525,614.00"
11,11,2021-06-17,406.00,406.00,396.00,404.00,0.25,"169,330.00","67,880,626.00"
12,12,2021-06-16,406.00,420.00,396.00,403.00,-0.74,"314,455.00","127,875,136.00"
13,13,2021-06-15,391.00,424.00,391.00,406.00,-1.22,"443,314.00","183,362,238.00"
14,14,2021-06-14,395.00,413.00,395.00,411.00,4.85,"423,497.00","172,536,687.00"
15,15,2021-06-13,392.00,394.00,379.00,392.00,1.82,"295,127.00","113,895,448.00"
16,16,2021-06-10,383.00,391.00,382.00,385.00,-0.77,"189,205.00","72,955,989.00"
17,17,2021-06-09,405.00,405.00,385.00,388.00,-1.52,"182,534.00","71,795,124.00"
18,18,2021-06-08,390.00,404.00,386.00,394.00,1.03,"358,544.00","141,196,911.00"
19,19,2021-06-07,399.00,399.00,380.00,390.00,-0.51,"474,684.00","183,191,022.00"
20,20,2021-06-06,380.00,400.00,376.00,392.00,5.95,"573,046.00","222,162,397.00"
21,21,2021-06-03,345.00,374.00,345.00,370.00,6.32,"689,017.00","252,180,338.00"
22,22,2021-06-02,345.00,351.00,343.00,348.00,0.29,"123,605.00","43,102,615.00"
23,23,2021-06-01,350.00,353.00,342.00,347.00,-0.57,"93,619.00","32,495,269.00"
24,24,2021-05-31,358.00,363.00,348.00,349.00,-1.41,"304,061.00","108,054,304.00"
25,25,2021-05-30,342.00,357.00,339.00,354.00,3.51,"368,516.00","129,361,168.00"
26,26,2021-05-27,342.00,349.00,330.00,342.00,0.00,"220,817.00","75,022,821.00"
27,27,2021-05-25,364.00,364.00,339.00,342.00,-1.44,"202,333.00","69,666,914.00"
28,28,2021-05-24,350.00,360.00,344.00,347.00,-0.86,"426,622.00","149,327,605.00"
29,29,2021-05-23,334.00,351.00,326.00,350.00,5.11,"450,713.00","153,511,385.00"
30,30,2021-05-20,328.00,334.00,326.00,333.00,3.10,"279,842.00","92,727,687.00"
31,31,2021-05-19,327.00,335.00,322.00,323.00,0.00,"332,161.00","108,717,328.00"
32,32,2021-05-18,318.00,323.00,317.00,323.00,1.57,"131,411.00","42,015,460.00"
33,33,2021-05-17,320.00,323.00,316.00,318.00,0.32,"117,270.00","37,270,771.00"
34,34,2021-05-16,314.00,317.00,311.00,317.00,2.26,"119,160.00","37,493,557.00"
35,35,2021-05-13,307.00,312.00,307.00,310.00,0.65,"56,793.00","17,577,980.00"
36,36,2021-05-12,313.00,313.00,307.00,308.00,-0.65,"37,537.00","11,578,879.00"
37,37,2021-05-11,315.00,315.00,309.00,310.00,0.32,"42,457.00","13,189,782.00"
38,38,2021-05-10,313.00,314.00,309.00,309.00,-0.64,"33,258.00","10,313,011.00"
39,39,2021-05-09,310.00,318.00,300.00,311.00,1.63,"209,074.00","65,210,783.00"
40,40,2021-05-06,303.00,313.00,300.00,306.00,0.99,"84,268.00","25,787,221.00"
41,41,2021-05-05,302.00,305.00,302.00,303.00,-0.33,"69,333.00","21,016,483.00"
42,42,2021-05-04,305.00,308.00,301.00,304.00,-0.33,"47,086.00","14,314,387.00"
43,43,2021-05-03,292.00,314.00,292.00,305.00,-0.65,"94,379.00","28,952,731.00"
44,44,2021-05-02,320.00,320.00,302.00,307.00,0.66,"51,049.00","15,678,086.00"
45,45,2021-04-29,300.00,307.00,298.00,305.00,0.99,"35,053.00","10,642,607.00"
46,46,2021-04-28,307.00,310.00,300.00,302.00,-1.63,"40,773.00","12,380,162.00"
47,47,2021-04-27,300.00,309.00,296.00,307.00,3.72,"74,813.00","22,664,490.00"
48,48,2021-04-26,300.00,305.00,292.00,296.00,-1.00,"85,543.00","25,577,347.00"
49,49,2021-04-25,310.00,312.00,299.00,299.00,-3.86,"117,305.00","35,532,033.00"
50,50,2021-04-22,295.00,312.00,295.00,311.00,0.32,"74,688.00","23,060,587.00"
51,51,2021-04-21,298.00,317.00,298.00,310.00,-0.96,"68,343.00","21,227,760.00"
52,52,2021-04-20,313.00,316.00,310.00,313.00,0.00,"68,935.00","21,565,578.00"
53,53,2021-04-19,320.00,322.00,312.00,313.00,-2.19,"80,388.00","25,405,178.00"
54,54,2021-04-18,325.00,328.00,320.00,320.00,-1.54,"102,248.00","33,022,149.00"
55,55,2021-04-15,322.00,330.00,322.00,325.00,0.93,"158,173.00","51,639,331.00"
56,56,2021-04-13,320.00,323.00,314.00,322.00,2.55,"138,560.00","44,274,317.00"
57,57,2021-04-12,311.00,315.00,308.00,314.00,0.96,"90,281.00","28,188,939.00"
58,58,2021-04-08,311.00,311.00,308.00,311.00,0.32,"83,930.00","25,986,409.00"
59,59,2021-04-07,309.00,314.00,308.00,310.00,-0.32,"76,507.00","23,830,893.00"
60,60,2021-04-06,310.00,311.00,305.00,311.00,0.32,"73,720.00","22,750,126.00"
61,61,2021-04-05,313.00,313.00,308.00,310.00,-0.96,"46,535.00","14,437,313.00"
62,62,2021-04-04,312.00,317.00,309.00,313.00,1.62,"76,154.00","23,758,971.00"
63,63,2021-04-01,303.00,311.00,303.00,308.00,0.98,"100,525.00","30,914,790.00"
64,64,2021-03-31,302.00,307.00,301.00,305.00,0.99,"72,242.00","22,027,490.00"
65,65,2021-03-30,298.00,302.00,298.00,302.00,0.67,"37,153.00","11,161,206.00"
66,66,2021-03-29,298.00,301.00,297.00,300.00,-0.66,"41,009.00","12,242,532.00"
67,67,2021-03-25,307.00,308.00,300.00,302.00,-1.63,"74,086.00","22,350,629.00"
68,68,2021-03-24,300.00,308.00,299.00,307.00,2.33,"99,994.00","30,271,953.00"
69,69,2021-03-23,300.00,301.00,296.00,300.00,0.00,"34,491.00","10,328,526.00"
70,70,2021-03-22,307.00,308.00,299.00,300.00,-2.28,"49,436.00","14,935,969.00"
71,71,2021-03-21,305.00,309.00,300.00,307.00,1.32,"56,449.00","17,170,879.00"
72,72,2021-03-18,309.00,315.00,295.00,303.00,2.71,"76,514.00","23,225,630.00"
73,73,2021-03-17,286.00,295.00,286.00,295.00,2.43,"50,674.00","14,786,028.00"
74,74,2021-03-16,287.00,290.00,285.00,288.00,0.35,"77,944.00","22,345,188.00"
75,75,2021-03-15,287.00,290.00,281.00,287.00,-1.37,"81,646.00","23,429,895.00"
76,76,2021-03-14,295.00,299.00,288.00,291.00,-2.35,"95,937.00","27,920,150.00"
77,77,2021-03-10,298.00,302.00,297.00,298.00,0.00,"45,586.00","13,608,547.00"
78,78,2021-03-09,300.00,304.00,296.00,298.00,-1.32,"56,919.00","17,032,578.00"
79,79,2021-03-07,307.00,309.00,300.00,302.00,-1.63,"88,289.00","26,814,609.00"
80,80,2021-03-04,301.00,308.00,301.00,307.00,1.99,"95,977.00","29,234,571.00"
81,81,2021-03-03,300.00,314.00,291.00,301.00,1.01,"124,851.00","36,970,383.00"
82,82,2021-03-02,305.00,310.00,295.00,298.00,-3.25,"98,396.00","29,643,983.00"
83,83,2021-03-01,301.00,321.00,298.00,308.00,1.32,"100,710.00","30,965,831.00"
