,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,361.00,373.00,360.00,370.00,2.49,"493,831.00","182,452,424.00"
2,2,2021-06-30,360.00,362.00,355.00,361.00,-0.55,"179,058.00","64,071,014.00"
3,3,2021-06-29,380.00,380.00,361.00,363.00,-2.42,"173,933.00","63,473,795.00"
4,4,2021-06-28,370.00,377.00,369.00,372.00,1.09,"211,430.00","78,756,477.00"
5,5,2021-06-27,360.00,373.00,355.00,368.00,2.51,"273,284.00","100,134,629.00"
6,6,2021-06-24,356.00,363.00,355.00,359.00,-0.83,"169,134.00","60,657,271.00"
7,7,2021-06-23,374.00,375.00,360.00,362.00,-2.69,"215,954.00","78,913,974.00"
8,8,2021-06-22,355.00,373.00,352.00,372.00,3.91,"431,187.00","156,735,697.00"
9,9,2021-06-21,385.00,385.00,357.00,358.00,-2.98,"297,523.00","107,487,527.00"
10,10,2021-06-20,390.00,390.00,364.00,369.00,-2.38,"342,399.00","126,392,194.00"
11,11,2021-06-17,385.00,385.00,375.00,378.00,-0.79,"276,376.00","104,447,516.00"
12,12,2021-06-16,390.00,393.00,377.00,381.00,-1.04,"424,124.00","163,176,003.00"
13,13,2021-06-15,395.00,397.00,384.00,385.00,0.00,"528,560.00","205,725,817.00"
14,14,2021-06-14,374.00,396.00,373.00,385.00,4.05,"623,159.00","239,576,718.00"
15,15,2021-06-13,370.00,374.00,362.00,370.00,0.54,"348,301.00","127,434,228.00"
16,16,2021-06-10,376.00,376.00,366.00,368.00,-1.87,"358,260.00","132,334,167.00"
17,17,2021-06-09,380.00,384.00,371.00,375.00,-1.32,"380,775.00","143,872,895.00"
18,18,2021-06-08,370.00,382.00,365.00,380.00,2.43,"526,430.00","198,176,563.00"
19,19,2021-06-07,385.00,385.00,361.00,371.00,-1.07,"834,660.00","308,127,556.00"
20,20,2021-06-06,360.00,378.00,352.00,375.00,8.70,"1,224,074.00","447,723,607.00"
21,21,2021-06-03,335.00,349.00,333.00,345.00,3.92,"848,835.00","290,601,507.00"
22,22,2021-06-02,342.00,342.00,325.00,332.00,1.84,"217,210.00","71,604,686.00"
23,23,2021-06-01,331.00,332.00,325.00,326.00,-1.81,"269,949.00","88,663,560.00"
24,24,2021-05-31,339.00,346.00,330.00,332.00,-1.19,"487,514.00","163,678,356.00"
25,25,2021-05-30,328.00,343.00,327.00,336.00,2.44,"484,628.00","161,914,165.00"
26,26,2021-05-27,330.00,336.00,323.00,328.00,-1.20,"370,744.00","121,970,882.00"
27,27,2021-05-25,342.00,342.00,331.00,332.00,-1.78,"231,523.00","77,401,821.00"
28,28,2021-05-24,340.00,348.00,334.00,338.00,0.60,"536,908.00","181,982,055.00"
29,29,2021-05-23,325.00,338.00,314.00,336.00,3.70,"683,092.00","224,782,805.00"
30,30,2021-05-20,320.00,324.00,318.00,324.00,2.21,"366,822.00","118,062,648.00"
31,31,2021-05-19,319.00,323.00,315.00,317.00,0.00,"289,642.00","92,337,309.00"
32,32,2021-05-18,316.00,318.00,312.00,317.00,0.96,"263,939.00","83,068,419.00"
33,33,2021-05-17,313.00,320.00,313.00,314.00,0.64,"253,599.00","79,791,688.00"
34,34,2021-05-16,308.00,313.00,307.00,312.00,1.96,"202,692.00","62,851,554.00"
35,35,2021-05-13,306.00,308.00,305.00,306.00,0.00,"91,422.00","27,933,247.00"
36,36,2021-05-12,306.00,308.00,305.00,306.00,-0.65,"76,672.00","23,494,746.00"
37,37,2021-05-11,310.00,310.00,305.00,308.00,0.33,"69,263.00","21,283,141.00"
38,38,2021-05-10,306.00,307.00,302.00,307.00,0.33,"56,413.00","17,263,688.00"
