,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,296.00","1,305.00","1,293.00","1,297.00",0.08,"41,519.00","53,880,150.00"
2,2,2021-06-30,"1,232.00","1,315.00","1,232.00","1,296.00",0.00,"69,882.00","90,201,925.00"
3,3,2021-06-29,"1,310.00","1,310.00","1,295.00","1,296.00",-0.46,"62,112.00","80,669,385.00"
4,4,2021-06-28,"1,334.00","1,334.00","1,297.00","1,302.00",0.31,"66,695.00","87,085,191.00"
5,5,2021-06-27,"1,250.00","1,306.00","1,250.00","1,298.00",0.93,"81,126.00","104,898,933.00"
6,6,2021-06-24,"1,300.00","1,300.00","1,280.00","1,286.00",-0.39,"80,446.00","103,395,471.00"
7,7,2021-06-23,"1,362.00","1,362.00","1,288.00","1,291.00",-0.54,"94,681.00","122,580,938.00"
8,8,2021-06-22,"1,285.00","1,300.00","1,280.00","1,298.00",1.01,"106,023.00","136,905,125.00"
9,9,2021-06-21,"1,300.00","1,304.00","1,284.00","1,285.00",-0.93,"129,080.00","166,378,689.00"
10,10,2021-06-20,"1,312.00","1,312.00","1,290.00","1,297.00",-0.92,"117,221.00","152,289,144.00"
11,11,2021-06-17,"1,308.00","1,315.00","1,300.00","1,309.00",0.08,"92,288.00","120,626,628.00"
12,12,2021-06-16,"1,312.00","1,340.00","1,303.00","1,308.00",-0.30,"94,402.00","124,161,732.00"
13,13,2021-06-15,"1,374.00","1,374.00","1,295.00","1,312.00",0.23,"110,411.00","145,074,489.00"
14,14,2021-06-14,"1,304.00","1,330.00","1,301.00","1,309.00",0.38,"176,408.00","231,095,878.00"
15,15,2021-06-13,"1,305.00","1,312.00","1,300.00","1,304.00",0.00,"142,630.00","185,765,969.00"
16,16,2021-06-10,"1,326.00","1,326.00","1,299.00","1,304.00",-0.46,"132,428.00","172,770,018.00"
17,17,2021-06-09,"1,380.00","1,380.00","1,289.00","1,310.00",-0.38,"148,864.00","195,552,154.00"
18,18,2021-06-08,"1,307.00","1,321.00","1,307.00","1,315.00",-0.08,"120,498.00","158,473,396.00"
19,19,2021-06-07,"1,350.00","1,350.00","1,308.00","1,316.00",-1.05,"148,222.00","195,221,413.00"
20,20,2021-06-06,"1,374.00","1,374.00","1,320.00","1,330.00",1.60,"193,387.00","257,492,740.00"
