,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,406.00,410.00,402.00,403.00,-0.49,"138,907.00","56,299,403.00"
2,2,2021-06-30,406.00,408.00,394.00,405.00,1.25,"156,475.00","62,588,651.00"
3,3,2021-06-29,410.00,410.00,399.00,400.00,-1.96,"100,750.00","40,542,285.00"
4,4,2021-06-28,410.00,415.00,408.00,408.00,0.00,"142,620.00","58,516,581.00"
5,5,2021-06-27,400.00,411.00,397.00,408.00,2.77,"172,617.00","69,890,697.00"
6,6,2021-06-24,403.00,403.00,396.00,397.00,-1.49,"120,693.00","48,125,882.00"
7,7,2021-06-23,410.00,413.00,402.00,403.00,-1.71,"115,171.00","46,561,450.00"
8,8,2021-06-22,401.00,411.00,392.00,410.00,3.02,"205,248.00","82,759,930.00"
9,9,2021-06-21,413.00,413.00,397.00,398.00,-2.21,"289,684.00","116,392,535.00"
10,10,2021-06-20,419.00,420.00,403.00,407.00,-1.93,"264,177.00","108,344,114.00"
11,11,2021-06-17,415.00,422.00,414.00,415.00,-0.72,"147,584.00","61,379,598.00"
12,12,2021-06-16,409.00,430.00,409.00,418.00,-0.48,"206,877.00","86,873,841.00"
13,13,2021-06-15,430.00,435.00,419.00,420.00,-1.41,"309,683.00","131,890,121.00"
14,14,2021-06-14,418.00,435.00,417.00,426.00,2.16,"394,818.00","168,432,552.00"
15,15,2021-06-13,435.00,435.00,408.00,417.00,0.48,"391,905.00","161,847,525.00"
16,16,2021-06-10,435.00,435.00,412.00,415.00,-1.19,"202,898.00","84,261,300.00"
17,17,2021-06-09,442.00,442.00,418.00,420.00,-2.33,"327,405.00","138,781,457.00"
18,18,2021-06-08,423.00,435.00,417.00,430.00,1.65,"451,990.00","193,503,890.00"
19,19,2021-06-07,440.00,445.00,419.00,423.00,-2.31,"609,152.00","258,498,185.00"
20,20,2021-06-06,410.00,436.00,405.00,433.00,9.07,"965,471.00","412,244,221.00"
21,21,2021-06-03,387.00,397.00,387.00,397.00,2.58,"844,987.00","332,270,736.00"
22,22,2021-06-02,397.00,397.00,377.00,387.00,2.11,"127,557.00","48,836,601.00"
23,23,2021-06-01,385.00,388.00,375.00,379.00,-1.30,"199,649.00","75,914,798.00"
24,24,2021-05-31,392.00,399.00,383.00,384.00,-1.03,"328,724.00","127,835,743.00"
25,25,2021-05-30,385.00,391.00,383.00,388.00,1.31,"294,244.00","114,099,569.00"
26,26,2021-05-27,369.00,390.00,369.00,383.00,-1.29,"127,685.00","48,994,348.00"
27,27,2021-05-25,399.00,399.00,384.00,388.00,-1.02,"189,564.00","73,672,535.00"
28,28,2021-05-24,398.00,405.00,390.00,392.00,0.26,"525,122.00","208,639,383.00"
29,29,2021-05-23,385.00,391.00,375.00,391.00,1.56,"243,025.00","93,762,549.00"
30,30,2021-05-20,388.00,389.00,383.00,385.00,0.26,"139,325.00","53,671,129.00"
31,31,2021-05-19,387.00,389.00,381.00,384.00,0.00,"348,082.00","134,671,395.00"
32,32,2021-05-18,385.00,385.00,380.00,384.00,0.00,"141,521.00","54,044,543.00"
33,33,2021-05-17,385.00,385.00,376.00,384.00,0.52,"136,581.00","52,176,776.00"
34,34,2021-05-16,381.00,389.00,377.00,382.00,1.87,"186,415.00","71,026,213.00"
35,35,2021-05-13,371.00,378.00,371.00,375.00,1.08,"88,057.00","33,087,210.00"
36,36,2021-05-12,390.00,390.00,370.00,371.00,-0.54,"59,833.00","22,224,184.00"
37,37,2021-05-11,376.00,379.00,370.00,373.00,-0.53,"72,507.00","26,984,058.00"
38,38,2021-05-10,379.00,379.00,372.00,375.00,-0.27,"65,137.00","24,393,301.00"
39,39,2021-05-09,375.00,380.00,371.00,376.00,0.00,"173,830.00","65,516,927.00"
