,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,438.00,445.00,437.00,437.00,-0.23,"252,343.00","110,563,222.00"
2,2,2021-06-30,460.00,460.00,432.00,438.00,-0.23,"90,642.00","39,400,693.00"
3,3,2021-06-29,443.00,446.00,436.00,439.00,-0.90,"253,958.00","112,284,453.00"
4,4,2021-06-28,448.00,448.00,442.00,443.00,0.23,"190,048.00","84,540,255.00"
5,5,2021-06-27,442.00,448.00,431.00,442.00,1.84,"168,344.00","74,291,107.00"
6,6,2021-06-24,438.00,440.00,430.00,434.00,-0.46,"236,213.00","102,594,726.00"
7,7,2021-06-23,451.00,452.00,431.00,436.00,-2.02,"196,870.00","85,929,415.00"
8,8,2021-06-22,435.00,446.00,432.00,445.00,2.53,"224,081.00","98,751,135.00"
9,9,2021-06-21,469.00,469.00,432.00,434.00,-2.91,"341,814.00","149,152,962.00"
10,10,2021-06-20,459.00,459.00,438.00,447.00,-1.76,"259,670.00","115,937,873.00"
11,11,2021-06-17,462.00,465.00,451.00,455.00,-0.87,"251,972.00","114,769,608.00"
12,12,2021-06-16,465.00,471.00,456.00,459.00,0.00,"411,035.00","190,208,463.00"
13,13,2021-06-15,475.00,475.00,455.00,459.00,1.32,"616,971.00","284,262,531.00"
14,14,2021-06-14,446.00,466.00,446.00,453.00,1.57,"515,818.00","235,854,369.00"
15,15,2021-06-13,467.00,467.00,440.00,446.00,0.22,"299,357.00","132,506,408.00"
16,16,2021-06-10,452.00,452.00,444.00,445.00,-1.55,"267,443.00","119,532,807.00"
17,17,2021-06-09,460.00,462.00,449.00,452.00,-0.44,"287,579.00","130,514,290.00"
18,18,2021-06-08,454.00,458.00,448.00,454.00,0.89,"388,836.00","175,925,617.00"
19,19,2021-06-07,465.00,467.00,447.00,450.00,-2.17,"474,793.00","215,326,389.00"
20,20,2021-06-06,453.00,469.00,450.00,460.00,3.37,"793,652.00","365,229,693.00"
21,21,2021-06-03,440.00,449.00,438.00,445.00,1.83,"438,796.00","195,194,844.00"
22,22,2021-06-02,411.00,440.00,411.00,437.00,1.16,"134,882.00","58,745,453.00"
23,23,2021-06-01,437.00,440.00,429.00,432.00,-0.92,"152,719.00","66,106,828.00"
24,24,2021-05-31,450.00,450.00,436.00,436.00,-1.58,"200,142.00","88,340,135.00"
25,25,2021-05-30,440.00,453.00,436.00,443.00,1.14,"269,048.00","119,209,004.00"
26,26,2021-05-27,425.00,441.00,425.00,438.00,0.00,"176,648.00","77,048,220.00"
27,27,2021-05-25,447.00,449.00,438.00,438.00,-1.79,"161,372.00","71,326,478.00"
