,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,369.00,369.00,360.00,363.00,0.28,"67,770.00","24,521,756.00"
2,2,2021-06-30,362.00,363.00,357.00,362.00,-0.28,"70,220.00","25,286,516.00"
3,3,2021-06-29,375.00,375.00,362.00,363.00,-0.55,"114,618.00","41,965,878.00"
4,4,2021-06-28,352.00,380.00,352.00,365.00,-1.35,"94,097.00","34,803,645.00"
5,5,2021-06-27,367.00,373.00,361.00,370.00,1.93,"206,935.00","76,193,605.00"
6,6,2021-06-24,362.00,365.00,357.00,363.00,-0.27,"141,564.00","51,184,310.00"
7,7,2021-06-23,391.00,391.00,363.00,364.00,-2.41,"155,045.00","56,673,440.00"
8,8,2021-06-22,365.00,373.00,360.00,373.00,2.19,"274,428.00","100,582,882.00"
9,9,2021-06-21,390.00,390.00,361.00,365.00,-1.88,"227,926.00","82,983,593.00"
10,10,2021-06-20,380.00,380.00,366.00,372.00,-0.80,"220,704.00","81,516,907.00"
11,11,2021-06-17,395.00,395.00,373.00,375.00,-0.79,"181,826.00","68,265,685.00"
12,12,2021-06-16,379.00,386.00,373.00,378.00,-0.53,"536,690.00","202,707,742.00"
13,13,2021-06-15,390.00,390.00,378.00,380.00,-1.04,"392,571.00","150,005,679.00"
14,14,2021-06-14,382.00,389.00,378.00,384.00,2.40,"622,364.00","238,800,559.00"
15,15,2021-06-13,385.00,395.00,373.00,375.00,-0.79,"832,533.00","313,885,851.00"
16,16,2021-06-10,385.00,385.00,373.00,378.00,0.00,"764,360.00","287,753,541.00"
17,17,2021-06-09,385.00,385.00,372.00,378.00,1.61,"627,576.00","237,237,623.00"
18,18,2021-06-08,373.00,379.00,365.00,372.00,1.36,"786,306.00","293,028,224.00"
19,19,2021-06-07,379.00,380.00,364.00,367.00,-1.87,"842,827.00","311,764,125.00"
20,20,2021-06-06,368.00,381.00,368.00,374.00,3.03,"634,332.00","237,306,166.00"
21,21,2021-06-03,356.00,369.00,356.00,363.00,1.97,"378,252.00","136,476,657.00"
22,22,2021-06-02,374.00,374.00,354.00,356.00,-0.28,"157,623.00","56,287,493.00"
23,23,2021-06-01,377.00,377.00,356.00,357.00,-1.11,"162,150.00","58,225,930.00"
24,24,2021-05-31,364.00,369.00,358.00,361.00,-0.82,"213,298.00","77,117,682.00"
25,25,2021-05-30,375.00,375.00,361.00,364.00,0.00,"335,671.00","122,279,011.00"
26,26,2021-05-27,366.00,370.00,362.00,364.00,-1.09,"419,431.00","153,251,186.00"
27,27,2021-05-25,371.00,373.00,365.00,368.00,-0.27,"331,937.00","122,295,614.00"
28,28,2021-05-24,387.00,387.00,365.00,369.00,0.00,"468,597.00","172,822,630.00"
29,29,2021-05-23,365.00,370.00,363.00,369.00,1.10,"282,816.00","103,260,454.00"
30,30,2021-05-20,365.00,372.00,363.00,365.00,0.00,"183,932.00","67,342,744.00"
31,31,2021-05-19,370.00,372.00,364.00,365.00,-1.08,"262,875.00","96,411,578.00"
32,32,2021-05-18,370.00,375.00,366.00,369.00,-0.27,"271,268.00","99,937,948.00"
33,33,2021-05-17,385.00,385.00,369.00,370.00,-1.33,"352,298.00","130,851,352.00"
34,34,2021-05-16,385.00,385.00,370.00,375.00,2.18,"837,223.00","315,758,038.00"
35,35,2021-05-13,387.00,387.00,367.00,367.00,-0.54,"153,617.00","56,825,997.00"
36,36,2021-05-12,365.00,373.00,362.00,369.00,1.37,"379,632.00","139,453,604.00"
37,37,2021-05-11,365.00,369.00,362.00,364.00,-0.27,"153,216.00","55,729,577.00"
38,38,2021-05-10,370.00,370.00,364.00,365.00,-0.27,"183,252.00","66,932,952.00"
39,39,2021-05-09,375.00,376.00,364.00,366.00,-2.14,"782,456.00","288,652,321.00"
40,40,2021-05-06,365.00,375.00,363.00,374.00,3.03,"1,158,147.00","429,459,703.00"
41,41,2021-05-05,370.00,370.00,363.00,363.00,-1.36,"532,313.00","194,746,941.00"
42,42,2021-05-04,381.00,381.00,360.00,368.00,1.38,"627,420.00","230,964,485.00"
43,43,2021-05-03,376.00,376.00,363.00,363.00,-1.09,"630,045.00","231,611,313.00"
44,44,2021-05-02,352.00,375.00,352.00,367.00,4.26,"1,145,753.00","420,243,903.00"
45,45,2021-04-29,357.00,357.00,337.00,352.00,3.53,"884,248.00","309,694,570.00"
46,46,2021-04-28,328.00,347.00,328.00,340.00,3.66,"835,466.00","282,926,159.00"
