,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,915.00,918.00,908.00,911.00,-0.44,"116,472.00","106,188,661.00"
2,2,2021-06-30,910.00,918.00,903.00,915.00,0.00,"85,224.00","77,500,440.00"
3,3,2021-06-29,945.00,945.00,914.00,915.00,-2.14,"137,194.00","126,569,590.00"
4,4,2021-06-28,921.00,952.00,915.00,935.00,2.07,"536,806.00","502,517,613.00"
5,5,2021-06-27,940.00,940.00,882.00,916.00,2.23,"212,905.00","194,071,091.00"
6,6,2021-06-24,893.00,907.00,890.00,896.00,0.34,"144,591.00","129,767,398.00"
7,7,2021-06-23,905.00,905.00,892.00,893.00,-1.33,"120,895.00","108,290,298.00"
8,8,2021-06-22,885.00,907.00,881.00,905.00,2.49,"176,117.00","157,474,375.00"
9,9,2021-06-21,894.00,898.00,882.00,883.00,-1.12,"145,331.00","128,703,294.00"
10,10,2021-06-20,901.00,910.00,890.00,893.00,-0.89,"135,627.00","121,627,138.00"
11,11,2021-06-17,900.00,907.00,898.00,901.00,0.11,"139,278.00","125,408,845.00"
12,12,2021-06-16,906.00,922.00,899.00,900.00,-0.55,"84,534.00","76,497,524.00"
13,13,2021-06-15,920.00,921.00,901.00,905.00,-0.55,"153,136.00","139,272,494.00"
14,14,2021-06-14,910.00,935.00,901.00,910.00,0.89,"203,503.00","186,173,923.00"
15,15,2021-06-13,912.00,912.00,897.00,902.00,-0.55,"203,447.00","183,443,473.00"
16,16,2021-06-10,900.00,920.00,900.00,907.00,-0.77,"151,038.00","136,763,715.00"
17,17,2021-06-09,925.00,932.00,913.00,914.00,-0.22,"147,331.00","135,524,828.00"
18,18,2021-06-08,920.00,928.00,902.00,916.00,0.88,"214,151.00","195,694,484.00"
19,19,2021-06-07,945.00,945.00,904.00,908.00,-2.16,"257,985.00","236,395,807.00"
20,20,2021-06-06,925.00,950.00,921.00,928.00,1.09,"250,508.00","234,188,122.00"
21,21,2021-06-03,905.00,935.00,905.00,918.00,2.00,"246,324.00","226,675,641.00"
22,22,2021-06-02,905.00,905.00,896.00,900.00,-0.44,"86,849.00","78,267,565.00"
23,23,2021-06-01,900.00,907.00,895.00,904.00,0.22,"118,739.00","106,971,145.00"
24,24,2021-05-31,913.00,929.00,902.00,902.00,-0.55,"169,234.00","154,299,294.00"
25,25,2021-05-30,950.00,950.00,890.00,907.00,0.22,"121,910.00","110,808,732.00"
26,26,2021-05-27,895.00,912.00,893.00,905.00,-0.55,"137,867.00","124,546,859.00"
27,27,2021-05-25,925.00,925.00,906.00,910.00,-1.41,"115,162.00","105,172,902.00"
28,28,2021-05-24,940.00,950.00,918.00,923.00,-2.64,"194,943.00","181,575,354.00"
29,29,2021-05-23,906.00,948.00,895.00,948.00,4.64,"160,448.00","145,256,184.00"
30,30,2021-05-20,906.00,918.00,905.00,906.00,0.11,"58,888.00","53,585,386.00"
31,31,2021-05-19,919.00,919.00,900.00,905.00,0.00,"91,053.00","82,870,378.00"
32,32,2021-05-18,890.00,908.00,890.00,905.00,-0.22,"78,733.00","71,038,099.00"
33,33,2021-05-17,909.00,913.00,900.00,907.00,0.44,"82,122.00","74,465,621.00"
34,34,2021-05-16,900.00,904.00,895.00,903.00,1.57,"72,541.00","65,268,190.00"
35,35,2021-05-13,925.00,925.00,887.00,889.00,0.23,"40,349.00","35,862,308.00"
36,36,2021-05-12,936.00,936.00,885.00,887.00,-0.56,"53,176.00","47,311,457.00"
37,37,2021-05-11,892.00,901.00,891.00,892.00,0.00,"68,098.00","60,953,762.00"
38,38,2021-05-10,880.00,895.00,880.00,892.00,0.90,"44,848.00","39,881,086.00"
39,39,2021-05-09,886.00,893.00,877.00,884.00,-0.23,"65,133.00","57,681,275.00"
40,40,2021-05-06,890.00,891.00,882.00,886.00,-0.11,"60,231.00","53,348,096.00"
41,41,2021-05-05,869.00,900.00,869.00,887.00,-0.34,"72,643.00","64,604,836.00"
42,42,2021-05-04,900.00,900.00,890.00,890.00,-0.89,"73,877.00","66,004,723.00"
43,43,2021-05-03,910.00,914.00,897.00,898.00,-0.66,"100,965.00","91,164,993.00"
44,44,2021-05-02,900.00,909.00,895.00,904.00,0.78,"110,099.00","99,232,668.00"
45,45,2021-04-29,943.00,943.00,895.00,897.00,-0.22,"82,739.00","74,459,623.00"
46,46,2021-04-28,930.00,930.00,896.00,899.00,-1.53,"125,316.00","113,313,943.00"
47,47,2021-04-27,848.00,916.00,848.00,913.00,2.35,"127,941.00","116,258,142.00"
48,48,2021-04-26,953.00,953.00,874.00,892.00,-1.76,"181,784.00","163,235,297.00"
49,49,2021-04-25,925.00,925.00,900.00,908.00,-1.52,"226,128.00","205,630,372.00"
50,50,2021-04-22,934.00,934.00,907.00,922.00,0.11,"121,770.00","112,193,022.00"
51,51,2021-04-21,943.00,943.00,920.00,921.00,-2.02,"130,573.00","121,185,556.00"
52,52,2021-04-20,943.00,959.00,930.00,940.00,-0.84,"120,526.00","113,834,379.00"
53,53,2021-04-19,960.00,963.00,935.00,948.00,-1.56,"201,971.00","191,837,906.00"
54,54,2021-04-18,"1,027.00","1,027.00",960.00,963.00,-1.63,"272,250.00","263,897,730.00"
55,55,2021-04-15,979.00,998.00,970.00,979.00,0.93,"331,555.00","326,280,944.00"
56,56,2021-04-13,960.00,971.00,948.00,970.00,2.21,"254,036.00","243,579,795.00"
57,57,2021-04-12,921.00,949.00,915.00,949.00,3.38,"267,210.00","250,718,476.00"
58,58,2021-04-08,938.00,938.00,907.00,918.00,-0.22,"99,242.00","91,263,678.00"
