,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,441.00,447.00,438.00,439.00,-0.45,"79,717.00","35,110,373.00"
2,2,2021-06-30,440.00,441.00,435.00,441.00,0.23,"85,430.00","37,320,574.00"
3,3,2021-06-29,423.00,447.00,423.00,440.00,-1.12,"90,235.00","39,762,872.00"
4,4,2021-06-28,450.00,451.00,443.00,445.00,0.45,"140,799.00","62,866,292.00"
5,5,2021-06-27,437.00,446.00,435.00,443.00,1.61,"168,912.00","74,634,708.00"
6,6,2021-06-24,416.00,445.00,416.00,436.00,-0.23,"138,120.00","60,268,734.00"
7,7,2021-06-23,445.00,450.00,436.00,437.00,-1.80,"128,900.00","56,725,466.00"
8,8,2021-06-22,434.00,445.00,432.00,445.00,2.53,"152,975.00","67,489,154.00"
9,9,2021-06-21,445.00,451.00,434.00,434.00,-1.59,"226,120.00","98,956,724.00"
10,10,2021-06-20,455.00,455.00,438.00,441.00,-2.22,"241,771.00","107,773,115.00"
11,11,2021-06-17,457.00,460.00,451.00,451.00,-1.10,"176,663.00","80,133,361.00"
12,12,2021-06-16,450.00,466.00,450.00,456.00,-0.44,"204,408.00","93,777,793.00"
13,13,2021-06-15,464.00,468.00,457.00,458.00,0.00,"274,450.00","126,397,991.00"
14,14,2021-06-14,452.00,469.00,450.00,458.00,2.23,"441,744.00","202,409,195.00"
15,15,2021-06-13,450.00,452.00,444.00,448.00,0.22,"278,933.00","124,560,260.00"
16,16,2021-06-10,455.00,455.00,446.00,447.00,-1.11,"224,442.00","100,692,552.00"
17,17,2021-06-09,465.00,465.00,450.00,452.00,-0.88,"213,775.00","96,979,338.00"
18,18,2021-06-08,460.00,460.00,448.00,456.00,0.88,"285,798.00","129,736,898.00"
19,19,2021-06-07,461.00,470.00,447.00,452.00,-1.95,"476,187.00","216,423,356.00"
20,20,2021-06-06,450.00,472.00,450.00,461.00,4.30,"640,308.00","295,722,892.00"
21,21,2021-06-03,435.00,449.00,431.00,442.00,2.31,"457,880.00","201,942,356.00"
22,22,2021-06-02,433.00,433.00,429.00,432.00,0.47,"129,625.00","55,864,956.00"
23,23,2021-06-01,436.00,437.00,428.00,430.00,-0.92,"145,225.00","62,602,014.00"
24,24,2021-05-31,441.00,444.00,433.00,434.00,-0.91,"195,829.00","85,803,243.00"
