,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,465.00,468.00,461.00,465.00,0.65,"82,690.00","38,354,383.00"
2,2,2021-06-30,465.00,466.00,459.00,462.00,-1.07,"68,597.00","31,644,865.00"
3,3,2021-06-29,480.00,481.00,465.00,467.00,-1.27,"61,534.00","28,821,936.00"
4,4,2021-06-28,475.00,480.00,470.00,473.00,0.64,"123,506.00","58,450,465.00"
5,5,2021-06-27,465.00,471.00,456.00,470.00,2.62,"114,981.00","53,692,887.00"
6,6,2021-06-24,465.00,466.00,455.00,458.00,-0.65,"109,271.00","49,997,985.00"
7,7,2021-06-23,475.00,477.00,460.00,461.00,-2.33,"110,610.00","51,420,674.00"
8,8,2021-06-22,470.00,472.00,450.00,472.00,3.06,"117,654.00","54,698,449.00"
9,9,2021-06-21,485.00,485.00,457.00,458.00,-2.35,"159,889.00","73,833,468.00"
10,10,2021-06-20,480.00,482.00,465.00,469.00,-2.29,"177,050.00","83,566,131.00"
11,11,2021-06-17,483.00,487.00,476.00,480.00,-0.21,"165,892.00","79,417,472.00"
12,12,2021-06-16,485.00,493.00,475.00,481.00,0.21,"247,563.00","120,000,032.00"
13,13,2021-06-15,484.00,493.00,478.00,480.00,-0.83,"269,062.00","130,272,324.00"
14,14,2021-06-14,466.00,489.00,466.00,484.00,4.09,"376,606.00","180,847,547.00"
15,15,2021-06-13,469.00,478.00,464.00,465.00,-0.85,"280,039.00","130,974,417.00"
16,16,2021-06-10,475.00,475.00,466.00,469.00,-1.05,"201,416.00","94,544,198.00"
17,17,2021-06-09,485.00,485.00,471.00,474.00,-0.84,"218,650.00","104,234,833.00"
18,18,2021-06-08,480.00,484.00,471.00,478.00,0.00,"264,286.00","126,050,035.00"
19,19,2021-06-07,491.00,498.00,470.00,478.00,-0.83,"414,938.00","197,955,114.00"
20,20,2021-06-06,485.00,495.00,477.00,482.00,4.10,"605,343.00","292,807,790.00"
21,21,2021-06-03,450.00,468.00,449.00,463.00,2.89,"351,617.00","161,656,398.00"
22,22,2021-06-02,447.00,451.00,444.00,450.00,0.67,"121,039.00","54,291,122.00"
23,23,2021-06-01,448.00,450.00,443.00,447.00,-0.67,"94,769.00","42,448,918.00"
24,24,2021-05-31,456.00,462.00,450.00,450.00,-1.32,"211,098.00","96,143,554.00"
25,25,2021-05-30,460.00,460.00,449.00,456.00,0.88,"224,917.00","102,036,055.00"
26,26,2021-05-27,448.00,455.00,434.00,452.00,0.89,"164,454.00","73,762,719.00"
27,27,2021-05-25,458.00,460.00,445.00,448.00,-1.32,"117,149.00","52,786,294.00"
28,28,2021-05-24,433.00,466.00,433.00,454.00,1.11,"322,893.00","147,686,824.00"
29,29,2021-05-23,445.00,449.00,433.00,449.00,0.90,"117,120.00","51,936,215.00"
30,30,2021-05-20,447.00,448.00,439.00,445.00,0.23,"92,506.00","41,054,360.00"
31,31,2021-05-19,439.00,455.00,438.00,444.00,1.60,"117,445.00","52,187,714.00"
32,32,2021-05-18,438.00,440.00,435.00,437.00,-0.23,"75,158.00","32,821,091.00"
33,33,2021-05-17,439.00,442.00,434.00,438.00,0.23,"188,948.00","82,627,428.00"
34,34,2021-05-16,433.00,438.00,430.00,437.00,1.63,"94,836.00","41,167,975.00"
35,35,2021-05-13,428.00,435.00,426.00,430.00,0.47,"46,353.00","19,835,444.00"
36,36,2021-05-12,430.00,432.00,425.00,428.00,-0.47,"83,003.00","35,430,930.00"
37,37,2021-05-11,420.00,437.00,420.00,430.00,-0.92,"86,047.00","37,108,308.00"
38,38,2021-05-10,432.00,438.00,429.00,434.00,0.00,"75,635.00","32,812,103.00"
39,39,2021-05-09,433.00,439.00,429.00,434.00,-1.59,"50,619.00","21,936,591.00"
