,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,455.00,456.00,448.00,449.00,-0.22,"86,256.00","38,909,314.00"
2,2,2021-06-30,451.00,451.00,444.00,450.00,0.00,"106,020.00","47,397,067.00"
3,3,2021-06-29,468.00,468.00,449.00,450.00,-2.39,"183,981.00","83,397,401.00"
4,4,2021-06-28,461.00,466.00,456.00,461.00,1.10,"256,569.00","118,600,686.00"
5,5,2021-06-27,451.00,459.00,444.00,456.00,2.01,"171,192.00","77,573,294.00"
6,6,2021-06-24,453.00,453.00,445.00,447.00,-0.67,"149,261.00","66,809,038.00"
7,7,2021-06-23,465.00,466.00,448.00,450.00,-2.17,"226,206.00","102,239,222.00"
8,8,2021-06-22,448.00,462.00,444.00,460.00,2.68,"258,794.00","117,540,952.00"
9,9,2021-06-21,459.00,460.00,447.00,448.00,-2.18,"229,258.00","103,575,944.00"
10,10,2021-06-20,465.00,467.00,450.00,458.00,-1.51,"270,942.00","124,041,807.00"
11,11,2021-06-17,489.00,489.00,462.00,465.00,-0.21,"198,207.00","92,225,222.00"
12,12,2021-06-16,471.00,481.00,465.00,466.00,-1.06,"272,311.00","128,376,512.00"
13,13,2021-06-15,497.00,497.00,468.00,471.00,-0.63,"406,808.00","192,893,194.00"
14,14,2021-06-14,465.00,484.00,465.00,474.00,2.60,"413,230.00","196,670,762.00"
15,15,2021-06-13,462.00,468.00,459.00,462.00,0.22,"357,327.00","165,150,973.00"
16,16,2021-06-10,469.00,469.00,460.00,461.00,-1.07,"309,585.00","143,497,558.00"
17,17,2021-06-09,480.00,480.00,464.00,466.00,-0.85,"242,453.00","113,525,893.00"
18,18,2021-06-08,473.00,479.00,465.00,470.00,-0.21,"396,058.00","186,336,552.00"
19,19,2021-06-07,500.00,500.00,460.00,471.00,-1.67,"587,309.00","274,867,193.00"
20,20,2021-06-06,465.00,488.00,465.00,479.00,4.13,"772,650.00","368,520,273.00"
21,21,2021-06-03,448.00,465.00,448.00,460.00,3.14,"442,090.00","202,577,735.00"
