,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,475.00,479.00,470.00,472.00,0.43,"103,634.00","48,984,781.00"
2,2,2021-06-30,476.00,476.00,465.00,470.00,-0.84,"108,922.00","51,058,304.00"
3,3,2021-06-29,487.00,488.00,471.00,474.00,-1.25,"95,997.00","45,607,071.00"
4,4,2021-06-28,487.00,489.00,479.00,480.00,0.21,"122,358.00","59,242,484.00"
5,5,2021-06-27,492.00,492.00,463.00,479.00,2.13,"180,637.00","86,064,808.00"
6,6,2021-06-24,468.00,473.00,465.00,469.00,-0.64,"167,151.00","78,274,993.00"
7,7,2021-06-23,493.00,493.00,470.00,472.00,-2.68,"146,612.00","69,961,591.00"
8,8,2021-06-22,470.00,486.00,460.00,485.00,3.85,"210,521.00","100,169,566.00"
9,9,2021-06-21,480.00,488.00,465.00,467.00,-2.71,"300,190.00","141,188,357.00"
10,10,2021-06-20,490.00,496.00,475.00,480.00,-2.04,"252,182.00","121,294,412.00"
11,11,2021-06-17,500.00,501.00,485.00,490.00,-0.41,"146,256.00","71,807,209.00"
12,12,2021-06-16,498.00,508.00,487.00,492.00,-1.20,"257,288.00","127,869,608.00"
13,13,2021-06-15,500.00,512.00,495.00,498.00,0.00,"388,751.00","195,619,119.00"
14,14,2021-06-14,480.00,503.00,480.00,498.00,3.97,"358,350.00","177,584,459.00"
15,15,2021-06-13,480.00,481.00,474.00,479.00,1.05,"220,814.00","105,167,019.00"
16,16,2021-06-10,477.00,485.00,470.00,474.00,-1.04,"247,600.00","117,845,798.00"
17,17,2021-06-09,485.00,493.00,477.00,479.00,-1.44,"192,759.00","93,041,178.00"
18,18,2021-06-08,480.00,491.00,476.00,486.00,1.46,"316,013.00","153,127,655.00"
19,19,2021-06-07,498.00,498.00,475.00,479.00,-2.24,"374,620.00","180,230,888.00"
20,20,2021-06-06,475.00,497.00,473.00,490.00,4.70,"506,918.00","246,251,048.00"
21,21,2021-06-03,450.00,470.00,445.00,468.00,4.93,"557,072.00","256,259,378.00"
22,22,2021-06-02,443.00,448.00,439.00,446.00,0.90,"159,780.00","70,966,180.00"
23,23,2021-06-01,455.00,455.00,436.00,442.00,-0.45,"192,795.00","84,813,879.00"
24,24,2021-05-31,450.00,460.00,442.00,444.00,-0.67,"319,523.00","143,553,846.00"
25,25,2021-05-30,440.00,457.00,435.00,447.00,3.47,"376,374.00","166,799,977.00"
26,26,2021-05-27,410.00,432.00,410.00,432.00,0.93,"263,378.00","112,483,294.00"
27,27,2021-05-25,443.00,443.00,425.00,428.00,-2.06,"339,818.00","146,600,459.00"
28,28,2021-05-24,443.00,444.00,433.00,437.00,0.46,"378,247.00","166,199,740.00"
29,29,2021-05-23,424.00,436.00,414.00,435.00,2.59,"251,636.00","107,560,615.00"
30,30,2021-05-20,420.00,426.00,420.00,424.00,1.44,"164,305.00","69,519,776.00"
31,31,2021-05-19,420.00,430.00,418.00,418.00,0.00,"314,028.00","132,856,204.00"
32,32,2021-05-18,420.00,420.00,415.00,418.00,0.48,"255,896.00","106,714,587.00"
33,33,2021-05-17,410.00,419.00,408.00,416.00,2.46,"438,810.00","181,867,345.00"
34,34,2021-05-16,405.00,407.00,400.00,406.00,2.01,"240,954.00","97,342,440.00"
35,35,2021-05-13,400.00,402.00,397.00,398.00,-0.50,"94,261.00","37,628,168.00"
36,36,2021-05-12,403.00,403.00,398.00,400.00,-0.50,"100,537.00","40,221,808.00"
37,37,2021-05-11,403.00,405.00,398.00,402.00,0.50,"97,113.00","38,920,087.00"
38,38,2021-05-10,394.00,401.00,394.00,400.00,1.27,"159,283.00","63,529,881.00"
39,39,2021-05-09,400.00,401.00,392.00,395.00,-0.25,"147,654.00","58,633,359.00"
40,40,2021-05-06,400.00,400.00,393.00,396.00,0.25,"119,225.00","47,117,090.00"
41,41,2021-05-05,400.00,400.00,394.00,395.00,0.00,"117,527.00","46,554,994.00"
42,42,2021-05-04,392.00,398.00,391.00,395.00,-0.25,"90,664.00","35,804,847.00"
43,43,2021-05-03,402.00,409.00,394.00,396.00,-1.49,"292,782.00","117,192,492.00"
44,44,2021-05-02,400.00,403.00,393.00,402.00,2.03,"365,719.00","146,388,425.00"
45,45,2021-04-29,397.00,397.00,378.00,394.00,3.96,"252,979.00","98,778,097.00"
46,46,2021-04-28,390.00,390.00,376.00,379.00,1.34,"204,886.00","78,290,530.00"
47,47,2021-04-27,375.00,375.00,360.00,374.00,3.31,"101,719.00","37,457,730.00"
48,48,2021-04-26,365.00,370.00,361.00,362.00,-1.90,"105,360.00","38,338,452.00"
49,49,2021-04-25,382.00,382.00,368.00,369.00,-2.89,"119,058.00","44,378,548.00"
50,50,2021-04-22,395.00,395.00,374.00,380.00,0.80,"81,069.00","30,652,127.00"
51,51,2021-04-21,388.00,391.00,375.00,377.00,-2.58,"109,867.00","41,703,884.00"
52,52,2021-04-20,389.00,392.00,385.00,387.00,-0.51,"80,484.00","31,163,845.00"
53,53,2021-04-19,395.00,400.00,387.00,389.00,-1.77,"179,999.00","70,711,205.00"
54,54,2021-04-18,408.00,415.00,395.00,396.00,-1.00,"324,364.00","130,852,349.00"
55,55,2021-04-15,399.00,414.00,397.00,400.00,1.78,"315,442.00","127,126,777.00"
56,56,2021-04-13,386.00,394.00,385.00,393.00,2.34,"197,915.00","77,088,273.00"
57,57,2021-04-12,380.00,385.00,378.00,384.00,1.59,"193,178.00","73,936,421.00"
58,58,2021-04-08,380.00,386.00,375.00,378.00,-0.26,"130,696.00","49,592,019.00"
59,59,2021-04-07,385.00,385.00,370.00,379.00,0.80,"181,477.00","68,922,251.00"
60,60,2021-04-06,370.00,376.00,370.00,376.00,0.27,"86,908.00","32,577,323.00"
61,61,2021-04-05,382.00,382.00,373.00,375.00,-0.79,"132,289.00","49,741,836.00"
62,62,2021-04-04,381.00,381.00,374.00,378.00,0.53,"138,282.00","52,153,420.00"
63,63,2021-04-01,381.00,382.00,375.00,376.00,0.00,"145,930.00","55,136,522.00"
