,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,490.00,495.00,487.00,490.00,0.00,"78,951.00","38,652,676.00"
2,2,2021-06-30,496.00,496.00,480.00,490.00,0.00,"90,875.00","44,028,939.00"
3,3,2021-06-29,500.00,500.00,486.00,490.00,-1.21,"84,167.00","41,382,183.00"
4,4,2021-06-28,500.00,509.00,491.00,496.00,0.00,"156,416.00","78,097,131.00"
5,5,2021-06-27,491.00,500.00,481.00,496.00,2.69,"174,583.00","85,928,550.00"
6,6,2021-06-24,485.00,489.00,480.00,483.00,-1.02,"101,955.00","49,367,541.00"
7,7,2021-06-23,501.00,503.00,484.00,488.00,-2.59,"148,223.00","72,596,318.00"
8,8,2021-06-22,490.00,502.00,478.00,501.00,3.51,"279,063.00","137,087,157.00"
9,9,2021-06-21,499.00,500.00,480.00,484.00,-2.02,"245,254.00","119,111,531.00"
10,10,2021-06-20,508.00,510.00,488.00,494.00,-2.18,"213,250.00","105,888,716.00"
11,11,2021-06-17,516.00,516.00,495.00,505.00,-0.39,"249,466.00","125,865,350.00"
12,12,2021-06-16,516.00,525.00,502.00,507.00,-0.78,"236,433.00","121,036,041.00"
13,13,2021-06-15,530.00,533.00,509.00,511.00,-2.29,"322,625.00","167,736,130.00"
14,14,2021-06-14,490.00,524.00,490.00,523.00,6.30,"605,569.00","310,487,615.00"
15,15,2021-06-13,497.00,497.00,470.00,492.00,3.80,"257,861.00","124,152,197.00"
16,16,2021-06-10,500.00,500.00,473.00,474.00,-1.46,"144,404.00","68,734,259.00"
17,17,2021-06-09,500.00,500.00,470.00,481.00,0.21,"224,636.00","108,630,786.00"
18,18,2021-06-08,475.00,494.00,475.00,480.00,1.05,"346,904.00","167,998,852.00"
19,19,2021-06-07,490.00,490.00,467.00,475.00,-1.66,"306,016.00","145,419,619.00"
20,20,2021-06-06,478.00,494.00,478.00,483.00,2.99,"431,960.00","210,401,113.00"
21,21,2021-06-03,450.00,473.00,450.00,469.00,4.92,"545,480.00","252,617,110.00"
22,22,2021-06-02,442.00,448.00,440.00,447.00,0.90,"103,212.00","45,869,706.00"
23,23,2021-06-01,445.00,450.00,440.00,443.00,-0.45,"135,131.00","60,074,922.00"
24,24,2021-05-31,455.00,460.00,445.00,445.00,-0.45,"244,174.00","110,639,270.00"
25,25,2021-05-30,444.00,460.00,439.00,447.00,1.13,"266,511.00","119,835,536.00"
26,26,2021-05-27,435.00,447.00,433.00,442.00,0.45,"130,880.00","57,656,163.00"
27,27,2021-05-25,448.00,450.00,440.00,440.00,-1.79,"123,320.00","54,646,567.00"
28,28,2021-05-24,449.00,457.00,445.00,448.00,0.45,"292,096.00","131,838,559.00"
29,29,2021-05-23,435.00,451.00,426.00,446.00,1.59,"241,805.00","106,940,537.00"
30,30,2021-05-20,431.00,440.00,431.00,439.00,1.86,"154,921.00","67,495,716.00"
31,31,2021-05-19,437.00,439.00,428.00,431.00,0.47,"215,898.00","93,751,842.00"
32,32,2021-05-18,428.00,430.00,426.00,429.00,0.23,"89,014.00","38,100,447.00"
33,33,2021-05-17,430.00,431.00,427.00,428.00,0.47,"89,755.00","38,441,892.00"
34,34,2021-05-16,422.00,428.00,421.00,426.00,1.67,"95,001.00","40,244,867.00"
35,35,2021-05-13,415.00,420.00,415.00,419.00,0.48,"44,525.00","18,591,353.00"
36,36,2021-05-12,420.00,423.00,417.00,417.00,-0.95,"40,339.00","16,895,180.00"
37,37,2021-05-11,420.00,425.00,420.00,421.00,0.24,"34,930.00","14,695,913.00"
38,38,2021-05-10,417.00,422.00,417.00,420.00,0.48,"45,632.00","19,120,265.00"
39,39,2021-05-09,416.00,425.00,415.00,418.00,-0.24,"55,500.00","23,300,522.00"
40,40,2021-05-06,419.00,420.00,414.00,419.00,0.00,"48,341.00","20,152,170.00"
41,41,2021-05-05,417.00,422.00,417.00,419.00,-0.71,"52,345.00","21,967,770.00"
42,42,2021-05-04,422.00,425.00,420.00,422.00,-0.47,"29,959.00","12,658,530.00"
43,43,2021-05-03,434.00,435.00,421.00,424.00,-0.93,"85,425.00","36,398,266.00"
44,44,2021-05-02,428.00,431.00,421.00,428.00,1.66,"95,819.00","40,967,765.00"
45,45,2021-04-29,420.00,424.00,416.00,421.00,0.24,"67,366.00","28,316,989.00"
46,46,2021-04-28,430.00,430.00,418.00,420.00,-0.94,"64,764.00","27,264,626.00"
47,47,2021-04-27,411.00,424.00,410.00,424.00,4.43,"135,263.00","56,508,994.00"
48,48,2021-04-26,402.00,415.00,402.00,406.00,-0.49,"142,594.00","57,945,365.00"
49,49,2021-04-25,422.00,422.00,407.00,408.00,-3.32,"188,620.00","77,856,039.00"
50,50,2021-04-22,427.00,431.00,420.00,422.00,-0.24,"107,636.00","45,498,248.00"
51,51,2021-04-21,425.00,433.00,422.00,423.00,-1.63,"120,441.00","51,290,209.00"
52,52,2021-04-20,431.00,437.00,425.00,430.00,0.00,"182,731.00","78,441,837.00"
53,53,2021-04-19,448.00,448.00,428.00,430.00,-3.37,"351,937.00","152,361,279.00"
54,54,2021-04-18,450.00,455.00,440.00,445.00,-1.77,"232,423.00","103,696,574.00"
55,55,2021-04-15,450.00,459.00,447.00,453.00,1.80,"262,627.00","119,419,139.00"
56,56,2021-04-13,430.00,448.00,430.00,445.00,3.49,"214,696.00","94,361,565.00"
57,57,2021-04-12,435.00,436.00,427.00,430.00,0.23,"144,191.00","61,945,026.00"
58,58,2021-04-08,434.00,434.00,426.00,429.00,-0.46,"101,369.00","43,459,573.00"
59,59,2021-04-07,451.00,451.00,424.00,431.00,0.23,"159,277.00","68,539,913.00"
60,60,2021-04-06,425.00,430.00,425.00,430.00,0.00,"80,212.00","34,336,038.00"
61,61,2021-04-05,431.00,433.00,427.00,430.00,0.00,"140,224.00","60,183,304.00"
62,62,2021-04-04,427.00,433.00,426.00,430.00,1.18,"167,065.00","71,826,147.00"
63,63,2021-04-01,430.00,435.00,423.00,425.00,-0.47,"211,138.00","90,346,162.00"
64,64,2021-03-31,420.00,429.00,419.00,427.00,2.40,"134,380.00","56,966,262.00"
65,65,2021-03-30,405.00,425.00,405.00,417.00,2.46,"194,702.00","81,023,701.00"
66,66,2021-03-29,400.00,407.00,400.00,407.00,1.50,"64,310.00","25,922,953.00"
67,67,2021-03-25,407.00,409.00,400.00,401.00,-1.23,"71,863.00","28,990,445.00"
68,68,2021-03-24,400.00,408.00,400.00,406.00,2.01,"57,790.00","23,388,308.00"
69,69,2021-03-23,410.00,410.00,398.00,398.00,-1.00,"45,402.00","18,178,965.00"
70,70,2021-03-22,411.00,411.00,402.00,402.00,-1.23,"62,118.00","25,179,003.00"
71,71,2021-03-21,398.00,409.00,395.00,407.00,0.99,"82,044.00","33,101,285.00"
72,72,2021-03-18,400.00,407.00,399.00,403.00,1.26,"47,362.00","19,128,710.00"
73,73,2021-03-17,386.00,402.00,385.00,398.00,2.58,"37,388.00","14,793,358.00"
74,74,2021-03-16,384.00,392.00,384.00,388.00,0.00,"51,801.00","20,148,075.00"
75,75,2021-03-15,386.00,399.00,385.00,388.00,-0.51,"39,196.00","15,297,064.00"
76,76,2021-03-14,396.00,396.00,389.00,390.00,-1.52,"82,575.00","32,369,921.00"
77,77,2021-03-10,394.00,399.00,393.00,396.00,-0.25,"41,332.00","16,392,838.00"
78,78,2021-03-09,400.00,402.00,395.00,397.00,-1.49,"70,882.00","28,157,031.00"
79,79,2021-03-07,410.00,410.00,399.00,403.00,-0.49,"57,465.00","23,226,045.00"
80,80,2021-03-04,404.00,409.00,398.00,405.00,2.02,"100,390.00","40,401,867.00"
81,81,2021-03-03,401.00,405.00,390.00,397.00,0.51,"121,845.00","48,281,278.00"
82,82,2021-03-02,411.00,411.00,395.00,395.00,-3.89,"146,017.00","58,546,621.00"
83,83,2021-03-01,410.00,413.00,392.00,411.00,3.27,"162,762.00","65,851,960.00"
84,84,2021-02-28,405.00,405.00,392.00,398.00,-2.45,"179,046.00","71,443,563.00"
85,85,2021-02-25,437.00,437.00,402.00,408.00,-2.16,"131,502.00","54,071,134.00"
86,86,2021-02-24,409.00,430.00,409.00,417.00,0.72,"171,448.00","71,992,452.00"
87,87,2021-02-23,410.00,418.00,403.00,414.00,-0.72,"217,051.00","88,824,052.00"
88,88,2021-02-22,435.00,435.00,417.00,417.00,-2.80,"176,994.00","74,797,068.00"
89,89,2021-02-21,437.00,437.00,423.00,429.00,-1.61,"257,527.00","110,728,845.00"
90,90,2021-02-18,442.00,448.00,436.00,436.00,-0.23,"293,630.00","129,751,682.00"
91,91,2021-02-17,431.00,441.00,422.00,437.00,3.31,"506,084.00","219,309,237.00"
92,92,2021-02-16,403.00,425.00,400.00,423.00,6.82,"623,249.00","261,065,289.00"
93,93,2021-02-15,397.00,412.00,393.00,396.00,1.54,"47,962.00","19,041,252.00"
94,94,2021-02-14,398.00,399.00,389.00,390.00,-1.52,"61,056.00","23,995,642.00"
95,95,2021-02-11,400.00,408.00,395.00,396.00,-0.25,"166,290.00","66,585,459.00"
96,96,2021-02-10,414.00,414.00,386.00,397.00,0.51,"167,321.00","66,449,341.00"
97,97,2021-02-09,404.00,414.00,391.00,395.00,-0.50,"145,607.00","58,459,151.00"
98,98,2021-02-08,370.00,402.00,370.00,397.00,5.87,"196,572.00","76,441,284.00"
99,99,2021-02-07,381.00,381.00,372.00,375.00,-1.32,"120,693.00","45,276,908.00"
100,100,2021-02-04,395.00,395.00,375.00,380.00,0.80,"93,546.00","35,699,333.00"
101,101,2021-02-03,399.00,399.00,375.00,377.00,-0.79,"140,977.00","54,069,739.00"
102,102,2021-02-02,368.00,380.00,368.00,380.00,3.26,"185,045.00","68,814,525.00"
103,103,2021-02-01,370.00,375.00,364.00,368.00,0.00,"83,605.00","30,763,721.00"
104,104,2021-01-31,380.00,382.00,365.00,368.00,-3.66,"166,519.00","61,801,979.00"
105,105,2021-01-28,388.00,388.00,377.00,382.00,-1.80,"143,389.00","54,711,604.00"
106,106,2021-01-27,395.00,395.00,388.00,389.00,-1.52,"117,970.00","46,105,105.00"
107,107,2021-01-26,400.00,404.00,394.00,395.00,-0.50,"106,821.00","42,310,863.00"
108,108,2021-01-25,414.00,414.00,391.00,397.00,0.51,"145,175.00","57,271,349.00"
109,109,2021-01-24,410.00,410.00,392.00,395.00,-0.25,"144,812.00","57,279,663.00"
110,110,2021-01-21,418.00,418.00,395.00,396.00,-0.75,"103,078.00","40,958,501.00"
111,111,2021-01-20,418.00,418.00,397.00,399.00,0.00,"97,025.00","38,819,518.00"
