,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,600.00,600.00,588.00,589.00,-0.17,"18,335.00","10,851,986.00"
2,2,2021-06-30,591.00,594.00,586.00,590.00,-0.17,"21,140.00","12,457,132.00"
3,3,2021-06-29,594.00,600.00,590.00,591.00,-1.17,"25,741.00","15,237,087.00"
4,4,2021-06-28,600.00,606.00,596.00,598.00,-0.66,"11,039.00","6,617,360.00"
5,5,2021-06-27,558.00,617.00,558.00,602.00,2.56,"46,767.00","28,127,718.00"
6,6,2021-06-24,589.00,599.00,586.00,587.00,-1.18,"27,607.00","16,320,704.00"
7,7,2021-06-23,592.00,596.00,590.00,594.00,0.00,"30,215.00","17,882,310.00"
8,8,2021-06-22,584.00,596.00,584.00,594.00,1.19,"31,093.00","18,447,783.00"
9,9,2021-06-21,566.00,605.00,566.00,587.00,-1.34,"35,940.00","21,240,972.00"
10,10,2021-06-20,604.00,607.00,590.00,595.00,-1.49,"97,342.00","58,249,734.00"
11,11,2021-06-17,611.00,618.00,604.00,604.00,-0.33,"19,532.00","11,828,837.00"
12,12,2021-06-16,640.00,640.00,603.00,606.00,-0.98,"35,364.00","21,565,241.00"
13,13,2021-06-15,612.00,625.00,610.00,612.00,0.00,"84,570.00","52,244,956.00"
14,14,2021-06-14,600.00,617.00,597.00,612.00,2.51,"132,482.00","80,684,439.00"
15,15,2021-06-13,586.00,604.00,586.00,597.00,0.00,"32,668.00","19,481,768.00"
16,16,2021-06-10,614.00,614.00,595.00,597.00,-0.83,"47,975.00","28,733,187.00"
17,17,2021-06-09,615.00,615.00,600.00,602.00,0.00,"27,458.00","16,544,230.00"
18,18,2021-06-08,601.00,609.00,600.00,602.00,-0.50,"55,541.00","33,537,656.00"
19,19,2021-06-07,640.00,640.00,605.00,605.00,-0.98,"52,104.00","31,686,221.00"
20,20,2021-06-06,608.00,618.00,603.00,611.00,2.35,"93,685.00","57,263,620.00"
21,21,2021-06-03,591.00,600.00,591.00,597.00,1.02,"56,331.00","33,646,883.00"
22,22,2021-06-02,590.00,599.00,586.00,591.00,-0.34,"23,789.00","14,053,604.00"
23,23,2021-06-01,610.00,610.00,587.00,593.00,0.17,"31,823.00","18,775,337.00"
24,24,2021-05-31,600.00,601.00,591.00,592.00,-0.84,"43,984.00","26,194,921.00"
25,25,2021-05-30,610.00,612.00,596.00,597.00,-0.50,"53,118.00","31,879,485.00"
26,26,2021-05-27,596.00,602.00,593.00,600.00,-0.50,"24,619.00","14,714,877.00"
27,27,2021-05-25,607.00,610.00,602.00,603.00,-1.15,"27,161.00","16,454,163.00"
28,28,2021-05-24,609.00,617.00,606.00,610.00,0.83,"71,147.00","43,458,948.00"
29,29,2021-05-23,628.00,628.00,590.00,605.00,1.00,"60,386.00","36,348,563.00"
30,30,2021-05-20,600.00,607.00,597.00,599.00,0.00,"26,609.00","15,968,034.00"
31,31,2021-05-19,590.00,611.00,590.00,599.00,0.84,"55,451.00","33,435,048.00"
32,32,2021-05-18,613.00,613.00,580.00,594.00,1.71,"23,987.00","14,163,528.00"
33,33,2021-05-17,585.00,590.00,580.00,584.00,0.52,"26,903.00","15,753,471.00"
34,34,2021-05-16,585.00,585.00,577.00,581.00,0.87,"31,215.00","18,101,359.00"
35,35,2021-05-13,576.00,589.00,575.00,576.00,-0.35,"21,034.00","12,133,670.00"
36,36,2021-05-12,581.00,581.00,577.00,578.00,-0.69,"12,474.00","7,226,451.00"
37,37,2021-05-11,577.00,585.00,577.00,582.00,0.87,"17,540.00","10,202,723.00"
38,38,2021-05-10,573.00,578.00,570.00,577.00,0.35,"9,768.00","5,621,023.00"
39,39,2021-05-09,576.00,580.00,571.00,575.00,0.17,"19,256.00","11,055,901.00"
40,40,2021-05-06,575.00,578.00,571.00,574.00,-0.52,"18,266.00","10,478,203.00"
41,41,2021-05-05,580.00,585.00,576.00,577.00,-0.52,"15,351.00","8,870,024.00"
42,42,2021-05-04,582.00,584.00,578.00,580.00,-0.34,"18,457.00","10,712,117.00"
43,43,2021-05-03,552.00,596.00,552.00,582.00,0.17,"23,426.00","13,628,064.00"
44,44,2021-05-02,581.00,588.00,577.00,581.00,0.17,"22,069.00","12,870,826.00"
45,45,2021-04-29,582.00,582.00,575.00,580.00,-0.34,"23,264.00","13,487,901.00"
46,46,2021-04-28,580.00,585.00,580.00,582.00,-1.52,"19,739.00","11,470,865.00"
47,47,2021-04-27,580.00,592.00,570.00,591.00,1.90,"29,716.00","17,236,733.00"
48,48,2021-04-26,581.00,591.00,572.00,580.00,-1.86,"28,369.00","16,494,108.00"
49,49,2021-04-25,608.00,608.00,590.00,591.00,-1.50,"31,940.00","18,911,497.00"
50,50,2021-04-22,600.00,601.00,594.00,600.00,0.17,"29,697.00","17,794,354.00"
51,51,2021-04-21,600.00,605.00,597.00,599.00,-0.33,"31,692.00","19,017,473.00"
52,52,2021-04-20,610.00,610.00,598.00,601.00,-0.33,"30,795.00","18,563,667.00"
53,53,2021-04-19,638.00,638.00,602.00,603.00,-0.82,"30,922.00","18,672,862.00"
