,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,360.00,365.00,359.00,362.00,0.84,"84,366.00","30,575,475.00"
2,2,2021-06-30,357.00,360.00,351.00,359.00,-0.28,"81,873.00","29,050,778.00"
3,3,2021-06-29,369.00,372.00,358.00,360.00,-1.64,"77,930.00","28,263,737.00"
4,4,2021-06-28,367.00,374.00,365.00,366.00,0.27,"100,861.00","37,127,193.00"
5,5,2021-06-27,359.00,375.00,352.00,365.00,2.24,"189,899.00","69,086,444.00"
6,6,2021-06-24,360.00,361.00,353.00,357.00,-0.56,"106,033.00","37,850,329.00"
7,7,2021-06-23,368.00,375.00,358.00,359.00,-2.71,"151,777.00","55,206,150.00"
8,8,2021-06-22,360.00,369.00,355.00,369.00,3.07,"205,530.00","74,758,240.00"
9,9,2021-06-21,374.00,374.00,355.00,358.00,-2.45,"230,934.00","83,430,739.00"
10,10,2021-06-20,375.00,380.00,363.00,367.00,-3.93,"309,130.00","114,300,932.00"
11,11,2021-06-17,404.00,404.00,375.00,382.00,-0.78,"327,370.00","124,148,702.00"
12,12,2021-06-16,391.00,396.00,378.00,385.00,-1.53,"267,190.00","103,729,627.00"
13,13,2021-06-15,400.00,406.00,388.00,391.00,-1.01,"441,344.00","175,320,745.00"
14,14,2021-06-14,380.00,398.00,373.00,395.00,5.90,"786,500.00","306,634,840.00"
15,15,2021-06-13,362.00,376.00,358.00,373.00,3.04,"315,677.00","114,625,123.00"
16,16,2021-06-10,369.00,372.00,357.00,362.00,-1.63,"205,582.00","74,305,557.00"
17,17,2021-06-09,380.00,382.00,366.00,368.00,-1.34,"186,579.00","69,759,539.00"
18,18,2021-06-08,345.00,381.00,345.00,373.00,3.90,"463,906.00","171,676,460.00"
19,19,2021-06-07,380.00,380.00,354.00,359.00,-2.71,"416,133.00","150,067,892.00"
20,20,2021-06-06,360.00,378.00,355.00,369.00,6.34,"495,061.00","181,610,739.00"
21,21,2021-06-03,346.00,352.00,331.00,347.00,5.15,"537,886.00","184,988,598.00"
22,22,2021-06-02,343.00,343.00,326.00,330.00,0.92,"142,165.00","46,659,158.00"
23,23,2021-06-01,336.00,336.00,325.00,327.00,-0.91,"97,365.00","31,970,089.00"
24,24,2021-05-31,340.00,346.00,330.00,330.00,-2.08,"198,341.00","66,894,326.00"
25,25,2021-05-30,346.00,346.00,324.00,337.00,2.12,"193,996.00","65,100,533.00"
26,26,2021-05-27,328.00,335.00,319.00,330.00,-0.60,"135,046.00","44,360,725.00"
27,27,2021-05-25,325.00,343.00,325.00,332.00,-1.78,"151,139.00","50,417,155.00"
28,28,2021-05-24,345.00,346.00,330.00,338.00,-0.29,"249,876.00","84,466,806.00"
29,29,2021-05-23,334.00,340.00,321.00,339.00,1.80,"309,306.00","103,226,457.00"
30,30,2021-05-20,332.00,334.00,325.00,333.00,3.42,"296,455.00","97,913,186.00"
31,31,2021-05-19,319.00,327.00,317.00,322.00,0.94,"217,501.00","69,978,956.00"
32,32,2021-05-18,318.00,319.00,314.00,319.00,0.63,"95,345.00","30,154,946.00"
33,33,2021-05-17,318.00,322.00,315.00,317.00,0.32,"62,291.00","19,727,709.00"
34,34,2021-05-16,311.00,318.00,309.00,316.00,2.27,"173,986.00","54,469,120.00"
35,35,2021-05-13,310.00,310.00,307.00,309.00,0.32,"55,090.00","16,990,215.00"
36,36,2021-05-12,316.00,316.00,307.00,308.00,-0.65,"48,937.00","15,065,832.00"
37,37,2021-05-11,312.00,315.00,308.00,310.00,0.00,"70,367.00","21,829,114.00"
38,38,2021-05-10,297.00,314.00,297.00,310.00,-0.64,"41,106.00","12,754,891.00"
39,39,2021-05-09,319.00,319.00,299.00,312.00,2.63,"247,066.00","77,115,311.00"
40,40,2021-05-06,300.00,306.00,297.00,304.00,1.33,"101,336.00","30,673,544.00"
41,41,2021-05-05,301.00,302.00,299.00,300.00,-0.99,"44,980.00","13,497,354.00"
