,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,779.00,799.00,770.00,781.00,2.23,"21,295.00","16,713,216.00"
2,2,2021-06-30,768.00,768.00,737.00,764.00,1.46,"18,924.00","14,093,041.00"
3,3,2021-06-29,771.00,779.00,744.00,753.00,-2.33,"22,697.00","17,132,831.00"
4,4,2021-06-28,790.00,790.00,771.00,771.00,-1.15,"12,679.00","9,844,625.00"
5,5,2021-06-27,785.00,787.00,772.00,780.00,-0.89,"11,662.00","9,051,250.00"
6,6,2021-06-24,787.00,793.00,773.00,787.00,0.00,"13,303.00","10,436,807.00"
7,7,2021-06-23,815.00,820.00,780.00,787.00,-2.84,"27,740.00","22,006,942.00"
8,8,2021-06-22,782.00,810.00,768.00,810.00,5.61,"27,450.00","21,595,394.00"
9,9,2021-06-21,800.00,808.00,765.00,767.00,-2.91,"44,954.00","34,799,572.00"
10,10,2021-06-20,815.00,820.00,775.00,790.00,-3.66,"41,639.00","33,039,373.00"
11,11,2021-06-17,805.00,826.00,770.00,820.00,3.67,"38,704.00","31,210,977.00"
12,12,2021-06-16,832.00,835.00,757.00,791.00,-5.38,"71,231.00","57,310,492.00"
13,13,2021-06-15,850.00,900.00,833.00,836.00,-4.46,"71,065.00","60,353,252.00"
14,14,2021-06-14,929.00,964.00,869.00,875.00,-1.13,"81,756.00","73,515,786.00"
15,15,2021-06-13,815.00,885.00,810.00,885.00,9.94,"116,778.00","99,422,015.00"
16,16,2021-06-10,765.00,816.00,732.00,805.00,5.92,"122,566.00","96,110,221.00"
17,17,2021-06-09,800.00,836.00,751.00,760.00,-0.91,"79,489.00","62,560,148.00"
18,18,2021-06-08,710.00,768.00,705.00,767.00,9.73,"148,078.00","111,612,169.00"
19,19,2021-06-07,690.00,704.00,683.00,699.00,1.30,"135,656.00","94,473,378.00"
20,20,2021-06-06,700.00,700.00,670.00,690.00,1.47,"89,223.00","61,095,604.00"
21,21,2021-06-03,660.00,702.00,656.00,680.00,4.78,"155,269.00","105,685,611.00"
22,22,2021-06-02,639.00,654.00,621.00,649.00,3.18,"44,790.00","28,684,677.00"
23,23,2021-06-01,630.00,638.00,613.00,629.00,0.32,"20,114.00","12,568,573.00"
24,24,2021-05-31,672.00,672.00,624.00,627.00,-2.03,"29,185.00","18,461,029.00"
25,25,2021-05-30,639.00,667.00,635.00,640.00,0.47,"56,089.00","36,393,146.00"
26,26,2021-05-27,620.00,654.00,610.00,637.00,1.59,"37,834.00","23,633,756.00"
27,27,2021-05-25,673.00,673.00,624.00,627.00,-2.18,"27,108.00","17,165,378.00"
28,28,2021-05-24,704.00,704.00,629.00,641.00,-4.47,"67,201.00","43,344,233.00"
29,29,2021-05-23,632.00,671.00,608.00,671.00,6.17,"93,028.00","60,564,594.00"
30,30,2021-05-20,590.00,632.00,580.00,632.00,8.78,"158,509.00","97,633,361.00"
31,31,2021-05-19,565.00,599.00,562.00,581.00,3.94,"55,007.00","31,777,655.00"
32,32,2021-05-18,560.00,565.00,552.00,559.00,1.64,"22,650.00","12,637,785.00"
33,33,2021-05-17,559.00,560.00,548.00,550.00,-0.18,"16,805.00","9,269,422.00"
34,34,2021-05-16,552.00,563.00,545.00,551.00,1.66,"14,032.00","7,715,944.00"
35,35,2021-05-13,545.00,550.00,537.00,542.00,0.93,"14,098.00","7,636,608.00"
36,36,2021-05-12,542.00,544.00,530.00,537.00,0.56,"9,473.00","5,108,700.00"
37,37,2021-05-11,539.00,542.00,530.00,534.00,0.00,"2,587.00","1,389,065.00"
38,38,2021-05-10,527.00,535.00,525.00,534.00,1.33,"2,636.00","1,400,785.00"
39,39,2021-05-09,530.00,534.00,523.00,527.00,-0.94,"5,286.00","2,797,457.00"
40,40,2021-05-06,545.00,545.00,527.00,532.00,-1.30,"8,786.00","4,683,582.00"
41,41,2021-05-05,537.00,539.00,529.00,539.00,1.70,"8,441.00","4,508,070.00"
42,42,2021-05-04,530.00,531.00,526.00,530.00,0.19,"4,625.00","2,445,267.00"
43,43,2021-05-03,537.00,540.00,529.00,529.00,-0.38,"8,185.00","4,362,033.00"
44,44,2021-05-02,524.00,531.00,524.00,531.00,2.51,"10,980.00","5,803,980.00"
45,45,2021-04-29,515.00,522.00,515.00,518.00,-0.38,"5,557.00","2,885,823.00"
46,46,2021-04-28,534.00,534.00,510.00,520.00,-0.95,"5,702.00","2,993,713.00"
47,47,2021-04-27,505.00,525.00,505.00,525.00,3.55,"10,469.00","5,447,495.00"
48,48,2021-04-26,536.00,536.00,495.00,507.00,-3.80,"27,126.00","13,792,313.00"
49,49,2021-04-25,535.00,535.00,525.00,527.00,-2.23,"10,542.00","5,589,202.00"
50,50,2021-04-22,552.00,552.00,532.00,539.00,-1.28,"10,719.00","5,789,234.00"
51,51,2021-04-21,550.00,550.00,535.00,546.00,-0.73,"13,996.00","7,547,248.00"
52,52,2021-04-20,532.00,559.00,530.00,550.00,2.04,"24,237.00","13,167,277.00"
53,53,2021-04-19,550.00,557.00,534.00,539.00,-2.53,"32,376.00","17,508,923.00"
54,54,2021-04-18,580.00,580.00,544.00,553.00,-2.81,"26,964.00","14,915,071.00"
55,55,2021-04-15,591.00,591.00,558.00,569.00,1.07,"33,665.00","19,112,627.00"
56,56,2021-04-13,582.00,582.00,560.00,563.00,1.44,"76,824.00","43,672,981.00"
57,57,2021-04-12,537.00,563.00,535.00,555.00,8.40,"159,627.00","88,432,867.00"
58,58,2021-04-08,495.00,513.00,492.00,512.00,4.49,"40,114.00","20,280,424.00"
59,59,2021-04-07,498.00,498.00,488.00,490.00,-0.41,"34,771.00","17,100,758.00"
60,60,2021-04-06,500.00,500.00,486.00,492.00,0.41,"26,439.00","12,953,146.00"
61,61,2021-04-05,514.00,514.00,477.00,490.00,0.00,"22,712.00","11,105,363.00"
62,62,2021-04-04,472.00,494.00,470.00,490.00,5.60,"48,633.00","23,554,017.00"
63,63,2021-04-01,450.00,464.00,449.00,464.00,3.34,"45,678.00","20,891,571.00"
64,64,2021-03-31,451.00,456.00,448.00,449.00,-0.44,"12,331.00","5,583,394.00"
65,65,2021-03-30,453.00,458.00,447.00,451.00,1.12,"15,253.00","6,878,357.00"
66,66,2021-03-29,460.00,460.00,441.00,446.00,-1.76,"18,739.00","8,447,382.00"
67,67,2021-03-25,463.00,470.00,446.00,454.00,0.00,"33,576.00","15,259,481.00"
68,68,2021-03-24,455.00,464.00,440.00,454.00,1.57,"20,337.00","9,271,132.00"
69,69,2021-03-23,433.00,454.00,424.00,447.00,5.18,"39,601.00","17,459,717.00"
70,70,2021-03-22,434.00,434.00,421.00,425.00,-2.30,"4,302.00","1,822,840.00"
71,71,2021-03-21,440.00,440.00,430.00,435.00,-0.23,"6,554.00","2,845,038.00"
72,72,2021-03-18,425.00,436.00,418.00,436.00,3.81,"10,693.00","4,554,493.00"
73,73,2021-03-17,410.00,423.00,410.00,420.00,0.48,"3,496.00","1,466,716.00"
74,74,2021-03-16,425.00,428.00,410.00,418.00,-0.48,"15,691.00","6,552,096.00"
75,75,2021-03-15,416.00,431.00,416.00,420.00,-0.71,"4,628.00","1,952,986.00"
76,76,2021-03-14,440.00,440.00,419.00,423.00,-4.51,"3,204.00","1,360,243.00"
77,77,2021-03-10,452.00,455.00,440.00,443.00,-1.56,"12,771.00","5,670,400.00"
78,78,2021-03-09,460.00,468.00,443.00,450.00,0.00,"45,653.00","20,731,957.00"
79,79,2021-03-07,424.00,450.00,419.00,450.00,7.14,"41,351.00","18,218,719.00"
80,80,2021-03-04,405.00,423.00,404.00,420.00,3.45,"19,634.00","8,053,457.00"
81,81,2021-03-03,409.00,409.00,399.00,406.00,-0.73,"7,071.00","2,841,488.00"
82,82,2021-03-02,430.00,430.00,407.00,409.00,-4.22,"7,872.00","3,285,799.00"
83,83,2021-03-01,410.00,429.00,396.00,427.00,2.15,"13,518.00","5,623,736.00"
84,84,2021-02-28,440.00,440.00,416.00,418.00,-4.57,"4,808.00","2,023,785.00"
85,85,2021-02-25,445.00,450.00,430.00,438.00,-1.57,"5,378.00","2,338,625.00"
86,86,2021-02-24,454.00,455.00,441.00,445.00,-1.98,"15,299.00","6,815,182.00"
87,87,2021-02-23,441.00,459.00,425.00,454.00,0.89,"12,640.00","5,454,915.00"
88,88,2021-02-22,455.00,468.00,440.00,450.00,-0.88,"49,541.00","22,340,543.00"
89,89,2021-02-21,410.00,467.00,410.00,454.00,6.82,"45,166.00","20,274,534.00"
90,90,2021-02-18,430.00,431.00,424.00,425.00,0.24,"10,625.00","4,527,326.00"
91,91,2021-02-17,424.00,430.00,422.00,424.00,0.47,"14,840.00","6,315,585.00"
92,92,2021-02-16,410.00,425.00,408.00,422.00,2.68,"28,335.00","11,734,872.00"
93,93,2021-02-15,410.00,415.00,406.00,411.00,2.24,"20,464.00","8,410,646.00"
94,94,2021-02-14,402.00,405.00,398.00,402.00,0.50,"9,600.00","3,856,904.00"
95,95,2021-02-11,408.00,409.00,400.00,400.00,-0.25,"12,026.00","4,866,484.00"
96,96,2021-02-10,400.00,405.00,400.00,401.00,-0.99,"9,635.00","3,874,992.00"
97,97,2021-02-09,405.00,405.00,398.00,405.00,0.50,"6,716.00","2,696,323.00"
98,98,2021-02-08,385.00,414.00,385.00,403.00,2.81,"14,031.00","5,610,484.00"
99,99,2021-02-07,392.00,399.00,383.00,392.00,0.51,"12,131.00","4,751,513.00"
100,100,2021-02-04,389.00,400.00,386.00,390.00,-1.02,"7,400.00","2,893,858.00"
101,101,2021-02-03,400.00,400.00,394.00,394.00,-1.25,"10,129.00","4,018,629.00"
102,102,2021-02-02,395.00,400.00,388.00,399.00,1.79,"7,414.00","2,928,484.00"
103,103,2021-02-01,386.00,395.00,386.00,392.00,1.03,"5,462.00","2,135,121.00"
104,104,2021-01-31,389.00,392.00,384.00,388.00,-2.02,"13,238.00","5,143,335.00"
105,105,2021-01-28,400.00,402.00,396.00,396.00,-0.25,"27,115.00","10,828,450.00"
106,106,2021-01-27,398.00,403.00,397.00,397.00,-1.24,"5,996.00","2,388,735.00"
107,107,2021-01-26,409.00,409.00,398.00,402.00,-0.99,"9,619.00","3,858,089.00"
108,108,2021-01-25,418.00,418.00,400.00,406.00,-0.98,"12,623.00","5,130,391.00"
109,109,2021-01-24,413.00,421.00,407.00,410.00,1.23,"11,848.00","4,883,554.00"
110,110,2021-01-21,382.00,409.00,382.00,405.00,1.50,"17,110.00","6,929,212.00"
111,111,2021-01-20,398.00,400.00,396.00,399.00,0.50,"10,727.00","4,275,227.00"
112,112,2021-01-19,400.00,401.00,390.00,397.00,0.00,"19,549.00","7,789,360.00"
113,113,2021-01-18,401.00,403.00,390.00,397.00,3.93,"34,979.00","13,881,598.00"
114,114,2021-01-17,379.00,382.00,375.00,382.00,2.69,"9,715.00","3,687,791.00"
115,115,2021-01-13,375.00,378.00,372.00,372.00,0.81,"10,870.00","4,068,002.00"
116,116,2021-01-12,367.00,369.00,359.00,369.00,1.65,"9,984.00","3,656,877.00"
117,117,2021-01-11,367.00,370.00,362.00,363.00,0.83,"11,770.00","4,298,624.00"
118,118,2021-01-10,358.00,366.00,356.00,360.00,2.27,"7,824.00","2,817,969.00"
119,119,2021-01-07,350.00,356.00,349.00,352.00,0.86,"12,208.00","4,295,373.00"
120,120,2021-01-06,355.00,358.00,348.00,349.00,-0.85,"4,586.00","1,610,493.00"
121,121,2021-01-05,342.00,353.00,342.00,352.00,1.44,"5,591.00","1,945,242.00"
122,122,2021-01-04,350.00,353.00,347.00,347.00,-0.86,"9,869.00","3,450,754.00"
123,123,2021-01-03,350.00,350.00,339.00,350.00,1.45,"20,293.00","6,967,504.00"
124,124,2020-12-31,344.00,345.00,338.00,345.00,-1.15,"4,000.00","1,368,054.00"
125,125,2020-12-30,344.00,349.00,343.00,349.00,-0.29,"2,293.00","791,244.00"
126,126,2020-12-29,350.00,350.00,345.00,350.00,-0.28,"2,372.00","825,246.00"
127,127,2020-12-28,350.00,351.00,345.00,351.00,-1.13,"1,949.00","681,927.00"
128,128,2020-12-27,343.00,355.00,339.00,355.00,1.72,"1,741.00","595,943.00"
129,129,2020-12-24,343.00,349.00,343.00,349.00,-0.29,"1,143.00","394,879.00"
130,130,2020-12-23,359.00,364.00,344.00,350.00,-0.85,"4,052.00","1,425,011.00"
131,131,2020-12-22,346.00,355.00,346.00,353.00,3.52,"2,353.00","822,958.00"
132,132,2020-12-21,335.00,341.00,326.00,341.00,0.59,"5,136.00","1,709,624.00"
133,133,2020-12-20,347.00,348.00,339.00,339.00,-3.14,"15,297.00","5,256,435.00"
134,134,2020-12-17,358.00,358.00,345.00,350.00,-0.28,"3,622.00","1,267,533.00"
135,135,2020-12-16,360.00,360.00,350.00,351.00,-1.40,"3,233.00","1,134,175.00"
136,136,2020-12-15,359.00,359.00,355.00,356.00,-0.84,716.00,"255,300.00"
137,137,2020-12-14,358.00,359.00,352.00,359.00,0.28,"2,436.00","866,082.00"
138,138,2020-12-13,369.00,376.00,352.00,358.00,1.70,"8,333.00","2,962,174.00"
139,139,2020-12-10,348.00,354.00,342.00,352.00,0.57,"3,840.00","1,339,793.00"
140,140,2020-12-09,346.00,350.00,340.00,350.00,0.57,"4,841.00","1,665,968.00"
141,141,2020-12-08,350.00,353.00,348.00,348.00,-0.29,"3,010.00","1,054,873.00"
142,142,2020-12-07,348.00,351.00,342.00,349.00,-1.41,"4,337.00","1,512,265.00"
143,143,2020-12-06,355.00,355.00,347.00,354.00,-0.84,"4,263.00","1,492,149.00"
144,144,2020-12-03,363.00,367.00,353.00,357.00,-3.51,"9,919.00","3,554,988.00"
145,145,2020-12-02,361.00,393.00,356.00,370.00,0.82,"11,307.00","4,147,148.00"
146,146,2020-12-01,368.00,370.00,361.00,367.00,-2.13,"9,406.00","3,432,800.00"
147,147,2020-11-30,383.00,397.00,372.00,375.00,-0.27,"27,168.00","10,331,761.00"
148,148,2020-11-29,359.00,386.00,359.00,376.00,5.03,"27,593.00","10,255,933.00"
149,149,2020-11-26,356.00,362.00,343.00,358.00,3.77,"25,509.00","9,061,566.00"
150,150,2020-11-25,340.00,345.00,337.00,345.00,1.77,"12,962.00","4,414,256.00"
151,151,2020-11-24,341.00,342.00,338.00,339.00,-0.88,"16,493.00","5,607,334.00"
152,152,2020-11-23,341.00,342.00,338.00,342.00,0.59,"7,657.00","2,606,162.00"
153,153,2020-11-22,336.00,340.00,333.00,340.00,2.72,"13,612.00","4,559,938.00"
154,154,2020-11-19,332.00,335.00,322.00,331.00,0.91,"9,258.00","3,070,577.00"
