,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,519.00,527.00,495.00,520.00,5.05,"200,982.00","103,152,848.00"
2,2,2021-06-30,500.00,500.00,465.00,495.00,3.77,"196,146.00","93,218,285.00"
3,3,2021-06-29,522.00,522.00,477.00,477.00,-4.22,"158,330.00","76,512,694.00"
4,4,2021-06-28,513.00,515.00,496.00,498.00,-2.16,"100,699.00","50,721,195.00"
5,5,2021-06-27,519.00,522.00,505.00,509.00,-1.55,"109,383.00","56,022,869.00"
6,6,2021-06-24,522.00,531.00,506.00,517.00,-0.96,"148,067.00","76,799,905.00"
7,7,2021-06-23,567.00,567.00,517.00,522.00,-3.33,"163,168.00","86,160,889.00"
8,8,2021-06-22,525.00,543.00,505.00,540.00,4.25,"276,613.00","146,216,434.00"
9,9,2021-06-21,540.00,545.00,516.00,518.00,-3.18,"248,772.00","130,491,545.00"
10,10,2021-06-20,570.00,570.00,521.00,535.00,-3.60,"283,884.00","153,216,026.00"
11,11,2021-06-17,564.00,565.00,522.00,555.00,3.16,"231,937.00","127,062,652.00"
12,12,2021-06-16,558.00,565.00,515.00,538.00,-3.41,"254,774.00","138,436,613.00"
13,13,2021-06-15,590.00,590.00,554.00,557.00,-4.95,"376,059.00","212,733,524.00"
14,14,2021-06-14,627.00,627.00,576.00,586.00,-2.01,"410,667.00","242,947,742.00"
15,15,2021-06-13,550.00,600.00,545.00,598.00,8.73,"596,053.00","343,347,016.00"
16,16,2021-06-10,540.00,555.00,519.00,550.00,3.19,"455,625.00","242,502,218.00"
17,17,2021-06-09,575.00,575.00,523.00,533.00,-6.16,"522,977.00","284,776,772.00"
18,18,2021-06-08,525.00,568.00,520.00,568.00,9.86,"528,979.00","296,549,216.00"
19,19,2021-06-07,500.00,520.00,475.00,517.00,7.93,"555,908.00","276,122,831.00"
20,20,2021-06-06,495.00,495.00,473.00,479.00,1.48,"367,269.00","176,285,000.00"
21,21,2021-06-03,465.00,500.00,465.00,472.00,1.94,"554,711.00","265,182,432.00"
22,22,2021-06-02,442.00,469.00,435.00,463.00,5.71,"360,618.00","164,518,661.00"
23,23,2021-06-01,443.00,453.00,431.00,438.00,-1.13,"249,386.00","109,323,348.00"
24,24,2021-05-31,470.00,470.00,439.00,443.00,-4.53,"408,059.00","184,664,176.00"
25,25,2021-05-30,451.00,471.00,435.00,464.00,7.91,"481,084.00","216,993,211.00"
26,26,2021-05-27,398.00,431.00,387.00,430.00,5.91,"437,540.00","182,602,891.00"
27,27,2021-05-25,415.00,416.00,403.00,406.00,-2.17,"235,112.00","95,725,250.00"
28,28,2021-05-24,411.00,431.00,401.00,415.00,2.22,"488,677.00","202,217,240.00"
29,29,2021-05-23,374.00,409.00,363.00,406.00,8.56,"564,540.00","222,418,246.00"
30,30,2021-05-20,369.00,375.00,363.00,374.00,2.19,"135,597.00","50,123,785.00"
31,31,2021-05-19,373.00,373.00,364.00,366.00,-0.81,"139,365.00","51,373,317.00"
32,32,2021-05-18,376.00,376.00,358.00,369.00,2.79,"128,084.00","46,832,509.00"
33,33,2021-05-17,375.00,375.00,357.00,359.00,-1.10,"104,123.00","37,552,497.00"
34,34,2021-05-16,355.00,363.00,355.00,363.00,4.01,"157,646.00","56,602,404.00"
35,35,2021-05-13,343.00,350.00,341.00,349.00,1.75,"71,332.00","24,802,277.00"
36,36,2021-05-12,347.00,347.00,341.00,343.00,-0.29,"24,627.00","8,444,110.00"
37,37,2021-05-11,343.00,346.00,342.00,344.00,0.29,"31,718.00","10,895,193.00"
38,38,2021-05-10,337.00,345.00,336.00,343.00,0.88,"37,796.00","12,928,329.00"
39,39,2021-05-09,339.00,344.00,336.00,340.00,0.29,"51,099.00","17,398,425.00"
40,40,2021-05-06,347.00,348.00,337.00,339.00,-1.17,"56,820.00","19,295,474.00"
41,41,2021-05-05,349.00,349.00,340.00,343.00,0.00,"36,022.00","12,319,336.00"
42,42,2021-05-04,345.00,346.00,341.00,343.00,-0.87,"30,714.00","10,536,259.00"
43,43,2021-05-03,352.00,355.00,343.00,346.00,-0.86,"75,178.00","26,280,054.00"
44,44,2021-05-02,344.00,351.00,344.00,349.00,1.75,"99,250.00","34,667,391.00"
45,45,2021-04-29,334.00,343.00,334.00,343.00,0.88,"30,898.00","10,534,966.00"
46,46,2021-04-28,345.00,350.00,337.00,340.00,-0.87,"59,945.00","20,596,472.00"
47,47,2021-04-27,330.00,347.00,329.00,343.00,3.94,"83,171.00","28,311,480.00"
48,48,2021-04-26,339.00,344.00,323.00,330.00,-2.65,"130,868.00","43,523,891.00"
49,49,2021-04-25,360.00,360.00,338.00,339.00,-3.14,"127,500.00","43,500,631.00"
50,50,2021-04-22,342.00,352.00,342.00,350.00,0.29,"101,714.00","35,454,956.00"
51,51,2021-04-21,361.00,365.00,343.00,349.00,-2.79,"144,778.00","50,701,796.00"
52,52,2021-04-20,350.00,364.00,349.00,359.00,2.57,"246,853.00","87,884,360.00"
53,53,2021-04-19,365.00,365.00,348.00,350.00,-2.78,"152,764.00","54,057,088.00"
54,54,2021-04-18,378.00,379.00,358.00,360.00,0.00,"446,272.00","163,670,306.00"
55,55,2021-04-15,365.00,365.00,352.00,360.00,3.45,"309,955.00","111,269,120.00"
56,56,2021-04-13,339.00,351.00,335.00,348.00,3.88,"272,172.00","94,081,142.00"
57,57,2021-04-12,333.00,338.00,333.00,335.00,0.60,"75,619.00","25,305,983.00"
58,58,2021-04-08,330.00,337.00,326.00,333.00,1.52,"124,522.00","41,542,534.00"
59,59,2021-04-07,323.00,333.00,320.00,328.00,1.86,"115,002.00","37,723,482.00"
60,60,2021-04-06,322.00,323.00,317.00,322.00,0.00,"37,003.00","11,913,851.00"
61,61,2021-04-05,327.00,328.00,317.00,322.00,-1.23,"57,914.00","18,620,572.00"
62,62,2021-04-04,330.00,330.00,322.00,326.00,0.62,"44,671.00","14,516,501.00"
63,63,2021-04-01,320.00,334.00,317.00,324.00,1.25,"82,359.00","26,784,672.00"
64,64,2021-03-31,310.00,320.00,310.00,320.00,2.24,"41,584.00","13,211,852.00"
65,65,2021-03-30,318.00,318.00,309.00,313.00,0.32,"46,804.00","14,630,718.00"
66,66,2021-03-29,302.00,314.00,302.00,312.00,2.30,"65,397.00","20,367,527.00"
67,67,2021-03-25,310.00,313.00,304.00,305.00,-0.97,"34,652.00","10,653,646.00"
68,68,2021-03-24,313.00,314.00,308.00,308.00,0.00,"24,415.00","7,551,457.00"
69,69,2021-03-23,310.00,310.00,307.00,308.00,-1.28,"19,836.00","6,105,006.00"
70,70,2021-03-22,326.00,326.00,308.00,312.00,0.32,"46,259.00","14,461,186.00"
71,71,2021-03-21,306.00,316.00,305.00,311.00,1.63,"78,109.00","24,264,049.00"
72,72,2021-03-18,302.00,307.00,300.00,306.00,1.66,"34,847.00","10,591,753.00"
73,73,2021-03-17,300.00,301.00,296.00,301.00,1.35,"16,582.00","4,963,991.00"
74,74,2021-03-16,293.00,305.00,293.00,297.00,0.00,"23,080.00","6,892,070.00"
75,75,2021-03-15,296.00,306.00,295.00,297.00,-1.00,"35,673.00","10,673,914.00"
76,76,2021-03-14,320.00,320.00,298.00,300.00,-1.64,"36,593.00","10,951,817.00"
77,77,2021-03-10,306.00,306.00,302.00,305.00,-0.33,"26,256.00","7,961,973.00"
78,78,2021-03-09,305.00,308.00,299.00,306.00,-0.65,"19,888.00","6,048,434.00"
79,79,2021-03-07,315.00,315.00,307.00,308.00,-0.32,"40,693.00","12,657,455.00"
80,80,2021-03-04,306.00,313.00,304.00,309.00,1.98,"38,100.00","11,761,732.00"
81,81,2021-03-03,307.00,307.00,296.00,303.00,-0.98,"54,880.00","16,417,337.00"
82,82,2021-03-02,318.00,318.00,303.00,306.00,-2.55,"74,017.00","22,644,028.00"
83,83,2021-03-01,305.00,315.00,305.00,314.00,1.95,"39,101.00","12,197,825.00"
84,84,2021-02-28,317.00,317.00,308.00,308.00,-3.45,"68,810.00","21,433,006.00"
85,85,2021-02-25,332.00,332.00,315.00,319.00,-2.45,"51,433.00","16,498,351.00"
86,86,2021-02-24,321.00,333.00,320.00,327.00,0.93,"85,671.00","28,032,715.00"
87,87,2021-02-23,325.00,327.00,316.00,324.00,-1.22,"88,369.00","28,275,507.00"
88,88,2021-02-22,341.00,342.00,327.00,328.00,-3.24,"112,822.00","37,514,841.00"
89,89,2021-02-21,335.00,341.00,334.00,339.00,1.50,"162,520.00","54,813,846.00"
90,90,2021-02-18,336.00,336.00,319.00,334.00,4.38,"220,421.00","71,558,653.00"
91,91,2021-02-17,323.00,324.00,317.00,320.00,0.00,"56,050.00","17,959,988.00"
92,92,2021-02-16,333.00,333.00,320.00,320.00,0.63,"105,014.00","33,951,630.00"
93,93,2021-02-15,322.00,324.00,317.00,318.00,0.63,"91,531.00","29,240,157.00"
94,94,2021-02-14,320.00,325.00,314.00,316.00,-0.94,"40,194.00","12,714,234.00"
95,95,2021-02-11,323.00,328.00,317.00,319.00,0.00,"92,274.00","29,603,878.00"
96,96,2021-02-10,323.00,325.00,315.00,319.00,0.31,"85,718.00","27,484,165.00"
97,97,2021-02-09,325.00,330.00,317.00,318.00,-0.93,"181,179.00","58,681,323.00"
98,98,2021-02-08,315.00,323.00,303.00,321.00,7.00,"156,501.00","49,178,904.00"
99,99,2021-02-07,304.00,306.00,299.00,300.00,0.33,"68,962.00","20,833,520.00"
100,100,2021-02-04,305.00,306.00,299.00,299.00,-0.33,"60,405.00","18,156,478.00"
101,101,2021-02-03,301.00,310.00,299.00,300.00,-0.33,"54,037.00","16,332,285.00"
102,102,2021-02-02,312.00,312.00,299.00,301.00,1.01,"91,322.00","27,538,537.00"
103,103,2021-02-01,309.00,309.00,295.00,298.00,1.02,"36,954.00","10,999,860.00"
104,104,2021-01-31,300.00,304.00,295.00,295.00,-3.28,"56,479.00","16,822,819.00"
105,105,2021-01-28,314.00,314.00,304.00,305.00,-1.29,"85,971.00","26,397,456.00"
106,106,2021-01-27,319.00,319.00,309.00,309.00,-1.28,"90,353.00","28,181,321.00"
107,107,2021-01-26,323.00,329.00,311.00,313.00,-3.10,"112,579.00","35,578,418.00"
