,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,317.00,342.00,308.00,340.00,9.32,"56,029.00","18,854,561.00"
2,2,2021-06-30,308.00,327.00,284.00,311.00,0.97,"33,483.00","10,057,255.00"
3,3,2021-06-29,334.00,334.00,305.00,308.00,-6.10,"13,916.00","4,347,496.00"
4,4,2021-06-28,341.00,350.00,322.00,328.00,-2.09,"17,338.00","5,794,123.00"
5,5,2021-06-27,337.00,343.00,332.00,335.00,-1.18,"11,488.00","3,871,134.00"
6,6,2021-06-24,343.00,346.00,337.00,339.00,-3.14,"11,645.00","3,979,649.00"
7,7,2021-06-23,385.00,385.00,347.00,350.00,-4.63,"27,530.00","9,818,608.00"
8,8,2021-06-22,335.00,367.00,328.00,367.00,9.55,"30,138.00","10,472,254.00"
9,9,2021-06-21,355.00,375.00,331.00,335.00,-7.46,"41,313.00","14,243,493.00"
10,10,2021-06-20,377.00,383.00,350.00,362.00,-3.98,"29,352.00","10,677,852.00"
11,11,2021-06-17,357.00,391.00,346.00,377.00,5.60,"57,184.00","21,040,474.00"
12,12,2021-06-16,383.00,383.00,346.00,357.00,-6.79,"53,208.00","19,364,226.00"
13,13,2021-06-15,409.00,409.00,381.00,383.00,-5.20,"66,687.00","25,990,802.00"
14,14,2021-06-14,421.00,421.00,391.00,404.00,0.75,"98,700.00","40,006,825.00"
15,15,2021-06-13,370.00,402.00,355.00,401.00,9.26,"124,062.00","47,983,027.00"
16,16,2021-06-10,380.00,380.00,350.00,367.00,-0.54,"67,169.00","24,222,064.00"
17,17,2021-06-09,392.00,406.00,360.00,369.00,-1.34,"90,502.00","34,295,709.00"
18,18,2021-06-08,340.00,374.00,340.00,374.00,10.00,"76,931.00","28,400,784.00"
19,19,2021-06-07,330.00,346.00,317.00,340.00,3.03,"76,535.00","25,851,811.00"
20,20,2021-06-06,345.00,345.00,323.00,330.00,-4.07,"54,359.00","18,054,771.00"
21,21,2021-06-03,320.00,345.00,320.00,344.00,9.55,"181,433.00","61,617,367.00"
22,22,2021-06-02,304.00,327.00,302.00,314.00,1.95,"63,135.00","20,041,347.00"
23,23,2021-06-01,303.00,316.00,302.00,308.00,-0.32,"40,348.00","12,443,401.00"
24,24,2021-05-31,328.00,333.00,302.00,309.00,-4.04,"79,183.00","24,982,113.00"
25,25,2021-05-30,325.00,347.00,308.00,322.00,1.58,"99,276.00","32,037,463.00"
26,26,2021-05-27,297.00,320.00,277.00,317.00,4.62,"107,489.00","32,257,211.00"
27,27,2021-05-25,307.00,313.00,286.00,303.00,0.66,"68,636.00","20,411,508.00"
28,28,2021-05-24,288.00,302.00,288.00,301.00,9.45,"127,643.00","38,490,843.00"
29,29,2021-05-23,250.00,275.00,245.00,275.00,10.00,"118,277.00","31,445,004.00"
30,30,2021-05-20,244.00,256.00,233.00,250.00,2.46,"30,719.00","7,585,469.00"
31,31,2021-05-19,261.00,264.00,241.00,244.00,-4.69,"40,393.00","10,004,324.00"
32,32,2021-05-18,242.00,261.00,240.00,256.00,7.56,"47,675.00","11,888,775.00"
33,33,2021-05-17,225.00,247.00,218.00,238.00,5.78,"93,994.00","21,758,821.00"
34,34,2021-05-16,222.00,230.00,215.00,225.00,3.21,"44,368.00","9,904,560.00"
35,35,2021-05-13,210.00,218.00,206.00,218.00,5.83,"38,098.00","8,195,963.00"
36,36,2021-05-12,203.00,207.00,203.00,206.00,0.49,"6,312.00","1,300,286.00"
37,37,2021-05-11,205.00,207.00,204.00,205.00,0.00,"5,087.00","1,044,755.00"
38,38,2021-05-10,202.00,205.00,202.00,205.00,0.00,"4,336.00","882,870.00"
39,39,2021-05-09,205.00,208.00,200.00,205.00,0.00,"10,550.00","2,158,040.00"
40,40,2021-05-06,205.00,214.00,203.00,205.00,-0.97,"14,551.00","2,990,900.00"
41,41,2021-05-05,204.00,208.00,200.00,207.00,-0.48,"8,267.00","1,704,322.00"
42,42,2021-05-04,210.00,210.00,207.00,208.00,-0.95,"15,415.00","3,198,850.00"
43,43,2021-05-03,217.00,217.00,210.00,210.00,-2.33,"7,908.00","1,670,020.00"
44,44,2021-05-02,213.00,220.00,209.00,215.00,0.00,"39,071.00","8,377,457.00"
45,45,2021-04-29,214.00,220.00,213.00,215.00,-1.38,"18,411.00","3,986,646.00"
46,46,2021-04-28,212.00,223.00,212.00,218.00,-2.24,"12,438.00","2,714,197.00"
47,47,2021-04-27,211.00,226.00,211.00,223.00,5.69,"24,412.00","5,421,463.00"
48,48,2021-04-26,220.00,225.00,206.00,211.00,-4.52,"23,429.00","5,011,167.00"
49,49,2021-04-25,239.00,242.00,217.00,221.00,-4.74,"58,495.00","13,224,078.00"
50,50,2021-04-22,215.00,232.00,208.00,232.00,9.95,"107,028.00","24,137,995.00"
51,51,2021-04-21,195.00,211.00,195.00,211.00,9.90,"134,187.00","27,562,123.00"
52,52,2021-04-20,192.00,200.00,191.00,192.00,0.00,"26,877.00","5,227,992.00"
53,53,2021-04-19,200.00,200.00,188.00,192.00,-2.04,"17,152.00","3,316,484.00"
54,54,2021-04-18,210.00,214.00,194.00,196.00,-3.92,"78,605.00","16,062,952.00"
55,55,2021-04-15,187.00,204.00,186.00,204.00,9.68,"93,653.00","19,012,583.00"
56,56,2021-04-13,185.00,190.00,178.00,186.00,1.64,"45,656.00","8,460,322.00"
57,57,2021-04-12,180.00,184.00,175.00,183.00,2.23,"34,904.00","6,294,317.00"
58,58,2021-04-08,191.00,191.00,176.00,179.00,-1.65,"15,116.00","2,700,828.00"
59,59,2021-04-07,174.00,184.00,171.00,182.00,5.81,"30,313.00","5,337,634.00"
60,60,2021-04-06,171.00,173.00,169.00,172.00,1.78,"10,781.00","1,842,185.00"
61,61,2021-04-05,166.00,173.00,165.00,169.00,0.60,"3,306.00","560,672.00"
62,62,2021-04-04,174.00,174.00,168.00,168.00,-2.33,"18,635.00","3,174,358.00"
63,63,2021-04-01,173.00,174.00,170.00,172.00,-0.58,"8,362.00","1,435,234.00"
64,64,2021-03-31,174.00,174.00,171.00,173.00,1.17,"8,221.00","1,410,533.00"
65,65,2021-03-30,170.00,172.00,170.00,171.00,1.18,"11,365.00","1,942,598.00"
66,66,2021-03-29,179.00,179.00,170.00,175.00,2.34,"33,524.00","5,857,091.00"
67,67,2021-03-25,168.00,172.00,168.00,171.00,1.79,"15,665.00","2,658,502.00"
68,68,2021-03-24,170.00,171.00,167.00,168.00,-1.18,"6,463.00","1,087,970.00"
69,69,2021-03-23,170.00,171.00,168.00,170.00,0.59,"3,282.00","557,202.00"
70,70,2021-03-22,169.00,170.00,166.00,169.00,0.00,"5,350.00","897,910.00"
71,71,2021-03-21,170.00,170.00,167.00,169.00,0.60,"6,771.00","1,142,682.00"
72,72,2021-03-18,175.00,175.00,167.00,168.00,0.60,"4,846.00","819,236.00"
73,73,2021-03-17,171.00,171.00,162.00,167.00,2.45,"12,354.00","2,030,876.00"
74,74,2021-03-16,169.00,169.00,162.00,163.00,-2.98,"11,398.00","1,874,203.00"
75,75,2021-03-15,170.00,170.00,164.00,168.00,0.00,"8,162.00","1,361,133.00"
76,76,2021-03-14,171.00,174.00,167.00,168.00,0.00,"5,018.00","846,422.00"
77,77,2021-03-10,167.00,170.00,167.00,168.00,0.60,"2,316.00","388,872.00"
78,78,2021-03-09,168.00,172.00,167.00,167.00,-1.76,"5,800.00","976,875.00"
79,79,2021-03-07,175.00,175.00,169.00,170.00,-1.16,"4,352.00","741,961.00"
80,80,2021-03-04,168.00,172.00,166.00,172.00,3.61,"11,688.00","1,970,867.00"
81,81,2021-03-03,173.00,173.00,163.00,166.00,-4.05,"10,580.00","1,744,375.00"
82,82,2021-03-02,177.00,180.00,167.00,173.00,-0.57,"6,348.00","1,088,186.00"
83,83,2021-03-01,169.00,179.00,166.00,174.00,1.16,"11,481.00","1,996,447.00"
84,84,2021-02-28,177.00,177.00,169.00,172.00,-2.82,"11,685.00","1,996,211.00"
85,85,2021-02-25,180.00,180.00,174.00,177.00,-1.12,"6,287.00","1,109,859.00"
