,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,428.00,460.00,424.00,451.00,6.62,"419,370.00","187,064,807.00"
2,2,2021-06-30,390.00,430.00,390.00,423.00,3.93,"339,669.00","138,190,187.00"
3,3,2021-06-29,409.00,440.00,405.00,407.00,-5.35,"261,937.00","108,395,911.00"
4,4,2021-06-28,420.00,450.00,420.00,430.00,-1.83,"165,661.00","71,885,503.00"
5,5,2021-06-27,450.00,455.00,435.00,438.00,-2.23,"210,217.00","92,798,811.00"
6,6,2021-06-24,466.00,466.00,447.00,448.00,-2.18,"174,252.00","79,237,526.00"
7,7,2021-06-23,485.00,490.00,456.00,458.00,-3.78,"277,177.00","129,377,642.00"
8,8,2021-06-22,455.00,480.00,444.00,476.00,4.62,"347,027.00","161,736,824.00"
9,9,2021-06-21,475.00,481.00,455.00,455.00,-4.21,"428,394.00","198,293,204.00"
10,10,2021-06-20,493.00,499.00,460.00,475.00,-1.45,"406,058.00","193,752,235.00"
11,11,2021-06-17,480.00,499.00,461.00,482.00,2.12,"380,123.00","182,565,607.00"
12,12,2021-06-16,499.00,515.00,454.00,472.00,-5.22,"471,005.00","225,777,553.00"
13,13,2021-06-15,520.00,528.00,489.00,498.00,-4.23,"512,644.00","257,827,844.00"
14,14,2021-06-14,530.00,548.00,505.00,520.00,0.19,"566,911.00","297,955,977.00"
15,15,2021-06-13,475.00,520.00,474.00,519.00,9.73,"900,592.00","449,309,823.00"
16,16,2021-06-10,460.00,478.00,445.00,473.00,2.83,"637,627.00","293,295,880.00"
17,17,2021-06-09,488.00,497.00,446.00,460.00,-2.95,"767,506.00","360,089,867.00"
18,18,2021-06-08,435.00,474.00,435.00,474.00,9.98,"512,203.00","239,143,879.00"
19,19,2021-06-07,426.00,431.00,400.00,431.00,5.38,"745,359.00","313,552,862.00"
20,20,2021-06-06,410.00,417.00,396.00,409.00,-0.24,"630,516.00","253,821,960.00"
21,21,2021-06-03,408.00,432.00,400.00,410.00,2.50,"720,153.00","298,210,329.00"
22,22,2021-06-02,374.00,400.00,365.00,400.00,7.82,"591,742.00","230,122,672.00"
23,23,2021-06-01,375.00,385.00,360.00,371.00,-0.27,"426,765.00","159,374,657.00"
24,24,2021-05-31,380.00,398.00,365.00,372.00,2.48,"810,622.00","306,664,707.00"
25,25,2021-05-30,333.00,363.00,333.00,363.00,10.00,"767,158.00","273,737,275.00"
26,26,2021-05-27,320.00,339.00,310.00,330.00,1.85,"407,680.00","133,859,106.00"
27,27,2021-05-25,330.00,334.00,320.00,324.00,-0.61,"262,158.00","85,070,007.00"
28,28,2021-05-24,330.00,342.00,320.00,326.00,0.00,"633,845.00","209,806,959.00"
