,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,328.00,341.00,316.00,336.00,4.35,"28,450.00","9,515,709.00"
2,2,2021-06-30,300.00,322.00,286.00,322.00,7.33,"33,672.00","9,995,998.00"
3,3,2021-06-29,315.00,326.00,298.00,300.00,-6.25,"33,120.00","10,100,658.00"
4,4,2021-06-28,339.00,344.00,315.00,320.00,-3.90,"40,913.00","13,314,001.00"
5,5,2021-06-27,342.00,348.00,333.00,333.00,-2.63,"15,410.00","5,194,308.00"
6,6,2021-06-24,373.00,373.00,340.00,342.00,-3.93,"57,855.00","19,960,349.00"
7,7,2021-06-23,375.00,376.00,352.00,356.00,-3.78,"30,642.00","11,051,534.00"
8,8,2021-06-22,365.00,373.00,338.00,370.00,6.32,"36,640.00","13,157,337.00"
9,9,2021-06-21,361.00,373.00,348.00,348.00,-5.43,"62,445.00","22,258,723.00"
10,10,2021-06-20,389.00,389.00,366.00,368.00,-3.66,"48,942.00","18,376,649.00"
11,11,2021-06-17,364.00,392.00,344.00,382.00,5.23,"52,106.00","19,300,055.00"
12,12,2021-06-16,386.00,388.00,354.00,363.00,-7.63,"56,723.00","21,161,930.00"
13,13,2021-06-15,420.00,420.00,385.00,393.00,-4.84,"82,501.00","32,601,776.00"
14,14,2021-06-14,415.00,435.00,408.00,413.00,4.29,"154,719.00","64,487,765.00"
15,15,2021-06-13,367.00,396.00,353.00,396.00,10.00,"140,084.00","53,269,463.00"
16,16,2021-06-10,371.00,371.00,349.00,360.00,0.28,"79,142.00","28,147,326.00"
17,17,2021-06-09,382.00,394.00,344.00,359.00,-1.37,"127,988.00","47,196,521.00"
18,18,2021-06-08,337.00,364.00,337.00,364.00,9.97,"123,349.00","44,231,686.00"
19,19,2021-06-07,329.00,337.00,320.00,331.00,2.16,"80,888.00","26,701,689.00"
20,20,2021-06-06,318.00,331.00,314.00,324.00,-2.99,"68,367.00","21,905,630.00"
21,21,2021-06-03,322.00,348.00,320.00,334.00,5.36,"185,320.00","62,367,900.00"
22,22,2021-06-02,295.00,318.00,295.00,317.00,6.02,"76,902.00","23,763,472.00"
23,23,2021-06-01,299.00,304.00,295.00,299.00,-1.97,"47,517.00","14,226,960.00"
24,24,2021-05-31,325.00,331.00,298.00,305.00,-4.39,"76,846.00","23,896,971.00"
25,25,2021-05-30,300.00,326.00,297.00,319.00,7.41,"160,129.00","50,259,118.00"
26,26,2021-05-27,275.00,304.00,269.00,297.00,6.07,"124,997.00","36,182,807.00"
27,27,2021-05-25,278.00,300.00,271.00,280.00,-1.06,"71,563.00","20,157,768.00"
28,28,2021-05-24,290.00,308.00,275.00,283.00,-1.05,"136,974.00","40,040,610.00"
29,29,2021-05-23,255.00,286.00,245.00,286.00,10.00,"182,825.00","50,191,997.00"
30,30,2021-05-20,275.00,275.00,245.00,260.00,-0.76,"79,193.00","20,381,200.00"
31,31,2021-05-19,250.00,262.00,250.00,262.00,9.62,"218,825.00","57,015,642.00"
32,32,2021-05-18,221.00,239.00,219.00,239.00,9.63,"95,502.00","22,267,079.00"
33,33,2021-05-17,223.00,223.00,212.00,218.00,-0.46,"88,463.00","19,213,045.00"
34,34,2021-05-16,210.00,223.00,209.00,219.00,6.31,"82,552.00","17,990,727.00"
35,35,2021-05-13,199.00,212.00,198.00,206.00,5.10,"86,326.00","17,746,442.00"
36,36,2021-05-12,196.00,199.00,196.00,196.00,0.00,"8,762.00","1,725,643.00"
37,37,2021-05-11,198.00,200.00,196.00,196.00,-1.01,"12,166.00","2,397,665.00"
38,38,2021-05-10,200.00,200.00,195.00,198.00,0.51,"6,109.00","1,200,636.00"
39,39,2021-05-09,194.00,200.00,192.00,197.00,0.00,"22,491.00","4,443,536.00"
40,40,2021-05-06,196.00,201.00,195.00,197.00,1.03,"16,681.00","3,293,001.00"
41,41,2021-05-05,192.00,198.00,192.00,195.00,0.00,"18,724.00","3,659,127.00"
42,42,2021-05-04,195.00,201.00,193.00,195.00,-0.51,"14,993.00","2,923,621.00"
43,43,2021-05-03,198.00,205.00,195.00,196.00,-0.51,"33,858.00","6,715,223.00"
44,44,2021-05-02,197.00,203.00,196.00,197.00,-1.01,"12,274.00","2,436,293.00"
45,45,2021-04-29,196.00,200.00,195.00,199.00,0.00,"26,393.00","5,213,511.00"
46,46,2021-04-28,200.00,204.00,197.00,199.00,-1.00,"14,941.00","2,972,044.00"
47,47,2021-04-27,196.00,209.00,196.00,201.00,2.55,"20,923.00","4,198,601.00"
48,48,2021-04-26,206.00,206.00,188.00,196.00,-2.97,"27,994.00","5,483,702.00"
49,49,2021-04-25,218.00,218.00,197.00,202.00,-2.88,"17,192.00","3,502,472.00"
50,50,2021-04-22,200.00,216.00,198.00,208.00,2.97,"67,925.00","14,067,160.00"
51,51,2021-04-21,207.00,210.00,196.00,202.00,-0.49,"15,938.00","3,242,409.00"
52,52,2021-04-20,199.00,210.00,198.00,203.00,0.00,"18,253.00","3,696,082.00"
53,53,2021-04-19,207.00,207.00,198.00,203.00,-1.46,"41,585.00","8,346,859.00"
54,54,2021-04-18,226.00,226.00,202.00,206.00,-4.63,"82,318.00","17,121,811.00"
55,55,2021-04-15,206.00,216.00,193.00,216.00,9.64,"82,489.00","17,555,598.00"
56,56,2021-04-13,193.00,201.00,191.00,197.00,3.68,"94,156.00","18,344,357.00"
57,57,2021-04-12,181.00,190.00,180.00,190.00,3.83,"42,204.00","7,875,355.00"
58,58,2021-04-08,191.00,191.00,177.00,183.00,-0.54,"29,519.00","5,386,461.00"
59,59,2021-04-07,180.00,189.00,173.00,184.00,5.75,"66,413.00","11,954,188.00"
60,60,2021-04-06,177.00,177.00,170.00,174.00,0.00,"7,766.00","1,341,692.00"
61,61,2021-04-05,171.00,179.00,171.00,174.00,0.00,"15,502.00","2,703,548.00"
62,62,2021-04-04,175.00,175.00,170.00,174.00,1.16,"20,393.00","3,531,645.00"
63,63,2021-04-01,169.00,172.00,168.00,172.00,1.18,"24,170.00","4,125,277.00"
64,64,2021-03-31,178.00,178.00,164.00,170.00,0.00,"7,828.00","1,325,618.00"
65,65,2021-03-30,167.00,170.00,164.00,170.00,0.00,"5,669.00","956,613.00"
66,66,2021-03-29,176.00,176.00,167.00,170.00,0.59,"5,202.00","875,043.00"
67,67,2021-03-25,170.00,170.00,166.00,169.00,-0.59,"15,904.00","2,661,074.00"
68,68,2021-03-24,169.00,170.00,163.00,170.00,2.41,"19,113.00","3,217,172.00"
69,69,2021-03-23,160.00,169.00,160.00,166.00,1.84,"6,866.00","1,141,523.00"
70,70,2021-03-22,160.00,167.00,160.00,163.00,0.00,"5,184.00","853,659.00"
71,71,2021-03-21,175.00,175.00,162.00,163.00,-2.40,"6,830.00","1,131,800.00"
72,72,2021-03-18,164.00,169.00,164.00,167.00,0.00,"3,517.00","582,268.00"
73,73,2021-03-17,162.00,172.00,159.00,167.00,5.03,"9,932.00","1,613,312.00"
74,74,2021-03-16,159.00,163.00,159.00,159.00,-0.63,"5,352.00","858,815.00"
75,75,2021-03-15,157.00,161.00,157.00,160.00,0.00,"8,417.00","1,343,727.00"
76,76,2021-03-14,165.00,166.00,159.00,160.00,-3.03,"5,412.00","876,314.00"
77,77,2021-03-10,166.00,169.00,164.00,165.00,-0.60,"3,155.00","524,902.00"
78,78,2021-03-09,175.00,175.00,166.00,166.00,-0.60,"4,501.00","753,457.00"
79,79,2021-03-07,173.00,173.00,166.00,167.00,-1.76,"7,462.00","1,262,273.00"
80,80,2021-03-04,163.00,170.00,163.00,170.00,2.41,"6,688.00","1,122,246.00"
81,81,2021-03-03,159.00,171.00,159.00,166.00,-0.60,"12,909.00","2,109,430.00"
82,82,2021-03-02,170.00,175.00,166.00,167.00,-3.47,"10,364.00","1,746,085.00"
83,83,2021-03-01,170.00,175.00,165.00,173.00,3.59,"15,745.00","2,670,359.00"
84,84,2021-02-28,175.00,175.00,167.00,167.00,-4.57,"17,639.00","3,012,305.00"
85,85,2021-02-25,176.00,178.00,172.00,175.00,-2.23,"34,256.00","5,984,415.00"
86,86,2021-02-24,179.00,185.00,174.00,179.00,1.70,"15,494.00","2,796,575.00"
87,87,2021-02-23,185.00,185.00,173.00,176.00,-3.83,"16,331.00","2,851,832.00"
88,88,2021-02-22,187.00,191.00,178.00,183.00,-2.66,"40,730.00","7,483,066.00"
89,89,2021-02-21,197.00,197.00,179.00,188.00,0.00,"54,855.00","10,355,393.00"
90,90,2021-02-18,173.00,188.00,173.00,188.00,9.94,"95,432.00","17,504,187.00"
91,91,2021-02-17,170.00,176.00,169.00,171.00,2.40,"32,567.00","5,576,299.00"
92,92,2021-02-16,160.00,174.00,160.00,167.00,-0.60,"53,185.00","9,013,967.00"
93,93,2021-02-15,169.00,172.00,167.00,168.00,1.20,"20,451.00","3,459,594.00"
94,94,2021-02-14,175.00,175.00,166.00,166.00,-3.49,"22,763.00","3,837,610.00"
95,95,2021-02-11,172.00,183.00,171.00,172.00,1.18,"60,089.00","10,555,541.00"
96,96,2021-02-08,169.00,172.00,167.00,170.00,2.41,"13,397.00","2,268,271.00"
97,97,2021-02-07,167.00,170.00,166.00,166.00,-1.78,"16,667.00","2,798,351.00"
98,98,2021-02-04,166.00,173.00,163.00,169.00,0.00,"26,430.00","4,458,034.00"
99,99,2021-02-03,173.00,175.00,168.00,169.00,-1.17,"10,065.00","1,711,072.00"
100,100,2021-02-02,175.00,175.00,170.00,171.00,-0.58,"13,022.00","2,234,117.00"
101,101,2021-02-01,167.00,176.00,161.00,172.00,4.88,"21,423.00","3,573,240.00"
102,102,2021-01-31,173.00,173.00,162.00,164.00,-3.53,"15,941.00","2,624,943.00"
103,103,2021-01-28,174.00,174.00,167.00,170.00,-2.86,"16,481.00","2,800,160.00"
104,104,2021-01-27,168.00,176.00,167.00,175.00,2.94,"22,020.00","3,776,209.00"
105,105,2021-01-26,174.00,174.00,168.00,170.00,-3.41,"34,016.00","5,812,053.00"
106,106,2021-01-25,180.00,183.00,170.00,176.00,-2.22,"36,547.00","6,377,515.00"
107,107,2021-01-24,194.00,203.00,176.00,180.00,-2.70,"97,842.00","18,672,858.00"
108,108,2021-01-21,177.00,185.00,174.00,185.00,9.47,"29,362.00","5,409,954.00"
109,109,2021-01-20,153.00,169.00,150.00,169.00,9.74,"93,824.00","15,346,949.00"
110,110,2021-01-19,158.00,158.00,152.00,154.00,-1.91,"27,898.00","4,313,935.00"
111,111,2021-01-18,161.00,161.00,153.00,157.00,-0.63,"37,064.00","5,795,039.00"
112,112,2021-01-17,151.00,158.00,147.00,158.00,4.64,"60,717.00","9,240,276.00"
113,113,2021-01-13,146.00,152.00,144.00,151.00,4.86,"53,419.00","7,927,976.00"
114,114,2021-01-12,139.00,148.00,139.00,144.00,2.86,"21,939.00","3,165,808.00"
115,115,2021-01-11,143.00,147.00,140.00,140.00,-1.41,"29,126.00","4,169,374.00"
