,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,523.00,543.00,510.00,528.00,2.72,"194,198.00","102,532,191.00"
2,2,2021-06-30,485.00,525.00,480.00,514.00,3.21,"185,562.00","91,664,198.00"
3,3,2021-06-29,492.00,521.00,492.00,498.00,-3.68,"149,440.00","75,244,529.00"
4,4,2021-06-28,527.00,537.00,511.00,517.00,-1.90,"114,235.00","59,551,842.00"
5,5,2021-06-27,539.00,550.00,525.00,527.00,-1.68,"91,105.00","48,390,969.00"
6,6,2021-06-24,551.00,551.00,532.00,536.00,-2.01,"119,383.00","64,439,558.00"
7,7,2021-06-23,575.00,578.00,543.00,547.00,-4.37,"169,737.00","94,411,528.00"
8,8,2021-06-22,531.00,574.00,513.00,572.00,7.72,"230,397.00","125,955,586.00"
9,9,2021-06-21,532.00,565.00,530.00,531.00,-4.84,"259,880.00","141,005,132.00"
10,10,2021-06-20,585.00,591.00,541.00,558.00,-3.79,"270,969.00","152,621,386.00"
11,11,2021-06-17,573.00,601.00,550.00,580.00,1.22,"190,856.00","110,132,937.00"
12,12,2021-06-16,593.00,620.00,545.00,573.00,-3.37,"295,535.00","170,282,729.00"
13,13,2021-06-15,624.00,626.00,579.00,593.00,-4.97,"455,848.00","273,562,903.00"
14,14,2021-06-14,663.00,663.00,607.00,624.00,-1.27,"379,256.00","239,595,943.00"
15,15,2021-06-13,577.00,633.00,570.00,632.00,9.53,"505,732.00","305,135,884.00"
16,16,2021-06-10,550.00,580.00,534.00,577.00,4.72,"448,007.00","248,316,499.00"
17,17,2021-06-09,575.00,617.00,539.00,551.00,-3.16,"512,279.00","287,756,855.00"
18,18,2021-06-08,530.00,569.00,528.00,569.00,9.85,"422,590.00","238,005,412.00"
19,19,2021-06-07,450.00,518.00,450.00,518.00,9.98,"572,087.00","284,673,761.00"
20,20,2021-06-06,467.00,487.00,460.00,471.00,0.86,"319,906.00","151,696,558.00"
21,21,2021-06-03,468.00,485.00,463.00,467.00,1.74,"462,000.00","219,029,869.00"
22,22,2021-06-02,455.00,463.00,432.00,459.00,4.32,"297,718.00","134,535,393.00"
23,23,2021-06-01,446.00,455.00,433.00,440.00,-1.35,"177,595.00","78,409,016.00"
24,24,2021-05-31,473.00,479.00,446.00,446.00,-3.88,"325,310.00","148,193,767.00"
25,25,2021-05-30,440.00,471.00,428.00,464.00,7.16,"529,093.00","238,768,240.00"
26,26,2021-05-27,410.00,445.00,394.00,433.00,5.61,"370,626.00","155,405,139.00"
