,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,575.00,597.00,560.00,578.00,1.58,"199,123.00","115,681,678.00"
2,2,2021-06-30,543.00,586.00,520.00,569.00,4.79,"230,314.00","125,073,143.00"
3,3,2021-06-29,582.00,582.00,543.00,543.00,-6.70,"233,449.00","130,400,996.00"
4,4,2021-06-28,595.00,600.00,574.00,582.00,-0.51,"94,214.00","55,254,289.00"
5,5,2021-06-27,600.00,605.00,580.00,585.00,-2.34,"143,818.00","84,426,682.00"
6,6,2021-06-24,610.00,615.00,596.00,599.00,-1.80,"156,922.00","94,545,322.00"
7,7,2021-06-23,661.00,661.00,606.00,610.00,-3.17,"160,235.00","98,727,293.00"
8,8,2021-06-22,575.00,632.00,575.00,630.00,5.00,"298,689.00","184,492,539.00"
9,9,2021-06-21,655.00,655.00,600.00,600.00,-3.85,"340,953.00","208,251,109.00"
10,10,2021-06-20,655.00,668.00,605.00,624.00,-4.73,"327,164.00","205,156,633.00"
11,11,2021-06-17,640.00,665.00,628.00,655.00,2.34,"352,663.00","228,895,530.00"
12,12,2021-06-16,623.00,676.00,617.00,640.00,-2.29,"404,066.00","258,288,326.00"
13,13,2021-06-15,696.00,696.00,647.00,655.00,-4.10,"489,102.00","323,577,398.00"
14,14,2021-06-14,730.00,730.00,670.00,683.00,-1.87,"610,284.00","424,414,314.00"
15,15,2021-06-13,645.00,696.00,640.00,696.00,9.95,"860,139.00","583,950,984.00"
16,16,2021-06-10,600.00,643.00,591.00,633.00,6.03,"748,400.00","459,301,907.00"
17,17,2021-06-09,663.00,663.00,594.00,597.00,-5.54,"789,368.00","482,898,219.00"
18,18,2021-06-08,600.00,652.00,600.00,632.00,6.58,"560,172.00","357,874,496.00"
19,19,2021-06-07,550.00,599.00,541.00,593.00,8.81,"754,444.00","432,400,290.00"
20,20,2021-06-06,496.00,545.00,496.00,545.00,9.88,"1,035,538.00","547,564,347.00"
21,21,2021-06-03,485.00,523.00,476.00,496.00,4.20,"700,809.00","350,592,602.00"
22,22,2021-06-02,440.00,476.00,425.00,476.00,9.93,"658,386.00","297,939,503.00"
23,23,2021-06-01,400.00,440.00,400.00,433.00,8.25,"714,587.00","303,852,155.00"
24,24,2021-05-31,390.00,413.00,373.00,400.00,6.38,"1,009,625.00","402,169,350.00"
25,25,2021-05-30,350.00,376.00,346.00,376.00,9.94,"651,403.00","241,411,499.00"
26,26,2021-05-27,329.00,353.00,318.00,342.00,3.95,"235,197.00","78,972,127.00"
27,27,2021-05-25,353.00,353.00,325.00,329.00,-2.37,"163,699.00","54,139,295.00"
28,28,2021-05-24,346.00,352.00,334.00,337.00,-2.60,"236,082.00","80,411,640.00"
29,29,2021-05-23,322.00,353.00,310.00,346.00,6.46,"291,222.00","96,547,803.00"
30,30,2021-05-20,305.00,327.00,300.00,325.00,8.33,"184,321.00","57,874,842.00"
31,31,2021-05-19,314.00,314.00,300.00,300.00,-3.85,"142,068.00","43,382,886.00"
32,32,2021-05-18,302.00,321.00,295.00,312.00,5.05,"239,813.00","72,966,856.00"
33,33,2021-05-17,300.00,303.00,292.00,297.00,-0.67,"127,034.00","37,570,054.00"
34,34,2021-05-16,290.00,304.00,290.00,299.00,3.82,"249,862.00","73,985,249.00"
35,35,2021-05-13,290.00,290.00,280.00,288.00,2.49,"124,864.00","35,916,981.00"
36,36,2021-05-12,282.00,283.00,279.00,281.00,0.00,"56,181.00","15,822,933.00"
37,37,2021-05-11,277.00,282.00,275.00,281.00,1.44,"46,090.00","12,929,103.00"
38,38,2021-05-10,274.00,277.00,272.00,277.00,1.09,"15,785.00","4,337,623.00"
39,39,2021-05-09,275.00,279.00,272.00,274.00,-0.36,"53,691.00","14,712,411.00"
40,40,2021-05-06,275.00,278.00,273.00,275.00,-1.08,"20,711.00","5,682,461.00"
41,41,2021-05-05,282.00,282.00,275.00,278.00,0.00,"28,597.00","7,893,106.00"
42,42,2021-05-04,276.00,280.00,273.00,278.00,0.72,"26,903.00","7,456,992.00"
43,43,2021-05-03,284.00,285.00,275.00,276.00,-1.78,"54,232.00","15,116,446.00"
44,44,2021-05-02,279.00,282.00,275.00,281.00,1.08,"62,656.00","17,478,227.00"
45,45,2021-04-29,275.00,278.00,274.00,278.00,2.21,"50,650.00","13,997,645.00"
46,46,2021-04-28,280.00,283.00,270.00,272.00,-2.16,"33,123.00","9,144,008.00"
47,47,2021-04-27,271.00,282.00,270.00,278.00,2.21,"50,408.00","14,048,334.00"
48,48,2021-04-26,278.00,283.00,269.00,272.00,-3.55,"60,722.00","16,661,541.00"
49,49,2021-04-25,305.00,305.00,278.00,282.00,-3.09,"85,844.00","24,112,080.00"
50,50,2021-04-22,285.00,292.00,282.00,291.00,0.34,"69,631.00","20,137,737.00"
51,51,2021-04-21,305.00,305.00,287.00,290.00,-3.01,"93,028.00","27,069,392.00"
52,52,2021-04-20,284.00,300.00,274.00,299.00,6.03,"230,020.00","66,373,163.00"
53,53,2021-04-19,289.00,292.00,282.00,282.00,-2.42,"130,820.00","37,546,474.00"
54,54,2021-04-18,294.00,300.00,286.00,289.00,-0.69,"340,480.00","100,040,997.00"
55,55,2021-04-15,290.00,299.00,287.00,291.00,2.11,"222,768.00","65,387,522.00"
56,56,2021-04-13,281.00,290.00,268.00,285.00,6.34,"300,845.00","83,545,488.00"
57,57,2021-04-12,260.00,270.00,260.00,268.00,1.13,"94,235.00","25,169,358.00"
58,58,2021-04-08,263.00,273.00,263.00,265.00,-0.38,"46,307.00","12,426,740.00"
59,59,2021-04-07,264.00,275.00,264.00,266.00,0.76,"109,194.00","29,277,318.00"
60,60,2021-04-06,261.00,270.00,255.00,264.00,2.72,"93,529.00","24,528,468.00"
61,61,2021-04-05,257.00,266.00,256.00,257.00,-1.15,"52,309.00","13,626,501.00"
62,62,2021-04-04,265.00,265.00,258.00,260.00,-1.14,"48,042.00","12,501,229.00"
63,63,2021-04-01,253.00,275.00,252.00,263.00,4.37,"145,273.00","38,097,693.00"
64,64,2021-03-31,247.00,253.00,247.00,252.00,2.02,"51,512.00","12,909,867.00"
65,65,2021-03-30,249.00,253.00,245.00,247.00,0.82,"36,474.00","9,003,100.00"
66,66,2021-03-29,250.00,250.00,245.00,245.00,-0.41,"14,409.00","3,553,342.00"
67,67,2021-03-25,250.00,253.00,245.00,246.00,-0.81,"47,244.00","11,772,392.00"
68,68,2021-03-24,245.00,251.00,245.00,248.00,0.81,"27,944.00","6,944,233.00"
69,69,2021-03-23,245.00,248.00,245.00,246.00,-1.60,"24,615.00","6,061,620.00"
70,70,2021-03-22,254.00,256.00,248.00,250.00,-1.19,"26,824.00","6,734,654.00"
71,71,2021-03-21,248.00,254.00,247.00,253.00,2.02,"41,182.00","10,345,440.00"
72,72,2021-03-18,244.00,252.00,243.00,248.00,2.48,"43,240.00","10,720,351.00"
73,73,2021-03-17,242.00,246.00,238.00,242.00,1.26,"44,353.00","10,693,712.00"
74,74,2021-03-16,242.00,242.00,237.00,239.00,-0.42,"20,480.00","4,890,611.00"
75,75,2021-03-15,236.00,244.00,233.00,240.00,0.42,"44,073.00","10,516,501.00"
76,76,2021-03-14,242.00,246.00,237.00,239.00,-1.24,"31,538.00","7,552,153.00"
77,77,2021-03-10,241.00,248.00,239.00,242.00,-0.82,"37,908.00","9,166,561.00"
78,78,2021-03-09,247.00,249.00,244.00,244.00,-1.21,"24,939.00","6,119,562.00"
79,79,2021-03-07,255.00,256.00,247.00,247.00,-1.98,"21,998.00","5,515,711.00"
80,80,2021-03-04,246.00,253.00,246.00,252.00,2.86,"56,200.00","14,038,800.00"
81,81,2021-03-03,260.00,260.00,240.00,245.00,-1.21,"51,758.00","12,577,329.00"
82,82,2021-03-02,255.00,259.00,246.00,248.00,-3.50,"56,663.00","14,246,449.00"
83,83,2021-03-01,250.00,260.00,245.00,257.00,2.80,"55,475.00","14,052,789.00"
84,84,2021-02-28,259.00,259.00,249.00,250.00,-3.47,"84,773.00","21,351,175.00"
85,85,2021-02-25,263.00,265.00,259.00,259.00,-1.89,"38,292.00","9,983,518.00"
86,86,2021-02-24,247.00,274.00,247.00,264.00,1.93,"81,578.00","21,738,200.00"
87,87,2021-02-23,263.00,264.00,252.00,259.00,-2.26,"110,958.00","28,618,224.00"
88,88,2021-02-22,275.00,278.00,263.00,265.00,-2.93,"131,869.00","35,280,373.00"
89,89,2021-02-21,277.00,280.00,273.00,273.00,-1.09,"135,389.00","37,455,890.00"
90,90,2021-02-18,270.00,278.00,267.00,276.00,3.76,"209,533.00","57,094,833.00"
91,91,2021-02-17,265.00,267.00,261.00,266.00,0.76,"84,103.00","22,163,914.00"
92,92,2021-02-16,268.00,272.00,259.00,264.00,0.00,"151,131.00","39,956,996.00"
93,93,2021-02-15,266.00,276.00,262.00,264.00,1.15,"146,804.00","39,178,541.00"
94,94,2021-02-14,260.00,270.00,256.00,261.00,0.38,"140,713.00","36,933,855.00"
95,95,2021-02-11,252.00,272.00,250.00,260.00,4.00,"208,600.00","54,277,505.00"
96,96,2021-02-10,255.00,255.00,245.00,250.00,0.00,"105,706.00","26,339,101.00"
97,97,2021-02-09,248.00,252.00,245.00,250.00,2.04,"139,769.00","34,743,512.00"
98,98,2021-02-08,241.00,251.00,240.00,245.00,2.51,"130,318.00","32,106,200.00"
99,99,2021-02-07,242.00,244.00,238.00,239.00,0.00,"53,531.00","12,848,729.00"
100,100,2021-02-04,238.00,246.00,238.00,239.00,0.00,"58,315.00","14,038,325.00"
101,101,2021-02-03,240.00,246.00,237.00,239.00,0.84,"94,503.00","22,860,269.00"
102,102,2021-02-02,233.00,240.00,231.00,237.00,3.04,"69,324.00","16,347,663.00"
103,103,2021-02-01,232.00,233.00,227.00,230.00,0.44,"40,928.00","9,416,203.00"
104,104,2021-01-31,231.00,234.00,223.00,229.00,-2.55,"70,609.00","16,206,684.00"
105,105,2021-01-28,238.00,242.00,232.00,235.00,-2.49,"60,174.00","14,249,567.00"
106,106,2021-01-27,240.00,244.00,237.00,241.00,0.42,"43,585.00","10,469,833.00"
107,107,2021-01-26,246.00,246.00,240.00,240.00,-2.44,"64,864.00","15,694,630.00"
108,108,2021-01-25,259.00,259.00,243.00,246.00,-0.40,"97,050.00","23,887,881.00"
109,109,2021-01-24,245.00,250.00,244.00,247.00,1.23,"103,411.00","25,563,607.00"
110,110,2021-01-21,244.00,244.00,240.00,244.00,1.67,"77,740.00","18,835,763.00"
111,111,2021-01-20,237.00,241.00,232.00,240.00,0.00,"105,707.00","25,256,247.00"
112,112,2021-01-19,243.00,245.00,238.00,240.00,-2.04,"79,363.00","19,054,320.00"
113,113,2021-01-18,245.00,250.00,242.00,245.00,0.41,"103,280.00","25,427,536.00"
114,114,2021-01-17,238.00,250.00,233.00,244.00,2.52,"228,448.00","54,968,825.00"
115,115,2021-01-13,230.00,241.00,228.00,238.00,4.85,"147,657.00","35,041,197.00"
116,116,2021-01-12,230.00,232.00,222.00,227.00,-0.87,"43,250.00","9,850,073.00"
117,117,2021-01-11,228.00,232.00,222.00,229.00,2.23,"148,381.00","33,683,245.00"
118,118,2021-01-10,218.00,227.00,211.00,224.00,7.69,"148,268.00","32,736,387.00"
119,119,2021-01-07,212.00,212.00,208.00,208.00,-0.48,"46,032.00","9,631,177.00"
120,120,2021-01-06,207.00,210.00,206.00,209.00,0.97,"51,106.00","10,607,012.00"
121,121,2021-01-05,210.00,215.00,205.00,207.00,0.00,"14,365.00","2,980,399.00"
122,122,2021-01-04,210.00,214.00,205.00,207.00,0.00,"57,324.00","12,020,265.00"
123,123,2021-01-03,205.00,208.00,202.00,207.00,2.99,"44,191.00","9,096,783.00"
124,124,2020-12-31,201.00,203.00,199.00,201.00,1.52,"25,899.00","5,210,329.00"
125,125,2020-12-30,200.00,201.00,198.00,198.00,-1.00,"13,959.00","2,777,421.00"
126,126,2020-12-29,204.00,204.00,200.00,200.00,-1.96,"26,882.00","5,405,865.00"
127,127,2020-12-28,218.00,222.00,216.00,218.00,0.46,"54,783.00","11,976,241.00"
128,128,2020-12-27,219.00,223.00,214.00,217.00,-1.81,"50,453.00","10,999,195.00"
129,129,2020-12-24,228.00,228.00,220.00,221.00,-1.34,"24,348.00","5,399,705.00"
130,130,2020-12-23,234.00,235.00,222.00,224.00,-2.61,"32,559.00","7,371,735.00"
131,131,2020-12-22,222.00,236.00,219.00,230.00,5.02,"69,889.00","15,582,203.00"
132,132,2020-12-21,215.00,221.00,205.00,219.00,0.00,"48,308.00","10,342,673.00"
133,133,2020-12-20,225.00,226.00,218.00,219.00,-3.95,"56,067.00","12,413,937.00"
134,134,2020-12-17,227.00,238.00,226.00,228.00,-1.30,"31,687.00","7,254,415.00"
135,135,2020-12-16,228.00,233.00,228.00,231.00,0.00,"27,498.00","6,341,730.00"
136,136,2020-12-15,238.00,238.00,231.00,231.00,-1.70,"64,508.00","15,042,999.00"
137,137,2020-12-14,226.00,235.00,226.00,235.00,3.98,"103,587.00","23,946,739.00"
138,138,2020-12-13,225.00,227.00,222.00,226.00,1.80,"38,738.00","8,711,966.00"
139,139,2020-12-10,225.00,225.00,221.00,222.00,-0.45,"47,101.00","10,489,682.00"
140,140,2020-12-09,225.00,225.00,222.00,223.00,-2.19,"28,591.00","6,393,570.00"
141,141,2020-12-08,245.00,245.00,226.00,228.00,-2.56,"60,768.00","13,932,204.00"
142,142,2020-12-07,232.00,240.00,226.00,234.00,2.18,"83,528.00","19,329,345.00"
143,143,2020-12-06,240.00,240.00,229.00,229.00,-4.98,"61,325.00","14,333,732.00"
144,144,2020-12-03,255.00,259.00,237.00,241.00,-0.82,"153,597.00","37,760,858.00"
145,145,2020-12-02,234.00,245.00,230.00,243.00,4.74,"98,593.00","23,459,661.00"
146,146,2020-12-01,224.00,241.00,224.00,232.00,-0.85,"45,217.00","10,575,082.00"
147,147,2020-11-30,244.00,251.00,233.00,234.00,-4.10,"134,491.00","32,477,690.00"
148,148,2020-11-29,223.00,245.00,223.00,244.00,9.42,"197,029.00","47,171,000.00"
149,149,2020-11-26,228.00,236.00,220.00,223.00,-0.89,"48,530.00","10,996,391.00"
150,150,2020-11-25,222.00,226.00,221.00,225.00,3.21,"41,500.00","9,268,425.00"
151,151,2020-11-24,220.00,224.00,218.00,218.00,-0.46,"35,425.00","7,782,226.00"
152,152,2020-11-23,220.00,223.00,217.00,219.00,0.00,"26,349.00","5,776,633.00"
153,153,2020-11-22,217.00,226.00,216.00,219.00,0.46,"36,302.00","8,011,065.00"
154,154,2020-11-19,222.00,222.00,216.00,218.00,0.00,"38,052.00","8,267,776.00"
155,155,2020-11-18,217.00,221.00,217.00,218.00,0.00,"17,443.00","3,812,963.00"
156,156,2020-11-12,220.00,222.00,218.00,218.00,-0.91,"29,348.00","6,442,652.00"
157,157,2020-11-11,217.00,222.00,217.00,220.00,1.38,"29,629.00","6,512,530.00"
158,158,2020-11-10,219.00,220.00,216.00,217.00,0.00,"20,151.00","4,381,232.00"
159,159,2020-11-09,223.00,223.00,216.00,217.00,-0.91,"27,892.00","6,062,821.00"
160,160,2020-11-08,221.00,225.00,217.00,219.00,0.46,"28,431.00","6,219,090.00"
161,161,2020-11-05,221.00,221.00,214.00,218.00,0.00,"38,954.00","8,445,696.00"
162,162,2020-11-04,220.00,222.00,217.00,218.00,-0.91,"24,527.00","5,368,422.00"
163,163,2020-11-03,221.00,223.00,220.00,220.00,-1.35,"46,675.00","10,320,540.00"
164,164,2020-11-02,226.00,227.00,222.00,223.00,-1.33,"21,271.00","4,779,793.00"
165,165,2020-11-01,222.00,229.00,221.00,226.00,0.44,"36,404.00","8,170,011.00"
166,166,2020-10-29,228.00,233.00,225.00,225.00,-1.32,"77,103.00","17,617,955.00"
167,167,2020-10-28,221.00,229.00,217.00,228.00,3.64,"50,380.00","11,372,164.00"
168,168,2020-10-22,219.00,222.00,218.00,220.00,0.00,"21,957.00","4,836,675.00"
169,169,2020-10-21,220.00,222.00,219.00,220.00,0.00,"14,636.00","3,223,760.00"
170,170,2020-10-20,220.00,222.00,216.00,220.00,0.92,"23,989.00","5,243,288.00"
171,171,2020-10-19,212.00,218.00,211.00,218.00,3.32,"26,431.00","5,660,913.00"
172,172,2020-10-18,214.00,217.00,210.00,211.00,-2.76,"24,003.00","5,088,849.00"
173,173,2020-10-15,217.00,222.00,214.00,217.00,0.00,"36,703.00","7,935,037.00"
174,174,2020-10-14,218.00,222.00,216.00,217.00,-2.25,"35,383.00","7,716,764.00"
175,175,2020-10-13,234.00,234.00,220.00,222.00,-0.45,"80,085.00","17,883,585.00"
176,176,2020-10-12,221.00,230.00,215.00,223.00,1.83,"133,138.00","29,878,064.00"
177,177,2020-10-11,221.00,224.00,218.00,219.00,-0.90,"62,823.00","13,868,729.00"
178,178,2020-10-08,230.00,230.00,218.00,221.00,-3.49,"96,562.00","21,516,389.00"
179,179,2020-10-07,222.00,230.00,221.00,229.00,3.62,"160,090.00","36,021,541.00"
180,180,2020-10-06,225.00,226.00,218.00,221.00,-0.90,"162,012.00","35,912,379.00"
181,181,2020-10-05,212.00,224.00,207.00,223.00,6.70,"261,038.00","56,165,113.00"
182,182,2020-10-04,204.00,209.00,202.00,209.00,4.50,"124,544.00","25,703,056.00"
183,183,2020-10-01,196.00,201.00,196.00,200.00,3.63,"107,378.00","21,368,827.00"
184,184,2020-09-30,189.00,201.00,189.00,193.00,1.05,"82,133.00","15,901,100.00"
185,185,2020-09-29,189.00,192.00,189.00,191.00,0.53,"14,847.00","2,834,220.00"
186,186,2020-09-28,189.00,198.00,189.00,190.00,0.00,"36,709.00","7,017,547.00"
187,187,2020-09-27,190.00,192.00,188.00,190.00,0.53,"32,592.00","6,204,866.00"
188,188,2020-09-24,188.00,190.00,187.00,189.00,0.00,"12,006.00","2,263,895.00"
189,189,2020-09-23,187.00,189.00,185.00,189.00,1.07,"11,305.00","2,119,098.00"
190,190,2020-09-22,191.00,192.00,186.00,187.00,-2.60,"24,340.00","4,581,518.00"
191,191,2020-09-21,191.00,196.00,187.00,192.00,-0.52,"58,994.00","11,363,212.00"
192,192,2020-09-20,195.00,204.00,189.00,193.00,1.58,"55,291.00","10,689,287.00"
193,193,2020-09-17,185.00,197.00,183.00,190.00,3.26,"77,332.00","14,752,063.00"
194,194,2020-09-16,185.00,185.00,182.00,184.00,0.00,"7,949.00","1,456,178.00"
195,195,2020-09-15,187.00,188.00,183.00,184.00,-0.54,"12,420.00","2,286,147.00"
196,196,2020-09-14,184.00,187.00,181.00,185.00,2.21,"28,590.00","5,294,303.00"
197,197,2020-09-13,193.00,193.00,181.00,181.00,-1.63,"33,014.00","6,013,795.00"
198,198,2020-09-10,186.00,188.00,182.00,184.00,0.55,"5,436.00","998,761.00"
199,199,2020-09-09,182.00,184.00,181.00,183.00,0.00,"7,594.00","1,384,170.00"
200,200,2020-09-08,181.00,185.00,179.00,183.00,1.10,"14,650.00","2,661,897.00"
201,201,2020-09-07,182.00,184.00,181.00,181.00,-2.16,"18,460.00","3,357,202.00"
202,202,2020-09-06,194.00,194.00,183.00,185.00,0.00,"15,329.00","2,835,313.00"
203,203,2020-09-03,189.00,190.00,184.00,185.00,-1.07,"15,167.00","2,812,393.00"
204,204,2020-09-02,183.00,188.00,183.00,187.00,1.63,"23,153.00","4,308,607.00"
205,205,2020-08-31,184.00,187.00,182.00,184.00,0.00,"19,110.00","3,519,244.00"
206,206,2020-08-30,184.00,184.00,181.00,184.00,0.55,"4,981.00","912,879.00"
207,207,2020-08-27,184.00,190.00,183.00,183.00,-2.14,"12,881.00","2,377,981.00"
208,208,2020-08-26,182.00,188.00,182.00,187.00,2.75,"20,529.00","3,786,826.00"
209,209,2020-08-25,182.00,185.00,181.00,182.00,-0.55,"13,190.00","2,396,204.00"
210,210,2020-08-24,182.00,186.00,182.00,183.00,1.10,"9,359.00","1,716,133.00"
211,211,2020-08-23,180.00,182.00,180.00,181.00,0.00,"10,600.00","1,915,155.00"
212,212,2020-08-20,181.00,184.00,181.00,181.00,-1.63,"5,034.00","918,782.00"
213,213,2020-08-19,182.00,184.00,180.00,184.00,0.00,"11,477.00","2,085,645.00"
214,214,2020-08-18,182.00,184.00,181.00,184.00,1.66,"11,158.00","2,041,287.00"
215,215,2020-08-17,181.00,183.00,179.00,181.00,-0.55,"44,243.00","7,982,335.00"
216,216,2020-08-16,185.00,185.00,177.00,182.00,-3.19,"18,524.00","3,377,611.00"
217,217,2020-08-13,188.00,191.00,187.00,188.00,-1.05,"14,095.00","2,661,645.00"
218,218,2020-08-12,188.00,192.00,188.00,190.00,0.00,"5,374.00","1,022,887.00"
219,219,2020-08-11,193.00,193.00,190.00,190.00,-0.52,"15,687.00","3,001,751.00"
220,220,2020-08-10,190.00,192.00,188.00,191.00,2.14,"20,356.00","3,870,431.00"
221,221,2020-08-09,194.00,194.00,182.00,187.00,1.08,"18,229.00","3,408,098.00"
222,222,2020-08-06,183.00,185.00,180.00,185.00,1.09,"13,730.00","2,501,014.00"
223,223,2020-08-05,187.00,187.00,182.00,183.00,-2.66,"42,514.00","7,852,654.00"
224,224,2020-08-03,189.00,192.00,186.00,188.00,-0.53,"19,029.00","3,615,594.00"
