,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,556.00,567.00,528.00,559.00,5.47,"55,507.00","30,746,471.00"
2,2,2021-06-30,535.00,545.00,495.00,530.00,3.92,"37,381.00","18,901,533.00"
3,3,2021-06-29,532.00,532.00,508.00,510.00,-4.67,"23,872.00","12,297,411.00"
4,4,2021-06-28,550.00,550.00,530.00,535.00,-0.93,"10,809.00","5,830,498.00"
5,5,2021-06-27,566.00,566.00,540.00,540.00,-2.70,"21,336.00","11,655,006.00"
6,6,2021-06-24,560.00,574.00,550.00,555.00,-1.07,"25,159.00","14,029,253.00"
7,7,2021-06-23,590.00,599.00,555.00,561.00,-4.75,"28,508.00","16,458,396.00"
8,8,2021-06-22,555.00,593.00,544.00,589.00,6.13,"41,898.00","23,993,929.00"
9,9,2021-06-21,584.00,600.00,546.00,555.00,-4.97,"49,108.00","27,905,516.00"
10,10,2021-06-20,613.00,613.00,570.00,584.00,-4.73,"38,779.00","22,786,030.00"
11,11,2021-06-17,600.00,628.00,580.00,613.00,0.49,"86,286.00","52,631,025.00"
12,12,2021-06-16,624.00,640.00,581.00,610.00,-4.09,"69,055.00","42,275,574.00"
13,13,2021-06-15,700.00,700.00,623.00,636.00,-5.22,"88,659.00","57,143,768.00"
14,14,2021-06-14,705.00,705.00,651.00,671.00,-0.15,"92,296.00","62,967,275.00"
15,15,2021-06-13,619.00,672.00,603.00,672.00,9.98,"191,269.00","124,885,140.00"
16,16,2021-06-10,610.00,625.00,561.00,611.00,4.44,"142,575.00","83,743,601.00"
17,17,2021-06-09,651.00,651.00,573.00,585.00,-5.65,"127,313.00","75,749,061.00"
18,18,2021-06-08,611.00,637.00,588.00,620.00,6.53,"183,058.00","112,061,130.00"
19,19,2021-06-07,585.00,585.00,545.00,582.00,-0.51,"97,355.00","55,795,463.00"
20,20,2021-06-06,563.00,585.00,515.00,585.00,8.94,"104,790.00","55,671,635.00"
21,21,2021-06-03,515.00,555.00,515.00,537.00,6.34,"222,849.00","120,386,014.00"
22,22,2021-06-02,473.00,518.00,472.00,505.00,6.54,"134,286.00","67,104,389.00"
23,23,2021-06-01,483.00,483.00,465.00,474.00,-1.86,"53,022.00","25,170,698.00"
24,24,2021-05-31,510.00,520.00,478.00,483.00,-3.78,"47,150.00","22,909,707.00"
25,25,2021-05-30,490.00,512.00,478.00,502.00,4.15,"124,634.00","61,980,671.00"
26,26,2021-05-27,460.00,500.00,455.00,482.00,2.77,"45,638.00","21,924,216.00"
27,27,2021-05-25,485.00,486.00,468.00,469.00,-2.70,"66,953.00","31,750,807.00"
28,28,2021-05-24,499.00,504.00,475.00,482.00,-3.41,"121,745.00","59,102,301.00"
29,29,2021-05-23,468.00,514.00,452.00,499.00,6.62,"167,492.00","81,829,781.00"
30,30,2021-05-20,421.00,470.00,418.00,468.00,9.35,"154,564.00","68,909,996.00"
31,31,2021-05-19,462.00,462.00,423.00,428.00,-4.25,"48,763.00","21,038,450.00"
32,32,2021-05-18,431.00,450.00,429.00,447.00,6.43,"88,491.00","39,182,835.00"
33,33,2021-05-17,387.00,425.00,387.00,420.00,8.53,"179,801.00","74,002,002.00"
34,34,2021-05-16,378.00,394.00,378.00,387.00,3.20,"50,234.00","19,420,490.00"
35,35,2021-05-13,371.00,375.00,368.00,375.00,2.74,"16,160.00","6,012,779.00"
36,36,2021-05-12,368.00,372.00,365.00,365.00,-0.82,"9,586.00","3,531,240.00"
37,37,2021-05-11,367.00,372.00,365.00,368.00,0.27,"17,625.00","6,513,064.00"
38,38,2021-05-10,370.00,374.00,367.00,367.00,0.00,"5,654.00","2,087,434.00"
39,39,2021-05-09,365.00,379.00,362.00,367.00,0.82,"19,952.00","7,399,175.00"
40,40,2021-05-06,359.00,368.00,356.00,364.00,0.28,"10,648.00","3,839,636.00"
41,41,2021-05-05,366.00,372.00,362.00,363.00,-0.82,"6,382.00","2,332,235.00"
42,42,2021-05-04,370.00,379.00,363.00,366.00,-0.27,"9,299.00","3,390,407.00"
43,43,2021-05-03,374.00,379.00,365.00,367.00,-2.13,"21,411.00","7,951,671.00"
44,44,2021-05-02,378.00,382.00,371.00,375.00,0.27,"19,569.00","7,346,444.00"
45,45,2021-04-29,356.00,383.00,356.00,374.00,3.03,"30,693.00","11,328,898.00"
46,46,2021-04-28,378.00,378.00,360.00,363.00,-3.71,"6,547.00","2,387,908.00"
47,47,2021-04-27,357.00,379.00,351.00,377.00,7.41,"12,031.00","4,355,451.00"
48,48,2021-04-26,365.00,365.00,351.00,351.00,-3.84,"21,831.00","7,782,372.00"
49,49,2021-04-25,385.00,390.00,363.00,365.00,-3.44,"19,216.00","7,191,228.00"
50,50,2021-04-22,364.00,378.00,358.00,378.00,3.85,"38,607.00","14,342,105.00"
51,51,2021-04-21,370.00,375.00,360.00,364.00,-2.15,"8,589.00","3,138,229.00"
52,52,2021-04-20,369.00,376.00,363.00,372.00,0.81,"16,389.00","6,068,571.00"
53,53,2021-04-19,370.00,376.00,360.00,369.00,-2.12,"32,497.00","11,913,804.00"
54,54,2021-04-18,387.00,390.00,370.00,377.00,-0.79,"21,016.00","7,864,086.00"
55,55,2021-04-15,390.00,398.00,379.00,380.00,-2.56,"27,294.00","10,601,293.00"
56,56,2021-04-13,380.00,406.00,368.00,390.00,4.28,"60,135.00","23,128,080.00"
57,57,2021-04-12,350.00,380.00,350.00,374.00,7.47,"62,287.00","22,812,519.00"
58,58,2021-04-08,345.00,350.00,342.00,348.00,1.75,"7,182.00","2,497,667.00"
59,59,2021-04-07,341.00,346.00,341.00,342.00,0.59,"10,868.00","3,738,231.00"
60,60,2021-04-06,335.00,340.00,335.00,340.00,0.00,"5,245.00","1,772,375.00"
61,61,2021-04-05,342.00,347.00,338.00,340.00,-0.29,"5,124.00","1,752,044.00"
62,62,2021-04-04,335.00,342.00,332.00,341.00,1.19,"14,276.00","4,840,552.00"
63,63,2021-04-01,340.00,342.00,335.00,337.00,-0.30,"14,423.00","4,862,708.00"
64,64,2021-03-31,338.00,342.00,332.00,338.00,0.00,"8,147.00","2,749,549.00"
65,65,2021-03-30,335.00,338.00,331.00,338.00,-0.29,"8,046.00","2,687,588.00"
66,66,2021-03-29,340.00,340.00,333.00,339.00,-0.88,"2,387.00","799,450.00"
67,67,2021-03-25,343.00,343.00,335.00,342.00,-0.58,"8,254.00","2,797,738.00"
68,68,2021-03-24,339.00,353.00,339.00,344.00,2.69,"9,046.00","3,091,032.00"
69,69,2021-03-23,335.00,336.00,330.00,335.00,0.30,"3,199.00","1,066,297.00"
70,70,2021-03-22,336.00,337.00,333.00,334.00,-0.89,"2,914.00","974,055.00"
71,71,2021-03-21,340.00,345.00,333.00,337.00,0.90,"4,412.00","1,489,998.00"
72,72,2021-03-18,329.00,336.00,329.00,334.00,1.83,"4,020.00","1,342,533.00"
73,73,2021-03-17,326.00,333.00,326.00,328.00,-0.61,"3,142.00","1,033,569.00"
74,74,2021-03-16,325.00,330.00,325.00,330.00,0.00,"3,168.00","1,037,791.00"
75,75,2021-03-15,325.00,332.00,325.00,330.00,0.00,"2,401.00","787,039.00"
76,76,2021-03-14,337.00,337.00,320.00,330.00,-2.08,"9,958.00","3,265,945.00"
77,77,2021-03-10,344.00,344.00,334.00,337.00,-0.59,"2,030.00","680,669.00"
78,78,2021-03-09,330.00,339.00,330.00,339.00,0.89,"4,826.00","1,611,307.00"
79,79,2021-03-07,340.00,340.00,336.00,336.00,-1.18,"2,121.00","714,828.00"
80,80,2021-03-04,336.00,341.00,336.00,340.00,2.10,"13,467.00","4,580,095.00"
81,81,2021-03-03,334.00,340.00,328.00,333.00,-0.60,"10,666.00","3,529,422.00"
82,82,2021-03-02,342.00,350.00,335.00,335.00,-2.05,"10,342.00","3,530,982.00"
83,83,2021-03-01,332.00,343.00,331.00,342.00,1.48,"7,320.00","2,485,379.00"
84,84,2021-02-28,344.00,348.00,336.00,337.00,-3.16,"16,198.00","5,502,637.00"
85,85,2021-02-25,354.00,355.00,346.00,348.00,-1.69,"13,587.00","4,724,973.00"
86,86,2021-02-24,349.00,360.00,345.00,354.00,1.43,"21,116.00","7,401,534.00"
87,87,2021-02-23,352.00,356.00,344.00,349.00,-2.24,"17,697.00","6,164,449.00"
88,88,2021-02-22,370.00,370.00,355.00,357.00,-1.92,"23,118.00","8,355,479.00"
89,89,2021-02-21,356.00,372.00,356.00,364.00,2.82,"22,343.00","8,134,619.00"
