,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,402.00,418.00,396.00,412.00,4.30,"201,675.00","82,469,869.00"
2,2,2021-06-30,393.00,408.00,373.00,395.00,2.07,"105,537.00","40,331,948.00"
3,3,2021-06-29,416.00,416.00,385.00,387.00,-2.52,"96,151.00","37,387,112.00"
4,4,2021-06-28,408.00,408.00,391.00,397.00,-1.49,"88,404.00","35,315,497.00"
5,5,2021-06-27,403.00,406.00,397.00,403.00,0.25,"86,984.00","34,873,345.00"
6,6,2021-06-24,411.00,411.00,395.00,402.00,-0.25,"73,386.00","29,556,194.00"
7,7,2021-06-23,443.00,443.00,402.00,403.00,-4.50,"158,773.00","66,164,309.00"
8,8,2021-06-22,418.00,425.00,389.00,422.00,5.76,"241,779.00","98,913,695.00"
9,9,2021-06-21,452.00,452.00,399.00,399.00,-7.42,"169,823.00","69,399,879.00"
10,10,2021-06-20,449.00,449.00,412.00,431.00,-2.27,"134,326.00","57,366,090.00"
11,11,2021-06-17,445.00,455.00,428.00,441.00,0.23,"207,194.00","91,569,822.00"
12,12,2021-06-16,449.00,469.00,425.00,440.00,-3.93,"190,302.00","84,943,038.00"
13,13,2021-06-15,486.00,486.00,455.00,458.00,-5.76,"202,609.00","94,611,538.00"
14,14,2021-06-14,504.00,514.00,484.00,486.00,-1.82,"360,180.00","178,419,598.00"
15,15,2021-06-13,460.00,502.00,455.00,495.00,7.61,"376,034.00","182,050,222.00"
16,16,2021-06-10,450.00,461.00,436.00,460.00,0.88,"285,346.00","127,726,635.00"
17,17,2021-06-09,495.00,495.00,453.00,456.00,-6.37,"324,218.00","150,446,214.00"
18,18,2021-06-08,450.00,487.00,450.00,487.00,9.93,"400,699.00","193,397,837.00"
19,19,2021-06-07,425.00,448.00,422.00,443.00,6.49,"362,541.00","159,142,185.00"
20,20,2021-06-06,410.00,417.00,395.00,416.00,2.72,"352,356.00","142,242,113.00"
21,21,2021-06-03,414.00,430.00,390.00,405.00,2.53,"413,499.00","170,095,297.00"
22,22,2021-06-02,372.00,395.00,358.00,395.00,7.05,"394,493.00","150,846,006.00"
23,23,2021-06-01,351.00,371.00,343.00,369.00,5.43,"240,420.00","85,629,410.00"
24,24,2021-05-31,370.00,380.00,348.00,350.00,-3.58,"281,170.00","101,864,987.00"
25,25,2021-05-30,338.00,365.00,332.00,363.00,9.34,"403,867.00","144,619,788.00"
26,26,2021-05-27,319.00,342.00,314.00,332.00,2.15,"155,138.00","50,897,366.00"
27,27,2021-05-25,348.00,348.00,322.00,325.00,-2.11,"84,623.00","27,640,858.00"
28,28,2021-05-24,344.00,357.00,323.00,332.00,-2.92,"272,517.00","91,133,911.00"
29,29,2021-05-23,315.00,342.00,299.00,342.00,9.97,"266,181.00","86,752,412.00"
30,30,2021-05-20,298.00,315.00,298.00,311.00,3.67,"99,704.00","30,671,044.00"
31,31,2021-05-19,308.00,312.00,300.00,300.00,-1.96,"63,406.00","19,356,538.00"
32,32,2021-05-18,300.00,307.00,300.00,306.00,2.34,"146,143.00","44,308,628.00"
33,33,2021-05-17,304.00,306.00,297.00,299.00,-1.32,"108,770.00","32,618,570.00"
34,34,2021-05-16,290.00,303.00,290.00,303.00,5.57,"206,731.00","61,406,247.00"
35,35,2021-05-13,286.00,289.00,283.00,287.00,1.77,"37,595.00","10,764,962.00"
