,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,640.00,642.00,618.00,632.00,1.77,"149,039.00","94,164,657.00"
2,2,2021-06-30,598.00,626.00,570.00,621.00,3.85,"189,295.00","111,713,020.00"
3,3,2021-06-29,620.00,620.00,594.00,598.00,-2.61,"128,805.00","77,523,141.00"
4,4,2021-06-28,632.00,632.00,613.00,614.00,-0.97,"54,577.00","33,723,604.00"
5,5,2021-06-27,624.00,633.00,602.00,620.00,-0.64,"97,503.00","60,330,851.00"
6,6,2021-06-24,625.00,639.00,613.00,624.00,-1.73,"161,712.00","100,931,717.00"
7,7,2021-06-23,666.00,670.00,631.00,635.00,-3.79,"140,071.00","90,488,213.00"
8,8,2021-06-22,650.00,660.00,615.00,660.00,5.94,"202,277.00","129,767,511.00"
9,9,2021-06-21,660.00,665.00,620.00,623.00,-4.89,"254,148.00","161,854,299.00"
10,10,2021-06-20,692.00,692.00,642.00,655.00,-4.24,"234,792.00","155,053,637.00"
11,11,2021-06-17,670.00,690.00,655.00,684.00,2.09,"202,788.00","137,282,238.00"
12,12,2021-06-16,698.00,700.00,660.00,670.00,-3.87,"248,595.00","167,574,024.00"
13,13,2021-06-15,719.00,725.00,690.00,697.00,-3.06,"326,288.00","228,277,263.00"
14,14,2021-06-14,745.00,745.00,707.00,719.00,-0.55,"294,290.00","212,745,696.00"
15,15,2021-06-13,673.00,730.00,673.00,723.00,7.43,"473,398.00","333,188,125.00"
16,16,2021-06-10,667.00,690.00,650.00,673.00,0.90,"320,422.00","214,191,007.00"
17,17,2021-06-09,700.00,728.00,654.00,667.00,-3.75,"446,185.00","302,502,149.00"
18,18,2021-06-08,650.00,693.00,645.00,693.00,10.00,"419,243.00","286,375,648.00"
19,19,2021-06-07,599.00,635.00,570.00,630.00,6.78,"542,454.00","333,404,564.00"
20,20,2021-06-06,580.00,599.00,570.00,590.00,4.24,"330,025.00","194,294,883.00"
21,21,2021-06-03,546.00,580.00,542.00,566.00,5.60,"401,847.00","225,288,762.00"
22,22,2021-06-02,535.00,543.00,508.00,536.00,5.10,"281,942.00","149,621,808.00"
23,23,2021-06-01,510.00,522.00,504.00,510.00,-0.97,"147,173.00","75,382,016.00"
24,24,2021-05-31,535.00,545.00,511.00,515.00,-2.46,"195,702.00","102,449,934.00"
25,25,2021-05-30,500.00,537.00,498.00,528.00,6.67,"354,716.00","184,582,038.00"
26,26,2021-05-27,470.00,505.00,462.00,495.00,3.13,"229,003.00","112,447,992.00"
27,27,2021-05-25,490.00,492.00,478.00,480.00,-1.84,"134,359.00","65,011,848.00"
28,28,2021-05-24,510.00,510.00,485.00,489.00,-1.41,"218,625.00","108,450,530.00"
29,29,2021-05-23,460.00,502.00,444.00,496.00,7.59,"395,201.00","190,639,519.00"
30,30,2021-05-20,455.00,462.00,450.00,461.00,2.22,"150,510.00","68,666,877.00"
31,31,2021-05-19,458.00,458.00,446.00,451.00,-0.88,"105,483.00","47,784,093.00"
32,32,2021-05-18,447.00,456.00,447.00,455.00,1.79,"156,008.00","70,316,660.00"
33,33,2021-05-17,450.00,455.00,441.00,447.00,-0.22,"90,156.00","40,212,012.00"
34,34,2021-05-16,450.00,450.00,441.00,448.00,2.52,"103,870.00","46,260,004.00"
35,35,2021-05-13,430.00,444.00,427.00,437.00,1.63,"100,723.00","43,839,987.00"
36,36,2021-05-12,435.00,435.00,427.00,430.00,0.00,"19,288.00","8,271,567.00"
37,37,2021-05-11,432.00,432.00,428.00,430.00,0.23,"30,064.00","12,911,253.00"
38,38,2021-05-10,423.00,430.00,421.00,429.00,1.42,"27,964.00","11,943,752.00"
39,39,2021-05-09,447.00,447.00,420.00,423.00,-0.70,"41,896.00","17,842,686.00"
40,40,2021-05-06,428.00,429.00,423.00,426.00,-0.47,"52,034.00","22,138,494.00"
41,41,2021-05-05,428.00,432.00,426.00,428.00,-0.23,"40,543.00","17,363,588.00"
42,42,2021-05-04,437.00,437.00,428.00,429.00,-0.69,"35,112.00","15,088,612.00"
43,43,2021-05-03,446.00,446.00,429.00,432.00,-1.59,"55,041.00","23,918,142.00"
44,44,2021-05-02,436.00,441.00,427.00,439.00,1.15,"63,640.00","27,846,563.00"
45,45,2021-04-29,429.00,435.00,422.00,434.00,1.17,"30,629.00","13,239,314.00"
46,46,2021-04-28,435.00,435.00,420.00,429.00,-0.23,"38,807.00","16,676,361.00"
47,47,2021-04-27,410.00,430.00,410.00,430.00,4.62,"77,072.00","32,638,719.00"
48,48,2021-04-26,421.00,425.00,409.00,411.00,-3.52,"113,897.00","47,338,039.00"
49,49,2021-04-25,440.00,444.00,424.00,426.00,-2.96,"113,404.00","48,676,549.00"
50,50,2021-04-22,460.00,460.00,430.00,439.00,0.00,"90,181.00","39,535,693.00"
51,51,2021-04-21,450.00,455.00,435.00,439.00,-1.57,"106,613.00","47,067,304.00"
52,52,2021-04-20,445.00,451.00,437.00,446.00,2.76,"233,597.00","103,801,164.00"
53,53,2021-04-19,448.00,448.00,430.00,434.00,-1.36,"103,424.00","44,918,294.00"
54,54,2021-04-18,425.00,458.00,425.00,440.00,-1.57,"183,073.00","81,733,391.00"
55,55,2021-04-15,436.00,455.00,430.00,447.00,3.71,"198,162.00","88,700,056.00"
56,56,2021-04-13,417.00,433.00,416.00,431.00,3.11,"134,782.00","57,549,185.00"
57,57,2021-04-12,432.00,432.00,413.00,418.00,1.46,"83,115.00","34,743,348.00"
58,58,2021-04-08,410.00,415.00,410.00,412.00,0.00,"41,209.00","17,032,836.00"
59,59,2021-04-07,410.00,415.00,410.00,412.00,0.24,"46,669.00","19,274,319.00"
60,60,2021-04-06,414.00,418.00,408.00,411.00,0.00,"37,302.00","15,302,966.00"
61,61,2021-04-05,415.00,420.00,409.00,411.00,-0.96,"41,275.00","17,029,719.00"
62,62,2021-04-04,420.00,420.00,406.00,415.00,1.72,"80,306.00","33,137,611.00"
63,63,2021-04-01,408.00,413.00,403.00,408.00,0.99,"68,797.00","28,122,687.00"
64,64,2021-03-31,404.00,404.00,398.00,404.00,1.76,"62,301.00","25,056,341.00"
65,65,2021-03-30,395.00,400.00,393.00,397.00,0.25,"33,173.00","13,192,334.00"
66,66,2021-03-29,403.00,403.00,396.00,396.00,-0.25,"26,762.00","10,648,253.00"
67,67,2021-03-25,402.00,404.00,397.00,397.00,-1.00,"39,994.00","16,000,375.00"
68,68,2021-03-24,400.00,402.00,396.00,401.00,1.26,"53,553.00","21,365,041.00"
69,69,2021-03-23,396.00,399.00,392.00,396.00,0.25,"32,254.00","12,770,799.00"
70,70,2021-03-22,416.00,416.00,395.00,395.00,-0.50,"28,041.00","11,170,392.00"
71,71,2021-03-21,390.00,400.00,390.00,397.00,2.58,"46,770.00","18,529,657.00"
72,72,2021-03-18,395.00,397.00,386.00,387.00,-1.02,"79,409.00","31,068,701.00"
73,73,2021-03-17,384.00,392.00,384.00,391.00,1.56,"25,549.00","9,928,439.00"
74,74,2021-03-16,385.00,392.00,383.00,385.00,0.00,"24,915.00","9,603,774.00"
75,75,2021-03-15,393.00,393.00,382.00,385.00,-0.77,"42,168.00","16,295,032.00"
76,76,2021-03-14,398.00,398.00,385.00,388.00,-1.77,"42,216.00","16,357,090.00"
77,77,2021-03-10,404.00,404.00,393.00,395.00,-0.50,"27,705.00","10,956,635.00"
78,78,2021-03-09,400.00,403.00,396.00,397.00,-1.00,"26,547.00","10,572,550.00"
79,79,2021-03-07,409.00,409.00,400.00,401.00,0.00,"51,961.00","20,957,221.00"
80,80,2021-03-04,398.00,404.00,394.00,401.00,2.56,"68,099.00","27,250,833.00"
81,81,2021-03-03,377.00,398.00,377.00,391.00,-1.26,"100,386.00","39,006,902.00"
82,82,2021-03-02,411.00,412.00,394.00,396.00,-2.46,"74,938.00","29,955,759.00"
83,83,2021-03-01,401.00,414.00,399.00,406.00,0.74,"93,320.00","37,798,900.00"
84,84,2021-02-28,413.00,415.00,401.00,403.00,-3.36,"115,139.00","46,737,908.00"
85,85,2021-02-25,430.00,430.00,415.00,417.00,-1.65,"74,806.00","31,247,822.00"
86,86,2021-02-24,426.00,440.00,413.00,424.00,1.44,"90,788.00","38,692,103.00"
87,87,2021-02-23,429.00,429.00,407.00,418.00,-1.42,"141,298.00","58,633,739.00"
88,88,2021-02-22,438.00,444.00,423.00,424.00,-2.30,"166,488.00","71,812,623.00"
89,89,2021-02-21,414.00,444.00,414.00,434.00,4.83,"254,744.00","108,213,575.00"
