,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,660.00,668.00,627.00,654.00,0.93,"4,000.00","2,612,052.00"
2,2,2021-06-30,641.00,650.00,628.00,648.00,-0.61,"4,390.00","2,784,843.00"
3,3,2021-06-29,683.00,683.00,651.00,652.00,-2.69,"2,249.00","1,485,520.00"
4,4,2021-06-28,683.00,683.00,661.00,670.00,0.00,"1,339.00","892,447.00"
5,5,2021-06-27,681.00,692.00,669.00,670.00,-3.32,"6,567.00","4,453,424.00"
6,6,2021-06-24,693.00,699.00,678.00,693.00,0.00,"6,379.00","4,365,782.00"
7,7,2021-06-23,735.00,735.00,691.00,693.00,-4.28,"4,877.00","3,438,565.00"
8,8,2021-06-22,752.00,764.00,716.00,724.00,0.98,"21,054.00","15,524,628.00"
9,9,2021-06-21,684.00,717.00,654.00,717.00,9.97,"42,362.00","29,225,595.00"
10,10,2021-06-20,651.00,654.00,608.00,652.00,0.15,"10,515.00","6,672,185.00"
11,11,2021-06-17,635.00,661.00,635.00,651.00,2.52,"8,962.00","5,888,931.00"
12,12,2021-06-16,654.00,660.00,629.00,635.00,-4.80,"9,932.00","6,323,524.00"
13,13,2021-06-15,703.00,717.00,660.00,667.00,-3.33,"13,057.00","8,819,670.00"
14,14,2021-06-14,704.00,732.00,678.00,690.00,-0.14,"11,014.00","7,597,010.00"
15,15,2021-06-13,745.00,745.00,678.00,691.00,-2.68,"15,779.00","10,971,369.00"
16,16,2021-06-10,724.00,724.00,687.00,710.00,0.00,"8,497.00","5,940,016.00"
17,17,2021-06-09,682.00,731.00,682.00,710.00,2.16,"14,764.00","10,430,930.00"
18,18,2021-06-08,737.00,737.00,690.00,695.00,-1.00,"13,098.00","9,135,912.00"
19,19,2021-06-07,724.00,724.00,683.00,702.00,-3.04,"20,332.00","14,284,568.00"
20,20,2021-06-06,808.00,831.00,724.00,724.00,-5.97,"51,728.00","39,920,013.00"
21,21,2021-06-03,845.00,845.00,743.00,770.00,-4.35,"36,472.00","27,908,584.00"
22,22,2021-06-02,851.00,851.00,770.00,805.00,-0.74,"12,941.00","10,194,935.00"
23,23,2021-06-01,781.00,830.00,781.00,811.00,3.84,"32,471.00","26,178,425.00"
24,24,2021-05-31,763.00,799.00,740.00,781.00,7.43,"59,257.00","46,377,589.00"
25,25,2021-05-30,746.00,750.00,721.00,727.00,-2.55,"17,160.00","12,634,675.00"
26,26,2021-05-27,715.00,765.00,687.00,746.00,2.90,"23,630.00","17,266,704.00"
27,27,2021-05-25,685.00,740.00,681.00,725.00,6.46,"30,589.00","21,832,196.00"
28,28,2021-05-24,702.00,702.00,673.00,681.00,-0.58,"30,402.00","20,746,494.00"
29,29,2021-05-23,621.00,693.00,621.00,685.00,8.73,"42,750.00","28,585,393.00"
30,30,2021-05-20,622.00,637.00,616.00,630.00,0.00,"7,236.00","4,514,302.00"
31,31,2021-05-19,660.00,660.00,624.00,630.00,-4.40,"5,285.00","3,367,129.00"
32,32,2021-05-18,648.00,660.00,631.00,659.00,3.62,"6,108.00","3,956,486.00"
33,33,2021-05-17,624.00,686.00,611.00,636.00,1.92,"28,291.00","18,183,755.00"
34,34,2021-05-16,649.00,657.00,610.00,624.00,-3.85,"27,665.00","17,169,361.00"
35,35,2021-05-13,627.00,689.00,610.00,649.00,3.51,"20,390.00","13,196,841.00"
36,36,2021-05-12,575.00,627.00,569.00,627.00,10.00,"37,347.00","22,979,583.00"
37,37,2021-05-11,524.00,570.00,519.00,570.00,8.78,"24,143.00","13,275,664.00"
38,38,2021-05-10,516.00,530.00,514.00,524.00,1.55,"7,017.00","3,658,751.00"
39,39,2021-05-09,528.00,529.00,512.00,516.00,-2.64,"5,562.00","2,880,472.00"
40,40,2021-05-06,515.00,530.00,511.00,530.00,2.12,"10,904.00","5,641,245.00"
41,41,2021-05-05,517.00,523.00,516.00,519.00,-0.57,"2,152.00","1,118,627.00"
42,42,2021-05-04,520.00,525.00,518.00,522.00,-0.57,"2,480.00","1,294,025.00"
43,43,2021-05-03,516.00,560.00,516.00,525.00,0.19,"4,351.00","2,298,639.00"
44,44,2021-05-02,520.00,525.00,510.00,524.00,-1.13,"7,418.00","3,841,239.00"
45,45,2021-04-29,540.00,541.00,509.00,530.00,-1.49,"11,449.00","6,046,328.00"
46,46,2021-04-28,513.00,553.00,513.00,538.00,4.87,"9,228.00","4,962,979.00"
47,47,2021-04-27,490.00,526.00,490.00,513.00,2.60,"11,513.00","5,898,416.00"
48,48,2021-04-26,518.00,518.00,490.00,500.00,-5.12,"17,042.00","8,544,770.00"
49,49,2021-04-25,563.00,563.00,518.00,527.00,-8.19,"24,805.00","13,098,680.00"
50,50,2021-04-22,560.00,592.00,560.00,574.00,0.70,"1,707.00","976,642.00"
51,51,2021-04-21,581.00,599.00,561.00,570.00,-3.72,"2,030.00","1,176,988.00"
52,52,2021-04-20,570.00,592.00,563.00,592.00,3.86,"1,640.00","945,630.00"
53,53,2021-04-19,566.00,585.00,566.00,570.00,-1.21,869.00,"497,714.00"
54,54,2021-04-18,592.00,592.00,576.00,577.00,-3.03,408.00,"235,654.00"
55,55,2021-04-15,585.00,603.00,576.00,595.00,0.00,"1,330.00","781,233.00"
56,56,2021-04-13,595.00,595.00,584.00,595.00,1.71,650.00,"385,050.00"
57,57,2021-04-12,606.00,615.00,580.00,585.00,-1.68,"2,144.00","1,266,524.00"
58,58,2021-04-08,575.00,611.00,575.00,595.00,1.54,"2,555.00","1,527,921.00"
59,59,2021-04-07,575.00,586.00,558.00,586.00,3.72,"3,140.00","1,800,451.00"
60,60,2021-04-06,550.00,571.00,550.00,565.00,3.67,"2,615.00","1,469,495.00"
61,61,2021-04-05,528.00,561.00,528.00,545.00,1.68,"1,780.00","982,580.00"
62,62,2021-04-04,540.00,540.00,535.00,536.00,-2.55,213.00,"114,293.00"
63,63,2021-04-01,555.00,555.00,537.00,550.00,0.92,"2,572.00","1,402,442.00"
64,64,2021-03-31,539.00,545.00,539.00,545.00,-0.91,170.00,"91,930.00"
65,65,2021-03-30,539.00,555.00,535.00,550.00,3.38,"1,746.00","954,940.00"
66,66,2021-03-29,528.00,541.00,522.00,532.00,-1.12,495.00,"262,685.00"
67,67,2021-03-25,549.00,549.00,529.00,538.00,-0.19,913.00,"487,237.00"
68,68,2021-03-24,540.00,550.00,539.00,539.00,-0.19,316.00,"171,189.00"
69,69,2021-03-23,555.00,571.00,535.00,540.00,-0.92,"1,135.00","630,985.00"
70,70,2021-03-22,550.00,550.00,537.00,545.00,-2.33,"1,402.00","755,701.00"
71,71,2021-03-21,559.00,569.00,538.00,558.00,-0.18,"1,958.00","1,080,709.00"
72,72,2021-03-18,525.00,560.00,525.00,559.00,6.48,955.00,"516,755.00"
73,73,2021-03-17,518.00,527.00,518.00,525.00,-0.57,218.00,"114,059.00"
74,74,2021-03-16,522.00,532.00,522.00,528.00,2.92,"1,311.00","686,442.00"
75,75,2021-03-15,502.00,513.00,494.00,513.00,1.99,"1,277.00","649,103.00"
76,76,2021-03-14,540.00,540.00,501.00,503.00,-5.81,"1,946.00","996,370.00"
77,77,2021-03-10,523.00,534.00,523.00,534.00,0.56,758.00,"398,677.00"
78,78,2021-03-09,540.00,540.00,520.00,531.00,-3.28,"1,235.00","656,794.00"
79,79,2021-03-07,566.00,566.00,544.00,549.00,-1.08,776.00,"426,786.00"
80,80,2021-03-04,550.00,561.00,550.00,555.00,0.91,"1,625.00","903,335.00"
81,81,2021-03-03,580.00,580.00,545.00,550.00,-4.35,"2,197.00","1,207,025.00"
82,82,2021-03-02,583.00,583.00,562.00,575.00,-2.71,"1,074.00","619,358.00"
83,83,2021-03-01,580.00,608.00,570.00,591.00,2.25,"1,190.00","688,904.00"
84,84,2021-02-28,580.00,591.00,571.00,578.00,-0.34,751.00,"433,161.00"
85,85,2021-02-25,610.00,610.00,578.00,580.00,-3.17,"2,166.00","1,273,420.00"
86,86,2021-02-24,596.00,610.00,592.00,599.00,2.39,"1,385.00","824,705.00"
87,87,2021-02-23,593.00,600.00,580.00,585.00,-3.15,"1,200.00","707,105.00"
88,88,2021-02-22,598.00,605.00,595.00,604.00,-0.49,"1,719.00","1,032,125.00"
89,89,2021-02-21,590.00,607.00,586.00,607.00,2.36,880.00,"528,970.00"
90,90,2021-02-18,602.00,622.00,590.00,593.00,-1.50,"1,759.00","1,062,780.00"
91,91,2021-02-17,615.00,616.00,590.00,602.00,-0.17,"2,175.00","1,314,210.00"
92,92,2021-02-16,615.00,615.00,599.00,603.00,-1.31,"1,902.00","1,157,813.00"
93,93,2021-02-15,591.00,637.00,568.00,611.00,5.34,"5,285.00","3,159,490.00"
94,94,2021-02-14,595.00,595.00,568.00,580.00,-3.17,"2,775.00","1,620,025.00"
95,95,2021-02-11,594.00,605.00,593.00,599.00,-1.16,"3,004.00","1,798,032.00"
96,96,2021-02-10,610.00,618.00,596.00,606.00,-0.66,"4,718.00","2,854,542.00"
97,97,2021-02-09,607.00,618.00,605.00,610.00,-1.29,"4,060.00","2,470,555.00"
98,98,2021-02-08,625.00,625.00,616.00,618.00,-1.44,"4,392.00","2,717,813.00"
99,99,2021-02-07,633.00,645.00,625.00,627.00,-2.79,"4,631.00","2,908,804.00"
100,100,2021-02-04,663.00,663.00,625.00,645.00,2.06,"2,445.00","1,567,545.00"
101,101,2021-02-03,649.00,652.00,625.00,632.00,-4.39,"6,577.00","4,215,445.00"
102,102,2021-02-02,690.00,690.00,657.00,661.00,-2.36,"1,716.00","1,144,325.00"
103,103,2021-02-01,689.00,690.00,663.00,677.00,0.00,"3,224.00","2,183,933.00"
104,104,2021-01-31,672.00,704.00,640.00,677.00,5.78,"13,524.00","8,969,897.00"
105,105,2021-01-28,650.00,675.00,640.00,640.00,0.00,"2,890.00","1,870,015.00"
106,106,2021-01-27,655.00,655.00,625.00,640.00,-1.23,"6,994.00","4,416,749.00"
107,107,2021-01-26,670.00,687.00,637.00,648.00,-1.82,"4,596.00","3,023,827.00"
108,108,2021-01-25,596.00,689.00,565.00,660.00,5.26,"12,599.00","7,619,442.00"
109,109,2021-01-24,696.00,696.00,627.00,627.00,-9.91,"6,893.00","4,347,771.00"
110,110,2021-01-21,783.00,783.00,672.00,696.00,-6.70,"11,045.00","7,958,314.00"
111,111,2021-01-20,692.00,746.00,692.00,746.00,9.87,"10,415.00","7,677,602.00"
112,112,2021-01-19,630.00,679.00,630.00,679.00,9.87,"29,142.00","19,517,920.00"
113,113,2021-01-18,573.00,618.00,573.00,618.00,9.96,"5,430.00","3,342,600.00"
114,114,2021-01-17,521.00,562.00,521.00,562.00,9.98,"7,180.00","4,031,070.00"
115,115,2021-01-13,474.00,511.00,474.00,511.00,9.89,481.00,"237,091.00"
116,116,2021-01-12,802.00,840.00,720.00,829.00,8.51,"28,984.00","22,794,925.00"
117,117,2021-01-11,708.00,764.00,708.00,764.00,9.93,"10,813.00","8,227,794.00"
118,118,2021-01-10,644.00,695.00,644.00,695.00,9.97,"15,905.00","10,957,256.00"
119,119,2021-01-07,603.00,632.00,603.00,632.00,9.91,"26,188.00","16,549,116.00"
