,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,389.00,403.00,375.00,395.00,3.40,"160,370.00","63,040,104.00"
2,2,2021-06-30,374.00,387.00,357.00,382.00,2.14,"168,324.00","62,061,446.00"
3,3,2021-06-29,365.00,393.00,365.00,374.00,-2.60,"133,045.00","49,622,487.00"
4,4,2021-06-28,399.00,399.00,381.00,384.00,-2.78,"71,570.00","27,784,920.00"
5,5,2021-06-27,416.00,416.00,386.00,395.00,-0.50,"77,355.00","30,455,395.00"
6,6,2021-06-24,414.00,414.00,396.00,397.00,-2.70,"76,680.00","30,735,496.00"
7,7,2021-06-23,415.00,432.00,403.00,408.00,-3.09,"162,494.00","67,313,460.00"
8,8,2021-06-22,390.00,426.00,378.00,421.00,8.51,"210,030.00","84,887,810.00"
9,9,2021-06-21,430.00,430.00,386.00,388.00,-5.37,"171,939.00","68,629,978.00"
10,10,2021-06-20,430.00,432.00,403.00,410.00,-3.30,"178,717.00","74,016,634.00"
11,11,2021-06-17,438.00,438.00,408.00,424.00,1.44,"223,045.00","94,430,354.00"
12,12,2021-06-16,435.00,450.00,404.00,418.00,-4.78,"246,568.00","104,566,315.00"
13,13,2021-06-15,485.00,485.00,432.00,439.00,-4.98,"276,667.00","122,556,282.00"
14,14,2021-06-14,481.00,502.00,457.00,462.00,-2.33,"279,325.00","132,471,859.00"
15,15,2021-06-13,440.00,476.00,433.00,473.00,9.24,"498,448.00","227,537,946.00"
16,16,2021-06-10,406.00,450.00,406.00,433.00,1.41,"404,835.00","172,715,959.00"
17,17,2021-06-09,473.00,473.00,420.00,427.00,-5.32,"290,130.00","127,061,265.00"
18,18,2021-06-08,425.00,451.00,420.00,451.00,10.00,"309,477.00","138,154,212.00"
19,19,2021-06-07,382.00,410.00,377.00,410.00,9.04,"571,726.00","227,093,350.00"
20,20,2021-06-06,375.00,382.00,362.00,376.00,2.17,"333,474.00","123,114,678.00"
21,21,2021-06-03,370.00,396.00,368.00,368.00,1.10,"408,527.00","155,111,118.00"
22,22,2021-06-02,340.00,369.00,331.00,364.00,8.01,"291,398.00","102,673,438.00"
23,23,2021-06-01,328.00,346.00,326.00,337.00,1.20,"237,064.00","79,849,730.00"
24,24,2021-05-31,345.00,357.00,330.00,333.00,-2.06,"302,872.00","103,578,406.00"
25,25,2021-05-30,316.00,341.00,310.00,340.00,9.68,"435,511.00","145,224,797.00"
26,26,2021-05-27,312.00,320.00,289.00,310.00,3.68,"169,484.00","52,089,168.00"
27,27,2021-05-25,310.00,314.00,298.00,299.00,-2.61,"134,391.00","40,756,829.00"
28,28,2021-05-24,325.00,325.00,296.00,307.00,-0.97,"208,161.00","64,434,899.00"
29,29,2021-05-23,270.00,310.00,270.00,310.00,9.93,"345,277.00","103,489,216.00"
30,30,2021-05-20,278.00,286.00,273.00,282.00,2.55,"115,789.00","32,413,521.00"
31,31,2021-05-19,290.00,290.00,273.00,275.00,-3.17,"105,203.00","29,226,592.00"
32,32,2021-05-18,262.00,284.00,260.00,284.00,8.40,"221,017.00","60,901,508.00"
33,33,2021-05-17,265.00,268.00,257.00,262.00,-0.76,"99,505.00","26,031,769.00"
34,34,2021-05-16,258.00,275.00,258.00,264.00,2.33,"93,338.00","24,693,672.00"
35,35,2021-05-13,235.00,258.00,235.00,258.00,9.79,"257,874.00","64,699,655.00"
36,36,2021-05-12,240.00,240.00,235.00,235.00,-0.84,"17,464.00","4,118,559.00"
37,37,2021-05-11,237.00,238.00,235.00,237.00,0.00,"13,622.00","3,224,150.00"
38,38,2021-05-10,240.00,240.00,234.00,237.00,0.42,"5,701.00","1,343,745.00"
39,39,2021-05-09,232.00,238.00,232.00,236.00,0.00,"17,031.00","4,006,230.00"
40,40,2021-05-06,240.00,240.00,234.00,236.00,-0.42,"39,772.00","9,365,099.00"
41,41,2021-05-05,234.00,240.00,234.00,237.00,-0.42,"23,664.00","5,612,242.00"
42,42,2021-05-04,243.00,243.00,234.00,238.00,-0.42,"18,824.00","4,440,696.00"
43,43,2021-05-03,247.00,247.00,237.00,239.00,-2.05,"43,342.00","10,411,246.00"
44,44,2021-05-02,243.00,244.00,238.00,244.00,2.09,"70,585.00","17,100,515.00"
45,45,2021-04-29,232.00,241.00,231.00,239.00,3.46,"67,347.00","16,067,369.00"
46,46,2021-04-28,230.00,238.00,226.00,231.00,1.76,"61,264.00","14,177,816.00"
47,47,2021-04-27,223.00,233.00,220.00,227.00,3.18,"29,244.00","6,595,729.00"
48,48,2021-04-26,222.00,226.00,218.00,220.00,-2.65,"51,048.00","11,252,091.00"
49,49,2021-04-25,236.00,236.00,223.00,226.00,-3.00,"46,701.00","10,567,118.00"
50,50,2021-04-22,236.00,236.00,228.00,233.00,0.43,"59,743.00","13,933,533.00"
51,51,2021-04-21,240.00,240.00,226.00,232.00,-2.11,"38,388.00","8,887,445.00"
52,52,2021-04-20,232.00,245.00,229.00,237.00,0.85,"35,212.00","8,366,429.00"
53,53,2021-04-19,240.00,243.00,229.00,235.00,-0.42,"49,317.00","11,584,838.00"
54,54,2021-04-18,250.00,250.00,235.00,236.00,-4.45,"99,715.00","24,011,242.00"
55,55,2021-04-15,239.00,248.00,239.00,247.00,4.22,"152,865.00","37,509,253.00"
56,56,2021-04-13,234.00,241.00,230.00,237.00,3.04,"88,527.00","20,835,730.00"
57,57,2021-04-12,231.00,233.00,225.00,230.00,-0.43,"80,015.00","18,338,204.00"
58,58,2021-04-08,221.00,232.00,220.00,231.00,5.96,"116,838.00","26,472,593.00"
59,59,2021-04-07,216.00,220.00,216.00,218.00,1.40,"109,143.00","23,883,902.00"
60,60,2021-04-06,211.00,215.00,210.00,215.00,1.42,"64,446.00","13,750,281.00"
61,61,2021-04-05,217.00,217.00,211.00,212.00,0.00,"54,489.00","11,615,706.00"
62,62,2021-04-04,214.00,214.00,207.00,212.00,0.95,"82,423.00","17,314,432.00"
