,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,328.00,342.00,320.00,332.00,3.11,"38,506.00","12,798,468.00"
2,2,2021-06-30,303.00,324.00,288.00,322.00,4.21,"67,266.00","20,123,731.00"
3,3,2021-06-29,314.00,325.00,301.00,309.00,-3.44,"42,449.00","13,136,452.00"
4,4,2021-06-28,318.00,350.00,318.00,320.00,-4.19,"29,690.00","9,775,723.00"
5,5,2021-06-27,350.00,350.00,331.00,334.00,-2.91,"24,875.00","8,353,072.00"
6,6,2021-06-24,359.00,359.00,337.00,344.00,-2.27,"32,410.00","11,071,964.00"
7,7,2021-06-23,368.00,375.00,345.00,352.00,-2.49,"44,991.00","15,868,907.00"
8,8,2021-06-22,345.00,361.00,328.00,361.00,5.87,"65,025.00","22,789,994.00"
9,9,2021-06-21,372.00,372.00,340.00,341.00,-6.58,"50,115.00","17,579,871.00"
10,10,2021-06-20,359.00,382.00,355.00,365.00,-3.18,"73,728.00","27,188,201.00"
11,11,2021-06-17,367.00,382.00,355.00,377.00,4.72,"93,191.00","34,827,511.00"
12,12,2021-06-16,366.00,384.00,348.00,360.00,-6.49,"93,647.00","34,555,409.00"
13,13,2021-06-15,420.00,420.00,382.00,385.00,-6.10,"116,396.00","45,640,498.00"
14,14,2021-06-14,420.00,422.00,394.00,410.00,2.50,"184,332.00","75,276,828.00"
15,15,2021-06-13,372.00,408.00,368.00,400.00,7.53,"235,032.00","92,084,981.00"
16,16,2021-06-10,380.00,380.00,358.00,372.00,0.00,"117,940.00","43,243,481.00"
17,17,2021-06-09,407.00,407.00,366.00,372.00,-4.12,"121,577.00","45,826,959.00"
18,18,2021-06-08,370.00,388.00,359.00,388.00,9.92,"248,143.00","95,162,680.00"
19,19,2021-06-07,340.00,366.00,329.00,353.00,3.82,"93,075.00","32,130,817.00"
20,20,2021-06-06,360.00,360.00,326.00,340.00,-3.95,"119,058.00","40,053,107.00"
21,21,2021-06-03,335.00,361.00,335.00,354.00,7.60,"266,337.00","94,681,568.00"
22,22,2021-06-02,314.00,330.00,306.00,329.00,6.82,"155,718.00","49,931,018.00"
23,23,2021-06-01,326.00,326.00,299.00,308.00,-0.96,"100,592.00","31,006,941.00"
24,24,2021-05-31,321.00,329.00,311.00,311.00,-1.27,"142,267.00","45,632,573.00"
25,25,2021-05-30,303.00,332.00,297.00,315.00,3.96,"140,300.00","44,648,479.00"
26,26,2021-05-27,307.00,318.00,275.00,303.00,3.41,"116,148.00","34,664,274.00"
27,27,2021-05-25,277.00,302.00,271.00,293.00,5.78,"196,733.00","57,805,590.00"
28,28,2021-05-24,273.00,293.00,273.00,277.00,3.36,"214,724.00","60,754,726.00"
29,29,2021-05-23,240.00,268.00,233.00,268.00,9.84,"175,277.00","45,590,690.00"
30,30,2021-05-20,235.00,248.00,234.00,244.00,2.52,"69,948.00","16,871,710.00"
31,31,2021-05-19,260.00,261.00,230.00,238.00,-4.80,"112,195.00","27,354,967.00"
32,32,2021-05-18,239.00,250.00,223.00,250.00,9.65,"119,529.00","28,826,958.00"
33,33,2021-05-17,233.00,233.00,220.00,228.00,2.70,"132,874.00","29,961,024.00"
34,34,2021-05-16,210.00,222.00,210.00,222.00,9.90,"136,892.00","29,866,991.00"
35,35,2021-05-13,192.00,205.00,191.00,202.00,5.21,"136,851.00","27,341,540.00"
36,36,2021-05-12,193.00,193.00,187.00,192.00,1.05,"15,523.00","2,953,459.00"
37,37,2021-05-11,188.00,194.00,188.00,190.00,-0.52,"16,974.00","3,239,209.00"
38,38,2021-05-10,186.00,195.00,184.00,191.00,1.06,"8,933.00","1,702,834.00"
39,39,2021-05-09,190.00,193.00,185.00,189.00,1.07,"12,890.00","2,440,773.00"
40,40,2021-05-06,194.00,197.00,185.00,187.00,-2.09,"32,059.00","5,978,047.00"
41,41,2021-05-05,193.00,193.00,188.00,191.00,0.00,"20,825.00","3,967,320.00"
42,42,2021-05-04,186.00,192.00,186.00,191.00,1.60,"19,599.00","3,706,659.00"
43,43,2021-05-03,190.00,191.00,187.00,188.00,-1.05,"19,258.00","3,628,883.00"
44,44,2021-05-02,188.00,193.00,182.00,190.00,-0.52,"25,498.00","4,812,447.00"
