,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,405.00,425.00,400.00,414.00,4.02,"117,893.00","48,695,437.00"
2,2,2021-06-30,380.00,412.00,366.00,398.00,3.92,"133,675.00","50,855,162.00"
3,3,2021-06-29,404.00,407.00,379.00,383.00,-4.73,"142,069.00","55,105,028.00"
4,4,2021-06-28,415.00,415.00,401.00,402.00,-2.66,"48,028.00","19,597,010.00"
5,5,2021-06-27,420.00,426.00,411.00,413.00,-1.20,"71,453.00","29,739,899.00"
6,6,2021-06-24,425.00,429.00,416.00,418.00,-2.11,"84,275.00","35,482,443.00"
7,7,2021-06-23,449.00,457.00,426.00,427.00,-4.04,"102,595.00","44,755,686.00"
8,8,2021-06-22,425.00,445.00,404.00,445.00,5.95,"157,721.00","68,151,816.00"
9,9,2021-06-21,440.00,448.00,416.00,420.00,-4.55,"142,932.00","60,879,754.00"
10,10,2021-06-20,458.00,474.00,428.00,440.00,-2.44,"129,443.00","57,322,350.00"
11,11,2021-06-17,442.00,466.00,424.00,451.00,2.50,"185,000.00","83,368,773.00"
12,12,2021-06-16,437.00,473.00,422.00,440.00,-4.14,"248,997.00","110,391,862.00"
13,13,2021-06-15,482.00,486.00,455.00,459.00,-4.38,"244,586.00","113,486,270.00"
14,14,2021-06-14,505.00,510.00,472.00,480.00,-2.83,"323,222.00","158,159,487.00"
15,15,2021-06-13,470.00,507.00,457.00,494.00,5.78,"421,499.00","205,112,387.00"
16,16,2021-06-10,460.00,472.00,438.00,467.00,1.97,"356,616.00","161,897,826.00"
17,17,2021-06-09,490.00,497.00,453.00,458.00,-6.15,"352,111.00","164,491,780.00"
18,18,2021-06-08,466.00,488.00,448.00,488.00,9.91,"461,663.00","220,678,414.00"
19,19,2021-06-07,426.00,444.00,417.00,444.00,5.21,"448,285.00","194,653,017.00"
20,20,2021-06-06,442.00,442.00,392.00,422.00,0.24,"340,343.00","140,175,555.00"
21,21,2021-06-03,395.00,429.00,391.00,421.00,7.95,"635,148.00","264,998,695.00"
22,22,2021-06-02,369.00,392.00,360.00,390.00,7.73,"323,771.00","122,788,517.00"
23,23,2021-06-01,359.00,375.00,348.00,362.00,0.84,"190,279.00","68,502,610.00"
24,24,2021-05-31,380.00,390.00,355.00,359.00,-1.91,"363,733.00","134,469,683.00"
25,25,2021-05-30,339.00,366.00,337.00,366.00,9.91,"391,672.00","139,810,532.00"
26,26,2021-05-27,318.00,341.00,306.00,333.00,4.39,"167,514.00","55,064,920.00"
27,27,2021-05-25,332.00,332.00,318.00,319.00,-2.45,"108,391.00","34,855,676.00"
28,28,2021-05-24,340.00,344.00,321.00,327.00,-2.39,"266,101.00","87,301,898.00"
29,29,2021-05-23,310.00,337.00,304.00,335.00,6.35,"258,954.00","84,534,553.00"
30,30,2021-05-20,298.00,316.00,294.00,315.00,5.70,"214,211.00","65,300,872.00"
31,31,2021-05-19,305.00,308.00,295.00,298.00,-1.65,"124,973.00","37,461,820.00"
32,32,2021-05-18,304.00,306.00,300.00,303.00,0.33,"113,625.00","34,335,536.00"
33,33,2021-05-17,305.00,311.00,299.00,302.00,1.68,"205,927.00","62,431,687.00"
34,34,2021-05-16,280.00,298.00,280.00,297.00,7.22,"313,935.00","92,274,321.00"
35,35,2021-05-13,272.00,277.00,272.00,277.00,1.09,"67,485.00","18,600,563.00"
36,36,2021-05-12,272.00,274.00,271.00,274.00,0.00,"20,412.00","5,572,710.00"
37,37,2021-05-11,275.00,275.00,272.00,274.00,0.74,"28,855.00","7,886,917.00"
38,38,2021-05-10,284.00,284.00,267.00,272.00,0.37,"27,751.00","7,501,970.00"
39,39,2021-05-09,270.00,275.00,269.00,271.00,1.50,"59,368.00","16,128,902.00"
40,40,2021-05-06,269.00,270.00,266.00,267.00,-1.11,"23,182.00","6,201,075.00"
41,41,2021-05-05,266.00,272.00,265.00,270.00,0.75,"10,875.00","2,925,032.00"
42,42,2021-05-04,270.00,270.00,266.00,268.00,-0.74,"15,509.00","4,169,813.00"
43,43,2021-05-03,274.00,275.00,267.00,270.00,-0.74,"30,171.00","8,149,517.00"
44,44,2021-05-02,274.00,277.00,269.00,272.00,1.12,"25,890.00","7,045,174.00"
45,45,2021-04-29,267.00,271.00,266.00,269.00,-0.37,"41,134.00","11,070,144.00"
46,46,2021-04-28,276.00,276.00,260.00,270.00,-1.82,"18,198.00","4,917,322.00"
47,47,2021-04-27,269.00,277.00,264.00,275.00,2.23,"23,952.00","6,531,078.00"
48,48,2021-04-26,269.00,270.00,261.00,269.00,-1.82,"33,207.00","8,857,548.00"
49,49,2021-04-25,284.00,284.00,274.00,274.00,-3.18,"67,167.00","18,597,978.00"
50,50,2021-04-22,281.00,284.00,278.00,283.00,0.71,"48,778.00","13,728,401.00"
51,51,2021-04-21,289.00,289.00,280.00,281.00,-2.77,"47,216.00","13,355,543.00"
52,52,2021-04-20,283.00,289.00,282.00,289.00,1.40,"56,918.00","16,253,796.00"
53,53,2021-04-19,273.00,291.00,273.00,285.00,-0.35,"61,812.00","17,720,270.00"
54,54,2021-04-18,295.00,295.00,284.00,286.00,-2.39,"110,160.00","31,816,287.00"
55,55,2021-04-15,300.00,300.00,283.00,293.00,2.45,"129,653.00","37,817,683.00"
56,56,2021-04-13,275.00,290.00,273.00,286.00,4.00,"119,387.00","33,537,619.00"
57,57,2021-04-12,278.00,278.00,272.00,275.00,0.73,"34,235.00","9,366,721.00"
58,58,2021-04-08,270.00,275.00,270.00,273.00,1.11,"41,497.00","11,332,746.00"
59,59,2021-04-07,271.00,275.00,270.00,270.00,0.00,"39,666.00","10,766,813.00"
60,60,2021-04-06,265.00,270.00,264.00,270.00,0.37,"34,402.00","9,183,140.00"
61,61,2021-04-05,273.00,273.00,266.00,269.00,0.00,"29,900.00","8,014,346.00"
62,62,2021-04-04,267.00,270.00,265.00,269.00,0.75,"22,759.00","6,091,881.00"
63,63,2021-04-01,266.00,276.00,265.00,267.00,0.38,"62,158.00","16,752,249.00"
64,64,2021-03-31,265.00,266.00,261.00,266.00,1.14,"23,389.00","6,165,986.00"
65,65,2021-03-30,274.00,274.00,258.00,263.00,0.77,"22,753.00","5,937,624.00"
66,66,2021-03-29,261.00,262.00,257.00,261.00,0.00,"10,622.00","2,763,102.00"
67,67,2021-03-25,267.00,267.00,260.00,261.00,-1.14,"21,416.00","5,597,485.00"
68,68,2021-03-24,265.00,266.00,261.00,264.00,0.76,"28,455.00","7,501,508.00"
69,69,2021-03-23,265.00,265.00,257.00,262.00,0.38,"12,114.00","3,148,481.00"
70,70,2021-03-22,276.00,276.00,260.00,261.00,-0.76,"10,290.00","2,686,957.00"
71,71,2021-03-21,263.00,265.00,260.00,263.00,1.54,"15,560.00","4,080,124.00"
72,72,2021-03-18,262.00,262.00,255.00,259.00,0.39,"12,954.00","3,351,301.00"
73,73,2021-03-17,259.00,259.00,252.00,258.00,1.18,"12,394.00","3,158,752.00"
74,74,2021-03-16,253.00,260.00,253.00,255.00,0.39,"10,959.00","2,801,841.00"
75,75,2021-03-15,251.00,257.00,251.00,254.00,-0.39,"10,204.00","2,589,178.00"
76,76,2021-03-14,255.00,258.00,253.00,255.00,-1.16,"25,336.00","6,452,795.00"
77,77,2021-03-10,258.00,263.00,256.00,258.00,-0.39,"11,493.00","2,979,390.00"
78,78,2021-03-09,258.00,261.00,258.00,259.00,-1.15,"14,970.00","3,879,451.00"
79,79,2021-03-07,268.00,270.00,261.00,262.00,-1.13,"12,619.00","3,317,854.00"
80,80,2021-03-04,260.00,266.00,258.00,265.00,1.92,"24,210.00","6,371,624.00"
81,81,2021-03-03,259.00,263.00,257.00,260.00,-1.14,"25,589.00","6,642,500.00"
82,82,2021-03-02,270.00,271.00,262.00,263.00,-2.23,"22,218.00","5,895,548.00"
83,83,2021-03-01,264.00,271.00,262.00,269.00,1.51,"31,203.00","8,350,312.00"
84,84,2021-02-28,266.00,273.00,263.00,265.00,-2.21,"26,684.00","7,099,824.00"
85,85,2021-02-25,274.00,278.00,270.00,271.00,-1.09,"41,392.00","11,241,926.00"
86,86,2021-02-24,270.00,284.00,270.00,274.00,0.37,"35,882.00","9,854,691.00"
87,87,2021-02-23,284.00,284.00,268.00,273.00,-2.15,"68,406.00","18,598,784.00"
88,88,2021-02-22,289.00,289.00,278.00,279.00,-2.11,"81,582.00","22,849,275.00"
89,89,2021-02-21,282.00,285.00,278.00,285.00,2.52,"97,817.00","27,620,670.00"
90,90,2021-02-18,278.00,281.00,276.00,278.00,1.46,"101,844.00","28,405,761.00"
91,91,2021-02-17,275.00,277.00,272.00,274.00,-1.08,"57,010.00","15,633,200.00"
92,92,2021-02-16,291.00,291.00,273.00,277.00,-0.36,"82,075.00","22,801,729.00"
93,93,2021-02-15,275.00,280.00,270.00,278.00,1.46,"134,583.00","37,084,725.00"
94,94,2021-02-14,286.00,286.00,266.00,274.00,0.37,"66,381.00","17,978,053.00"
95,95,2021-02-11,269.00,284.00,262.00,273.00,3.02,"134,192.00","36,351,251.00"
96,96,2021-02-10,260.00,265.00,258.00,265.00,0.00,"52,630.00","13,765,290.00"
97,97,2021-02-09,270.00,272.00,261.00,265.00,0.00,"45,467.00","12,049,353.00"
98,98,2021-02-08,260.00,269.00,256.00,265.00,3.92,"89,914.00","23,552,255.00"
99,99,2021-02-07,255.00,260.00,254.00,255.00,-0.39,"54,545.00","13,921,005.00"
100,100,2021-02-04,268.00,268.00,252.00,256.00,0.00,"47,126.00","12,037,798.00"
101,101,2021-02-03,262.00,265.00,255.00,256.00,-0.78,"47,528.00","12,240,816.00"
102,102,2021-02-02,259.00,262.00,255.00,258.00,0.78,"42,922.00","11,092,973.00"
103,103,2021-02-01,260.00,266.00,255.00,256.00,0.00,"39,260.00","10,085,149.00"
104,104,2021-01-31,255.00,264.00,255.00,256.00,-1.54,"34,623.00","8,934,987.00"
