,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,404.00,404.00,367.00,372.00,-3.38,"31,502.00","11,746,836.00"
2,2,2021-07-04,395.00,402.00,376.00,385.00,-1.28,"75,926.00","29,442,326.00"
3,3,2021-07-01,370.00,390.00,360.00,390.00,8.64,"83,038.00","31,611,406.00"
4,4,2021-06-30,335.00,360.00,310.00,359.00,7.81,"83,044.00","27,394,632.00"
5,5,2021-06-29,380.00,380.00,332.00,333.00,-8.01,"101,730.00","34,619,063.00"
6,6,2021-06-28,402.00,402.00,355.00,362.00,-5.48,"61,669.00","22,722,911.00"
7,7,2021-06-27,409.00,409.00,380.00,383.00,-1.79,"30,406.00","11,667,565.00"
8,8,2021-06-24,398.00,405.00,384.00,390.00,-2.01,"37,251.00","14,634,154.00"
9,9,2021-06-23,434.00,434.00,394.00,398.00,-3.86,"56,166.00","22,913,707.00"
10,10,2021-06-22,395.00,414.00,368.00,414.00,9.81,"115,095.00","45,791,528.00"
11,11,2021-06-21,428.00,428.00,377.00,377.00,-7.60,"93,822.00","36,407,068.00"
12,12,2021-06-20,430.00,434.00,389.00,408.00,-3.77,"94,631.00","38,601,739.00"
13,13,2021-06-17,426.00,440.00,374.00,424.00,4.43,"152,252.00","62,441,833.00"
14,14,2021-06-16,440.00,453.00,405.00,406.00,-9.78,"163,880.00","68,735,249.00"
15,15,2021-06-15,456.00,497.00,444.00,450.00,-4.86,"141,231.00","64,378,672.00"
16,16,2021-06-14,455.00,478.00,448.00,473.00,8.74,"208,013.00","96,991,777.00"
17,17,2021-06-13,396.00,435.00,396.00,435.00,9.85,"214,771.00","90,026,020.00"
18,18,2021-06-10,395.00,402.00,371.00,396.00,1.54,"179,710.00","70,882,940.00"
19,19,2021-06-09,410.00,417.00,370.00,390.00,-0.76,"224,911.00","88,419,832.00"
20,20,2021-06-08,365.00,393.00,363.00,393.00,9.78,"112,827.00","43,966,224.00"
21,21,2021-06-07,332.00,360.00,331.00,358.00,7.83,"238,169.00","83,400,672.00"
22,22,2021-06-06,353.00,353.00,324.00,332.00,-4.32,"158,585.00","52,604,013.00"
23,23,2021-06-03,340.00,361.00,336.00,347.00,5.47,"214,202.00","74,865,979.00"
24,24,2021-06-02,300.00,330.00,300.00,329.00,8.58,"258,994.00","82,856,953.00"
25,25,2021-06-01,300.00,314.00,300.00,303.00,-1.94,"65,439.00","20,084,378.00"
26,26,2021-05-31,320.00,321.00,306.00,309.00,-0.32,"139,353.00","43,657,817.00"
27,27,2021-05-30,301.00,322.00,298.00,310.00,4.38,"192,232.00","59,576,247.00"
28,28,2021-05-27,282.00,312.00,270.00,297.00,3.48,"151,527.00","43,789,954.00"
29,29,2021-05-25,293.00,294.00,279.00,287.00,-2.05,"97,709.00","28,053,477.00"
30,30,2021-05-24,304.00,310.00,283.00,293.00,1.03,"192,383.00","57,463,614.00"
31,31,2021-05-23,259.00,290.00,245.00,290.00,9.85,"223,274.00","62,019,154.00"
32,32,2021-05-20,255.00,270.00,242.00,264.00,3.94,"159,463.00","40,685,889.00"
33,33,2021-05-19,254.00,266.00,241.00,254.00,4.96,"170,727.00","43,816,526.00"
34,34,2021-05-18,221.00,242.00,220.00,242.00,10.00,"230,854.00","54,398,414.00"
35,35,2021-05-17,220.00,226.00,213.00,220.00,0.00,"139,682.00","30,461,334.00"
36,36,2021-05-16,216.00,226.00,212.00,220.00,6.80,"176,042.00","38,868,026.00"
37,37,2021-05-13,188.00,206.00,186.00,206.00,9.57,"249,083.00","50,230,252.00"
38,38,2021-05-12,178.00,191.00,178.00,188.00,5.03,"89,558.00","16,641,650.00"
39,39,2021-05-11,180.00,182.00,179.00,179.00,-0.56,"33,709.00","6,073,778.00"
40,40,2021-05-10,182.00,182.00,174.00,180.00,0.56,"19,292.00","3,437,507.00"
41,41,2021-05-09,189.00,189.00,176.00,179.00,-0.56,"23,202.00","4,148,987.00"
42,42,2021-05-06,185.00,185.00,173.00,180.00,1.69,"56,798.00","10,221,293.00"
43,43,2021-05-05,185.00,185.00,176.00,177.00,0.00,"23,473.00","4,179,929.00"
44,44,2021-05-04,185.00,185.00,176.00,177.00,0.00,"11,073.00","1,962,603.00"
45,45,2021-05-03,183.00,183.00,175.00,177.00,-2.21,"33,555.00","5,970,538.00"
46,46,2021-05-02,180.00,182.00,175.00,181.00,1.69,"29,644.00","5,340,405.00"
47,47,2021-04-29,178.00,181.00,172.00,178.00,1.71,"11,552.00","2,052,418.00"
48,48,2021-04-28,183.00,183.00,175.00,175.00,-2.78,"15,998.00","2,847,223.00"
49,49,2021-04-27,179.00,182.00,174.00,180.00,5.26,"30,716.00","5,440,516.00"
50,50,2021-04-26,181.00,184.00,169.00,171.00,-5.52,"53,081.00","9,175,133.00"
51,51,2021-04-25,193.00,193.00,173.00,181.00,-1.63,"38,110.00","6,766,775.00"
52,52,2021-04-22,179.00,185.00,175.00,184.00,4.55,"71,228.00","12,863,128.00"
53,53,2021-04-21,180.00,183.00,176.00,176.00,-0.56,"20,898.00","3,738,757.00"
54,54,2021-04-20,183.00,183.00,175.00,177.00,-1.67,"37,975.00","6,743,912.00"
55,55,2021-04-19,195.00,195.00,179.00,180.00,-3.23,"43,119.00","7,927,383.00"
56,56,2021-04-18,196.00,202.00,182.00,186.00,-0.53,"90,575.00","17,176,325.00"
57,57,2021-04-15,162.00,187.00,162.00,187.00,10.00,"190,257.00","35,026,148.00"
58,58,2021-04-13,163.00,176.00,163.00,170.00,-0.58,"41,538.00","7,146,406.00"
59,59,2021-04-12,163.00,177.00,163.00,171.00,0.00,"38,882.00","6,626,989.00"
60,60,2021-04-08,159.00,175.00,159.00,171.00,2.40,"53,478.00","9,166,050.00"
61,61,2021-04-07,157.00,169.00,157.00,167.00,1.83,"20,486.00","3,419,514.00"
62,62,2021-04-06,162.00,164.00,160.00,164.00,2.50,"18,069.00","2,932,346.00"
63,63,2021-04-05,162.00,164.00,160.00,160.00,-1.23,"13,389.00","2,163,455.00"
64,64,2021-04-04,170.00,170.00,160.00,162.00,0.00,"15,502.00","2,502,655.00"
65,65,2021-04-01,161.00,162.00,158.00,162.00,0.00,"22,460.00","3,595,498.00"
66,66,2021-03-31,170.00,170.00,160.00,162.00,0.00,"5,509.00","897,950.00"
67,67,2021-03-30,170.00,170.00,160.00,162.00,0.00,"6,939.00","1,117,310.00"
68,68,2021-03-29,166.00,166.00,160.00,162.00,1.89,"12,507.00","2,018,003.00"
69,69,2021-03-25,162.00,164.00,159.00,159.00,-1.24,"10,526.00","1,696,508.00"
70,70,2021-03-24,160.00,164.00,160.00,161.00,0.00,"19,520.00","3,152,030.00"
71,71,2021-03-23,157.00,161.00,156.00,161.00,1.26,"12,749.00","2,009,963.00"
72,72,2021-03-22,170.00,170.00,156.00,159.00,-1.85,"9,415.00","1,488,681.00"
73,73,2021-03-21,165.00,165.00,157.00,162.00,0.00,"7,937.00","1,269,913.00"
74,74,2021-03-18,165.00,165.00,159.00,162.00,-0.61,"12,458.00","2,000,893.00"
75,75,2021-03-17,158.00,163.00,155.00,163.00,1.88,"15,527.00","2,445,597.00"
76,76,2021-03-16,154.00,160.00,153.00,160.00,1.91,"13,662.00","2,132,153.00"
77,77,2021-03-15,154.00,159.00,151.00,157.00,0.00,"10,545.00","1,649,263.00"
78,78,2021-03-14,158.00,159.00,154.00,157.00,-2.48,"13,830.00","2,158,515.00"
79,79,2021-03-10,160.00,161.00,158.00,161.00,0.63,"7,195.00","1,148,392.00"
80,80,2021-03-09,158.00,161.00,158.00,160.00,-0.62,"9,278.00","1,481,525.00"
81,81,2021-03-07,163.00,164.00,158.00,161.00,-1.23,"7,809.00","1,248,572.00"
82,82,2021-03-04,168.00,168.00,159.00,163.00,1.88,"7,125.00","1,149,290.00"
83,83,2021-03-03,158.00,164.00,154.00,160.00,-0.62,"19,670.00","3,114,441.00"
84,84,2021-03-02,168.00,168.00,159.00,161.00,-2.42,"11,489.00","1,855,239.00"
85,85,2021-03-01,162.00,168.00,159.00,165.00,2.48,"13,112.00","2,131,248.00"
86,86,2021-02-28,169.00,170.00,159.00,161.00,-3.59,"17,951.00","2,898,430.00"
87,87,2021-02-25,170.00,172.00,164.00,167.00,-1.18,"17,647.00","2,938,920.00"
88,88,2021-02-24,170.00,176.00,167.00,169.00,1.20,"13,302.00","2,252,178.00"
89,89,2021-02-23,173.00,173.00,163.00,167.00,-3.47,"36,578.00","6,061,572.00"
90,90,2021-02-22,180.00,180.00,170.00,173.00,0.58,"38,607.00","6,672,870.00"
91,91,2021-02-21,186.00,195.00,172.00,172.00,-3.37,"83,852.00","15,058,196.00"
92,92,2021-02-18,164.00,178.00,164.00,178.00,9.88,"192,532.00","33,248,914.00"
93,93,2021-02-17,161.00,163.00,157.00,162.00,-0.61,"11,325.00","1,809,920.00"
94,94,2021-02-16,160.00,165.00,159.00,163.00,1.24,"37,428.00","6,029,804.00"
95,95,2021-02-15,162.00,165.00,160.00,161.00,1.26,"18,813.00","3,064,991.00"
