,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,640.00,640.00,609.00,640.00,1.91,"47,975.00","29,842,283.00"
2,2,2021-07-04,625.00,671.00,625.00,628.00,1.13,"85,617.00","55,167,048.00"
3,3,2021-07-01,575.00,624.00,575.00,621.00,9.33,"76,062.00","46,232,485.00"
4,4,2021-06-30,518.00,590.00,518.00,568.00,4.22,"51,643.00","28,134,432.00"
5,5,2021-06-29,575.00,575.00,540.00,545.00,-6.36,"48,414.00","26,921,186.00"
6,6,2021-06-28,610.00,615.00,580.00,582.00,-3.00,"29,632.00","17,449,506.00"
7,7,2021-06-27,610.00,621.00,591.00,600.00,-1.48,"30,819.00","18,602,728.00"
8,8,2021-06-24,635.00,635.00,608.00,609.00,-2.40,"26,025.00","16,020,904.00"
9,9,2021-06-23,665.00,665.00,610.00,624.00,-4.29,"43,149.00","27,321,481.00"
10,10,2021-06-22,610.00,661.00,595.00,652.00,7.77,"45,497.00","28,695,656.00"
11,11,2021-06-21,640.00,662.00,605.00,605.00,-5.32,"70,226.00","43,580,356.00"
12,12,2021-06-20,718.00,718.00,626.00,639.00,-6.58,"61,176.00","40,155,864.00"
13,13,2021-06-17,689.00,704.00,650.00,684.00,4.11,"68,264.00","46,126,804.00"
14,14,2021-06-16,702.00,756.00,645.00,657.00,-8.24,"108,033.00","74,409,692.00"
15,15,2021-06-15,751.00,763.00,701.00,716.00,-5.42,"123,444.00","89,554,950.00"
16,16,2021-06-14,776.00,800.00,757.00,757.00,-4.18,"70,371.00","54,891,774.00"
17,17,2021-06-13,733.00,803.00,712.00,790.00,7.78,"109,464.00","82,354,613.00"
18,18,2021-06-10,698.00,740.00,668.00,733.00,7.01,"122,693.00","85,346,440.00"
19,19,2021-06-09,662.00,694.00,603.00,685.00,8.56,"195,673.00","125,789,676.00"
20,20,2021-06-08,602.00,631.00,602.00,631.00,9.93,"112,312.00","70,781,797.00"
21,21,2021-06-07,530.00,574.00,530.00,574.00,9.96,"130,396.00","74,577,850.00"
22,22,2021-06-06,498.00,522.00,458.00,522.00,9.89,"175,906.00","86,544,425.00"
23,23,2021-06-03,484.00,500.00,456.00,475.00,0.00,"126,805.00","61,306,324.00"
24,24,2021-06-02,436.00,475.00,435.00,475.00,8.94,"116,428.00","53,603,996.00"
25,25,2021-06-01,445.00,456.00,432.00,436.00,-2.68,"64,709.00","28,601,284.00"
26,26,2021-05-31,487.00,487.00,439.00,448.00,-3.45,"66,809.00","30,442,468.00"
27,27,2021-05-30,430.00,464.00,412.00,464.00,9.95,"133,454.00","60,035,629.00"
28,28,2021-05-27,411.00,424.00,388.00,422.00,2.93,"79,758.00","32,870,570.00"
29,29,2021-05-25,416.00,423.00,407.00,410.00,-1.44,"48,150.00","19,902,128.00"
30,30,2021-05-24,456.00,456.00,404.00,416.00,-4.37,"142,614.00","59,760,316.00"
31,31,2021-05-23,396.00,435.00,380.00,435.00,9.85,"178,565.00","74,302,687.00"
32,32,2021-05-20,353.00,396.00,348.00,396.00,10.00,"142,628.00","54,222,280.00"
33,33,2021-05-19,364.00,381.00,351.00,360.00,3.75,"101,734.00","37,339,733.00"
34,34,2021-05-18,331.00,347.00,320.00,347.00,9.81,"171,096.00","58,612,911.00"
35,35,2021-05-17,315.00,318.00,312.00,316.00,1.28,"57,183.00","18,001,531.00"
36,36,2021-05-16,317.00,330.00,309.00,312.00,-1.58,"81,352.00","25,559,972.00"
37,37,2021-05-13,300.00,318.00,300.00,317.00,5.67,"70,146.00","21,682,362.00"
38,38,2021-05-12,300.00,306.00,296.00,300.00,1.69,"47,447.00","14,246,481.00"
39,39,2021-05-11,287.00,296.00,286.00,295.00,3.15,"39,564.00","11,562,907.00"
40,40,2021-05-10,283.00,286.00,280.00,286.00,1.06,"24,855.00","7,063,201.00"
41,41,2021-05-09,285.00,285.00,280.00,283.00,0.35,"32,484.00","9,167,983.00"
42,42,2021-05-06,280.00,284.00,278.00,282.00,1.44,"46,335.00","13,042,819.00"
43,43,2021-05-05,273.00,278.00,273.00,278.00,1.83,"20,820.00","5,743,170.00"
44,44,2021-05-04,277.00,280.00,272.00,273.00,0.00,"10,756.00","2,952,720.00"
45,45,2021-05-03,282.00,282.00,273.00,273.00,-1.80,"27,642.00","7,634,718.00"
46,46,2021-05-02,282.00,284.00,275.00,278.00,-1.07,"55,125.00","15,351,390.00"
47,47,2021-04-29,278.00,284.00,275.00,281.00,0.36,"33,769.00","9,443,570.00"
48,48,2021-04-28,258.00,285.00,258.00,280.00,3.32,"126,209.00","35,201,367.00"
49,49,2021-04-27,274.00,274.00,260.00,271.00,-1.09,"32,397.00","8,703,034.00"
50,50,2021-04-26,260.00,274.00,249.00,274.00,3.79,"23,021.00","5,978,581.00"
51,51,2021-04-25,258.00,264.00,250.00,264.00,0.38,"22,303.00","5,695,253.00"
52,52,2021-04-22,260.00,265.00,258.00,263.00,1.54,"11,643.00","3,044,809.00"
53,53,2021-04-21,266.00,270.00,258.00,259.00,-2.63,"6,919.00","1,821,452.00"
54,54,2021-04-20,261.00,271.00,261.00,266.00,3.91,"8,454.00","2,248,865.00"
55,55,2021-04-19,261.00,274.00,255.00,256.00,-1.92,"26,498.00","6,943,648.00"
56,56,2021-04-18,280.00,280.00,257.00,261.00,-5.09,"100,171.00","26,415,289.00"
57,57,2021-04-15,269.00,290.00,269.00,275.00,2.23,"54,886.00","15,244,487.00"
58,58,2021-04-13,266.00,271.00,266.00,269.00,1.13,"9,854.00","2,656,411.00"
59,59,2021-04-12,275.00,275.00,266.00,266.00,-2.56,"8,321.00","2,239,724.00"
60,60,2021-04-08,262.00,280.00,262.00,273.00,3.80,"21,380.00","5,808,156.00"
61,61,2021-04-07,267.00,267.00,260.00,263.00,0.38,"22,019.00","5,792,286.00"
62,62,2021-04-06,259.00,264.00,258.00,262.00,0.77,"7,428.00","1,943,565.00"
63,63,2021-04-05,275.00,275.00,260.00,260.00,-2.26,"7,802.00","2,044,126.00"
64,64,2021-04-04,254.00,266.00,250.00,266.00,4.72,"17,609.00","4,627,005.00"
65,65,2021-04-01,252.00,256.00,252.00,254.00,0.79,"6,228.00","1,583,103.00"
66,66,2021-03-31,250.00,252.00,250.00,252.00,0.00,"3,870.00","970,096.00"
67,67,2021-03-30,251.00,254.00,251.00,252.00,-1.56,"1,744.00","438,535.00"
68,68,2021-03-29,251.00,256.00,250.00,256.00,1.59,"1,003.00","251,913.00"
69,69,2021-03-25,251.00,255.00,249.00,252.00,-1.56,"3,602.00","904,282.00"
70,70,2021-03-24,245.00,258.00,245.00,256.00,2.40,"5,779.00","1,445,485.00"
71,71,2021-03-23,248.00,252.00,244.00,250.00,0.00,"5,112.00","1,259,856.00"
72,72,2021-03-22,252.00,253.00,250.00,250.00,-1.96,"1,635.00","409,970.00"
73,73,2021-03-21,256.00,257.00,247.00,255.00,4.51,"9,068.00","2,289,711.00"
74,74,2021-03-18,241.00,252.00,241.00,244.00,-0.41,"5,026.00","1,248,629.00"
75,75,2021-03-17,252.00,257.00,241.00,245.00,-2.78,"22,126.00","5,386,849.00"
76,76,2021-03-16,258.00,258.00,248.00,252.00,-0.79,932.00,"234,711.00"
77,77,2021-03-15,253.00,254.00,245.00,254.00,-1.55,"7,589.00","1,877,970.00"
78,78,2021-03-14,259.00,264.00,250.00,258.00,-2.27,"5,340.00","1,375,810.00"
79,79,2021-03-10,267.00,267.00,255.00,264.00,0.00,"5,825.00","1,510,580.00"
80,80,2021-03-09,268.00,268.00,255.00,264.00,-2.22,"6,150.00","1,595,334.00"
81,81,2021-03-07,262.00,270.00,257.00,270.00,1.12,"6,305.00","1,664,301.00"
82,82,2021-03-04,262.00,278.00,252.00,267.00,0.00,"9,422.00","2,482,938.00"
83,83,2021-03-03,259.00,267.00,245.00,267.00,1.14,"14,766.00","3,691,315.00"
84,84,2021-03-02,254.00,264.00,246.00,264.00,1.93,"9,189.00","2,299,151.00"
85,85,2021-03-01,249.00,260.00,249.00,259.00,3.60,"7,279.00","1,843,828.00"
86,86,2021-02-28,256.00,256.00,250.00,250.00,-4.21,"14,562.00","3,692,110.00"
87,87,2021-02-25,274.00,274.00,261.00,261.00,-4.04,"14,207.00","3,763,026.00"
88,88,2021-02-24,278.00,280.00,267.00,272.00,-1.81,"6,491.00","1,786,505.00"
89,89,2021-02-23,277.00,277.00,262.00,277.00,0.00,"4,777.00","1,270,790.00"
90,90,2021-02-22,276.00,284.00,271.00,277.00,-0.72,"33,876.00","9,479,869.00"
91,91,2021-02-21,284.00,284.00,276.00,279.00,-1.76,"15,169.00","4,245,694.00"
92,92,2021-02-18,284.00,289.00,284.00,284.00,-1.73,"11,038.00","3,150,479.00"
93,93,2021-02-17,293.00,293.00,280.00,289.00,-3.02,"14,154.00","4,058,179.00"
94,94,2021-02-16,288.00,298.00,280.00,298.00,1.71,"26,256.00","7,569,050.00"
95,95,2021-02-15,275.00,293.00,265.00,293.00,6.55,"33,323.00","9,245,008.00"
96,96,2021-02-14,265.00,279.00,265.00,275.00,1.85,"14,583.00","3,921,863.00"
97,97,2021-02-11,280.00,284.00,265.00,270.00,-4.26,"28,969.00","7,992,222.00"
98,98,2021-02-10,280.00,298.00,257.00,282.00,4.06,"53,672.00","14,682,903.00"
99,99,2021-02-09,263.00,288.00,252.00,271.00,3.44,"40,542.00","10,736,162.00"
100,100,2021-02-08,246.00,262.00,242.00,262.00,5.22,"35,784.00","8,919,546.00"
101,101,2021-02-07,240.00,252.00,240.00,249.00,3.75,"13,740.00","3,352,630.00"
102,102,2021-02-04,257.00,257.00,239.00,240.00,-2.04,"10,977.00","2,657,442.00"
103,103,2021-02-03,254.00,257.00,239.00,245.00,-2.78,"51,542.00","12,476,180.00"
104,104,2021-02-02,250.00,265.00,238.00,252.00,0.80,"20,065.00","5,000,092.00"
105,105,2021-02-01,235.00,256.00,235.00,250.00,7.30,"22,997.00","5,517,024.00"
106,106,2021-01-31,257.00,257.00,231.00,233.00,-7.54,"26,095.00","6,215,246.00"
107,107,2021-01-28,268.00,268.00,252.00,252.00,-5.97,"15,000.00","3,876,955.00"
108,108,2021-01-27,263.00,273.00,249.00,268.00,0.00,"34,346.00","8,785,776.00"
109,109,2021-01-26,267.00,272.00,258.00,268.00,-1.47,"19,621.00","5,167,653.00"
110,110,2021-01-25,285.00,288.00,272.00,272.00,-2.86,"23,652.00","6,641,977.00"
111,111,2021-01-24,276.00,281.00,262.00,280.00,6.46,"69,019.00","18,690,361.00"
112,112,2021-01-21,253.00,268.00,242.00,263.00,5.62,"31,828.00","7,988,509.00"
113,113,2021-01-20,236.00,257.00,232.00,249.00,3.75,"27,575.00","6,882,188.00"
114,114,2021-01-19,225.00,240.00,223.00,240.00,8.60,"37,714.00","8,628,145.00"
115,115,2021-01-18,230.00,233.00,221.00,221.00,-3.07,"25,407.00","5,697,487.00"
116,116,2021-01-17,224.00,232.00,220.00,228.00,1.79,"29,584.00","6,696,030.00"
117,117,2021-01-13,210.00,224.00,208.00,224.00,8.21,"23,605.00","5,063,142.00"
118,118,2021-01-12,208.00,209.00,205.00,207.00,0.98,"9,909.00","2,046,572.00"
119,119,2021-01-11,202.00,205.00,202.00,205.00,3.02,"15,509.00","3,146,564.00"
120,120,2021-01-10,195.00,203.00,195.00,199.00,2.05,"10,573.00","2,101,105.00"
121,121,2021-01-07,193.00,196.00,193.00,195.00,1.04,"5,284.00","1,029,176.00"
122,122,2021-01-06,195.00,196.00,193.00,193.00,0.00,"1,520.00","296,691.00"
123,123,2021-01-05,193.00,196.00,192.00,193.00,-0.52,"3,084.00","595,398.00"
124,124,2021-01-04,198.00,198.00,194.00,194.00,-2.02,"9,020.00","1,762,782.00"
125,125,2021-01-03,196.00,198.00,192.00,198.00,1.02,"4,255.00","829,095.00"
