,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,465.00,465.00,440.00,443.00,-4.73,"10,709.00","4,832,713.00"
2,2,2021-07-04,480.00,486.00,461.00,465.00,-2.31,"22,095.00","10,385,668.00"
3,3,2021-07-01,460.00,487.00,460.00,476.00,3.48,"44,621.00","21,073,356.00"
4,4,2021-06-30,425.00,474.00,425.00,460.00,6.48,"26,095.00","11,406,419.00"
5,5,2021-06-29,461.00,461.00,430.00,432.00,-5.05,"39,307.00","17,240,813.00"
6,6,2021-06-28,498.00,498.00,450.00,455.00,-4.21,"29,570.00","13,601,934.00"
7,7,2021-06-27,472.00,484.00,467.00,475.00,-1.04,"14,528.00","6,890,989.00"
8,8,2021-06-24,477.00,502.00,469.00,480.00,-1.03,"37,456.00","17,885,596.00"
9,9,2021-06-23,505.00,514.00,485.00,485.00,-3.39,"54,834.00","27,245,166.00"
10,10,2021-06-22,466.00,502.00,442.00,502.00,9.85,"70,245.00","34,312,730.00"
11,11,2021-06-21,507.00,508.00,450.00,457.00,-8.42,"65,761.00","30,726,369.00"
12,12,2021-06-20,535.00,555.00,488.00,499.00,-6.73,"61,931.00","31,722,991.00"
13,13,2021-06-17,522.00,551.00,502.00,535.00,2.69,"92,139.00","48,438,854.00"
14,14,2021-06-16,526.00,561.00,500.00,521.00,-5.79,"107,295.00","56,314,005.00"
15,15,2021-06-15,551.00,600.00,529.00,553.00,-4.49,"104,726.00","59,387,971.00"
16,16,2021-06-14,593.00,621.00,564.00,579.00,2.48,"167,991.00","100,900,257.00"
17,17,2021-06-13,489.00,565.00,489.00,565.00,9.92,"176,750.00","97,368,810.00"
18,18,2021-06-10,500.00,530.00,463.00,514.00,6.42,"125,711.00","60,952,437.00"
19,19,2021-06-09,505.00,534.00,471.00,483.00,-3.01,"136,658.00","67,386,022.00"
20,20,2021-06-08,462.00,498.00,462.00,498.00,9.93,"82,494.00","41,000,539.00"
21,21,2021-06-07,417.00,453.00,417.00,453.00,9.95,"198,744.00","89,714,559.00"
22,22,2021-06-06,407.00,424.00,394.00,412.00,0.98,"110,795.00","44,790,020.00"
23,23,2021-06-03,421.00,440.00,395.00,408.00,-1.21,"113,965.00","48,113,879.00"
