,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,"1,100.00","1,109.00","1,028.00","1,030.00",-6.36,"31,124.00","32,531,268.00"
2,2,2021-07-04,"1,130.00","1,137.00","1,086.00","1,100.00",-4.26,"15,007.00","16,663,635.00"
3,3,2021-07-01,"1,100.00","1,160.00","1,100.00","1,149.00",1.68,"25,288.00","28,522,832.00"
4,4,2021-06-30,"1,116.00","1,138.00",995.00,"1,130.00",6.30,"60,790.00","63,755,458.00"
5,5,2021-06-29,"1,050.00","1,113.00","1,036.00","1,063.00",-2.74,"36,207.00","38,139,000.00"
6,6,2021-06-28,"1,060.00","1,150.00","1,058.00","1,093.00",-1.97,"59,518.00","64,973,372.00"
7,7,2021-06-27,"1,189.00","1,189.00","1,112.00","1,115.00",-4.37,"21,441.00","24,281,765.00"
8,8,2021-06-24,"1,175.00","1,198.00","1,135.00","1,166.00",-2.02,"42,059.00","49,136,708.00"
9,9,2021-06-23,"1,242.00","1,242.00","1,150.00","1,190.00",-4.03,"21,744.00","25,573,326.00"
10,10,2021-06-22,"1,323.00","1,323.00","1,135.00","1,240.00",-1.59,"32,899.00","39,271,078.00"
11,11,2021-06-21,"1,390.00","1,390.00","1,192.00","1,260.00",-4.83,"84,538.00","102,605,786.00"
12,12,2021-06-20,"1,231.00","1,358.00","1,131.00","1,324.00",5.41,"75,703.00","90,542,388.00"
13,13,2021-06-17,"1,275.00","1,314.00","1,217.00","1,256.00",-2.56,"33,531.00","41,768,560.00"
14,14,2021-06-16,"1,404.00","1,404.00","1,289.00","1,289.00",-9.99,"40,485.00","53,110,386.00"
15,15,2021-06-15,"1,350.00","1,432.00","1,297.00","1,432.00",3.84,"70,126.00","95,058,245.00"
16,16,2021-06-14,"1,343.00","1,417.00","1,237.00","1,379.00",3.68,"82,641.00","109,169,387.00"
17,17,2021-06-13,"1,331.00","1,400.00","1,284.00","1,330.00",0.00,"85,696.00","116,020,800.00"
18,18,2021-06-10,"1,389.00","1,444.00","1,280.00","1,330.00",-4.25,"50,419.00","67,683,984.00"
19,19,2021-06-09,"1,278.00","1,403.00","1,149.00","1,389.00",8.86,"80,807.00","103,171,066.00"
20,20,2021-06-08,"1,200.00","1,276.00","1,200.00","1,276.00",10.00,"35,129.00","44,639,635.00"
21,21,2021-06-07,"1,050.00","1,160.00","1,009.00","1,160.00",9.95,"147,624.00","168,314,693.00"
