,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,550.00,550.00,528.00,528.00,-2.94,"49,812.00","26,560,455.00"
2,2,2021-07-04,567.00,567.00,540.00,544.00,-1.81,"66,004.00","36,574,967.00"
3,3,2021-07-01,540.00,566.00,540.00,554.00,2.59,"117,924.00","65,598,731.00"
4,4,2021-06-30,501.00,545.00,488.00,540.00,7.78,"127,895.00","65,370,128.00"
5,5,2021-06-29,537.00,538.00,495.00,501.00,-4.93,"139,623.00","70,730,384.00"
6,6,2021-06-28,563.00,563.00,527.00,527.00,-4.53,"91,899.00","49,475,619.00"
7,7,2021-06-27,578.00,589.00,550.00,552.00,-2.65,"77,542.00","43,654,337.00"
8,8,2021-06-24,607.00,607.00,552.00,567.00,-2.07,"78,683.00","45,015,163.00"
9,9,2021-06-23,610.00,622.00,575.00,579.00,-3.50,"108,889.00","64,176,999.00"
10,10,2021-06-22,560.00,610.00,559.00,600.00,6.01,"121,221.00","71,548,081.00"
11,11,2021-06-21,610.00,619.00,562.00,566.00,-6.45,"162,527.00","94,606,207.00"
12,12,2021-06-20,640.00,640.00,585.00,605.00,-4.27,"141,887.00","86,723,494.00"
13,13,2021-06-17,620.00,655.00,593.00,632.00,2.76,"164,615.00","103,102,366.00"
14,14,2021-06-16,640.00,676.00,590.00,615.00,-6.11,"266,706.00","167,737,383.00"
15,15,2021-06-15,696.00,698.00,649.00,655.00,-5.89,"226,153.00","151,220,687.00"
16,16,2021-06-14,716.00,735.00,670.00,696.00,2.05,"272,197.00","192,277,133.00"
17,17,2021-06-13,620.00,682.00,620.00,682.00,10.00,"405,007.00","265,958,864.00"
18,18,2021-06-10,600.00,637.00,574.00,620.00,5.26,"285,367.00","171,023,024.00"
19,19,2021-06-09,609.00,638.00,550.00,589.00,1.55,"404,090.00","241,062,027.00"
20,20,2021-06-08,540.00,580.00,540.00,580.00,9.85,"121,201.00","70,094,725.00"
21,21,2021-06-07,490.00,528.00,480.00,528.00,10.00,"444,391.00","227,842,281.00"
22,22,2021-06-06,467.00,489.00,445.00,480.00,3.90,"187,743.00","85,949,482.00"
23,23,2021-06-03,460.00,495.00,453.00,462.00,0.87,"340,901.00","160,556,750.00"
24,24,2021-06-02,424.00,458.00,417.00,458.00,9.83,"319,396.00","141,467,213.00"
25,25,2021-06-01,416.00,430.00,407.00,417.00,0.48,"125,904.00","52,435,121.00"
26,26,2021-05-31,447.00,447.00,415.00,415.00,-5.47,"141,886.00","60,626,300.00"
27,27,2021-05-30,419.00,452.00,411.00,439.00,5.28,"200,853.00","87,770,019.00"
28,28,2021-05-27,400.00,421.00,385.00,417.00,3.47,"160,856.00","65,754,253.00"
29,29,2021-05-25,408.00,413.00,395.00,403.00,-0.25,"145,937.00","58,622,221.00"
30,30,2021-05-24,430.00,431.00,395.00,404.00,-2.65,"265,471.00","109,191,619.00"
31,31,2021-05-23,378.00,415.00,358.00,415.00,9.79,"398,098.00","159,971,255.00"
32,32,2021-05-20,351.00,383.00,348.00,378.00,8.31,"227,884.00","83,351,717.00"
33,33,2021-05-19,367.00,367.00,346.00,349.00,-0.29,"145,586.00","51,744,986.00"
34,34,2021-05-18,332.00,352.00,331.00,350.00,5.11,"184,621.00","64,082,140.00"
35,35,2021-05-17,338.00,339.00,331.00,333.00,-1.48,"69,589.00","23,200,595.00"
36,36,2021-05-16,336.00,352.00,335.00,338.00,1.20,"65,710.00","22,230,587.00"
37,37,2021-05-13,320.00,337.00,319.00,334.00,4.70,"128,090.00","42,346,640.00"
38,38,2021-05-12,319.00,320.00,313.00,319.00,0.95,"30,826.00","9,806,853.00"
39,39,2021-05-11,315.00,317.00,314.00,316.00,0.32,"10,769.00","3,395,365.00"
40,40,2021-05-10,310.00,319.00,308.00,315.00,0.32,"15,642.00","4,890,178.00"
41,41,2021-05-09,314.00,319.00,314.00,314.00,-0.95,"25,554.00","8,059,596.00"
42,42,2021-05-06,315.00,320.00,312.00,317.00,1.60,"48,102.00","15,203,788.00"
43,43,2021-05-05,312.00,314.00,310.00,312.00,0.32,"14,054.00","4,385,378.00"
44,44,2021-05-04,314.00,314.00,310.00,311.00,-0.96,"13,958.00","4,346,731.00"
45,45,2021-05-03,315.00,318.00,310.00,314.00,-0.32,"22,075.00","6,916,774.00"
