,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,417.00,426.00,409.00,414.00,-2.13,"29,468.00","12,244,904.00"
2,2,2021-07-04,433.00,440.00,419.00,423.00,-0.47,"47,646.00","20,417,315.00"
3,3,2021-07-01,428.00,432.00,412.00,425.00,1.19,"54,173.00","23,161,352.00"
4,4,2021-06-30,400.00,425.00,369.00,420.00,5.79,"58,302.00","23,071,109.00"
5,5,2021-06-29,408.00,410.00,395.00,397.00,-2.70,"33,418.00","13,394,806.00"
6,6,2021-06-28,426.00,436.00,407.00,408.00,-2.86,"29,724.00","12,358,631.00"
7,7,2021-06-27,423.00,434.00,418.00,420.00,-1.64,"28,538.00","12,107,253.00"
8,8,2021-06-24,440.00,445.00,427.00,427.00,-2.95,"31,657.00","13,757,319.00"
9,9,2021-06-23,445.00,480.00,430.00,440.00,0.00,"79,808.00","35,951,630.00"
10,10,2021-06-22,420.00,440.00,392.00,440.00,10.00,"59,973.00","25,408,068.00"
11,11,2021-06-21,439.00,439.00,391.00,400.00,-7.19,"52,580.00","21,927,623.00"
12,12,2021-06-20,460.00,461.00,419.00,431.00,-6.30,"30,966.00","13,509,597.00"
13,13,2021-06-17,450.00,467.00,422.00,460.00,2.22,"69,637.00","31,712,565.00"
14,14,2021-06-16,474.00,474.00,428.00,450.00,-5.26,"76,902.00","34,520,173.00"
15,15,2021-06-15,501.00,506.00,466.00,475.00,-4.23,"86,488.00","41,679,453.00"
16,16,2021-06-14,498.00,547.00,482.00,496.00,-0.60,"125,967.00","63,960,322.00"
17,17,2021-06-13,454.00,499.00,442.00,499.00,9.91,"226,001.00","107,009,765.00"
18,18,2021-06-10,459.00,459.00,420.00,454.00,3.65,"133,698.00","58,220,440.00"
19,19,2021-06-09,470.00,488.00,435.00,438.00,-5.19,"144,498.00","65,208,236.00"
20,20,2021-06-08,440.00,462.00,432.00,462.00,10.00,"141,956.00","65,229,973.00"
21,21,2021-06-07,389.00,420.00,382.00,420.00,9.95,"240,757.00","99,030,797.00"
22,22,2021-06-06,393.00,393.00,369.00,382.00,-2.80,"104,096.00","39,469,165.00"
23,23,2021-06-03,407.00,426.00,382.00,393.00,1.29,"175,033.00","70,332,425.00"
24,24,2021-06-02,360.00,388.00,348.00,388.00,9.92,"209,384.00","78,753,370.00"
25,25,2021-06-01,345.00,363.00,339.00,353.00,3.52,"85,395.00","29,909,829.00"
26,26,2021-05-31,363.00,369.00,341.00,341.00,-4.21,"91,061.00","32,307,337.00"
27,27,2021-05-30,326.00,372.00,326.00,356.00,3.79,"142,731.00","51,147,848.00"
28,28,2021-05-27,338.00,364.00,320.00,343.00,0.59,"51,773.00","17,581,253.00"
29,29,2021-05-25,339.00,350.00,337.00,341.00,-2.29,"88,584.00","30,183,460.00"
30,30,2021-05-24,380.00,380.00,339.00,349.00,-3.59,"110,873.00","38,552,792.00"
31,31,2021-05-23,337.00,369.00,319.00,362.00,7.42,"140,763.00","49,103,177.00"
32,32,2021-05-20,313.00,337.00,305.00,337.00,9.77,"145,865.00","47,313,730.00"
33,33,2021-05-19,312.00,330.00,300.00,307.00,0.33,"106,406.00","33,307,515.00"
34,34,2021-05-18,266.00,306.00,266.00,306.00,9.68,"141,794.00","42,468,834.00"
35,35,2021-05-17,292.00,292.00,273.00,279.00,0.00,"44,364.00","12,284,542.00"
36,36,2021-05-16,291.00,291.00,277.00,279.00,0.36,"62,298.00","17,443,383.00"
37,37,2021-05-13,252.00,280.00,252.00,278.00,4.91,"90,985.00","25,058,034.00"
38,38,2021-05-12,264.00,267.00,262.00,265.00,0.76,"12,035.00","3,186,492.00"
39,39,2021-05-11,266.00,268.00,263.00,263.00,-0.38,"4,182.00","1,100,746.00"
40,40,2021-05-10,265.00,270.00,262.00,264.00,1.54,"7,635.00","2,013,243.00"
41,41,2021-05-09,258.00,264.00,258.00,260.00,-0.76,"2,952.00","766,957.00"
42,42,2021-05-06,260.00,263.00,260.00,262.00,-0.38,"4,692.00","1,224,915.00"
43,43,2021-05-05,262.00,272.00,262.00,263.00,0.00,"4,420.00","1,167,365.00"
44,44,2021-05-04,263.00,268.00,261.00,263.00,-1.13,"16,444.00","4,330,307.00"
45,45,2021-05-03,280.00,280.00,265.00,266.00,-3.27,"20,600.00","5,508,827.00"
46,46,2021-05-02,260.00,280.00,253.00,275.00,6.59,"20,038.00","5,248,970.00"
47,47,2021-04-29,250.00,258.00,249.00,258.00,1.57,"2,647.00","676,853.00"
48,48,2021-04-28,253.00,261.00,246.00,254.00,-1.55,"8,202.00","2,068,884.00"
49,49,2021-04-27,250.00,264.00,250.00,258.00,4.88,"7,967.00","2,043,970.00"
50,50,2021-04-26,253.00,255.00,244.00,246.00,-4.65,"18,284.00","4,576,909.00"
51,51,2021-04-25,265.00,265.00,255.00,258.00,-2.64,"14,234.00","3,668,571.00"
52,52,2021-04-22,263.00,265.00,263.00,265.00,0.00,"5,815.00","1,536,133.00"
53,53,2021-04-21,282.00,282.00,265.00,265.00,-1.49,"6,214.00","1,655,849.00"
54,54,2021-04-20,264.00,278.00,264.00,269.00,1.13,"11,561.00","3,111,373.00"
55,55,2021-04-19,270.00,270.00,266.00,266.00,-1.85,"8,728.00","2,340,652.00"
56,56,2021-04-18,275.00,279.00,266.00,271.00,-0.73,"19,983.00","5,414,181.00"
57,57,2021-04-15,274.00,279.00,270.00,273.00,1.11,"28,124.00","7,703,462.00"
58,58,2021-04-13,271.00,273.00,269.00,270.00,0.37,"15,849.00","4,278,692.00"
59,59,2021-04-12,271.00,276.00,268.00,269.00,-0.74,"13,833.00","3,738,197.00"
60,60,2021-04-08,262.00,272.00,262.00,271.00,1.88,"27,266.00","7,367,051.00"
61,61,2021-04-07,281.00,281.00,266.00,266.00,-0.75,"9,245.00","2,480,726.00"
62,62,2021-04-06,268.00,269.00,263.00,268.00,1.13,"16,122.00","4,306,916.00"
63,63,2021-04-05,270.00,272.00,260.00,265.00,-0.75,"6,640.00","1,764,955.00"
64,64,2021-04-04,262.00,271.00,260.00,267.00,2.30,"23,143.00","6,143,881.00"
65,65,2021-04-01,260.00,265.00,259.00,261.00,1.16,"16,591.00","4,331,630.00"
66,66,2021-03-31,260.00,261.00,257.00,258.00,-0.77,"13,184.00","3,402,842.00"
67,67,2021-03-30,261.00,261.00,256.00,260.00,0.39,"7,281.00","1,883,928.00"
68,68,2021-03-29,258.00,263.00,256.00,259.00,-0.77,"9,111.00","2,362,125.00"
69,69,2021-03-25,251.00,261.00,251.00,261.00,1.95,"16,715.00","4,315,492.00"
70,70,2021-03-24,257.00,261.00,255.00,256.00,-1.54,"14,864.00","3,826,718.00"
71,71,2021-03-23,256.00,261.00,256.00,260.00,0.39,"4,314.00","1,115,908.00"
