,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,500.00,530.00,492.00,500.00,1.83,"82,797.00","42,153,355.00"
2,2,2021-07-04,477.00,499.00,461.00,491.00,4.03,"90,689.00","43,679,009.00"
3,3,2021-07-01,502.00,502.00,471.00,472.00,-1.46,"45,012.00","21,717,214.00"
4,4,2021-06-30,443.00,479.00,428.00,479.00,9.86,"101,682.00","46,929,619.00"
5,5,2021-06-29,453.00,453.00,435.00,436.00,-2.02,"25,504.00","11,177,481.00"
6,6,2021-06-28,449.00,457.00,439.00,445.00,0.91,"36,061.00","15,960,749.00"
7,7,2021-06-27,440.00,444.00,428.00,441.00,1.15,"26,879.00","11,779,058.00"
8,8,2021-06-24,431.00,441.00,423.00,436.00,1.16,"18,826.00","8,151,917.00"
9,9,2021-06-23,447.00,452.00,427.00,431.00,-5.48,"22,055.00","9,692,644.00"
10,10,2021-06-22,430.00,458.00,415.00,456.00,7.55,"18,765.00","8,290,502.00"
11,11,2021-06-21,411.00,450.00,411.00,424.00,-1.85,"28,013.00","11,955,251.00"
12,12,2021-06-20,455.00,469.00,414.00,432.00,-4.42,"31,113.00","13,507,529.00"
13,13,2021-06-17,428.00,460.00,412.00,452.00,5.61,"54,914.00","24,320,647.00"
14,14,2021-06-16,470.00,470.00,427.00,428.00,-9.70,"58,637.00","25,991,994.00"
15,15,2021-06-15,505.00,505.00,472.00,474.00,-5.95,"56,878.00","27,661,590.00"
16,16,2021-06-14,520.00,555.00,498.00,504.00,-1.56,"66,185.00","34,148,119.00"
17,17,2021-06-13,475.00,512.00,466.00,512.00,9.87,"127,453.00","63,007,984.00"
18,18,2021-06-10,460.00,469.00,440.00,466.00,1.30,"69,701.00","31,812,201.00"
19,19,2021-06-09,477.00,495.00,449.00,460.00,-3.56,"98,970.00","46,008,711.00"
20,20,2021-06-08,440.00,477.00,440.00,477.00,9.91,"99,238.00","46,552,160.00"
21,21,2021-06-07,415.00,440.00,415.00,434.00,5.34,"65,238.00","28,294,178.00"
22,22,2021-06-06,425.00,430.00,406.00,412.00,-3.29,"32,270.00","13,439,965.00"
23,23,2021-06-03,425.00,458.00,424.00,426.00,0.24,"113,472.00","49,880,561.00"
24,24,2021-06-02,395.00,427.00,395.00,425.00,6.52,"65,247.00","27,384,652.00"
25,25,2021-06-01,400.00,405.00,391.00,399.00,0.25,"22,621.00","9,018,414.00"
26,26,2021-05-31,424.00,424.00,395.00,398.00,-4.78,"42,720.00","17,337,572.00"
27,27,2021-05-30,424.00,430.00,408.00,418.00,0.48,"59,234.00","24,844,448.00"
28,28,2021-05-27,409.00,434.00,395.00,416.00,1.71,"43,295.00","17,925,436.00"
29,29,2021-05-25,441.00,441.00,406.00,409.00,-2.62,"48,633.00","19,993,925.00"
30,30,2021-05-24,440.00,440.00,410.00,420.00,-3.00,"63,221.00","26,482,117.00"
31,31,2021-05-23,435.00,444.00,408.00,433.00,-1.37,"89,795.00","39,117,469.00"
32,32,2021-05-20,450.00,450.00,406.00,439.00,0.69,"135,803.00","58,224,005.00"
33,33,2021-05-19,416.00,436.00,373.00,436.00,9.82,"270,172.00","113,917,923.00"
34,34,2021-05-18,379.00,397.00,379.00,397.00,9.97,"33,659.00","13,294,283.00"
35,35,2021-05-17,345.00,361.00,328.00,361.00,9.73,"130,612.00","45,305,991.00"
36,36,2021-05-16,330.00,345.00,318.00,329.00,1.23,"40,332.00","13,284,729.00"
37,37,2021-05-13,311.00,334.00,311.00,325.00,4.84,"91,596.00","29,415,781.00"
38,38,2021-05-12,308.00,317.00,304.00,310.00,1.31,"21,845.00","6,792,166.00"
39,39,2021-05-11,306.00,308.00,304.00,306.00,0.00,"3,304.00","1,009,459.00"
40,40,2021-05-10,303.00,307.00,297.00,306.00,2.68,"22,807.00","6,890,244.00"
41,41,2021-05-09,320.00,320.00,298.00,298.00,-2.30,"13,166.00","3,964,412.00"
