,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,600.00,610.00,576.00,579.00,-3.34,"30,088.00","17,850,572.00"
2,2,2021-07-04,639.00,645.00,590.00,599.00,-4.47,"92,333.00","56,911,482.00"
3,3,2021-07-01,615.00,635.00,602.00,627.00,3.64,"79,526.00","49,500,925.00"
4,4,2021-06-30,561.00,605.00,517.00,605.00,10.00,"74,981.00","41,418,898.00"
5,5,2021-06-29,600.00,600.00,528.00,550.00,-5.82,"77,509.00","43,394,389.00"
6,6,2021-06-28,570.00,631.00,570.00,584.00,-2.67,"30,189.00","17,913,798.00"
7,7,2021-06-27,628.00,628.00,595.00,600.00,-2.76,"29,963.00","18,057,395.00"
8,8,2021-06-24,630.00,630.00,600.00,617.00,-0.80,"26,247.00","16,120,763.00"
9,9,2021-06-23,645.00,657.00,610.00,622.00,-2.66,"35,103.00","22,248,832.00"
10,10,2021-06-22,593.00,646.00,592.00,639.00,8.67,"76,825.00","47,904,613.00"
11,11,2021-06-21,648.00,666.00,588.00,588.00,-9.26,"82,697.00","51,397,922.00"
12,12,2021-06-20,692.00,695.00,635.00,648.00,-4.57,"76,323.00","50,794,798.00"
13,13,2021-06-17,650.00,710.00,641.00,679.00,4.46,"101,927.00","68,582,322.00"
14,14,2021-06-16,684.00,729.00,648.00,650.00,-9.72,"147,419.00","99,820,000.00"
15,15,2021-06-15,745.00,750.00,710.00,720.00,-4.76,"131,195.00","95,583,338.00"
16,16,2021-06-14,780.00,817.00,739.00,756.00,-3.08,"120,389.00","93,173,233.00"
17,17,2021-06-13,700.00,783.00,686.00,780.00,9.40,"115,640.00","85,806,974.00"
18,18,2021-06-10,650.00,713.00,625.00,713.00,9.86,"173,628.00","117,070,111.00"
19,19,2021-06-09,621.00,651.00,578.00,649.00,9.63,"300,490.00","188,374,505.00"
20,20,2021-06-08,565.00,592.00,565.00,592.00,9.83,"26,314.00","15,548,209.00"
21,21,2021-06-07,500.00,539.00,495.00,539.00,10.00,"206,102.00","109,902,005.00"
22,22,2021-06-06,450.00,495.00,426.00,490.00,8.89,"205,668.00","94,455,512.00"
23,23,2021-06-03,451.00,473.00,445.00,450.00,4.65,"265,007.00","122,724,152.00"
24,24,2021-06-02,395.00,430.00,384.00,430.00,9.97,"166,629.00","69,086,855.00"
25,25,2021-06-01,396.00,397.00,377.00,391.00,0.26,"57,048.00","22,160,627.00"
26,26,2021-05-31,400.00,408.00,381.00,390.00,-1.76,"178,562.00","71,195,646.00"
27,27,2021-05-30,379.00,409.00,363.00,397.00,6.72,"150,543.00","58,947,653.00"
28,28,2021-05-27,358.00,375.00,345.00,372.00,2.76,"114,394.00","41,453,053.00"
29,29,2021-05-25,356.00,364.00,353.00,362.00,0.56,"71,165.00","25,536,744.00"
30,30,2021-05-24,391.00,391.00,351.00,360.00,-3.49,"108,043.00","39,153,310.00"
31,31,2021-05-23,340.00,373.00,325.00,373.00,9.71,"153,947.00","55,247,290.00"
32,32,2021-05-20,320.00,353.00,319.00,340.00,4.29,"96,025.00","32,402,449.00"
33,33,2021-05-19,345.00,345.00,320.00,326.00,-0.91,"80,252.00","26,724,317.00"
34,34,2021-05-18,306.00,335.00,306.00,329.00,7.87,"191,283.00","61,855,676.00"
35,35,2021-05-17,309.00,310.00,303.00,305.00,-0.97,"30,535.00","9,344,735.00"
36,36,2021-05-16,310.00,320.00,307.00,308.00,-0.65,"49,540.00","15,423,008.00"
37,37,2021-05-13,299.00,324.00,298.00,310.00,5.08,"91,911.00","28,276,313.00"
38,38,2021-05-12,293.00,298.00,290.00,295.00,1.03,"36,661.00","10,819,352.00"
39,39,2021-05-11,283.00,294.00,283.00,292.00,3.55,"25,034.00","7,231,130.00"
40,40,2021-05-10,281.00,283.00,278.00,282.00,0.00,"16,134.00","4,522,729.00"
41,41,2021-05-09,287.00,291.00,278.00,282.00,-2.42,"23,283.00","6,572,300.00"
42,42,2021-05-06,293.00,294.00,285.00,289.00,-1.37,"11,371.00","3,278,493.00"
