,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,344.00,345.00,328.00,339.00,-1.45,"20,308.00","6,787,557.00"
2,2,2021-07-04,353.00,360.00,335.00,344.00,-0.86,"55,108.00","19,027,507.00"
3,3,2021-07-01,356.00,365.00,341.00,347.00,2.06,"96,261.00","34,190,571.00"
4,4,2021-06-30,304.00,341.00,289.00,340.00,9.68,"102,167.00","31,795,948.00"
5,5,2021-06-29,334.00,340.00,307.00,310.00,-8.55,"81,789.00","26,228,951.00"
6,6,2021-06-28,355.00,357.00,335.00,339.00,-3.97,"44,936.00","15,358,746.00"
7,7,2021-06-27,373.00,374.00,347.00,353.00,-3.55,"69,130.00","24,404,342.00"
8,8,2021-06-24,387.00,387.00,348.00,366.00,-0.81,"77,660.00","27,640,457.00"
9,9,2021-06-23,387.00,392.00,348.00,369.00,0.00,"97,942.00","36,180,822.00"
10,10,2021-06-22,354.00,371.00,329.00,369.00,9.17,"103,294.00","36,800,853.00"
11,11,2021-06-21,370.00,376.00,337.00,338.00,-8.40,"123,177.00","42,793,904.00"
12,12,2021-06-20,397.00,397.00,354.00,369.00,-5.38,"78,682.00","29,235,079.00"
13,13,2021-06-17,399.00,410.00,350.00,390.00,2.63,"187,691.00","71,652,677.00"
14,14,2021-06-16,441.00,441.00,378.00,380.00,-9.52,"218,388.00","85,268,435.00"
15,15,2021-06-15,450.00,455.00,414.00,420.00,-4.55,"164,247.00","70,042,731.00"
16,16,2021-06-14,442.00,463.00,430.00,440.00,4.51,"220,339.00","97,950,060.00"
17,17,2021-06-13,383.00,421.00,373.00,421.00,9.92,"329,429.00","134,398,854.00"
18,18,2021-06-10,392.00,392.00,357.00,383.00,2.41,"215,368.00","80,549,876.00"
19,19,2021-06-09,390.00,397.00,354.00,374.00,-0.27,"193,803.00","73,391,642.00"
20,20,2021-06-08,342.00,375.00,342.00,375.00,9.97,"267,184.00","99,391,776.00"
21,21,2021-06-07,319.00,342.00,315.00,341.00,6.90,"307,118.00","103,018,298.00"
22,22,2021-06-06,340.00,340.00,305.00,319.00,-3.33,"192,807.00","60,622,035.00"
23,23,2021-06-03,330.00,346.00,320.00,330.00,4.43,"268,746.00","90,255,696.00"
24,24,2021-06-02,276.00,319.00,276.00,316.00,8.97,"363,537.00","110,408,798.00"
25,25,2021-06-01,286.00,300.00,277.00,290.00,0.69,"71,300.00","20,584,020.00"
26,26,2021-05-31,297.00,306.00,284.00,288.00,-3.03,"139,741.00","40,930,864.00"
