,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,380.00,381.00,366.00,371.00,-0.80,"19,548.00","7,277,585.00"
2,2,2021-07-04,380.00,393.00,367.00,374.00,-1.58,"21,913.00","8,346,196.00"
3,3,2021-07-01,378.00,390.00,377.00,380.00,2.43,"46,082.00","17,630,024.00"
4,4,2021-06-30,352.00,384.00,345.00,371.00,5.40,"57,617.00","20,573,887.00"
5,5,2021-06-29,357.00,380.00,350.00,352.00,-6.13,"31,250.00","11,217,779.00"
6,6,2021-06-28,393.00,394.00,373.00,375.00,-3.10,"44,713.00","17,025,383.00"
7,7,2021-06-27,402.00,402.00,385.00,387.00,-2.03,"38,997.00","15,162,691.00"
8,8,2021-06-24,389.00,411.00,375.00,395.00,2.86,"79,527.00","31,435,291.00"
9,9,2021-06-23,380.00,417.00,379.00,384.00,0.26,"63,938.00","25,022,676.00"
10,10,2021-06-22,355.00,383.00,340.00,383.00,9.74,"57,857.00","21,563,520.00"
11,11,2021-06-21,370.00,384.00,348.00,349.00,-5.16,"60,970.00","21,985,842.00"
12,12,2021-06-20,400.00,408.00,360.00,368.00,-6.60,"53,065.00","20,084,599.00"
13,13,2021-06-17,390.00,407.00,362.00,394.00,2.34,"71,144.00","27,867,196.00"
14,14,2021-06-16,404.00,426.00,383.00,385.00,-9.41,"116,114.00","46,137,017.00"
15,15,2021-06-15,450.00,454.00,422.00,425.00,-5.76,"84,230.00","36,594,163.00"
16,16,2021-06-14,480.00,483.00,440.00,451.00,-2.38,"134,954.00","62,490,646.00"
17,17,2021-06-13,425.00,462.00,425.00,462.00,10.00,"177,152.00","78,688,918.00"
18,18,2021-06-10,425.00,441.00,404.00,420.00,-0.94,"177,898.00","73,860,299.00"
19,19,2021-06-09,450.00,468.00,405.00,424.00,-3.42,"178,563.00","76,164,840.00"
20,20,2021-06-08,408.00,440.00,408.00,439.00,9.75,"158,309.00","68,633,268.00"
21,21,2021-06-07,364.00,400.00,364.00,400.00,9.89,"242,719.00","94,896,846.00"
22,22,2021-06-06,375.00,375.00,350.00,364.00,-1.62,"127,807.00","45,666,057.00"
23,23,2021-06-03,382.00,405.00,366.00,370.00,-1.33,"153,593.00","58,670,311.00"
24,24,2021-06-02,347.00,375.00,346.00,375.00,9.97,"210,016.00","77,093,537.00"
25,25,2021-06-01,345.00,360.00,338.00,341.00,-2.01,"73,190.00","25,415,015.00"
26,26,2021-05-31,355.00,376.00,348.00,348.00,-0.29,"172,976.00","61,919,359.00"
27,27,2021-05-30,325.00,350.00,325.00,349.00,9.40,"277,047.00","95,497,290.00"
28,28,2021-05-27,310.00,333.00,296.00,319.00,1.92,"114,296.00","36,100,677.00"
29,29,2021-05-25,320.00,320.00,311.00,313.00,-0.95,"75,642.00","23,713,413.00"
30,30,2021-05-24,344.00,344.00,307.00,316.00,-3.66,"161,575.00","51,603,904.00"
31,31,2021-05-23,299.00,328.00,291.00,328.00,9.70,"203,279.00","64,414,072.00"
32,32,2021-05-20,285.00,301.00,277.00,299.00,4.91,"167,579.00","48,791,052.00"
33,33,2021-05-19,310.00,310.00,282.00,285.00,-4.68,"117,140.00","34,172,410.00"
